SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
01000001,6.4,6.0,8.8,-1,-1,-1,4.0,6.0,7.25,-1,5.75
01000002,6.0,7.0,7.6,-1,-1,-1,4.5,8.5,8.75,-1,7.25
01000003,5.6,7.25,8.4,-1,-1,-1,4.5,6.0,7.0,-1,5.83
01000004,8.2,7.25,9.0,-1,-1,-1,6.5,8.75,8.25,-1,7.83
01000005,7.8,5.75,9.4,-1,-1,-1,5.0,7.25,7.25,-1,6.5
01000007,6.4,7.75,9.0,-1,-1,-1,2.5,5.5,7.5,-1,5.17
01000008,8.8,7.75,6.8,-1,-1,-1,6.5,7.0,8.0,-1,7.17
01000009,8.4,7.5,8.8,-1,-1,-1,5.0,5.25,9.0,-1,6.42
01000011,5.0,6.0,9.2,-1,-1,-1,6.5,8.25,9.25,-1,8.0
01000012,6.2,6.0,7.8,-1,-1,-1,5.25,7.0,8.0,-1,6.75
01000013,7.8,7.25,6.8,-1,-1,-1,4.5,7.0,8.5,-1,6.67
01000014,7.4,7.5,9.2,-1,-1,-1,6.75,7.5,9.0,-1,7.75
01000015,5.0,8.75,8.2,-1,-1,-1,4.25,6.25,8.0,-1,6.17
01000016,8.2,7.0,9.4,-1,-1,-1,4.5,7.75,7.25,-1,6.5
01000017,5.8,8.5,6.6,-1,-1,-1,4.25,6.75,8.75,-1,6.58
01000018,6.4,7.75,9.0,-1,-1,-1,4.25,5.75,8.0,-1,6.0
01000019,8.2,7.75,9.2,-1,-1,-1,5.5,7.75,9.25,-1,7.5
01000020,4.4,3.5,2.0,-1,-1,-1,4.75,7.0,8.25,-1,6.67
01000021,5.4,7.5,3.4,-1,-1,-1,3.25,6.0,8.25,-1,5.83
01000022,6.6,7.25,7.4,-1,-1,-1,3.5,6.5,7.75,-1,5.92
01000023,5.0,6.25,6.6,-1,-1,-1,4.0,5.0,8.75,-1,5.92
01000026,5.4,8.75,7.0,-1,-1,-1,6.5,8.75,8.75,-1,8.0
01000027,1.4,4.5,2.4,-1,-1,-1,3.5,3.75,6.25,-1,4.5
01000028,3.8,5.0,6.8,-1,-1,-1,3.75,6.75,7.75,-1,6.08
01000030,7.2,7.5,8.6,-1,-1,-1,4.75,7.0,8.5,-1,6.75
01000031,5.0,4.75,3.8,-1,-1,-1,1.5,2.75,8.0,-1,4.08
01000032,4.0,5.5,6.2,-1,-1,-1,5.5,5.25,7.0,-1,5.92
01000034,8.0,7.0,8.0,-1,-1,-1,4.5,5.75,8.25,-1,6.17
01000036,6.6,6.75,8.0,-1,-1,-1,5.75,9.25,8.75,-1,7.92
01000037,5.8,7.0,6.8,-1,-1,-1,2.25,6.25,6.75,-1,5.08
01000038,8.8,8.25,9.4,-1,-1,-1,3.0,7.25,8.5,-1,6.25
01000039,4.0,7.25,6.8,-1,-1,-1,6.25,7.25,7.0,-1,6.83
01000040,5.4,7.25,5.4,-1,-1,-1,3.75,7.75,8.0,-1,6.5
01000041,6.6,8.5,6.8,-1,-1,-1,5.0,7.25,7.75,-1,6.67
01000042,6.4,6.75,7.2,-1,-1,-1,4.25,6.5,7.0,-1,5.92
01000043,7.6,7.5,9.6,-1,-1,-1,6.5,7.5,7.75,-1,7.25
01000044,5.0,7.0,8.4,-1,-1,-1,5.0,7.5,7.75,-1,6.75
01000045,7.0,9.0,8.6,-1,-1,-1,5.25,7.0,9.0,-1,7.08
01000046,6.0,6.25,8.6,-1,-1,-1,4.0,4.25,7.25,-1,5.17
01000047,4.4,6.5,5.2,-1,-1,-1,3.0,5.25,8.25,-1,5.5
01000048,5.2,5.5,5.4,-1,-1,-1,3.5,7.25,7.0,-1,5.92
01000049,1.6,4.0,4.0,-1,-1,-1,3.75,7.25,7.0,-1,6.0
01000050,6.4,7.5,6.8,-1,-1,-1,6.0,6.0,8.75,-1,6.92
01000051,5.6,5.5,5.6,-1,-1,-1,5.0,6.75,8.5,-1,6.75
01000052,5.8,5.0,4.0,-1,-1,-1,4.75,5.75,6.0,-1,5.5
01000053,6.6,6.75,8.2,-1,-1,-1,4.25,6.25,7.5,-1,6.0
01000054,2.6,4.75,3.8,-1,-1,-1,1.5,2.75,6.75,-1,3.67
01000055,6.6,6.0,5.8,-1,-1,-1,3.0,5.5,7.0,-1,5.17
01000056,7.6,7.0,8.6,-1,-1,-1,4.5,6.5,7.25,-1,6.08
01000057,8.4,7.5,8.6,-1,-1,-1,5.75,8.75,8.5,-1,7.67
01000058,4.8,6.25,3.8,-1,-1,-1,2.0,4.0,7.25,-1,4.42
01000060,5.4,5.75,-1,-1,-1,-1,5.5,5.75,7.25,-1,6.17
01000062,2.4,5.5,4.0,-1,-1,-1,2.5,4.5,7.0,-1,4.67
01000063,8.0,7.75,8.8,-1,-1,-1,6.25,5.5,8.5,-1,6.75
