SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
01000006,5.4,6.75,7.2,-1,-1,-1,5.25,7.25,8.0,-1,6.83
01000010,7.2,7.0,9.6,-1,-1,-1,4.0,6.5,7.75,-1,6.08
01000024,7.0,7.75,4.0,-1,-1,-1,5.0,6.5,7.5,-1,6.33
01000025,7.4,7.0,6.6,-1,-1,-1,4.0,5.75,7.75,-1,5.83
01000029,8.2,7.75,8.0,-1,-1,-1,4.75,8.25,8.25,-1,7.08
01000033,5.6,6.75,6.4,-1,-1,-1,2.0,5.25,7.5,-1,4.92
01000035,4.0,5.5,7.8,-1,-1,-1,3.75,5.75,7.75,-1,5.75
01000059,5.0,7.5,6.2,-1,-1,-1,5.25,4.75,7.75,-1,5.92
01000061,8.4,7.25,8.4,-1,-1,-1,6.75,7.75,9.0,-1,7.83
01000064,3.6,6.5,8.2,-1,-1,-1,7.0,8.75,7.75,-1,7.83
01000065,3.8,4.25,5.8,-1,-1,-1,3.5,5.25,7.25,-1,5.33
01000069,7.4,7.25,9.2,-1,-1,-1,4.75,6.5,8.0,-1,6.42
01000092,7.8,6.75,7.8,-1,-1,-1,5.25,7.0,8.5,-1,6.92
01000094,6.6,8.0,8.8,-1,-1,-1,4.75,5.0,7.5,-1,5.75
01000109,8.0,7.75,4.8,-1,-1,-1,3.25,6.5,8.5,-1,6.08
01000119,7.4,7.75,8.8,-1,-1,-1,2.5,6.25,7.25,-1,5.33
01000122,5.4,5.5,8.6,-1,-1,-1,4.25,7.0,8.25,-1,6.5
01000124,6.2,7.5,8.2,-1,-1,-1,3.0,6.0,6.75,-1,5.25
01000125,7.2,7.75,8.4,-1,-1,-1,6.0,7.5,9.25,-1,7.58
01000130,3.6,5.5,6.8,-1,-1,-1,5.0,6.25,7.5,-1,6.25
01000164,3.0,7.0,3.0,-1,-1,-1,5.5,8.0,7.5,-1,7.0
01000168,4.4,4.75,5.8,-1,-1,-1,4.75,5.5,6.75,-1,5.67
01000180,8.2,7.0,7.4,-1,-1,-1,3.75,7.5,7.25,-1,6.17
01000197,4.6,6.25,3.4,-1,-1,-1,1.75,6.25,7.0,-1,5.0
01000207,7.2,6.75,4.0,-1,-1,-1,3.25,6.75,7.25,-1,5.75
01000211,3.8,6.0,4.0,-1,-1,-1,3.0,5.75,8.0,-1,5.58
01000220,3.6,6.0,3.2,-1,-1,-1,3.0,7.0,6.25,-1,5.42
01000224,2.6,5.75,7.0,-1,-1,-1,6.25,6.5,7.0,-1,6.58
01000230,3.0,5.25,4.2,-1,-1,-1,4.5,5.25,7.25,-1,5.67
01000242,4.6,6.25,5.8,-1,-1,-1,3.25,6.75,8.0,-1,6.0
01000243,6.0,6.25,8.6,-1,-1,-1,4.5,6.5,7.5,-1,6.17
