SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
02000009,4.8,6.25,3.0,-1,-1,-1,4.75,4.5,9.0,-1,6.08
02000013,7.4,5.5,8.8,7.25,5.25,5.75,-1,-1,-1,6.08,-1
02000024,6.8,7.0,8.6,-1,-1,-1,9.25,8.75,9.25,-1,9.08
02000051,8.0,6.0,7.8,6.0,3.75,4.5,-1,-1,-1,4.75,-1
02000053,8.0,4.0,9.0,8.25,5.75,2.5,-1,-1,-1,5.5,-1
02000063,7.2,5.25,8.2,-1,-1,-1,7.75,7.5,8.75,-1,8.0
02000075,5.2,6.25,-1,5.25,4.25,4.25,-1,-1,-1,4.58,-1
02000081,8.2,4.0,3.6,4.75,9.0,8.0,-1,-1,-1,7.25,-1
02000104,5.2,4.5,3.6,3.75,2.75,4.25,-1,-1,-1,3.58,-1
02000106,6.2,6.5,8.8,5.75,3.75,3.25,-1,-1,-1,4.25,-1
02000119,5.2,5.0,3.6,4.5,3.25,3.25,-1,-1,-1,3.67,-1
02000148,5.8,5.75,7.8,4.0,4.5,4.75,-1,-1,-1,4.42,-1
02000150,8.6,5.0,5.4,6.75,7.75,5.0,-1,-1,-1,6.5,-1
02000156,2.8,4.25,4.0,-1,-1,-1,3.0,4.0,7.5,-1,4.83
02000160,5.0,5.75,7.4,-1,-1,-1,5.0,6.0,8.5,-1,6.5
02000162,3.8,6.25,2.6,-1,-1,-1,4.5,5.75,6.5,-1,5.58
02000172,8.0,4.75,-1,7.0,6.75,8.0,-1,-1,-1,7.25,-1
02000175,3.6,3.5,3.8,5.0,3.5,4.25,-1,-1,-1,4.25,-1
02000181,6.0,6.75,7.6,5.25,4.5,3.5,-1,-1,-1,4.42,-1
02000185,8.6,5.25,6.2,7.0,6.0,3.0,-1,-1,-1,5.33,-1
02000207,7.4,5.75,6.0,6.25,6.25,4.25,-1,-1,-1,5.58,-1
02000216,8.0,7.0,9.0,5.75,8.0,9.0,-1,-1,-1,7.58,-1
02000237,6.8,6.25,7.4,-1,-1,-1,4.25,8.0,7.0,-1,6.42
02000240,8.2,8.0,8.4,-1,-1,-1,5.25,6.25,7.25,-1,6.25
02000241,5.8,5.25,7.8,-1,-1,-1,3.75,6.75,8.0,-1,6.17
02000247,4.6,6.0,8.8,-1,-1,-1,5.75,6.25,8.0,-1,6.67
02000250,6.8,6.5,7.4,-1,-1,-1,4.5,4.75,7.75,-1,5.67
02000256,6.8,6.75,6.6,4.0,4.75,5.0,-1,-1,-1,4.58,-1
02000272,8.4,6.5,4.4,8.0,7.25,4.75,-1,-1,-1,6.67,-1
02000276,2.8,6.0,3.6,-1,-1,-1,4.5,5.5,8.0,-1,6.0
02000285,6.8,6.25,9.0,7.5,5.0,4.5,-1,-1,-1,5.67,-1
02000288,4.2,7.0,8.0,-1,-1,-1,4.25,7.25,8.75,-1,6.75
02000313,6.2,5.5,8.2,4.5,4.25,4.0,-1,-1,-1,4.25,-1
02000325,5.0,4.5,3.2,3.5,1.5,3.75,-1,-1,-1,2.92,-1
02000327,8.0,6.5,6.4,6.75,5.25,4.75,-1,-1,-1,5.58,-1
02000351,3.8,5.25,4.0,4.75,3.25,4.75,-1,-1,-1,4.25,-1
02000370,4.6,5.75,9.4,-1,-1,-1,6.5,7.75,8.5,-1,7.58
02000371,8.2,5.25,6.6,6.25,3.75,5.5,-1,-1,-1,5.17,-1
02000373,6.6,5.25,5.6,6.25,5.75,3.0,-1,-1,-1,5.0,-1
02000376,7.0,5.75,7.4,-1,-1,-1,5.25,7.75,8.5,-1,7.17
02000383,7.6,5.75,7.8,6.5,4.0,3.75,-1,-1,-1,4.75,-1
02000414,6.2,7.5,8.2,-1,-1,-1,4.25,6.25,8.0,-1,6.17
02000418,7.6,5.5,7.0,7.0,6.5,5.0,-1,-1,-1,6.17,-1
02000446,5.4,7.0,7.4,-1,-1,-1,4.5,6.5,8.75,-1,6.58
02000454,4.6,7.5,8.8,4.75,4.5,4.5,-1,-1,-1,4.58,-1
02000472,7.4,5.75,8.6,6.0,4.5,4.75,-1,-1,-1,5.08,-1
02000476,7.2,7.5,7.8,7.25,5.0,4.25,-1,-1,-1,5.5,-1
02000479,8.2,4.5,8.0,7.75,6.25,4.75,-1,-1,-1,6.25,-1
02000482,4.8,4.5,5.0,-1,-1,-1,2.75,5.5,9.0,-1,5.75
02000494,7.8,6.75,6.0,5.5,6.25,3.75,-1,-1,-1,5.17,-1
02000502,8.4,5.75,8.0,6.5,4.75,4.25,-1,-1,-1,5.17,-1
02000504,7.6,6.0,4.8,6.25,5.25,3.75,-1,-1,-1,5.08,-1
02000514,5.0,5.75,5.2,-1,-1,-1,4.75,6.0,7.75,-1,6.17
02000516,7.0,5.25,9.0,6.25,6.25,4.75,-1,-1,-1,5.75,-1
02000521,3.0,2.5,3.2,5.0,3.5,4.25,-1,-1,-1,4.25,-1
02000541,6.4,4.5,6.6,4.75,5.5,5.0,-1,-1,-1,5.08,-1
02000551,7.8,6.75,7.0,-1,-1,-1,3.25,8.5,6.75,-1,6.17
02000566,7.6,7.0,-1,7.25,2.5,4.5,-1,-1,-1,4.75,-1
02000571,6.4,5.25,7.8,7.0,4.25,4.5,-1,-1,-1,5.25,-1
02000573,4.6,5.75,6.8,3.75,3.0,3.75,-1,-1,-1,3.5,-1
02000575,5.0,5.75,-1,-1,-1,-1,4.75,5.25,9.25,-1,6.42
02000590,5.2,5.75,9.6,-1,-1,-1,5.25,8.25,8.0,-1,7.17
02000598,6.6,6.25,7.2,7.5,7.0,4.5,-1,-1,-1,6.33,-1
02000606,7.4,5.0,7.8,5.75,6.25,4.75,-1,-1,-1,5.58,-1
02000611,4.8,5.5,-1,-1,-1,-1,3.0,6.5,6.75,-1,5.42
02000618,6.2,7.75,9.0,-1,-1,-1,7.0,7.0,6.5,-1,6.83
02000619,8.2,6.75,8.6,6.5,7.5,7.25,-1,-1,-1,7.08,-1
02000620,6.4,7.0,5.6,6.25,5.75,5.0,-1,-1,-1,5.67,-1
02000627,6.8,7.75,5.8,-1,-1,-1,4.25,6.75,7.75,-1,6.25
02000629,6.6,6.5,5.0,2.75,6.5,6.5,-1,-1,-1,5.25,-1
02000635,6.0,6.75,8.2,-1,-1,-1,2.5,6.25,7.25,-1,5.33
02000636,6.2,7.25,5.8,5.75,5.0,3.5,-1,-1,-1,4.75,-1
02000639,6.8,4.5,8.6,4.5,4.75,4.25,-1,-1,-1,4.5,-1
02000642,5.2,2.25,5.4,-1,-1,-1,4.25,6.25,8.0,-1,6.17
02000656,7.4,8.0,8.8,4.75,5.75,4.75,-1,-1,-1,5.08,-1
02000665,7.8,4.0,7.0,6.25,4.75,1.5,-1,-1,-1,4.17,-1
02000670,7.6,4.5,7.6,6.25,4.5,4.0,-1,-1,-1,4.92,-1
02000674,3.2,3.5,2.4,-1,-1,-1,4.0,4.0,6.25,-1,4.75
02000692,5.8,7.25,6.2,3.75,5.0,3.75,-1,-1,-1,4.17,-1
02000699,6.0,7.5,8.6,-1,-1,-1,6.25,6.0,8.75,-1,7.0
02000704,8.0,6.75,5.4,7.5,8.5,4.75,-1,-1,-1,6.92,-1
