SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
04000001,3.0,5.0,2.8,2.75,5.25,2.75,4.5,5.5,7.5,3.58,5.83
04000002,5.2,4.75,2.4,5.25,6.0,3.75,-1,-1,-1,5.0,-1
04000003,5.6,5.5,3.2,4.75,7.0,3.5,-1,-1,-1,5.08,-1
04000004,5.6,6.0,5.6,6.25,5.5,3.25,-1,-1,-1,5.0,-1
04000005,4.8,4.75,3.8,-1,-1,-1,2.25,5.5,6.25,-1,4.67
04000006,5.0,6.25,3.0,4.75,5.25,5.25,-1,-1,-1,5.08,-1
04000007,2.8,4.25,3.0,-1,-1,-1,2.75,5.0,5.75,-1,4.5
04000008,4.2,6.5,5.0,-1,-1,-1,6.0,7.0,8.5,-1,7.17
04000009,5.0,5.75,3.6,-1,-1,-1,2.25,6.0,9.0,-1,5.75
04000010,2.8,4.5,3.0,3.25,4.25,2.75,-1,-1,-1,3.42,-1
04000011,4.6,6.75,3.2,3.25,3.5,4.0,4.75,5.75,8.75,3.58,6.42
04000012,5.0,6.5,3.4,-1,-1,-1,2.5,5.0,6.75,-1,4.75
04000013,4.4,5.25,2.4,-1,-1,-1,5.25,8.5,7.0,-1,6.92
04000014,7.2,3.75,4.8,8.5,7.0,4.25,-1,-1,-1,6.58,-1
04000015,3.0,5.0,2.6,-1,-1,-1,1.5,2.75,5.0,-1,3.08
04000016,4.6,5.25,4.4,3.5,4.25,2.5,-1,-1,-1,3.42,-1
04000017,5.6,6.25,4.2,6.25,5.5,3.25,-1,-1,-1,5.0,-1
04000018,6.0,4.75,3.2,6.0,5.25,1.5,-1,-1,-1,4.25,-1
04000019,6.8,6.0,5.0,6.75,7.25,3.75,-1,-1,-1,5.92,-1
04000020,7.2,5.0,2.4,5.5,5.5,4.5,-1,-1,-1,5.17,-1
04000021,5.4,5.75,4.0,-1,-1,-1,5.75,8.5,9.25,-1,7.83
04000022,5.2,6.75,3.2,-1,-1,-1,6.5,8.5,9.0,-1,8.0
04000023,3.2,3.5,3.6,-1,-1,-1,3.0,6.0,8.0,-1,5.67
04000024,4.2,4.5,2.8,-1,-1,-1,4.5,6.75,8.5,-1,6.58
04000025,5.0,6.75,5.6,4.5,4.5,4.25,-1,-1,-1,4.42,-1
04000026,6.0,5.0,4.8,5.5,4.75,3.75,-1,-1,-1,4.67,-1
04000027,4.8,8.75,8.2,-1,-1,-1,5.5,7.5,7.25,-1,6.75
04000028,5.8,5.5,1.8,2.25,2.75,2.75,2.75,5.5,7.25,2.58,5.17
04000029,3.6,4.0,2.4,2.25,1.75,2.75,5.25,6.5,7.75,2.25,6.5
04000030,6.8,5.5,1.6,6.5,6.25,3.0,-1,-1,-1,5.25,-1
04000031,6.8,5.25,2.8,7.75,7.25,4.0,-1,-1,-1,6.33,-1
04000032,4.8,6.5,2.4,-1,-1,-1,4.25,5.5,8.75,-1,6.17
04000033,4.2,5.25,2.6,-1,-1,-1,3.75,5.75,8.25,-1,5.92
04000034,5.0,7.25,4.2,-1,-1,-1,7.75,8.0,8.75,-1,8.17
04000035,4.8,6.5,1.6,7.0,5.0,4.5,-1,-1,-1,5.5,-1
04000036,7.2,3.5,4.8,7.75,6.25,5.0,-1,-1,-1,6.33,-1
04000037,3.6,4.75,2.8,-1,-1,-1,2.25,4.75,6.75,-1,4.58
04000038,5.2,6.5,3.0,5.75,4.5,3.75,-1,-1,-1,4.67,-1
04000039,6.6,6.75,3.6,-1,-1,-1,4.25,6.5,8.5,-1,6.42
04000040,4.4,5.0,2.8,-1,-1,-1,4.75,6.75,8.5,-1,6.67
04000041,4.6,3.0,2.2,-1,-1,-1,2.0,4.5,5.75,-1,4.08
04000042,6.2,5.75,3.0,7.0,4.0,5.0,4.5,6.75,7.75,5.33,6.33
04000043,3.0,4.25,2.6,-1,-1,-1,5.75,7.0,8.75,-1,7.17
04000044,6.6,7.0,3.6,4.5,7.75,4.5,-1,-1,-1,5.58,-1
04000045,1.4,3.75,3.2,1.75,2.5,3.75,2.25,4.5,7.75,2.67,4.83
