SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
07000001,8.4,4.75,3.2,6.75,8.25,8.5,-1,-1,-1,7.83,-1
07000002,3.6,5.0,3.6,-1,-1,-1,3.0,5.75,6.5,-1,5.08
07000003,2.4,6.5,1.2,-1,-1,-1,6.0,6.0,6.5,-1,6.17
07000004,5.0,7.75,4.6,-1,-1,-1,4.0,6.5,8.25,-1,6.25
07000005,6.0,5.25,5.6,6.25,3.75,4.0,-1,-1,-1,4.67,-1
07000006,3.6,4.5,3.0,4.0,3.5,4.0,-1,-1,-1,3.83,-1
07000007,4.0,4.5,2.8,5.25,4.5,4.75,-1,-1,-1,4.83,-1
07000008,9.0,7.75,3.4,7.25,6.25,4.75,-1,-1,-1,6.08,-1
07000009,7.4,6.25,3.8,5.0,3.25,4.5,-1,-1,-1,4.25,-1
07000010,5.4,5.25,2.4,4.75,4.25,2.75,-1,-1,-1,3.92,-1
07000011,4.6,7.25,3.8,-1,-1,-1,8.5,9.25,6.5,-1,8.08
07000012,3.6,8.25,3.8,-1,-1,-1,7.25,8.5,8.25,-1,8.0
07000013,3.2,3.25,3.8,-1,-1,-1,4.25,6.75,6.5,-1,5.83
07000014,2.6,6.5,4.8,-1,-1,-1,5.75,7.75,7.75,-1,7.08
07000015,4.0,3.5,5.4,-1,-1,-1,4.75,4.75,8.25,-1,5.92
07000016,7.8,5.5,3.2,7.0,6.75,4.75,-1,-1,-1,6.17,-1
07000017,4.4,4.75,3.6,-1,-1,-1,3.0,5.5,8.0,-1,5.5
07000018,7.8,3.75,5.0,6.5,8.75,4.0,-1,-1,-1,6.42,-1
07000019,4.4,5.25,4.4,-1,-1,-1,6.75,6.5,8.75,-1,7.33
07000020,2.8,5.75,3.0,-1,-1,-1,5.25,8.0,7.0,-1,6.75
07000021,7.0,6.25,7.0,6.5,7.25,7.25,-1,-1,-1,7.0,-1
07000022,3.4,4.25,4.0,3.0,4.25,5.25,-1,-1,-1,4.17,-1
07000023,4.6,2.75,3.0,-1,-1,-1,3.75,7.75,8.25,-1,6.58
07000024,7.2,4.75,4.8,-1,-1,-1,4.75,8.75,6.75,-1,6.75
07000025,3.0,4.5,2.4,-1,-1,-1,4.25,6.0,7.0,-1,5.75
07000026,6.2,5.25,3.4,6.5,6.75,3.5,-1,-1,-1,5.58,-1
07000027,5.8,6.25,4.8,6.25,6.5,6.75,-1,-1,-1,6.5,-1
07000028,4.4,7.0,3.8,-1,-1,-1,8.0,7.5,7.0,-1,7.5
07000029,4.6,4.75,4.6,3.75,3.25,5.0,-1,-1,-1,4.0,-1
07000030,5.0,5.75,2.8,-1,-1,-1,6.5,9.0,8.25,-1,7.92
07000031,4.6,3.5,2.8,-1,-1,-1,5.0,7.75,8.0,-1,6.92
07000032,4.0,2.75,2.8,-1,-1,-1,3.75,5.75,8.5,-1,6.0
07000033,6.4,5.0,4.2,-1,-1,-1,3.5,7.0,8.5,-1,6.33
07000034,6.6,5.25,3.8,5.5,5.5,4.25,-1,-1,-1,5.08,-1
07000035,7.0,4.25,3.6,6.0,6.25,5.0,-1,-1,-1,5.75,-1
07000036,1.4,3.25,3.2,-1,-1,-1,4.25,4.0,6.75,-1,5.0
07000037,4.2,3.75,4.0,-1,-1,-1,3.5,6.75,8.25,-1,6.17
07000038,2.8,2.75,3.2,-1,-1,-1,3.5,6.25,5.25,-1,5.0
07000039,5.4,4.0,3.0,-1,-1,-1,5.75,7.75,8.25,-1,7.25
07000040,3.2,2.75,1.8,-1,-1,-1,4.25,4.5,7.75,-1,5.5
07000041,3.8,5.25,5.0,-1,-1,-1,6.75,8.5,8.75,-1,8.0
07000042,8.6,5.0,5.2,7.25,8.25,6.5,-1,-1,-1,7.33,-1
07000043,4.4,3.0,2.0,-1,-1,-1,3.5,6.25,7.25,-1,5.67
07000044,6.2,6.0,5.2,5.25,5.75,5.25,-1,-1,-1,5.42,-1
07000045,4.2,3.75,2.8,-1,-1,-1,3.5,3.0,6.25,-1,4.25
07000046,3.6,3.0,3.8,2.5,3.0,4.0,-1,-1,-1,3.17,-1
07000047,2.2,2.25,6.4,-1,-1,-1,5.0,4.0,8.0,-1,5.67
07000048,3.0,4.75,1.8,-1,-1,-1,4.75,5.75,6.75,-1,5.75
07000049,4.8,2.0,3.8,-1,-1,-1,7.75,7.5,9.0,-1,8.08
07000050,7.6,5.0,3.2,5.5,6.75,5.25,-1,-1,-1,5.83,-1
07000051,4.0,4.0,2.8,-1,-1,-1,5.5,7.0,9.0,-1,7.17
07000052,3.2,4.75,4.0,-1,-1,-1,5.75,6.25,6.0,-1,6.0
07000053,3.4,3.25,3.4,4.0,4.25,4.25,-1,-1,-1,4.17,-1
07000054,6.8,4.25,3.2,6.5,6.25,4.75,-1,-1,-1,5.83,-1
07000055,6.6,3.75,4.0,4.5,5.0,5.25,-1,-1,-1,4.92,-1
07000056,4.4,5.0,2.8,-1,-1,-1,5.75,7.25,8.25,-1,7.08
07000057,3.8,3.0,1.8,-1,-1,-1,5.75,4.75,7.75,-1,6.08
07000058,4.8,5.75,4.6,4.25,5.25,6.5,-1,-1,-1,5.33,-1
07000059,4.4,6.5,3.2,-1,-1,-1,8.25,8.5,9.5,-1,8.75
07000060,6.2,5.0,4.0,5.25,5.75,4.0,-1,-1,-1,5.0,-1
07000061,2.0,4.25,2.2,-1,-1,-1,4.75,7.5,6.75,-1,6.33
07000062,4.8,3.5,4.4,5.0,5.25,4.25,-1,-1,-1,4.83,-1
07000063,4.8,2.25,3.2,-1,-1,-1,5.5,5.25,7.5,-1,6.08
07000064,6.2,5.25,4.4,6.5,7.0,5.0,-1,-1,-1,6.17,-1
07000065,5.0,3.5,2.6,-1,-1,-1,4.25,8.0,7.5,-1,6.58
07000066,6.4,5.25,3.0,6.25,6.0,4.0,-1,-1,-1,5.42,-1
07000067,4.0,3.25,3.6,-1,-1,-1,4.0,5.75,7.0,-1,5.58
07000068,2.8,6.0,2.6,-1,-1,-1,4.25,6.0,7.5,-1,5.92
07000069,2.2,4.0,3.0,-1,-1,-1,3.25,3.75,7.75,-1,4.92
07000070,5.8,5.75,3.8,4.5,5.5,6.0,-1,-1,-1,5.33,-1
07000071,4.6,5.25,3.8,-1,-1,-1,8.0,7.5,9.5,-1,8.33
07000072,5.6,4.75,3.8,4.75,7.0,4.0,-1,-1,-1,5.25,-1
07000073,4.8,6.0,4.6,2.25,4.25,5.0,-1,-1,-1,3.83,-1
07000074,7.8,6.75,2.8,7.0,6.75,4.0,-1,-1,-1,5.92,-1
07000075,2.2,4.25,2.0,-1,-1,-1,4.25,7.25,6.5,-1,6.0
07000076,3.4,5.5,3.0,-1,-1,-1,5.25,8.25,8.0,-1,7.17
07000077,3.4,4.75,3.0,-1,-1,-1,3.75,5.75,5.0,-1,4.83
07000078,2.4,3.25,2.0,3.25,3.0,3.5,-1,-1,-1,3.25,-1
07000079,7.0,4.5,5.4,5.75,6.0,3.5,-1,-1,-1,5.08,-1
07000080,2.6,4.0,2.6,1.75,5.5,5.0,-1,-1,-1,4.08,-1
07000081,3.8,4.25,4.2,-1,-1,-1,6.0,7.5,8.0,-1,7.17
07000082,6.0,3.75,4.0,6.75,6.0,4.75,-1,-1,-1,5.83,-1
07000083,7.8,4.25,3.0,7.5,8.25,2.5,-1,-1,-1,6.08,-1
07000084,5.0,5.25,3.4,5.25,5.5,5.25,-1,-1,-1,5.33,-1
07000085,4.2,3.75,2.4,-1,-1,-1,6.5,6.25,8.0,-1,6.92
07000086,3.2,2.75,3.0,-1,-1,-1,4.5,6.5,7.5,-1,6.17
07000087,3.0,7.0,2.8,-1,-1,-1,6.5,7.0,8.75,-1,7.42
07000088,3.4,7.0,4.2,-1,-1,-1,8.25,8.0,9.25,-1,8.5
07000089,2.8,3.0,4.4,-1,-1,-1,4.25,5.25,8.0,-1,5.83
07000090,4.8,8.5,2.0,-1,-1,-1,9.25,8.5,9.5,-1,9.08
07000091,8.4,5.0,7.8,8.0,5.0,4.0,-1,-1,-1,5.67,-1
07000092,4.6,4.25,3.6,5.5,4.0,4.0,-1,-1,-1,4.5,-1
07000093,4.2,5.75,3.6,-1,-1,-1,5.25,4.5,6.5,-1,5.42
07000094,6.2,3.75,3.8,5.0,4.75,6.0,-1,-1,-1,5.25,-1
07000095,8.0,4.5,2.2,8.25,6.5,4.0,-1,-1,-1,6.25,-1
07000096,2.4,5.0,2.8,-1,-1,-1,3.75,6.75,8.0,-1,6.17
07000097,5.2,4.25,3.4,-1,-1,-1,5.5,7.75,8.5,-1,7.25
07000098,2.0,2.75,2.4,-1,-1,-1,4.25,6.0,5.25,-1,5.17
07000099,5.4,4.75,5.0,5.0,5.25,5.25,-1,-1,-1,5.17,-1
07000100,5.8,6.25,4.2,7.25,6.5,6.5,-1,-1,-1,6.75,-1
07000101,7.4,3.25,4.0,8.0,8.5,4.5,-1,-1,-1,7.0,-1
07000102,6.8,4.0,4.2,5.25,6.5,2.75,-1,-1,-1,4.83,-1
07000103,3.8,3.25,4.0,-1,-1,-1,4.25,8.5,8.0,-1,6.92
07000104,8.6,4.25,4.6,6.75,6.0,4.5,-1,-1,-1,5.75,-1
07000105,6.2,4.0,4.0,5.0,3.75,4.0,-1,-1,-1,4.25,-1
07000106,2.8,3.75,2.4,-1,-1,-1,3.5,5.5,6.5,-1,5.17
07000107,6.2,5.5,6.2,6.0,7.25,5.0,-1,-1,-1,6.08,-1
07000108,7.2,5.25,4.0,7.5,7.5,5.0,-1,-1,-1,6.67,-1
07000109,7.4,6.5,4.2,5.5,4.75,7.0,-1,-1,-1,5.75,-1
07000110,8.0,5.0,7.4,7.5,3.75,5.25,-1,-1,-1,5.5,-1
07000111,3.4,3.75,2.6,-1,-1,-1,3.25,7.75,5.25,-1,5.42
07000112,4.6,4.5,3.2,4.25,5.0,3.75,-1,-1,-1,4.33,-1
07000113,6.8,3.75,3.0,5.5,6.5,5.75,-1,-1,-1,5.92,-1
07000114,4.4,6.0,3.0,-1,-1,-1,6.0,6.5,8.75,-1,7.08
07000115,6.0,4.5,3.8,5.5,4.75,3.75,-1,-1,-1,4.67,-1
07000116,6.4,5.25,6.0,7.0,7.5,5.25,-1,-1,-1,6.58,-1
