SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
08000001,3.0,6.25,3.6,-1,-1,-1,3.25,3.75,8.75,-1,5.25
08000002,4.6,5.5,2.6,5.75,2.75,4.5,-1,-1,-1,4.33,-1
08000003,2.6,5.5,3.4,-1,-1,-1,3.25,6.75,7.75,-1,5.92
08000004,4.4,5.25,4.6,-1,-1,-1,4.25,7.25,8.5,-1,6.67
08000005,2.4,4.0,1.8,2.75,2.0,3.25,-1,-1,-1,2.67,-1
08000006,5.4,5.0,3.2,-1,-1,-1,3.75,5.75,7.75,-1,5.75
08000007,4.6,7.75,3.0,5.25,5.0,5.0,-1,-1,-1,5.08,-1
08000008,5.4,6.75,4.4,4.25,4.0,6.25,-1,-1,-1,4.83,-1
08000009,4.4,4.0,3.2,-1,-1,-1,2.75,5.75,7.25,-1,5.25
08000010,3.0,4.25,2.8,-1,-1,-1,4.75,7.0,7.75,-1,6.5
08000011,4.0,5.0,3.0,-1,-1,-1,5.5,8.0,7.75,-1,7.08
08000012,6.0,5.0,3.4,-1,-1,-1,5.25,7.25,9.0,-1,7.17
08000013,5.6,5.5,4.0,-1,-1,-1,5.25,8.0,8.5,-1,7.25
08000014,5.4,5.5,4.8,4.0,5.75,6.0,-1,-1,-1,5.25,-1
08000015,5.6,6.25,3.0,-1,-1,-1,6.5,8.5,8.75,-1,7.92
08000016,4.8,7.0,4.0,6.5,5.5,6.0,-1,-1,-1,6.0,-1
08000017,2.0,3.0,2.0,-1,-1,-1,3.25,4.25,6.0,-1,4.5
08000018,4.6,4.5,3.0,-1,-1,-1,4.25,7.5,7.75,-1,6.5
08000019,3.6,6.25,3.4,-1,-1,-1,3.0,6.0,9.0,-1,6.0
08000020,4.0,7.0,2.2,-1,-1,-1,3.25,4.75,7.75,-1,5.25
08000021,4.6,7.5,-1,-1,-1,-1,8.0,9.0,9.0,-1,8.67
08000022,4.8,6.25,5.2,4.5,2.5,4.75,-1,-1,-1,3.92,-1
08000023,6.2,6.5,5.0,4.0,5.5,8.0,-1,-1,-1,5.83,-1
08000024,3.6,5.5,5.0,4.5,3.25,4.25,-1,-1,-1,4.0,-1
08000025,4.0,4.0,2.0,-1,-1,-1,5.75,7.5,9.0,-1,7.42
08000026,6.6,4.0,3.0,3.5,4.25,4.75,-1,-1,-1,4.17,-1
08000027,4.2,5.5,2.6,5.5,3.0,5.25,-1,-1,-1,4.58,-1
08000028,7.0,4.75,2.6,3.0,4.75,6.5,-1,-1,-1,4.75,-1
08000029,8.8,5.25,5.4,6.5,6.5,6.0,-1,-1,-1,6.33,-1
08000030,1.8,3.5,2.6,-1,-1,-1,4.0,5.0,7.25,-1,5.42
08000031,2.4,4.75,2.6,2.25,2.5,3.5,-1,-1,-1,2.75,-1
08000032,4.0,4.25,4.0,3.25,3.5,4.25,-1,-1,-1,3.67,-1
08000033,5.6,7.0,3.2,-1,-1,-1,6.75,8.5,8.75,-1,8.0
08000034,4.0,4.25,2.6,2.5,2.25,3.0,4.75,7.5,9.25,2.58,7.17
08000035,3.6,6.75,2.6,-1,-1,-1,4.25,6.5,9.0,-1,6.58
08000036,4.6,3.0,1.6,-1,-1,-1,5.25,7.25,9.0,-1,7.17
08000037,6.8,7.25,3.2,5.5,7.0,5.0,-1,-1,-1,5.83,-1
08000038,2.6,4.5,4.4,-1,-1,-1,3.5,5.75,7.5,-1,5.58
08000039,7.4,5.5,3.8,6.5,5.5,3.5,-1,-1,-1,5.17,-1
08000040,3.6,6.25,3.0,-1,-1,-1,4.75,8.75,9.5,-1,7.67
08000041,3.8,5.5,3.6,-1,-1,-1,3.5,5.75,8.5,-1,5.92
08000042,3.6,5.0,-1,-1,-1,-1,6.0,6.75,9.0,-1,7.25
08000043,3.0,4.75,-1,-1,-1,-1,3.5,4.75,8.5,-1,5.58
08000044,3.4,5.0,2.8,-1,-1,-1,4.5,6.75,8.25,-1,6.5
08000045,4.2,5.75,4.8,4.75,4.5,6.25,-1,-1,-1,5.17,-1
08000046,5.6,5.5,3.8,4.5,4.75,5.25,-1,-1,-1,4.83,-1
08000047,5.2,6.5,3.6,4.25,3.5,5.5,4.75,6.0,9.0,4.42,6.58
08000048,3.6,5.25,-1,-1,-1,-1,5.0,6.25,8.75,-1,6.67
08000049,3.4,5.0,3.2,-1,-1,-1,3.75,5.75,7.75,-1,5.75
08000050,7.4,5.75,3.6,8.0,8.25,3.25,-1,-1,-1,6.5,-1
08000051,3.6,4.75,3.0,-1,-1,-1,2.75,5.75,7.0,-1,5.17
08000052,6.2,6.75,4.0,5.75,6.25,5.25,-1,-1,-1,5.75,-1
08000053,3.0,6.25,2.6,-1,-1,-1,3.75,6.25,7.75,-1,5.92
08000054,8.8,6.75,4.2,7.0,7.5,6.25,-1,-1,-1,6.92,-1
08000055,4.2,5.75,3.8,-1,-1,-1,4.5,7.0,6.5,-1,6.0
08000056,6.2,7.0,4.4,5.5,7.0,7.75,-1,-1,-1,6.75,-1
08000057,9.4,7.25,7.6,9.0,9.25,8.0,-1,-1,-1,8.75,-1
08000058,8.2,5.5,3.0,3.25,7.25,6.5,-1,-1,-1,5.67,-1
08000059,3.6,5.0,3.0,-1,-1,-1,2.75,6.5,9.25,-1,6.17
08000060,2.8,4.75,2.6,4.5,2.25,3.0,3.25,6.25,5.75,3.25,5.08
08000061,3.6,5.25,3.2,-1,-1,-1,2.5,4.5,6.75,-1,4.58
08000062,3.6,3.75,3.0,4.25,2.25,3.0,-1,-1,-1,3.17,-1
08000063,4.4,5.0,3.2,3.25,3.0,6.0,4.25,7.25,8.25,4.08,6.58
08000064,3.6,6.5,3.8,-1,-1,-1,4.75,7.0,8.5,-1,6.75
08000065,3.4,3.25,2.0,3.75,3.0,4.25,4.0,6.25,8.5,3.67,6.25
08000066,3.8,3.75,3.8,-1,-1,-1,4.5,4.25,8.5,-1,5.75
08000067,2.4,3.25,3.8,-1,-1,-1,2.25,4.0,5.75,-1,4.0
08000068,5.4,4.25,3.0,5.0,5.25,4.75,-1,-1,-1,5.0,-1
08000069,3.4,3.0,3.6,-1,-1,-1,3.5,3.0,6.75,-1,4.42
08000070,3.6,6.25,1.6,-1,-1,-1,5.75,8.25,9.0,-1,7.67
08000071,6.6,5.0,3.4,4.75,4.75,4.25,-1,-1,-1,4.58,-1
08000072,6.0,4.25,2.4,-1,-1,-1,7.25,8.25,9.0,-1,8.17
08000073,5.8,8.0,4.2,-1,-1,-1,9.5,9.25,9.75,-1,9.5
08000074,2.6,5.25,3.6,3.75,3.0,4.25,-1,-1,-1,3.67,-1
08000075,3.4,5.0,2.8,-1,-1,-1,5.75,8.25,7.5,-1,7.17
08000076,6.4,6.0,-1,5.75,5.5,5.75,-1,-1,-1,5.67,-1
08000077,2.2,4.0,3.4,-1,-1,-1,5.0,6.75,8.25,-1,6.67
08000078,6.8,4.75,4.6,7.25,7.75,4.25,-1,-1,-1,6.42,-1
08000079,2.8,4.75,4.2,-1,-1,-1,4.0,6.25,7.25,-1,5.83
08000080,3.2,4.75,3.8,3.5,2.25,5.25,5.0,7.75,7.75,3.67,6.83
08000081,9.4,5.0,5.4,8.5,9.0,5.0,-1,-1,-1,7.5,-1
08000082,3.8,4.5,2.2,-1,-1,-1,4.0,7.5,8.25,-1,6.58
08000083,9.0,4.75,6.6,9.0,8.5,1.75,-1,-1,-1,6.42,-1
08000084,3.4,5.25,3.6,-1,-1,-1,6.5,7.5,8.5,-1,7.5
08000085,8.6,5.0,5.8,7.5,9.75,6.25,-1,-1,-1,7.83,-1
08000086,5.4,3.25,2.6,3.25,6.75,4.5,-1,-1,-1,4.83,-1
08000087,5.6,4.5,3.0,-1,-1,-1,3.0,7.5,8.75,-1,6.42
08000088,4.8,5.5,-1,-1,-1,-1,6.75,7.5,8.5,-1,7.58
08000089,5.4,8.25,5.8,-1,-1,-1,7.25,8.0,8.75,-1,8.0
08000090,3.4,5.0,3.0,-1,-1,-1,6.0,7.5,9.0,-1,7.5
08000091,4.0,6.0,3.6,-1,-1,-1,5.0,6.75,9.25,-1,7.0
08000092,5.4,7.0,5.4,5.75,6.25,6.5,-1,-1,-1,6.17,-1
08000093,4.2,6.0,3.2,-1,-1,-1,4.5,6.5,9.25,-1,6.75
08000094,3.0,6.25,2.4,-1,-1,-1,7.25,7.25,9.25,-1,7.92
08000095,5.8,6.0,3.6,-1,-1,-1,7.25,7.75,8.5,-1,7.83
08000096,6.8,5.5,2.8,3.5,4.25,4.25,-1,-1,-1,4.0,-1
08000097,6.2,7.0,4.8,4.25,5.0,6.0,-1,-1,-1,5.08,-1
08000098,4.2,6.5,2.8,-1,-1,-1,4.75,7.25,7.75,-1,6.58
08000099,3.6,5.25,4.4,2.75,2.5,2.75,-1,-1,-1,2.67,-1
08000100,4.4,6.25,-1,-1,-1,-1,7.5,8.5,8.75,-1,8.25
08000101,3.4,4.75,4.0,-1,-1,-1,3.75,6.5,8.0,-1,6.08
08000102,5.4,5.25,3.0,5.25,5.5,5.75,-1,-1,-1,5.5,-1
