SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
09000001,4.0,7.75,2.6,-1,-1,-1,8.0,9.25,8.5,-1,8.58
09000002,4.4,5.0,3.2,-1,-1,-1,4.0,5.0,4.5,-1,4.5
09000003,5.4,8.0,3.0,3.75,3.5,4.25,7.75,6.0,8.5,3.83,7.42
09000004,8.0,8.0,2.8,5.75,6.75,6.0,-1,-1,-1,6.17,-1
09000005,4.6,8.25,3.4,-1,-1,-1,8.25,8.0,9.0,-1,8.42
09000006,7.6,6.75,1.6,-1,-1,-1,6.75,8.25,8.5,-1,7.83
09000007,4.8,8.75,3.4,-1,-1,-1,7.75,9.5,8.5,-1,8.58
09000008,6.2,6.25,3.0,4.25,4.75,3.25,4.25,7.25,9.0,4.08,6.83
09000009,5.0,7.0,3.8,-1,-1,-1,6.75,5.75,7.25,-1,6.58
09000010,6.4,8.25,5.2,5.5,6.25,7.25,-1,-1,-1,6.33,-1
09000011,3.4,5.75,3.2,-1,-1,-1,7.0,6.75,8.5,-1,7.42
09000012,4.4,7.5,4.4,-1,-1,-1,8.0,8.5,7.75,-1,8.08
09000013,7.0,7.75,4.6,6.25,7.5,6.5,6.25,7.25,7.25,6.75,6.92
09000014,6.0,7.5,4.4,-1,-1,-1,9.5,9.25,9.5,-1,9.42
09000015,3.8,6.5,3.4,-1,-1,-1,8.0,8.75,8.25,-1,8.33
09000016,6.2,8.25,3.2,-1,-1,-1,9.5,9.75,9.25,-1,9.5
09000017,7.8,7.0,3.6,5.75,8.0,8.0,-1,-1,-1,7.25,-1
09000018,4.8,8.0,3.0,-1,-1,-1,4.75,7.75,8.5,-1,7.0
09000019,4.4,7.0,4.2,-1,-1,-1,4.75,5.25,6.5,-1,5.5
09000020,4.6,8.0,3.8,-1,-1,-1,6.5,7.25,9.0,-1,7.58
09000021,5.8,8.0,3.8,-1,-1,-1,7.5,7.5,8.75,-1,7.92
09000022,4.2,7.25,3.6,-1,-1,-1,7.0,8.5,7.5,-1,7.67
09000023,6.2,9.25,5.2,-1,-1,-1,8.75,9.0,8.75,-1,8.83
09000024,4.6,8.25,2.6,3.0,3.75,2.75,8.0,7.5,7.5,3.17,7.67
09000025,6.2,8.25,4.0,-1,-1,-1,7.5,8.5,9.0,-1,8.33
09000026,6.2,6.25,3.2,5.5,5.25,4.75,-1,-1,-1,5.17,-1
09000027,2.6,6.5,3.0,-1,-1,-1,3.25,6.75,6.5,-1,5.5
09000028,5.6,8.25,4.8,3.75,5.75,5.25,-1,-1,-1,4.92,-1
09000029,6.4,7.5,6.2,-1,-1,-1,6.25,8.25,8.75,-1,7.75
09000030,6.6,6.75,3.4,6.0,7.75,5.25,4.0,6.75,6.0,6.33,5.58
09000031,6.8,7.75,3.8,6.5,6.75,3.75,-1,-1,-1,5.67,-1
09000032,4.0,6.75,4.2,-1,-1,-1,4.25,3.25,6.25,-1,4.58
09000033,6.2,8.5,5.4,-1,-1,-1,7.5,8.0,9.25,-1,8.25
09000034,4.4,8.25,3.8,-1,-1,-1,8.25,7.75,8.25,-1,8.08
09000035,3.6,6.25,4.6,-1,-1,-1,3.5,3.0,7.0,-1,4.5
09000036,3.8,6.5,3.6,-1,-1,-1,6.75,7.0,7.25,-1,7.0
09000037,5.2,6.0,4.8,5.0,6.75,5.75,-1,-1,-1,5.83,-1
09000038,7.8,7.75,4.8,5.5,3.75,6.0,-1,-1,-1,5.08,-1
09000039,3.8,6.5,4.8,-1,-1,-1,5.25,7.5,9.0,-1,7.25
09000040,8.8,6.75,3.4,7.75,8.0,6.75,-1,-1,-1,7.5,-1
09000041,7.2,8.5,4.2,6.75,7.5,5.5,-1,-1,-1,6.58,-1
09000042,5.4,8.0,2.4,-1,-1,-1,7.75,7.0,9.0,-1,7.92
09000043,4.6,8.25,4.2,-1,-1,-1,8.0,7.5,8.5,-1,8.0
09000044,4.4,8.25,2.2,-1,-1,-1,6.0,6.25,8.0,-1,6.75
09000045,6.2,8.5,7.4,-1,-1,-1,5.0,7.5,8.25,-1,6.92
09000046,7.4,8.25,4.4,7.25,6.0,5.5,5.0,7.0,8.25,6.25,6.75
09000047,3.0,5.75,2.0,-1,-1,-1,5.0,5.0,9.25,-1,6.42
09000048,4.6,8.0,4.0,-1,-1,-1,6.5,9.0,8.0,-1,7.83
09000049,5.2,6.75,5.0,5.25,4.75,5.25,6.5,6.75,7.5,5.08,6.92
09000050,5.4,8.0,3.8,-1,-1,-1,7.5,8.0,8.75,-1,8.08
09000051,4.2,6.75,5.2,-1,-1,-1,5.75,6.75,7.5,-1,6.67
09000052,3.6,7.5,4.0,-1,-1,-1,5.0,5.75,8.0,-1,6.25
09000053,5.2,8.0,3.2,-1,-1,-1,7.5,7.5,8.75,-1,7.92
09000054,5.0,6.0,4.4,-1,-1,-1,6.5,8.75,8.75,-1,8.0
