SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
11000001,1.8,3.5,3.0,-1,-1,-1,3.75,5.0,7.75,-1,5.5
11000002,2.8,3.75,3.4,-1,-1,-1,3.75,3.5,7.25,-1,4.83
11000003,3.4,8.0,4.4,-1,-1,-1,5.25,7.75,9.0,-1,7.33
11000004,3.8,6.0,3.4,-1,-1,-1,3.5,5.5,9.25,-1,6.08
11000005,3.6,7.5,3.2,-1,-1,-1,4.25,5.5,8.75,-1,6.17
11000006,4.0,5.5,4.0,-1,-1,-1,3.75,6.25,8.5,-1,6.17
11000007,3.6,4.25,2.0,-1,-1,-1,2.75,5.25,8.25,-1,5.42
11000008,2.2,3.0,2.4,-1,-1,-1,2.75,4.0,5.5,-1,4.08
11000009,4.8,5.0,4.2,-1,-1,-1,7.0,8.25,9.25,-1,8.17
11000010,4.2,5.75,2.4,-1,-1,-1,3.5,7.25,6.5,-1,5.75
11000011,2.8,5.0,3.4,-1,-1,-1,3.0,3.75,7.75,-1,4.83
11000012,3.0,4.0,4.0,-1,-1,-1,3.5,7.0,7.5,-1,6.0
11000013,2.6,3.75,2.2,-1,-1,-1,3.0,5.0,7.0,-1,5.0
11000014,2.2,7.0,3.6,-1,-1,-1,3.75,6.75,7.75,-1,6.08
11000015,2.8,7.0,1.8,-1,-1,-1,3.0,5.0,7.5,-1,5.17
11000016,6.2,8.5,5.6,6.0,8.0,8.0,-1,-1,-1,7.33,-1
11000017,2.8,4.0,-1,-1,-1,-1,2.75,5.5,-1,-1,-1
11000018,5.0,6.75,1.2,-1,-1,-1,5.0,6.5,9.25,-1,6.92
11000019,3.0,7.0,4.2,-1,-1,-1,3.75,6.25,8.5,-1,6.17
11000020,2.8,4.5,1.8,-1,-1,-1,-1,-1,8.5,-1,-1
11000021,3.2,7.5,3.8,-1,-1,-1,4.25,5.75,7.75,-1,5.92
11000022,3.4,6.75,-1,-1,2.75,3.25,6.5,7.0,-1,-1,-1
11000023,3.6,6.0,3.6,-1,-1,-1,5.0,6.0,8.75,-1,6.58
11000024,3.6,6.75,3.8,-1,-1,-1,4.5,6.75,8.5,-1,6.58
11000025,4.2,4.75,3.6,-1,-1,-1,5.25,7.5,9.0,-1,7.25
11000026,3.4,3.75,-1,-1,-1,-1,6.25,7.25,-1,-1,-1
11000027,2.8,6.25,3.8,-1,-1,-1,5.25,6.5,7.75,-1,6.5
11000028,2.8,7.75,2.6,-1,-1,-1,4.25,4.5,6.75,-1,5.17
11000029,3.4,7.0,3.8,-1,-1,-1,5.5,8.25,9.0,-1,7.58
11000030,3.6,6.25,3.0,-1,-1,-1,5.0,6.25,9.25,-1,6.83
