SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
12000001,7.6,6.0,4.4,4.25,7.75,6.5,-1,-1,-1,6.17,-1
12000002,7.0,7.0,7.8,-1,-1,-1,8.0,8.75,9.25,-1,8.67
12000003,4.0,6.75,4.4,-1,-1,-1,7.0,8.25,7.0,-1,7.42
12000004,7.0,7.0,4.6,6.5,5.25,5.0,-1,-1,-1,5.58,-1
12000005,6.0,8.0,5.8,-1,-1,-1,9.75,9.5,9.0,-1,9.42
12000006,6.2,7.0,6.4,5.75,3.0,4.75,5.75,8.5,9.0,4.5,7.75
12000007,5.2,7.0,5.0,-1,-1,-1,6.75,7.5,7.5,-1,7.25
12000008,6.4,6.5,3.8,5.5,6.0,4.25,-1,-1,-1,5.25,-1
12000009,9.2,5.5,3.6,6.75,8.5,3.75,-1,-1,-1,6.33,-1
12000010,5.2,7.0,5.4,4.75,2.25,3.75,-1,-1,-1,3.58,-1
12000011,6.2,6.5,4.6,4.25,6.5,5.75,-1,-1,-1,5.5,-1
12000012,7.4,7.5,2.8,7.75,5.25,5.25,-1,-1,-1,6.08,-1
12000013,5.4,7.0,5.2,-1,-1,-1,6.5,7.75,9.0,-1,7.75
12000014,6.6,7.25,3.2,5.25,3.0,4.75,-1,-1,-1,4.33,-1
12000015,3.0,6.75,2.8,-1,-1,-1,5.5,8.0,7.75,-1,7.08
12000016,5.2,6.5,6.4,-1,-1,-1,6.75,6.75,8.5,-1,7.33
12000017,8.6,6.0,3.6,6.25,7.0,5.5,-1,-1,-1,6.25,-1
12000018,6.4,6.0,3.6,7.0,6.0,7.25,-1,-1,-1,6.75,-1
12000019,7.6,6.25,4.6,7.0,5.5,5.0,-1,-1,-1,5.83,-1
12000020,8.8,5.75,4.6,8.0,8.25,6.25,-1,-1,-1,7.5,-1
12000021,7.4,6.75,6.0,5.75,8.0,8.25,-1,-1,-1,7.33,-1
12000022,2.8,7.5,3.2,-1,-1,-1,6.0,6.25,9.0,-1,7.08
12000023,7.8,8.0,5.4,-1,-1,-1,8.0,8.25,8.75,-1,8.33
12000024,2.6,7.0,3.6,-1,-1,-1,9.0,9.5,8.0,-1,8.83
12000025,7.2,7.75,9.0,7.25,4.0,6.25,-1,-1,-1,5.83,-1
12000026,8.8,5.25,4.8,8.75,9.0,6.0,-1,-1,-1,7.92,-1
12000027,7.2,6.5,4.6,7.25,8.5,6.5,-1,-1,-1,7.42,-1
12000028,6.2,6.75,2.6,-1,-1,-1,5.25,7.25,9.25,-1,7.25
12000029,5.0,6.5,3.0,-1,-1,-1,4.25,4.5,7.25,-1,5.33
12000030,5.8,7.0,5.0,-1,-1,-1,7.75,7.25,8.5,-1,7.83
12000031,4.6,7.75,3.6,-1,-1,-1,8.0,7.75,7.75,-1,7.83
12000032,8.8,7.0,2.6,4.0,8.75,8.0,-1,-1,-1,6.92,-1
12000033,7.4,6.25,3.8,6.25,5.75,5.75,-1,-1,-1,5.92,-1
12000034,7.6,8.0,6.6,7.0,7.5,5.25,-1,-1,-1,6.58,-1
12000035,5.0,5.25,3.2,-1,-1,-1,5.5,4.75,6.5,-1,5.58
12000036,7.8,5.25,3.4,5.75,8.5,7.75,-1,-1,-1,7.33,-1
12000037,7.8,6.0,6.4,-1,-1,-1,6.5,7.75,7.5,-1,7.25
12000038,8.2,6.75,3.6,5.25,7.25,8.25,-1,-1,-1,6.92,-1
12000039,8.6,7.5,3.0,7.0,8.25,9.0,-1,-1,-1,8.08,-1
12000040,8.4,6.5,5.8,5.25,8.5,7.5,-1,-1,-1,7.08,-1
12000041,6.6,7.0,4.4,-1,-1,-1,6.75,9.0,8.25,-1,8.0
12000042,5.8,6.5,2.4,4.25,4.5,5.5,-1,-1,-1,4.75,-1
12000043,5.0,7.0,3.8,-1,-1,-1,9.0,9.0,7.75,-1,8.58
12000044,8.2,6.5,4.4,7.0,7.0,5.25,-1,-1,-1,6.42,-1
12000045,5.8,6.0,6.6,5.25,3.25,3.25,-1,-1,-1,3.92,-1
12000046,5.6,8.0,5.6,-1,-1,-1,7.75,8.0,9.25,-1,8.33
12000047,8.2,7.25,6.4,7.25,7.25,7.25,-1,-1,-1,7.25,-1
12000048,7.4,6.75,4.6,7.25,5.75,5.0,-1,-1,-1,6.0,-1
12000049,6.8,8.0,6.8,7.75,4.25,5.25,-1,-1,-1,5.75,-1
