SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
13000001,7.5,7.0,4.75,8.25,8.0,3.5,-1,-1,-1,6.58,-1
13000002,7.0,6.75,3.5,4.5,7.5,7.0,-1,-1,-1,6.33,-1
13000003,8.5,7.0,5.0,7.25,8.75,3.5,-1,-1,-1,6.5,-1
13000004,9.25,7.0,8.0,8.0,5.25,5.0,-1,-1,-1,6.08,-1
13000005,7.0,7.5,9.75,-1,-1,-1,4.25,6.75,8.0,-1,6.33
13000006,8.5,6.75,8.75,7.75,8.0,4.0,-1,-1,-1,6.58,-1
13000007,8.0,4.25,8.5,7.5,4.0,3.0,-1,-1,-1,4.83,-1
13000008,8.5,6.25,5.5,6.75,8.5,4.25,-1,-1,-1,6.5,-1
13000009,6.5,7.75,8.75,-1,-1,-1,5.75,6.25,8.5,-1,6.83
13000010,8.75,5.5,2.5,8.75,6.25,3.75,-1,-1,-1,6.25,-1
13000011,9.5,7.25,7.25,9.0,9.5,5.75,-1,-1,-1,8.08,-1
13000012,8.5,6.5,5.25,6.75,8.5,3.0,-1,-1,-1,6.08,-1
13000013,8.5,8.5,-1,-1,-1,-1,5.75,5.75,8.75,-1,6.75
13000014,8.25,7.0,9.5,9.5,7.25,5.25,-1,-1,-1,7.33,-1
13000015,8.75,4.0,9.25,8.75,4.25,5.0,-1,-1,-1,6.0,-1
13000016,6.5,5.25,5.75,6.0,7.5,4.25,-1,-1,-1,5.92,-1
13000017,8.0,5.5,5.5,4.75,9.5,8.25,-1,-1,-1,7.5,-1
13000018,8.5,9.0,9.75,-1,-1,-1,5.75,6.25,9.25,-1,7.08
13000019,8.0,6.0,5.5,9.25,7.25,4.25,-1,-1,-1,6.92,-1
13000020,7.25,8.5,9.5,-1,-1,-1,6.25,6.75,8.0,-1,7.0
13000021,7.0,7.5,9.0,5.0,3.75,3.5,5.5,7.25,7.75,4.08,6.83
13000022,5.25,6.5,5.5,5.75,7.5,6.75,-1,-1,-1,6.67,-1
13000023,9.25,4.25,7.25,9.25,9.25,3.25,-1,-1,-1,7.25,-1
13000024,8.5,7.5,3.5,7.25,8.5,4.5,-1,-1,-1,6.75,-1
13000025,8.25,4.0,6.0,8.5,9.0,3.5,-1,-1,-1,7.0,-1
13000026,5.0,7.0,4.0,7.25,6.75,2.25,3.25,4.75,8.25,5.42,5.42
13000027,8.25,5.75,5.5,6.25,8.0,3.25,-1,-1,-1,5.83,-1
13000028,9.0,4.25,7.5,8.25,-1,3.0,-1,-1,-1,7.08,-1
13000029,6.75,3.5,8.0,6.25,4.25,4.0,-1,-1,-1,4.83,-1
13000030,9.5,7.5,8.0,8.5,9.25,4.0,-1,-1,-1,7.25,-1
13000031,6.25,8.5,6.5,-1,-1,-1,8.25,8.75,8.0,-1,8.33
