SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
14000001,3.6,5.5,-1,-1,-1,-1,5.75,7.5,-1,-1,-1
14000002,3.6,5.5,-1,-1,-1,-1,5.5,7.5,-1,-1,-1
14000003,3.6,6.0,-1,-1,-1,-1,2.75,4.75,-1,-1,-1
14000004,2.4,4.0,-1,-1,-1,-1,4.5,3.0,-1,-1,-1
14000005,4.2,5.5,-1,-1,-1,-1,4.75,4.5,-1,-1,-1
14000006,3.4,5.25,-1,-1,-1,-1,4.25,5.75,-1,-1,-1
14000007,2.2,5.5,-1,-1,-1,-1,3.5,5.0,-1,-1,-1
14000008,5.0,6.0,-1,-1,-1,-1,3.5,3.5,-1,-1,-1
14000009,3.2,6.0,-1,-1,-1,-1,3.0,2.5,-1,-1,-1
14000010,4.0,6.75,-1,-1,-1,-1,4.75,5.5,-1,-1,-1
14000011,3.6,6.5,-1,-1,-1,-1,4.75,3.75,-1,-1,-1
14000012,2.6,6.5,-1,-1,-1,-1,2.0,2.5,-1,-1,-1
14000013,2.0,5.25,-1,-1,-1,-1,2.0,3.25,-1,-1,-1
14000014,3.6,7.0,-1,-1,-1,-1,5.0,7.5,-1,-1,-1
14000015,2.6,6.0,-1,-1,-1,-1,4.0,6.25,-1,-1,-1
14000016,3.8,5.25,-1,-1,-1,-1,3.25,3.75,-1,-1,-1
14000017,3.8,6.0,-1,-1,-1,-1,3.25,5.75,-1,-1,-1
14000018,5.0,5.0,-1,-1,-1,-1,4.5,5.0,-1,-1,-1
14000019,3.0,5.75,-1,-1,-1,-1,3.0,4.5,-1,-1,-1
14000020,5.4,4.0,-1,-1,-1,-1,5.0,4.75,-1,-1,-1
14000021,3.4,4.25,-1,-1,-1,-1,4.0,5.25,-1,-1,-1
14000022,4.4,5.25,-1,-1,-1,-1,4.25,5.0,-1,-1,-1
14000023,4.2,6.0,-1,-1,-1,-1,3.25,3.5,-1,-1,-1
14000024,3.0,5.0,-1,-1,-1,-1,4.75,2.75,-1,-1,-1
14000025,2.4,5.5,-1,-1,-1,-1,4.0,7.0,-1,-1,-1
14000026,2.2,5.0,-1,-1,-1,-1,2.75,2.5,-1,-1,-1
14000027,2.4,6.0,-1,-1,-1,-1,5.0,5.0,-1,-1,-1
