SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
18000001,3.8,5.0,3.6,-1,-1,-1,4.75,7.5,9.25,-1,7.17
18000002,3.6,5.25,4.2,-1,-1,-1,4.25,4.75,8.5,-1,5.83
18000003,2.2,6.0,2.6,-1,-1,-1,6.5,6.25,8.75,-1,7.17
18000004,2.6,5.25,3.6,-1,-1,-1,7.5,7.75,8.5,-1,7.92
18000005,3.2,5.75,3.4,-1,-1,-1,3.5,5.75,7.25,-1,5.5
18000006,5.0,5.25,3.8,-1,-1,-1,9.5,9.25,7.5,-1,8.75
18000007,7.4,6.0,6.4,5.75,5.0,6.0,-1,-1,-1,5.58,-1
18000008,4.0,4.5,3.4,-1,-1,-1,3.5,5.0,8.25,-1,5.58
18000009,3.0,6.25,3.6,-1,-1,-1,5.75,6.25,8.75,-1,6.92
18000010,3.0,4.0,3.6,-1,-1,-1,5.5,7.75,5.75,-1,6.33
18000011,3.4,4.5,3.2,-1,-1,-1,4.75,5.0,8.25,-1,6.0
18000012,6.4,4.5,3.4,-1,-1,-1,6.5,8.0,8.0,-1,7.5
18000013,5.2,5.75,3.0,-1,-1,-1,5.5,7.25,9.0,-1,7.25
18000014,3.8,4.0,4.2,-1,-1,-1,5.5,7.25,8.25,-1,7.0
18000015,3.8,4.5,3.0,-1,-1,-1,4.0,5.75,8.5,-1,6.08
18000016,5.4,3.75,3.2,5.0,5.0,5.5,-1,-1,-1,5.17,-1
18000017,2.4,5.5,2.6,-1,-1,-1,3.5,7.0,8.0,-1,6.17
18000018,4.6,4.75,3.6,-1,-1,-1,5.25,7.5,9.25,-1,7.33
18000019,3.6,4.75,2.6,-1,-1,-1,4.5,7.0,8.0,-1,6.5
18000020,3.8,5.5,3.6,-1,-1,-1,4.25,5.75,7.25,-1,5.75
18000021,4.2,5.0,3.4,-1,-1,-1,4.0,6.0,8.5,-1,6.17
18000022,4.4,5.0,3.6,-1,-1,-1,6.5,7.0,8.75,-1,7.42
18000023,4.8,5.0,2.4,-1,-1,-1,5.25,7.5,9.0,-1,7.25
18000024,4.2,5.0,3.0,-1,-1,-1,6.75,8.5,8.75,-1,8.0
18000025,4.8,3.75,4.2,-1,-1,-1,3.0,4.5,7.25,-1,4.92
18000026,5.0,4.5,3.6,-1,-1,-1,4.25,6.0,8.25,-1,6.17
18000027,4.6,4.0,5.0,-1,-1,-1,3.5,7.25,7.75,-1,6.17
18000028,3.4,5.0,2.0,-1,-1,-1,3.25,5.0,7.5,-1,5.25
18000029,8.6,5.5,4.2,8.5,7.5,5.75,-1,-1,-1,7.25,-1
18000030,3.8,5.5,2.0,-1,-1,-1,5.25,8.5,7.5,-1,7.08
18000031,7.6,5.5,4.2,3.75,6.5,4.25,-1,-1,-1,4.83,-1
18000032,4.2,7.0,3.0,-1,-1,-1,6.25,9.25,7.75,-1,7.75
18000033,8.2,5.0,3.4,9.25,8.75,4.5,-1,-1,-1,7.5,-1
18000034,5.0,6.5,4.0,-1,-1,-1,4.0,7.0,8.25,-1,6.42
18000035,4.0,6.75,4.6,-1,-1,-1,4.75,7.0,9.0,-1,6.92
18000036,3.6,6.0,4.4,-1,-1,-1,4.25,5.25,7.75,-1,5.75
18000037,3.8,4.0,2.6,-1,-1,-1,3.0,5.75,8.25,-1,5.67
18000038,7.0,6.0,4.6,8.5,7.0,5.75,-1,-1,-1,7.08,-1
18000039,3.4,5.25,3.0,-1,-1,-1,4.75,5.75,8.5,-1,6.33
18000040,6.6,5.0,4.6,6.25,6.25,4.75,-1,-1,-1,5.75,-1
18000041,5.0,3.5,2.4,-1,-1,-1,4.75,7.25,7.0,-1,6.33
18000042,5.0,3.0,2.6,-1,-1,-1,3.0,4.75,7.75,-1,5.17
18000043,5.0,4.25,2.8,-1,-1,-1,7.0,8.75,8.75,-1,8.17
18000044,7.4,4.0,3.4,8.25,7.25,3.75,-1,-1,-1,6.42,-1
18000045,4.2,4.5,3.6,-1,-1,-1,3.5,4.5,8.0,-1,5.33
18000046,3.0,4.5,3.8,-1,-1,-1,3.5,5.0,7.75,-1,5.42
18000047,4.8,6.5,4.4,-1,-1,-1,8.75,7.0,8.75,-1,8.17
18000048,6.0,5.5,4.0,-1,-1,-1,4.0,7.0,8.25,-1,6.42
18000049,7.2,5.75,5.2,7.25,6.5,5.0,-1,-1,-1,6.25,-1
18000050,3.8,5.25,2.2,-1,-1,-1,6.75,8.5,9.75,-1,8.33
18000051,4.6,5.75,2.8,-1,-1,-1,5.25,6.25,9.0,-1,6.83
18000052,5.0,5.25,3.4,-1,-1,-1,3.5,6.25,7.75,-1,5.83
18000053,5.6,5.0,3.2,-1,-1,-1,5.25,6.25,8.5,-1,6.67
18000054,3.6,6.0,4.4,-1,-1,-1,7.25,8.75,8.5,-1,8.17
18000055,5.0,6.5,2.8,-1,-1,-1,4.25,8.25,8.75,-1,7.08
18000056,3.0,4.75,3.8,-1,-1,-1,5.0,6.75,6.75,-1,6.17
18000057,5.4,4.75,2.6,-1,-1,-1,6.0,7.75,7.75,-1,7.17
18000058,9.4,5.0,4.2,8.5,9.0,4.0,-1,-1,-1,7.17,-1
18000059,3.6,3.75,2.8,-1,-1,-1,4.25,6.75,8.75,-1,6.58
18000060,8.6,4.5,4.6,7.0,4.75,6.75,-1,-1,-1,6.17,-1
18000061,3.8,4.5,2.6,-1,-1,-1,6.75,6.5,8.75,-1,7.33
18000062,4.6,5.0,6.4,-1,-1,-1,6.75,8.0,7.25,-1,7.33
18000063,4.6,4.75,2.8,-1,-1,-1,5.25,5.0,8.5,-1,6.25
18000064,2.4,5.75,3.6,-1,-1,-1,6.5,7.5,8.25,-1,7.42
18000065,5.0,3.25,4.8,-1,-1,-1,6.75,8.5,8.75,-1,8.0
18000066,4.0,5.25,3.4,-1,-1,-1,3.75,6.5,8.5,-1,6.25
