SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
21000001,6.8,3.5,4.8,5.5,7.25,5.25,-1,-1,-1,6.0,-1
21000002,4.0,4.75,1.2,-1,-1,-1,3.75,4.75,6.75,-1,5.08
21000003,8.4,6.5,4.8,7.75,8.0,5.0,-1,-1,-1,6.92,-1
21000004,9.0,7.0,9.2,7.5,4.25,4.0,-1,-1,-1,5.25,-1
21000005,9.0,6.5,4.2,7.25,6.75,5.0,4.75,6.75,7.25,6.33,6.25
21000006,8.0,8.0,5.8,-1,-1,-1,6.0,8.25,9.5,-1,7.92
21000007,6.4,5.5,4.6,5.75,6.5,6.0,-1,-1,-1,6.08,-1
21000008,6.0,4.25,3.6,-1,-1,-1,4.25,4.25,7.5,-1,5.33
21000009,8.6,8.25,7.4,7.25,5.25,5.25,6.0,8.25,8.25,5.92,7.5
21000010,4.6,4.5,2.8,-1,-1,-1,4.0,7.25,8.0,-1,6.42
21000011,7.6,5.0,3.8,7.0,6.5,5.75,-1,-1,-1,6.42,-1
21000012,4.4,7.0,2.0,-1,-1,-1,3.25,4.75,7.25,-1,5.08
21000013,3.8,6.25,2.4,3.75,3.75,2.75,6.0,7.5,9.0,3.42,7.5
21000014,4.2,6.75,5.8,-1,-1,-1,4.5,6.5,8.75,-1,6.58
21000015,5.4,5.0,3.0,-1,-1,-1,5.25,8.75,9.25,-1,7.75
21000016,5.2,6.75,4.2,-1,-1,-1,3.0,5.75,7.25,-1,5.33
21000017,8.4,5.75,7.8,6.5,5.5,6.0,-1,-1,-1,6.0,-1
21000018,3.2,4.0,5.0,-1,-1,-1,5.25,7.0,7.5,-1,6.58
21000019,4.2,6.75,2.4,-1,-1,-1,4.5,7.0,8.5,-1,6.67
21000020,7.4,7.75,6.2,-1,-1,-1,5.25,6.5,9.25,-1,7.0
21000021,9.2,7.5,4.4,6.25,9.25,9.25,-1,-1,-1,8.25,-1
21000022,6.8,6.0,3.6,6.75,7.0,5.5,-1,-1,-1,6.42,-1
21000023,7.0,7.25,8.4,7.5,6.25,4.5,-1,-1,-1,6.08,-1
21000024,5.6,8.0,3.8,3.0,2.75,1.75,4.25,6.25,7.25,2.5,5.92
21000025,8.2,7.5,6.0,7.0,8.25,3.5,-1,-1,-1,6.25,-1
21000026,4.6,7.0,3.6,-1,-1,-1,2.5,7.0,9.0,-1,6.17
21000027,4.2,6.5,3.4,-1,-1,-1,2.75,4.5,7.0,-1,4.75
21000028,2.4,3.25,2.8,-1,-1,-1,3.75,5.0,7.0,-1,5.25
21000029,5.2,4.25,4.6,4.75,4.0,3.25,-1,-1,-1,4.0,-1
21000030,9.8,4.5,3.6,9.25,9.5,6.25,-1,-1,-1,8.33,-1
21000031,8.0,4.75,3.0,7.25,6.25,4.25,-1,-1,-1,5.92,-1
21000032,4.8,5.0,3.2,4.75,4.75,5.0,-1,-1,-1,4.83,-1
21000033,7.2,7.0,6.4,6.0,3.25,5.25,-1,-1,-1,4.83,-1
21000034,4.2,5.0,3.8,-1,-1,-1,5.75,6.5,8.75,-1,7.0
21000035,5.6,6.0,4.0,-1,-1,-1,4.5,6.5,9.0,-1,6.67
21000036,7.8,5.5,4.0,5.0,7.0,5.25,5.0,7.75,7.75,5.75,6.83
21000037,6.0,6.5,4.4,3.75,5.5,4.5,6.75,9.0,9.0,4.58,8.25
21000038,8.0,6.0,5.6,7.5,7.5,4.25,-1,-1,-1,6.42,-1
21000039,8.2,7.25,7.6,8.75,9.25,5.0,-1,-1,-1,7.67,-1
21000040,7.8,6.75,3.8,7.0,5.0,5.0,-1,-1,-1,5.67,-1
