SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
22000001,2.2,4.0,4.2,-1,-1,-1,4.0,7.25,7.75,-1,6.33
22000002,8.8,6.5,8.8,-1,-1,-1,6.25,7.75,8.0,-1,7.33
22000003,4.0,6.0,3.4,-1,-1,-1,5.5,7.5,7.25,-1,6.75
22000004,4.0,6.0,4.4,-1,-1,-1,4.0,6.25,8.25,-1,6.17
22000005,4.2,5.75,4.8,-1,-1,-1,6.0,7.5,8.75,-1,7.42
22000006,7.8,4.75,4.4,7.0,8.5,5.25,-1,-1,-1,6.92,-1
22000007,6.8,5.5,5.4,5.25,4.75,4.0,-1,-1,-1,4.67,-1
22000008,3.2,4.5,6.8,-1,-1,-1,5.25,5.0,7.75,-1,6.0
22000009,5.8,4.0,4.2,5.25,4.5,2.25,-1,-1,-1,4.0,-1
22000010,3.0,4.75,3.2,-1,-1,-1,6.25,6.25,8.75,-1,7.08
22000011,4.0,5.5,6.6,-1,-1,-1,9.0,9.75,8.0,-1,8.92
22000012,3.4,6.25,2.8,-1,-1,-1,7.75,8.75,8.5,-1,8.33
22000013,7.2,7.25,9.4,-1,-1,-1,6.5,8.0,8.0,-1,7.5
22000014,6.4,6.0,3.0,4.25,4.25,4.5,-1,-1,-1,4.33,-1
22000015,2.8,5.5,4.2,-1,-1,-1,5.0,6.75,8.25,-1,6.67
22000016,4.4,6.0,3.4,-1,-1,-1,7.5,8.25,8.5,-1,8.08
22000017,5.8,5.0,3.4,-1,-1,-1,5.0,7.5,8.25,-1,6.92
22000018,2.4,3.5,2.4,-1,-1,-1,2.75,4.75,6.75,-1,4.75
22000019,3.4,5.0,3.6,-1,-1,-1,5.5,7.0,7.0,-1,6.5
22000020,3.2,3.0,2.8,-1,-1,-1,4.0,6.0,6.0,-1,5.33
22000021,7.8,5.5,5.2,5.5,2.75,3.5,3.75,6.5,7.0,3.92,5.75
22000022,3.0,5.25,4.2,-1,-1,-1,5.0,6.75,7.5,-1,6.42
22000023,4.8,7.75,4.4,-1,-1,-1,7.5,9.25,7.5,-1,8.08
22000024,8.8,5.5,9.8,-1,-1,-1,3.5,6.25,7.5,-1,5.75
22000025,6.2,5.5,3.6,-1,-1,-1,5.5,6.75,8.75,-1,7.0
22000026,7.2,4.25,3.4,3.25,2.0,4.5,2.75,2.5,2.25,3.25,2.5
22000027,2.6,3.75,1.6,-1,-1,-1,4.75,5.75,7.5,-1,6.0
22000028,4.6,6.75,6.0,-1,-1,-1,4.75,6.25,7.0,-1,6.0
22000029,3.2,7.0,4.4,-1,-1,-1,4.75,6.0,8.75,-1,6.5
