SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
24000001,8.6,5.75,5.8,8.25,9.5,4.0,-1,-1,-1,7.25,-1
24000002,8.6,8.25,9.8,-1,-1,-1,3.5,6.25,7.75,-1,5.83
24000003,8.0,7.5,8.4,8.5,4.25,3.75,-1,-1,-1,5.5,-1
24000004,3.2,9.0,6.0,-1,-1,-1,6.5,9.5,8.25,-1,8.08
24000005,8.6,5.5,3.0,8.0,9.75,3.0,-1,-1,-1,6.92,-1
24000006,8.0,5.5,9.0,9.0,7.25,5.25,-1,-1,-1,7.17,-1
24000007,7.2,7.0,9.0,-1,-1,-1,4.25,8.25,7.75,-1,6.75
24000008,8.8,6.5,4.2,8.0,9.25,4.75,-1,-1,-1,7.33,-1
24000009,7.8,9.5,6.6,-1,-1,-1,5.75,7.25,8.5,-1,7.17
24000010,9.2,4.0,9.2,9.25,1.25,3.25,-1,-1,-1,4.58,-1
24000011,8.6,6.5,3.8,9.25,-1,2.5,-1,-1,-1,7.25,-1
24000012,6.4,8.0,8.4,-1,-1,-1,4.0,8.25,7.5,-1,6.58
24000013,4.8,7.25,-1,-1,-1,-1,8.25,8.75,6.75,-1,7.92
24000014,6.8,7.25,7.2,-1,-1,-1,3.5,7.25,8.75,-1,6.5
24000015,3.8,7.75,5.2,-1,-1,-1,9.5,9.75,8.5,-1,9.25
24000016,9.2,5.75,4.2,6.0,9.25,8.5,-1,-1,-1,7.92,-1
24000017,7.6,6.75,6.4,6.75,3.75,3.25,-1,-1,-1,4.58,-1
24000018,7.6,5.5,3.0,4.75,6.75,7.0,-1,-1,-1,6.17,-1
24000019,6.8,6.75,4.8,4.5,8.75,6.5,-1,-1,-1,6.58,-1
24000020,8.0,8.75,9.6,-1,-1,-1,3.25,8.0,8.75,-1,6.67
24000021,7.4,6.0,4.8,7.5,7.25,8.0,-1,-1,-1,7.58,-1
24000022,4.8,8.0,4.4,-1,-1,-1,8.75,9.75,8.5,-1,9.0
24000023,8.8,6.25,6.4,8.25,8.0,4.75,-1,-1,-1,7.0,-1
24000024,8.6,5.25,2.2,9.0,7.75,4.0,-1,-1,-1,6.92,-1
24000025,8.6,7.75,7.0,9.0,7.75,7.0,-1,-1,-1,7.92,-1
24000026,9.0,8.0,8.4,-1,-1,-1,6.5,7.75,8.5,-1,7.58
24000027,8.8,8.0,8.8,-1,-1,-1,8.0,8.0,9.5,-1,8.5
24000028,8.2,5.75,9.4,8.5,6.25,4.75,-1,-1,-1,6.5,-1
24000029,8.4,6.75,3.4,8.25,9.75,5.5,-1,-1,-1,7.83,-1
24000030,8.6,5.5,4.8,8.5,8.25,3.5,-1,-1,-1,6.75,-1
24000031,9.4,6.25,9.4,9.25,3.5,3.25,-1,-1,-1,5.33,-1
24000032,7.2,8.0,5.8,4.5,3.0,4.75,-1,-1,-1,4.08,-1
24000033,8.4,8.5,9.4,-1,-1,-1,5.0,6.75,8.75,-1,6.83
24000034,5.2,8.5,6.2,-1,-1,-1,9.75,-1,9.25,-1,9.67
24000035,6.6,7.75,9.2,-1,-1,-1,4.25,7.5,8.25,-1,6.67
24000036,4.2,8.5,4.2,-1,-1,-1,8.75,9.5,8.25,-1,8.83
24000037,8.2,7.75,5.0,-1,-1,-1,9.5,9.0,8.25,-1,8.92
24000038,7.4,8.0,6.8,-1,-1,-1,4.5,7.0,8.0,-1,6.5
24000039,6.0,7.25,6.4,-1,-1,-1,3.5,7.0,8.25,-1,6.25
24000040,8.0,8.5,8.6,-1,-1,-1,6.0,7.5,9.25,-1,7.58
24000041,8.6,9.25,9.6,-1,-1,-1,6.75,9.0,9.0,-1,8.25
24000042,7.6,6.5,5.4,6.0,4.0,2.5,-1,-1,-1,4.17,-1
24000043,7.6,8.75,8.0,-1,-1,-1,7.0,7.75,9.0,-1,7.92
24000044,8.6,7.0,4.6,8.25,7.25,3.5,-1,-1,-1,6.33,-1
24000045,9.0,4.75,4.2,7.75,8.5,3.0,-1,-1,-1,6.42,-1
24000046,8.6,6.25,7.2,3.5,7.5,8.25,-1,-1,-1,6.42,-1
24000047,8.4,8.25,8.8,-1,-1,-1,7.0,6.75,9.0,-1,7.58
24000048,7.6,7.75,6.4,7.75,8.75,4.75,-1,-1,-1,7.08,-1
24000049,8.4,8.5,9.8,-1,-1,-1,5.75,7.5,8.5,-1,7.25
24000050,9.2,7.25,7.2,8.75,8.5,8.75,-1,-1,-1,8.67,-1
24000051,8.4,7.25,8.6,8.75,4.0,3.25,-1,-1,-1,5.33,-1
24000052,9.4,5.25,5.6,9.25,9.25,3.75,-1,-1,-1,7.42,-1
24000053,9.0,5.25,6.8,8.5,8.5,2.75,-1,-1,-1,6.58,-1
24000054,7.2,4.0,3.0,3.75,8.5,8.0,-1,-1,-1,6.75,-1
24000055,9.0,4.75,3.0,8.75,8.25,3.25,-1,-1,-1,6.75,-1
24000056,5.4,7.25,7.4,-1,-1,-1,6.75,8.75,7.25,-1,7.58
24000057,9.0,6.5,5.2,4.75,7.75,9.0,-1,-1,-1,7.17,-1
24000058,7.2,5.25,6.8,6.0,4.75,4.5,-1,-1,-1,5.08,-1
24000059,9.0,5.75,4.4,9.0,9.5,9.0,-1,-1,-1,9.17,-1
24000060,7.4,8.25,7.2,-1,-1,-1,6.5,6.5,7.0,-1,6.67
24000061,9.2,5.75,4.4,6.5,9.0,9.25,-1,-1,-1,8.25,-1
24000062,7.8,6.25,-1,8.5,7.5,5.5,-1,-1,-1,7.17,-1
24000063,6.0,4.5,4.0,4.75,6.25,5.25,-1,-1,-1,5.42,-1
24000064,8.6,4.0,3.8,5.75,3.75,3.5,-1,-1,-1,4.33,-1
24000065,8.0,5.5,7.2,7.5,3.25,4.75,-1,-1,-1,5.17,-1
24000066,8.8,5.75,4.2,8.75,7.75,6.75,-1,-1,-1,7.75,-1
24000067,8.4,7.75,7.6,8.5,2.75,4.0,-1,-1,-1,5.08,-1
24000068,7.2,7.5,7.4,-1,-1,-1,6.75,7.5,8.25,-1,7.5
24000069,9.0,6.5,8.4,4.25,8.75,8.5,-1,-1,-1,7.17,-1
24000070,3.8,7.0,5.4,-1,-1,-1,9.25,9.75,8.75,-1,9.25
24000071,9.6,7.5,5.8,9.0,8.75,3.25,-1,-1,-1,7.0,-1
24000072,7.8,8.25,8.6,-1,-1,-1,5.25,8.25,8.5,-1,7.33
24000073,7.4,5.5,4.8,7.75,6.75,6.5,-1,-1,-1,7.0,-1
24000074,2.0,5.5,3.4,-1,-1,-1,6.75,9.25,7.25,-1,7.75
24000075,9.6,6.25,2.8,8.25,9.5,3.5,-1,-1,-1,7.08,-1
24000076,8.8,7.0,5.8,-1,-1,-1,4.5,8.75,8.0,-1,7.08
24000077,6.2,7.5,-1,-1,-1,-1,4.5,5.0,6.75,-1,5.42
24000078,8.4,4.5,2.6,8.5,9.0,2.5,-1,-1,-1,6.67,-1
24000079,7.0,5.75,4.8,7.0,7.0,4.75,-1,-1,-1,6.25,-1
24000080,9.0,8.25,9.4,7.5,4.5,5.25,-1,-1,-1,5.75,-1
24000081,7.2,7.0,6.2,7.75,9.75,4.75,-1,-1,-1,7.42,-1
24000082,8.0,8.5,9.2,-1,-1,-1,9.0,7.75,8.25,-1,8.33
24000083,8.0,6.25,9.8,7.75,3.25,5.5,-1,-1,-1,5.5,-1
24000084,7.6,7.75,-1,-1,-1,-1,3.75,8.5,8.25,-1,6.83
24000085,5.8,7.75,7.0,-1,-1,-1,5.75,6.5,7.75,-1,6.67
24000086,8.0,8.25,9.4,-1,-1,-1,7.5,8.5,9.0,-1,8.33
24000087,8.4,8.5,8.8,-1,-1,-1,6.5,8.25,9.25,-1,8.0
24000088,7.8,8.0,8.0,-1,-1,-1,4.0,6.0,8.0,-1,6.0
24000089,8.6,3.5,5.6,6.75,3.75,3.0,-1,-1,-1,4.5,-1
24000090,9.2,7.5,6.6,8.5,9.25,5.5,-1,-1,-1,7.75,-1
24000091,8.0,6.5,5.6,5.5,9.5,8.75,-1,-1,-1,7.92,-1
24000092,9.2,8.5,9.2,-1,-1,-1,5.5,8.75,9.25,-1,7.83
24000093,9.2,7.0,9.2,8.25,2.75,3.25,3.5,7.0,8.0,4.75,6.17
24000094,4.6,7.25,5.0,-1,-1,-1,4.0,7.75,7.0,-1,6.25
24000095,7.2,7.25,6.6,7.5,6.25,4.0,-1,-1,-1,5.92,-1
24000096,8.4,8.75,-1,-1,-1,-1,3.5,7.75,8.75,-1,6.67
24000097,4.0,7.0,2.8,-1,-1,-1,6.0,7.25,7.75,-1,7.0
24000098,7.4,7.75,-1,-1,-1,-1,3.75,6.0,8.75,-1,6.17
24000099,6.6,8.0,6.8,-1,-1,-1,4.25,6.75,8.25,-1,6.42
24000100,7.8,9.0,9.6,-1,-1,-1,4.75,8.75,9.25,-1,7.58
24000101,9.2,8.25,9.8,-1,-1,-1,6.75,8.5,7.75,-1,7.67
24000102,8.6,7.5,7.8,6.5,4.75,4.0,-1,-1,-1,5.08,-1
24000103,8.2,7.5,6.8,6.25,8.25,9.25,-1,-1,-1,7.92,-1
24000104,4.6,7.5,5.4,-1,-1,-1,3.5,7.5,9.0,-1,6.67
24000105,7.8,6.25,4.0,3.25,7.25,7.25,-1,-1,-1,5.92,-1
24000106,8.4,5.25,5.2,8.0,7.75,4.5,-1,-1,-1,6.75,-1
24000107,9.0,6.0,4.6,7.75,9.25,4.25,-1,-1,-1,7.08,-1
24000108,9.6,5.75,4.4,8.25,7.5,4.0,-1,-1,-1,6.58,-1
24000109,9.0,8.25,-1,-1,-1,-1,8.0,9.5,8.0,-1,8.5
24000110,9.2,6.75,7.4,8.75,9.0,5.25,-1,-1,-1,7.67,-1
