SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
25000001,8.8,7.0,9.8,9.25,5.25,4.25,-1,-1,-1,6.25,-1
25000002,8.8,6.5,8.0,6.0,9.0,8.5,-1,-1,-1,7.83,-1
25000003,8.2,5.25,9.6,7.75,4.5,4.75,-1,-1,-1,5.67,-1
25000004,8.8,8.0,8.8,-1,-1,-1,6.5,7.75,7.75,-1,7.33
25000005,8.6,8.5,8.4,-1,-1,-1,6.25,8.0,8.75,-1,7.67
25000006,8.2,5.5,9.4,7.75,5.0,4.0,-1,-1,-1,5.58,-1
25000007,9.6,6.25,6.6,7.25,9.0,5.5,-1,-1,-1,7.25,-1
25000008,8.0,8.5,9.2,-1,-1,-1,4.75,5.25,8.0,-1,6.0
25000009,7.4,7.75,9.0,-1,-1,-1,6.5,8.0,8.25,-1,7.58
25000010,9.4,5.5,7.4,8.25,8.75,6.25,-1,-1,-1,7.75,-1
25000011,9.8,5.5,7.8,9.5,9.75,5.25,-1,-1,-1,8.17,-1
25000012,9.6,6.0,7.8,9.0,9.75,6.25,-1,-1,-1,8.33,-1
25000013,6.2,7.25,5.6,-1,-1,-1,7.75,9.0,9.75,-1,8.83
25000014,8.2,7.5,9.2,-1,-1,-1,6.25,7.0,8.5,-1,7.25
25000015,7.8,7.75,9.8,4.75,5.75,6.75,-1,-1,-1,5.75,-1
25000016,8.2,7.0,9.4,4.75,7.25,9.5,-1,-1,-1,7.17,-1
25000017,9.2,7.75,9.6,8.0,4.75,7.25,-1,-1,-1,6.67,-1
25000018,9.4,7.0,9.2,9.0,4.75,4.25,-1,-1,-1,6.0,-1
25000019,5.6,7.5,-1,-1,-1,-1,3.5,7.0,7.25,-1,5.92
25000020,8.6,6.5,9.8,7.75,4.75,5.75,-1,-1,-1,6.08,-1
25000021,8.4,7.75,-1,-1,-1,-1,7.25,8.5,9.25,-1,8.33
25000022,7.6,7.0,-1,-1,-1,-1,6.25,7.0,9.0,-1,7.42
25000023,9.0,6.5,4.8,7.5,9.5,9.5,-1,-1,-1,8.83,-1
25000024,8.6,8.25,9.4,-1,-1,-1,8.0,9.0,9.0,-1,8.67
25000025,7.8,6.5,4.8,3.25,7.0,9.0,-1,-1,-1,6.42,-1
25000026,8.0,7.25,9.0,7.5,5.25,4.75,-1,-1,-1,5.83,-1
25000027,8.4,5.25,6.6,8.0,8.5,4.0,-1,-1,-1,6.83,-1
25000028,9.0,8.0,9.2,7.25,5.25,7.0,-1,-1,-1,6.5,-1
25000029,5.2,8.0,7.6,-1,-1,-1,8.25,8.0,8.5,-1,8.25
25000030,9.4,7.5,8.8,7.25,9.25,5.0,-1,-1,-1,7.17,-1
25000031,7.8,6.75,5.2,-1,-1,-1,9.25,8.75,9.0,-1,9.0
25000032,9.2,5.0,6.6,5.75,8.0,9.0,-1,-1,-1,7.58,-1
25000033,4.0,7.5,4.0,-1,-1,-1,7.0,9.0,8.75,-1,8.25
25000034,9.0,7.5,9.4,7.25,5.5,5.0,-1,-1,-1,5.92,-1
25000035,9.0,7.25,9.8,6.5,6.5,8.75,-1,-1,-1,7.25,-1
25000036,8.2,5.25,5.8,2.75,6.5,8.0,-1,-1,-1,5.75,-1
25000037,6.2,9.0,9.2,-1,-1,-1,5.75,7.25,8.75,-1,7.25
25000038,8.8,6.5,8.6,9.25,9.0,5.0,-1,-1,-1,7.75,-1
25000039,9.2,4.5,4.6,9.5,9.0,4.5,-1,-1,-1,7.67,-1
25000040,8.0,6.75,8.6,-1,-1,-1,3.25,6.25,7.5,-1,5.67
25000041,9.0,6.0,6.6,8.75,9.5,5.75,-1,-1,-1,8.0,-1
25000042,9.2,7.0,7.8,8.25,7.0,5.0,-1,-1,-1,6.75,-1
25000043,5.8,7.25,6.2,-1,-1,-1,9.0,-1,7.25,-1,8.75
25000044,8.4,8.0,9.8,-1,-1,-1,4.75,6.75,7.75,-1,6.42
25000045,7.2,7.0,5.4,3.75,6.25,8.25,-1,-1,-1,6.08,-1
25000046,9.0,5.75,6.0,8.75,9.0,3.75,-1,-1,-1,7.17,-1
25000047,8.4,5.75,7.4,4.5,8.75,9.25,-1,-1,-1,7.5,-1
25000048,8.8,7.25,-1,8.5,3.75,5.75,-1,-1,-1,6.0,-1
25000049,9.2,6.5,9.2,8.75,9.5,6.5,-1,-1,-1,8.25,-1
25000050,8.8,7.5,-1,-1,-1,-1,8.25,9.25,8.75,-1,8.75
25000051,7.6,7.25,9.8,5.75,5.75,6.75,-1,-1,-1,6.08,-1
25000052,8.0,7.0,5.4,2.75,8.75,8.25,-1,-1,-1,6.58,-1
25000053,8.6,8.0,9.0,-1,-1,-1,6.25,7.5,9.0,-1,7.58
