SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
28000001,8.6,4.0,8.4,8.75,2.0,2.75,-1,-1,-1,4.5,-1
28000002,7.6,5.0,4.2,7.5,9.5,4.75,-1,-1,-1,7.25,-1
28000003,8.2,5.75,6.2,7.5,7.0,3.75,-1,-1,-1,6.08,-1
28000004,6.0,4.0,3.2,4.75,3.75,3.75,-1,-1,-1,4.08,-1
28000005,5.6,7.75,3.4,7.25,4.0,3.75,-1,-1,-1,5.0,-1
28000006,7.6,4.0,3.2,7.5,6.5,3.25,-1,-1,-1,5.75,-1
28000007,2.4,5.75,3.2,-1,-1,-1,2.75,5.0,7.0,-1,4.92
28000008,7.8,5.25,4.8,5.0,6.5,3.75,-1,-1,-1,5.08,-1
28000009,7.6,5.75,5.0,6.25,3.75,4.75,-1,-1,-1,4.92,-1
28000010,7.8,6.75,2.0,3.75,6.25,6.0,-1,-1,-1,5.33,-1
28000011,7.8,4.75,4.6,4.75,6.5,3.75,-1,-1,-1,5.0,-1
28000012,6.2,7.75,9.4,-1,-1,-1,3.25,5.0,8.5,-1,5.58
28000013,3.0,6.5,7.4,-1,-1,-1,3.0,5.25,7.5,-1,5.25
28000014,6.2,3.0,4.0,6.5,6.0,3.25,-1,-1,-1,5.25,-1
28000015,5.6,5.25,4.8,4.75,5.25,4.25,-1,-1,-1,4.75,-1
28000016,7.4,7.25,9.4,-1,-1,-1,5.0,8.25,7.75,-1,7.0
28000017,7.2,3.0,6.8,6.0,4.25,3.75,-1,-1,-1,4.67,-1
28000018,4.2,8.0,3.0,-1,-1,-1,7.25,8.25,7.5,-1,7.67
28000019,6.8,5.75,3.2,6.75,4.75,4.75,-1,-1,-1,5.42,-1
28000020,8.2,4.75,4.4,7.75,7.25,3.75,-1,-1,-1,6.25,-1
28000021,5.0,4.0,3.8,4.0,3.25,6.0,-1,-1,-1,4.42,-1
28000022,3.0,8.0,3.0,-1,-1,-1,7.25,8.0,7.5,-1,7.58
28000023,9.2,4.0,3.4,7.5,8.0,4.75,-1,-1,-1,6.75,-1
28000024,4.4,7.25,5.4,5.0,3.25,3.75,-1,-1,-1,4.0,-1
28000025,6.2,7.75,5.4,-1,-1,-1,4.25,5.0,9.25,-1,6.17
28000026,3.0,8.5,5.8,-1,-1,-1,4.25,6.25,8.25,-1,6.25
28000027,5.6,7.0,4.8,4.0,2.75,3.25,-1,-1,-1,3.33,-1
28000028,4.0,5.0,4.0,-1,-1,-1,3.25,5.0,8.5,-1,5.58
28000029,5.0,7.5,6.0,-1,-1,-1,4.0,6.25,8.25,-1,6.17
28000030,7.8,5.0,4.4,5.5,4.5,3.0,-1,-1,-1,4.33,-1
28000031,3.6,6.0,5.6,4.25,3.25,4.75,-1,-1,-1,4.08,-1
28000032,7.0,6.75,3.2,6.0,7.0,3.25,-1,-1,-1,5.42,-1
28000033,4.8,5.25,2.8,-1,-1,-1,5.25,6.0,7.5,-1,6.25
28000034,7.2,5.5,4.2,-1,-1,-1,2.25,2.25,8.25,-1,4.25
28000035,5.8,6.0,4.2,6.0,5.75,3.5,-1,-1,-1,5.08,-1
28000036,6.6,6.5,8.4,-1,-1,-1,4.5,6.5,7.5,-1,6.17
28000037,5.6,6.25,5.4,-1,-1,-1,4.75,6.5,5.75,-1,5.67
28000038,7.2,5.0,4.4,7.0,6.5,4.0,-1,-1,-1,5.83,-1
28000039,6.2,7.75,8.8,-1,-1,-1,4.25,7.75,7.5,-1,6.5
28000040,3.0,6.25,3.8,-1,-1,-1,6.5,7.75,6.75,-1,7.0
28000041,3.8,7.25,2.6,-1,-1,-1,9.5,9.5,8.25,-1,9.08
28000042,4.6,8.0,5.0,-1,-1,-1,5.25,8.0,6.75,-1,6.67
28000043,7.8,7.75,6.0,-1,-1,-1,4.0,5.0,8.25,-1,5.75
28000044,6.4,6.5,5.8,6.0,2.5,2.75,-1,-1,-1,3.75,-1
28000045,5.8,6.0,1.8,-1,-1,-1,3.5,6.25,8.0,-1,5.92
28000046,7.6,7.0,7.8,7.75,3.0,3.75,-1,-1,-1,4.83,-1
28000047,4.4,8.0,3.6,-1,-1,-1,7.25,8.25,6.75,-1,7.42
28000048,5.6,8.5,4.8,-1,-1,-1,4.0,7.0,7.25,-1,6.08
28000049,8.2,4.75,3.2,7.5,6.0,4.0,-1,-1,-1,5.83,-1
28000050,6.0,6.25,6.6,-1,-1,-1,2.75,3.0,7.0,-1,4.25
28000051,8.6,6.25,9.4,8.5,3.25,4.25,-1,-1,-1,5.33,-1
28000052,6.2,5.75,3.6,4.75,6.5,3.25,-1,-1,-1,4.83,-1
28000053,8.0,8.0,9.2,-1,-1,-1,5.75,6.25,6.75,-1,6.25
28000054,6.2,7.0,3.8,-1,-1,-1,3.75,6.0,8.25,-1,6.0
28000055,7.4,6.75,2.8,7.0,7.25,4.0,-1,-1,-1,6.08,-1
28000056,8.4,8.5,9.6,-1,-1,-1,3.75,6.75,7.25,-1,5.92
28000057,2.8,8.0,2.6,-1,-1,-1,3.75,4.75,8.75,-1,5.75
28000058,4.0,4.25,5.4,5.5,5.5,3.0,-1,-1,-1,4.67,-1
28000059,7.6,8.5,8.8,-1,-1,-1,3.0,5.75,7.25,-1,5.33
28000060,5.8,8.5,6.4,-1,-1,-1,3.5,6.5,9.0,-1,6.33
28000061,4.6,6.25,3.0,-1,-1,-1,6.25,8.75,8.25,-1,7.75
28000062,9.2,7.0,5.8,7.25,7.5,5.0,-1,-1,-1,6.58,-1
28000063,2.0,5.5,5.2,-1,-1,-1,3.0,5.75,8.75,-1,5.83
28000064,6.2,7.0,4.0,-1,-1,-1,4.5,4.5,7.5,-1,5.5
28000065,7.4,8.0,8.6,-1,-1,-1,2.75,6.25,8.25,-1,5.75
28000066,6.0,7.0,3.0,4.5,5.75,4.25,-1,-1,-1,4.83,-1
28000067,3.2,7.0,3.4,-1,-1,-1,4.75,6.0,8.0,-1,6.25
28000068,7.4,6.0,3.8,3.75,6.0,7.75,-1,-1,-1,5.83,-1
28000069,6.6,7.25,4.2,-1,-1,-1,3.5,5.75,7.75,-1,5.67
28000070,3.8,5.75,2.4,-1,-1,-1,3.0,6.25,7.75,-1,5.67
28000071,7.6,4.5,3.4,5.5,7.5,3.75,-1,-1,-1,5.58,-1
28000072,3.8,3.5,2.4,3.75,4.25,1.0,-1,-1,-1,3.0,-1
28000073,7.2,8.25,4.2,-1,-1,-1,4.25,4.75,7.0,-1,5.33
28000074,8.4,6.75,5.8,7.5,9.5,9.75,-1,-1,-1,8.92,-1
28000075,7.4,6.0,4.0,7.25,7.75,4.0,-1,-1,-1,6.33,-1
28000076,3.8,1.5,4.4,3.75,4.75,2.0,-1,-1,-1,3.5,-1
28000077,8.4,5.75,4.0,7.75,8.25,4.5,-1,-1,-1,6.83,-1
28000078,5.8,7.25,7.8,-1,-1,-1,6.25,8.75,7.75,-1,7.58
28000079,7.8,6.0,9.0,7.25,4.25,5.0,6.25,7.25,7.25,5.5,6.92
28000080,7.8,6.5,4.2,7.5,8.25,3.5,-1,-1,-1,6.42,-1
28000081,2.2,7.75,3.2,-1,-1,-1,8.0,7.0,5.75,-1,6.92
28000082,1.6,7.75,4.2,-1,-1,-1,3.25,6.25,6.75,-1,5.42
28000083,4.4,6.5,4.8,-1,-1,-1,3.0,5.25,6.75,-1,5.0
28000084,5.8,5.0,5.0,6.75,5.75,5.25,-1,-1,-1,5.92,-1
28000085,5.6,7.25,3.8,3.0,2.0,3.25,-1,-1,-1,2.75,-1
28000086,6.2,6.5,4.2,-1,-1,-1,4.25,4.25,8.0,-1,5.5
28000087,4.2,4.5,2.0,3.0,4.5,2.5,-1,-1,-1,3.33,-1
28000088,5.0,7.25,3.8,-1,-1,-1,5.25,8.25,8.25,-1,7.25
28000089,3.8,5.0,2.8,-1,-1,-1,2.5,4.75,5.5,-1,4.25
28000090,8.6,4.25,6.4,8.0,9.5,3.25,-1,-1,-1,6.92,-1
28000091,5.4,8.5,3.6,-1,-1,-1,4.5,6.5,7.25,-1,6.08
28000092,1.6,6.5,2.8,-1,-1,-1,7.5,7.75,8.0,-1,7.75
28000093,5.4,5.0,2.8,4.75,3.75,3.0,-1,-1,-1,3.83,-1
28000094,7.6,5.75,6.0,5.0,6.5,4.0,-1,-1,-1,5.17,-1
28000095,7.6,5.25,3.4,4.75,5.0,4.25,-1,-1,-1,4.67,-1
28000096,8.8,5.5,8.2,7.75,3.75,3.0,-1,-1,-1,4.83,-1
28000097,5.6,5.5,3.2,1.75,4.75,3.5,-1,-1,-1,3.33,-1
28000098,3.0,6.5,4.2,-1,-1,-1,8.25,9.5,6.25,-1,8.0
28000099,7.6,7.5,8.0,-1,-1,-1,4.5,5.75,8.75,-1,6.33
28000100,8.8,3.5,4.4,9.0,8.25,6.25,-1,-1,-1,7.83,-1
28000101,7.4,7.25,7.0,-1,-1,-1,9.0,9.5,9.0,-1,9.17
28000102,4.8,7.0,4.8,-1,-1,-1,2.5,5.0,7.75,-1,5.08
28000103,6.4,7.25,5.4,4.25,1.75,3.5,-1,-1,-1,3.17,-1
28000104,4.6,3.5,3.6,3.75,3.25,3.25,-1,-1,-1,3.42,-1
28000105,5.8,3.25,8.2,3.5,1.75,2.25,-1,-1,-1,2.5,-1
28000106,6.8,4.0,3.8,6.0,3.25,3.5,-1,-1,-1,4.25,-1
28000107,7.8,5.5,3.8,7.0,6.25,2.75,-1,-1,-1,5.33,-1
28000108,7.0,6.5,4.4,3.25,5.75,7.75,-1,-1,-1,5.58,-1
28000109,8.4,6.5,8.6,8.0,4.0,4.75,5.25,5.5,8.5,5.58,6.42
28000110,8.8,4.75,5.4,6.0,9.75,9.5,-1,-1,-1,8.42,-1
28000111,7.4,3.5,5.2,5.75,5.75,3.25,-1,-1,-1,4.92,-1
28000112,7.8,4.0,5.0,9.25,7.5,2.0,-1,-1,-1,6.25,-1
28000113,6.6,4.25,3.2,2.5,4.25,6.5,-1,-1,-1,4.42,-1
28000114,7.8,6.0,5.4,6.75,7.75,4.0,-1,-1,-1,6.17,-1
28000115,6.6,5.0,4.2,5.0,1.75,3.5,-1,-1,-1,3.42,-1
28000116,6.0,2.25,6.0,5.5,4.5,3.75,-1,-1,-1,4.58,-1
28000117,5.4,4.75,3.2,6.75,6.5,3.75,-1,-1,-1,5.67,-1
28000118,6.8,3.75,4.0,6.25,3.75,3.25,-1,-1,-1,4.42,-1
28000119,7.4,6.5,5.8,4.5,3.5,3.75,-1,-1,-1,3.92,-1
28000120,6.0,4.75,3.0,5.5,6.0,1.75,-1,-1,-1,4.42,-1
28000121,9.0,7.5,4.4,4.0,8.75,9.0,-1,-1,-1,7.25,-1
28000122,5.8,5.25,6.4,3.25,1.75,2.5,-1,-1,-1,2.5,-1
28000123,5.6,6.5,3.0,-1,-1,-1,3.25,6.75,8.0,-1,6.0
28000124,8.2,3.5,2.8,7.75,7.75,4.0,-1,-1,-1,6.5,-1
28000125,1.8,6.5,3.0,-1,-1,-1,9.0,9.75,8.0,-1,8.92
28000126,9.0,3.0,3.8,9.0,7.75,2.75,-1,-1,-1,6.5,-1
28000127,9.2,3.25,2.4,8.25,8.5,2.0,-1,-1,-1,6.25,-1
28000128,7.6,3.5,8.0,8.0,2.5,2.5,-1,-1,-1,4.33,-1
28000129,7.6,3.5,3.2,7.0,7.25,2.5,-1,-1,-1,5.58,-1
28000130,7.4,7.25,8.0,-1,-1,-1,7.0,6.5,8.25,-1,7.25
28000131,8.6,3.0,2.8,7.5,7.5,3.75,-1,-1,-1,6.25,-1
28000132,5.8,5.75,5.0,4.0,3.25,1.75,-1,-1,-1,3.0,-1
28000133,8.4,4.5,4.6,6.75,8.25,2.5,-1,-1,-1,5.83,-1
28000134,6.8,4.0,4.0,4.75,7.0,2.5,-1,-1,-1,4.75,-1
28000135,8.4,3.75,5.0,8.25,9.25,7.0,-1,-1,-1,8.17,-1
28000136,6.8,3.5,3.2,7.0,7.0,3.25,-1,-1,-1,5.75,-1
28000137,2.4,3.75,2.4,-1,-1,-1,3.5,3.5,7.0,-1,4.67
28000138,3.8,7.5,4.2,-1,-1,-1,3.0,6.25,7.25,-1,5.5
28000139,5.6,6.0,5.4,-1,-1,-1,4.25,6.0,8.25,-1,6.17
28000140,5.4,6.75,5.6,-1,-1,-1,3.0,5.5,6.75,-1,5.08
28000141,8.6,4.75,3.0,4.0,7.0,7.75,-1,-1,-1,6.25,-1
28000142,7.8,6.25,9.4,3.0,8.0,8.5,-1,-1,-1,6.5,-1
28000143,6.4,7.5,9.0,-1,-1,-1,4.5,7.0,8.5,-1,6.67
28000144,4.8,8.0,4.2,-1,-1,-1,9.0,8.75,7.25,-1,8.33
28000145,9.0,6.25,7.4,7.75,4.0,4.0,-1,-1,-1,5.25,-1
28000146,4.4,2.25,3.8,-1,-1,-1,3.75,7.0,6.75,-1,5.83
28000147,7.2,5.75,6.4,6.75,3.75,4.75,-1,-1,-1,5.08,-1
