SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
29000001,2.2,4.0,3.8,-1,-1,-1,4.75,5.75,8.25,-1,6.25
29000002,3.4,7.25,3.2,-1,-1,-1,7.0,8.0,8.25,-1,7.75
29000003,3.4,6.5,2.8,-1,-1,-1,6.75,8.0,8.25,-1,7.67
29000004,9.6,6.25,3.8,9.25,8.75,3.25,-1,-1,-1,7.08,-1
29000005,8.8,4.0,4.8,9.25,9.75,4.0,-1,-1,-1,7.67,-1
29000006,5.0,6.0,4.6,-1,-1,-1,4.5,6.75,6.5,-1,5.92
29000007,8.4,6.75,6.2,7.5,5.25,4.75,-1,-1,-1,5.83,-1
29000008,2.6,3.5,3.2,-1,-1,-1,2.75,5.5,6.75,-1,5.0
29000009,5.6,5.25,4.4,4.0,3.0,4.0,-1,-1,-1,3.67,-1
29000010,7.4,7.75,6.2,-1,-1,-1,8.75,8.0,7.5,-1,8.08
29000011,7.0,6.25,3.6,5.0,7.25,3.75,-1,-1,-1,5.33,-1
29000012,8.8,8.0,9.0,-1,-1,-1,6.5,7.75,7.0,-1,7.08
29000013,2.6,6.25,4.4,-1,-1,-1,3.25,3.75,6.75,-1,4.58
29000014,3.4,6.25,4.2,-1,-1,-1,4.25,6.25,8.25,-1,6.25
29000015,4.2,8.25,4.2,-1,-1,-1,7.5,7.75,8.25,-1,7.83
29000016,9.0,8.0,9.4,-1,-1,-1,5.75,6.25,8.0,-1,6.67
29000017,9.0,7.0,7.8,6.25,9.25,8.0,-1,-1,-1,7.83,-1
29000018,4.4,7.75,5.0,-1,-1,-1,8.5,9.75,9.5,-1,9.25
29000019,2.8,5.0,2.2,-1,-1,-1,4.25,3.75,7.75,-1,5.25
29000020,3.4,5.5,3.2,-1,-1,-1,4.0,7.0,8.0,-1,6.33
29000021,3.8,4.0,5.2,-1,-1,-1,5.5,4.5,5.75,-1,5.25
29000022,5.2,5.25,2.4,3.5,2.75,4.0,-1,-1,-1,3.42,-1
29000023,2.6,4.0,4.0,-1,-1,-1,3.5,4.0,7.75,-1,5.08
29000024,5.2,6.75,4.8,-1,-1,-1,3.25,6.0,7.0,-1,5.42
29000025,5.6,5.0,2.8,-1,-1,-1,7.25,7.75,7.0,-1,7.33
29000026,8.0,6.75,3.4,3.75,9.25,8.25,-1,-1,-1,7.08,-1
29000027,4.6,7.5,4.0,-1,-1,-1,6.5,7.25,8.5,-1,7.42
29000028,4.6,8.0,4.0,-1,-1,-1,4.0,6.5,7.75,-1,6.08
29000029,3.8,5.25,4.2,-1,-1,-1,4.0,5.0,7.75,-1,5.58
29000030,5.6,7.5,5.0,-1,-1,-1,5.25,8.0,8.25,-1,7.17
29000031,8.0,3.5,3.4,7.5,7.0,3.75,-1,-1,-1,6.08,-1
29000032,5.4,5.0,5.6,5.25,3.75,4.25,-1,-1,-1,4.42,-1
29000033,8.4,5.25,3.2,7.25,7.0,2.75,-1,-1,-1,5.67,-1
29000034,8.4,7.5,8.4,-1,-1,-1,6.5,8.75,8.5,-1,7.92
29000035,9.2,5.75,5.6,8.75,8.25,5.0,-1,-1,-1,7.33,-1
29000036,3.8,6.0,7.4,-1,-1,-1,5.0,7.0,8.25,-1,6.75
29000037,5.4,7.75,4.2,-1,-1,-1,3.75,6.0,8.0,-1,5.92
29000038,4.0,4.25,2.6,-1,-1,-1,2.0,4.25,6.75,-1,4.33
29000039,2.8,5.0,2.8,-1,-1,-1,4.75,6.75,6.75,-1,6.08
29000040,6.8,5.25,5.0,6.75,7.0,1.0,-1,-1,-1,4.92,-1
29000041,3.6,5.75,4.4,-1,-1,-1,5.75,7.0,7.5,-1,6.75
29000042,4.6,7.5,4.0,-1,-1,-1,7.75,9.25,8.75,-1,8.58
29000043,4.4,4.0,3.2,3.25,2.75,3.5,-1,-1,-1,3.17,-1
29000044,4.0,6.5,4.2,-1,-1,-1,3.25,7.0,7.75,-1,6.0
29000045,2.8,6.0,1.6,-1,-1,-1,3.25,4.75,5.25,-1,4.42
29000046,3.4,4.5,2.4,-1,-1,-1,4.0,6.75,8.5,-1,6.42
29000047,4.0,4.75,4.2,-1,-1,-1,6.25,8.0,9.0,-1,7.75
29000048,5.8,3.75,2.6,-1,-1,-1,4.0,6.75,8.0,-1,6.25
29000049,5.2,4.75,2.8,3.75,3.5,4.25,-1,-1,-1,3.83,-1
29000050,6.8,6.5,3.4,4.5,5.5,8.0,-1,-1,-1,6.0,-1
29000051,3.6,5.5,3.2,-1,-1,-1,3.5,4.75,5.75,-1,4.67
