SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
31000001,3.8,2.5,3.6,-1,-1,-1,3.75,4.75,7.5,-1,5.33
31000002,3.2,4.0,2.2,-1,-1,-1,4.25,8.0,6.75,-1,6.33
31000003,3.0,2.75,3.4,-1,-1,-1,5.25,3.75,7.25,-1,5.42
31000004,2.0,2.25,2.6,-1,-1,-1,2.5,3.75,5.75,-1,4.0
31000005,1.8,2.5,2.6,-1,-1,-1,3.0,4.0,7.75,-1,4.92
31000006,2.4,5.5,3.0,4.5,2.0,3.75,6.0,5.5,7.75,3.42,6.42
31000007,6.2,4.75,3.6,4.5,3.5,3.5,-1,-1,-1,3.83,-1
31000008,3.2,6.75,5.4,-1,-1,-1,9.0,8.25,8.75,-1,8.67
31000009,3.4,4.0,2.6,-1,-1,-1,3.5,4.5,6.0,-1,4.67
31000010,3.4,4.75,2.2,-1,-1,-1,4.25,6.25,7.5,-1,6.0
31000011,3.2,4.0,2.6,-1,-1,-1,3.75,3.5,6.75,-1,4.67
31000012,2.6,4.75,2.6,-1,-1,-1,3.0,6.0,7.0,-1,5.33
31000013,3.6,4.75,3.8,3.5,3.0,3.75,5.5,6.0,8.5,3.42,6.67
31000014,2.8,6.0,3.0,-1,-1,-1,4.5,5.75,7.0,-1,5.75
31000015,3.6,4.25,2.2,-1,-1,-1,3.0,5.25,8.25,-1,5.5
31000016,2.6,4.5,3.8,-1,-1,-1,4.5,5.5,8.0,-1,6.0
31000017,4.4,5.0,4.6,3.5,2.75,4.25,5.0,7.25,8.25,3.5,6.83
31000018,5.2,5.0,2.8,3.75,3.75,3.25,5.75,6.25,7.75,3.58,6.58
31000019,1.4,3.0,2.4,-1,-1,-1,3.75,5.25,6.75,-1,5.25
31000020,2.0,5.5,3.0,-1,-1,-1,4.25,5.75,8.25,-1,6.08
31000021,4.8,5.75,4.4,4.25,2.25,5.25,4.0,7.75,9.25,3.92,7.0
31000022,4.0,5.0,2.8,-1,-1,-1,4.5,7.5,8.75,-1,6.92
31000023,3.4,5.0,3.2,-1,-1,-1,3.0,5.5,6.75,-1,5.08
31000024,1.8,5.5,2.8,-1,-1,-1,3.0,6.0,7.0,-1,5.33
31000025,3.6,6.0,7.0,4.5,5.0,5.25,6.25,8.5,9.0,4.92,7.92
31000026,2.6,2.25,2.0,3.25,3.25,1.5,3.5,4.5,6.5,2.67,4.83
31000027,3.2,5.75,3.0,-1,-1,-1,5.0,7.0,8.0,-1,6.67
