SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
32000001,5.8,8.75,8.2,-1,-1,-1,4.25,6.75,9.0,-1,6.67
32000002,3.8,6.25,4.0,-1,-1,-1,5.0,7.25,8.25,-1,6.83
32000003,6.4,5.25,5.2,5.5,3.0,4.75,-1,-1,-1,4.42,-1
32000004,6.8,6.5,5.0,5.0,5.75,6.75,-1,-1,-1,5.83,-1
32000005,3.2,5.25,3.0,-1,-1,-1,6.0,8.5,8.75,-1,7.75
32000006,7.8,9.0,6.6,-1,-1,-1,7.75,9.5,9.75,-1,9.0
32000007,3.6,4.0,2.4,-1,-1,-1,5.75,5.5,7.5,-1,6.25
32000008,5.6,7.75,4.2,-1,-1,-1,6.25,7.25,9.0,-1,7.5
32000009,8.0,4.0,2.8,6.0,7.5,6.0,-1,-1,-1,6.5,-1
32000010,9.2,5.25,6.4,6.75,9.5,7.0,-1,-1,-1,7.75,-1
32000011,2.6,4.75,3.4,-1,-1,-1,3.75,6.75,7.75,-1,6.08
32000012,3.6,7.0,4.4,-1,-1,-1,7.25,7.5,8.5,-1,7.75
32000013,4.0,4.5,3.8,-1,-1,-1,2.5,5.0,7.5,-1,5.0
32000014,5.4,6.25,3.0,-1,-1,-1,5.5,8.25,9.25,-1,7.67
32000015,4.0,6.75,4.0,-1,-1,-1,5.75,8.0,9.25,-1,7.67
32000016,8.4,6.25,4.4,7.0,6.75,4.0,-1,-1,-1,5.92,-1
32000017,3.2,5.5,1.4,-1,-1,-1,3.75,7.0,8.0,-1,6.25
32000018,3.8,6.25,3.0,-1,-1,-1,4.0,5.5,7.75,-1,5.75
32000019,7.0,5.75,3.0,5.75,5.75,5.0,-1,-1,-1,5.5,-1
32000020,5.4,6.25,2.0,-1,-1,-1,5.25,7.5,9.5,-1,7.42
32000021,3.6,5.0,5.0,-1,-1,-1,2.5,5.75,9.75,-1,6.0
32000022,6.4,5.0,5.6,-1,-1,-1,4.75,7.0,9.0,-1,6.92
32000023,6.4,7.75,9.4,-1,-1,-1,6.75,7.25,9.25,-1,7.75
32000024,7.2,7.75,6.6,-1,-1,-1,7.25,8.25,8.75,-1,8.08
32000025,4.8,6.75,2.8,-1,-1,-1,5.75,6.0,7.5,-1,6.42
32000026,6.2,6.25,5.6,-1,-1,-1,6.0,6.75,8.5,-1,7.08
32000027,6.6,6.5,3.8,6.0,6.0,3.5,-1,-1,-1,5.17,-1
32000028,4.8,5.75,4.0,-1,-1,-1,4.0,6.75,8.5,-1,6.42
32000029,7.8,6.75,5.8,6.25,4.75,4.5,-1,-1,-1,5.17,-1
32000030,4.4,4.5,3.4,-1,-1,-1,5.0,5.5,7.75,-1,6.08
32000031,3.2,3.5,3.0,-1,-1,-1,3.75,5.25,6.25,-1,5.08
32000032,4.2,5.0,4.2,-1,-1,-1,4.5,6.0,9.0,-1,6.5
32000033,6.2,5.0,3.2,7.0,5.0,4.75,-1,-1,-1,5.58,-1
32000034,4.2,4.75,3.2,-1,-1,-1,1.75,6.0,8.0,-1,5.25
32000035,4.6,4.25,3.8,-1,-1,-1,5.25,6.75,8.0,-1,6.67
32000036,3.6,5.0,3.2,-1,-1,-1,4.75,6.75,7.25,-1,6.25
32000037,4.6,5.0,3.2,4.5,5.0,3.75,-1,-1,-1,4.42,-1
32000038,4.4,5.75,4.8,-1,-1,-1,4.5,8.0,8.25,-1,6.92
32000039,6.4,6.75,3.2,-1,-1,-1,6.75,8.25,9.0,-1,8.0
32000040,8.4,7.5,7.2,6.75,8.0,5.75,-1,-1,-1,6.83,-1
32000041,7.2,7.5,4.8,-1,-1,-1,6.25,8.5,9.25,-1,8.0
32000042,5.4,8.75,5.8,-1,-1,-1,8.0,9.5,8.0,-1,8.5
32000043,3.0,5.5,4.0,-1,-1,-1,4.0,5.5,8.0,-1,5.83
32000044,4.6,4.75,4.0,-1,-1,-1,3.25,7.5,7.25,-1,6.0
32000045,4.0,1.5,3.6,-1,-1,-1,3.25,5.25,7.0,-1,5.17
32000046,4.8,5.5,3.2,-1,-1,-1,7.25,8.75,8.75,-1,8.25
32000047,7.8,5.0,6.2,5.25,3.0,3.0,-1,-1,-1,3.75,-1
32000048,4.8,5.5,2.6,-1,-1,-1,6.25,6.75,8.25,-1,7.08
32000049,4.8,4.75,3.8,-1,-1,-1,2.0,1.5,2.0,-1,1.83
