SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
35000001,9.4,6.25,6.4,7.75,9.5,9.25,-1,-1,-1,8.83,-1
35000002,4.8,6.25,3.6,5.25,5.0,5.5,-1,-1,-1,5.25,-1
35000003,8.2,7.5,7.2,8.25,-1,9.25,-1,-1,-1,9.17,-1
35000004,5.0,5.0,3.6,6.0,5.0,3.75,-1,-1,-1,4.92,-1
35000005,7.0,6.0,3.2,6.5,5.75,3.25,-1,-1,-1,5.17,-1
35000006,7.2,3.5,4.4,6.75,6.75,4.0,-1,-1,-1,5.83,-1
35000007,3.4,5.0,2.8,3.0,5.0,3.5,-1,-1,-1,3.83,-1
35000008,6.8,5.5,2.8,6.0,5.5,2.25,-1,-1,-1,4.58,-1
35000009,5.8,5.5,3.6,5.0,6.5,5.0,-1,-1,-1,5.5,-1
35000010,6.6,7.0,7.0,3.75,3.5,4.75,-1,-1,-1,4.0,-1
35000011,2.0,3.75,2.4,3.25,1.75,3.5,-1,-1,-1,2.83,-1
35000012,5.8,5.0,3.4,4.0,4.0,3.75,-1,-1,-1,3.92,-1
35000013,8.4,6.75,5.6,4.75,8.25,8.25,-1,-1,-1,7.08,-1
35000014,7.8,5.5,4.2,5.75,5.25,3.75,-1,-1,-1,4.92,-1
35000015,8.2,8.25,6.6,7.5,8.5,5.0,-1,-1,-1,7.0,-1
35000016,9.0,6.25,2.6,7.5,8.0,4.5,-1,-1,-1,6.67,-1
35000017,7.4,3.25,2.0,6.5,7.25,2.5,-1,-1,-1,5.42,-1
35000018,9.4,7.0,4.4,6.0,9.25,8.25,-1,-1,-1,7.83,-1
35000019,7.4,5.25,4.4,5.0,5.0,4.25,-1,-1,-1,4.75,-1
35000020,7.2,7.25,4.0,4.75,6.75,4.5,-1,-1,-1,5.33,-1
35000021,6.8,7.75,5.0,6.75,7.0,4.0,-1,-1,-1,5.92,-1
35000022,9.0,5.0,6.8,6.75,9.0,9.25,-1,-1,-1,8.33,-1
35000023,4.4,4.25,3.0,5.0,2.25,3.75,-1,-1,-1,3.67,-1
35000024,4.6,5.5,3.4,5.25,6.75,5.25,-1,-1,-1,5.75,-1
35000025,4.4,6.0,3.0,4.5,4.5,4.75,-1,-1,-1,4.58,-1
35000026,4.2,5.0,3.0,4.75,4.0,3.75,-1,-1,-1,4.17,-1
35000027,8.0,6.0,7.2,8.5,9.0,6.0,-1,-1,-1,7.83,-1
35000028,3.8,6.0,4.2,3.25,5.5,4.75,-1,-1,-1,4.5,-1
35000029,6.2,4.75,4.4,7.25,6.0,2.75,-1,-1,-1,5.33,-1
35000030,3.8,4.5,3.0,2.75,5.25,3.25,-1,-1,-1,3.75,-1
35000031,4.2,4.5,2.4,4.0,3.25,2.5,-1,-1,-1,3.25,-1
35000032,5.6,5.5,1.2,4.0,2.5,5.75,-1,-1,-1,4.08,-1
35000033,7.6,4.75,2.8,7.0,7.0,3.25,-1,-1,-1,5.75,-1
35000034,5.2,6.25,3.6,3.5,3.0,3.75,-1,-1,-1,3.42,-1
35000035,3.2,5.25,2.0,2.0,3.25,3.5,-1,-1,-1,2.92,-1
35000036,7.4,7.75,5.0,5.5,5.25,5.0,-1,-1,-1,5.25,-1
35000037,8.2,6.25,5.8,7.25,8.5,4.25,-1,-1,-1,6.67,-1
35000038,4.8,5.5,2.8,4.75,4.75,4.75,-1,-1,-1,4.75,-1
35000039,7.6,5.0,3.8,6.0,7.5,4.5,-1,-1,-1,6.0,-1
35000040,6.2,6.5,3.0,5.0,3.5,4.0,-1,-1,-1,4.17,-1
35000041,8.4,6.5,6.0,7.5,7.5,2.0,-1,-1,-1,5.67,-1
35000042,5.2,7.0,4.6,5.25,5.25,4.75,-1,-1,-1,5.08,-1
35000043,5.0,5.5,3.2,3.5,3.25,4.75,-1,-1,-1,3.83,-1
35000044,5.8,5.5,2.4,4.5,3.75,4.5,-1,-1,-1,4.25,-1
35000045,7.4,4.5,4.0,4.5,4.25,5.5,-1,-1,-1,4.75,-1
35000046,4.8,5.25,3.6,6.25,5.5,3.5,-1,-1,-1,5.08,-1
35000047,7.4,7.5,5.8,4.5,5.0,4.0,-1,-1,-1,4.5,-1
35000048,8.6,7.75,7.2,6.5,8.75,8.25,-1,-1,-1,7.83,-1
35000049,8.0,8.75,3.8,5.25,5.5,5.5,-1,-1,-1,5.42,-1
35000050,8.6,7.0,7.6,7.75,7.5,4.75,-1,-1,-1,6.67,-1
35000051,6.4,6.5,2.6,4.75,4.75,7.25,-1,-1,-1,5.58,-1
35000052,8.2,6.0,8.0,8.25,5.5,4.25,-1,-1,-1,6.0,-1
35000053,5.0,6.5,4.2,5.25,4.25,3.25,-1,-1,-1,4.25,-1
35000054,8.4,7.25,3.8,8.25,9.25,7.0,-1,-1,-1,8.17,-1
35000055,6.4,7.75,5.0,5.5,5.25,6.5,-1,-1,-1,5.75,-1
35000056,6.6,5.5,2.6,6.25,7.0,4.0,-1,-1,-1,5.75,-1
35000057,6.0,7.5,8.0,5.5,4.0,5.5,-1,-1,-1,5.0,-1
35000058,7.4,5.75,5.4,6.75,5.25,4.5,-1,-1,-1,5.5,-1
35000059,5.6,6.0,3.4,5.75,6.0,5.5,-1,-1,-1,5.75,-1
35000060,6.0,7.5,4.2,6.0,6.75,3.5,-1,-1,-1,5.42,-1
35000061,8.8,6.75,7.0,7.75,7.75,5.75,-1,-1,-1,7.08,-1
35000062,8.6,7.0,4.4,7.0,7.75,5.25,-1,-1,-1,6.67,-1
35000063,7.0,7.0,5.4,6.5,6.25,5.5,-1,-1,-1,6.08,-1
35000064,4.0,6.0,2.6,3.0,3.75,3.75,-1,-1,-1,3.5,-1
35000065,7.2,7.25,3.6,5.75,6.75,3.25,-1,-1,-1,5.25,-1
35000066,3.8,3.75,2.8,4.75,2.75,3.75,-1,-1,-1,3.75,-1
35000067,7.8,6.0,3.0,6.5,7.75,4.0,-1,-1,-1,6.08,-1
35000068,8.0,5.25,5.0,7.0,7.75,4.75,-1,-1,-1,6.5,-1
35000069,7.4,6.0,5.0,4.75,6.25,7.25,-1,-1,-1,6.08,-1
35000070,6.0,4.0,3.8,7.5,5.75,5.0,-1,-1,-1,6.08,-1
35000071,9.4,5.75,3.2,5.75,9.25,9.0,-1,-1,-1,8.0,-1
35000072,6.8,3.5,6.0,7.75,7.5,5.5,-1,-1,-1,6.92,-1
35000073,8.2,5.25,6.8,6.0,2.75,4.25,-1,-1,-1,4.33,-1
35000074,6.6,6.5,2.6,5.75,6.0,3.5,-1,-1,-1,5.08,-1
35000075,4.8,5.5,4.0,5.0,4.5,4.25,-1,-1,-1,4.58,-1
35000076,6.2,7.0,3.6,5.0,7.25,5.0,-1,-1,-1,5.75,-1
35000077,5.8,6.0,5.6,5.5,6.25,4.75,-1,-1,-1,5.5,-1
35000078,8.8,4.5,1.6,8.0,5.5,3.75,-1,-1,-1,5.75,-1
35000079,7.2,5.25,3.2,6.75,5.25,2.0,-1,-1,-1,4.67,-1
35000080,8.0,5.75,4.4,7.5,7.5,5.5,-1,-1,-1,6.83,-1
35000081,6.4,2.75,3.4,6.5,6.25,3.5,-1,-1,-1,5.42,-1
35000082,8.8,6.25,9.4,8.5,8.0,7.0,-1,-1,-1,7.83,-1
35000083,7.2,7.5,5.0,6.25,7.5,3.75,-1,-1,-1,5.83,-1
35000084,7.2,7.0,6.4,5.5,5.5,4.0,-1,-1,-1,5.0,-1
35000085,7.0,8.0,8.4,7.25,5.25,4.0,-1,-1,-1,5.5,-1
35000086,7.4,7.25,3.8,3.25,6.5,6.75,-1,-1,-1,5.5,-1
35000087,5.6,5.75,4.4,4.0,4.25,3.75,-1,-1,-1,4.0,-1
35000088,8.2,6.25,3.8,8.25,7.25,4.5,-1,-1,-1,6.67,-1
35000089,5.2,5.75,4.2,5.0,6.25,5.0,-1,-1,-1,5.42,-1
35000090,6.8,8.0,7.6,4.25,3.75,4.25,-1,-1,-1,4.08,-1
35000091,5.8,6.5,4.2,5.0,4.5,2.75,-1,-1,-1,4.08,-1
35000092,6.0,7.0,5.2,6.75,7.0,5.0,-1,-1,-1,6.25,-1
35000093,4.6,5.5,3.8,5.0,5.75,3.0,-1,-1,-1,4.58,-1
35000094,6.2,6.5,4.2,5.0,7.0,3.25,-1,-1,-1,5.08,-1
35000095,7.4,7.0,4.4,4.5,6.25,4.75,-1,-1,-1,5.17,-1
35000096,3.8,6.0,4.0,4.5,3.75,4.25,-1,-1,-1,4.17,-1
35000097,7.4,8.0,5.4,4.5,6.0,3.5,-1,-1,-1,4.67,-1
35000098,8.8,7.0,4.4,7.75,7.75,5.0,-1,-1,-1,6.83,-1
35000099,5.0,6.0,3.2,6.0,5.25,2.5,-1,-1,-1,4.58,-1
35000100,7.8,6.5,4.2,7.0,8.0,7.75,-1,-1,-1,7.58,-1
35000101,7.8,7.0,3.2,5.0,5.5,3.5,-1,-1,-1,4.67,-1
35000102,5.6,7.0,3.4,5.75,5.0,3.25,-1,-1,-1,4.67,-1
35000103,6.8,9.0,8.4,7.0,5.25,2.75,-1,-1,-1,5.0,-1
35000104,5.8,4.75,2.2,4.0,4.5,4.75,-1,-1,-1,4.42,-1
35000105,8.8,4.75,6.2,6.75,9.0,8.5,-1,-1,-1,8.08,-1
35000106,8.0,5.5,5.8,8.25,8.25,4.5,-1,-1,-1,7.0,-1
35000107,6.4,3.5,4.4,7.0,6.25,2.75,-1,-1,-1,5.33,-1
35000108,5.2,6.5,3.8,4.0,5.5,6.75,-1,-1,-1,5.42,-1
35000109,4.4,5.25,3.6,3.25,6.5,3.0,-1,-1,-1,4.25,-1
35000110,7.0,6.5,4.8,5.0,5.75,4.75,-1,-1,-1,5.17,-1
35000111,6.6,6.25,6.8,5.75,5.75,3.25,-1,-1,-1,4.92,-1
35000112,6.6,5.5,3.6,4.25,5.5,6.0,-1,-1,-1,5.25,-1
35000113,7.4,6.75,4.0,5.0,6.25,6.5,-1,-1,-1,5.92,-1
35000114,6.6,6.0,4.6,4.5,6.0,6.5,-1,-1,-1,5.67,-1
35000115,7.8,5.0,3.8,5.75,6.75,4.5,-1,-1,-1,5.67,-1
35000116,5.8,6.75,3.0,5.25,4.25,5.5,-1,-1,-1,5.0,-1
35000117,7.4,6.5,3.4,5.75,5.5,4.75,-1,-1,-1,5.33,-1
35000118,7.0,7.75,4.0,6.0,6.75,6.5,-1,-1,-1,6.42,-1
35000119,9.4,6.0,3.8,5.0,9.5,8.5,-1,-1,-1,7.67,-1
35000120,7.8,7.75,7.0,5.75,7.25,4.75,-1,-1,-1,5.92,-1
35000121,5.6,6.25,4.0,5.5,3.5,2.75,-1,-1,-1,3.92,-1
35000122,7.6,8.25,6.8,5.5,5.75,3.25,-1,-1,-1,4.83,-1
35000123,6.4,4.5,3.8,5.75,5.75,5.0,-1,-1,-1,5.5,-1
35000124,4.4,6.0,3.6,6.0,6.75,3.0,-1,-1,-1,5.25,-1
35000125,3.8,6.0,3.0,5.25,7.25,4.75,-1,-1,-1,5.75,-1
35000126,5.8,5.75,3.4,5.25,6.0,2.75,-1,-1,-1,4.67,-1
