SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
37000001,7.2,5.75,4.2,7.0,6.75,4.5,-1,-1,-1,6.08,-1
37000002,3.6,6.5,3.8,-1,-1,-1,4.5,8.5,7.25,-1,6.75
37000003,3.0,5.0,3.0,-1,-1,-1,6.5,6.25,7.5,-1,6.75
37000004,8.0,6.75,5.0,2.5,6.75,6.75,-1,-1,-1,5.33,-1
37000005,7.4,7.25,5.0,6.25,4.0,5.75,-1,-1,-1,5.33,-1
37000006,2.8,5.75,3.4,-1,-1,-1,5.25,7.25,7.25,-1,6.58
37000007,5.6,5.5,7.2,6.5,3.0,3.5,-1,-1,-1,4.33,-1
37000008,6.2,5.75,8.6,6.25,3.5,5.25,-1,-1,-1,5.0,-1
37000009,5.6,6.0,8.4,-1,-1,-1,3.25,4.75,7.0,-1,5.0
37000010,6.0,7.25,6.2,5.25,5.0,3.5,-1,-1,-1,4.58,-1
37000011,6.2,7.25,5.0,5.0,3.0,3.75,-1,-1,-1,3.92,-1
37000012,6.0,6.25,7.6,-1,-1,-1,4.75,6.75,7.75,-1,6.42
37000013,8.0,7.25,5.0,6.5,7.25,7.0,-1,-1,-1,6.92,-1
37000014,8.2,7.5,9.6,6.75,3.75,4.75,-1,-1,-1,5.08,-1
37000015,8.6,8.0,8.2,7.75,6.25,5.0,-1,-1,-1,6.33,-1
37000016,5.6,5.25,5.2,4.75,4.0,5.0,-1,-1,-1,4.58,-1
37000017,4.0,6.25,4.6,-1,-1,-1,3.5,5.75,6.75,-1,5.33
37000018,4.2,6.25,3.0,-1,-1,-1,4.25,7.25,8.5,-1,6.67
37000019,9.2,3.75,4.4,8.25,8.5,2.5,-1,-1,-1,6.42,-1
37000020,6.0,7.75,8.0,-1,-1,-1,4.5,6.0,7.0,-1,5.83
37000021,3.4,4.5,3.8,-1,-1,-1,4.5,5.25,6.75,-1,5.5
37000022,7.6,5.0,6.0,6.5,6.25,3.5,-1,-1,-1,5.42,-1
37000023,8.6,4.5,6.8,8.25,9.75,6.0,-1,-1,-1,8.0,-1
37000024,8.4,7.5,8.0,6.5,3.75,4.25,-1,-1,-1,4.83,-1
37000025,5.4,8.25,9.6,-1,-1,-1,7.0,9.25,9.25,-1,8.5
37000026,9.2,5.5,8.8,4.75,5.5,3.5,-1,-1,-1,4.58,-1
37000027,3.2,5.75,2.2,-1,-1,-1,2.75,4.5,6.0,-1,4.42
37000028,6.8,4.75,8.2,5.0,4.75,4.0,-1,-1,-1,4.58,-1
37000029,7.6,4.25,8.6,7.5,3.5,4.0,-1,-1,-1,5.0,-1
37000030,7.0,6.0,6.0,6.5,4.0,4.25,-1,-1,-1,4.92,-1
37000031,5.8,8.75,6.4,4.25,3.75,3.0,-1,-1,-1,3.67,-1
37000032,7.6,8.25,9.0,5.75,4.0,3.75,-1,-1,-1,4.5,-1
37000033,7.2,6.5,8.0,6.75,6.5,8.25,-1,-1,-1,7.17,-1
37000034,7.0,6.5,7.0,6.25,5.0,6.25,-1,-1,-1,5.83,-1
37000035,5.2,4.75,4.0,5.25,2.75,3.5,-1,-1,-1,3.83,-1
37000036,7.8,8.0,8.8,6.25,7.0,4.0,-1,-1,-1,5.75,-1
37000037,2.4,4.5,2.8,-1,-1,-1,3.25,4.75,6.0,-1,4.67
37000038,8.0,5.5,4.4,6.5,6.5,3.5,-1,-1,-1,5.5,-1
37000039,4.8,6.25,4.0,-1,-1,-1,5.75,6.5,8.25,-1,6.83
37000040,3.6,5.0,3.2,-1,-1,-1,3.75,5.25,6.75,-1,5.25
37000041,4.4,7.5,6.4,-1,-1,-1,9.25,9.25,7.5,-1,8.67
37000042,3.6,6.0,2.8,-1,-1,-1,6.25,5.5,9.25,-1,7.0
37000043,7.8,7.25,6.0,3.5,6.75,7.75,-1,-1,-1,6.0,-1
37000044,8.6,3.75,-1,8.75,4.0,4.5,-1,-1,-1,5.75,-1
37000045,4.0,6.25,4.6,-1,-1,-1,5.0,5.25,8.25,-1,6.17
37000046,4.6,5.5,2.6,-1,-1,-1,5.5,4.25,7.75,-1,5.83
37000047,4.2,6.25,3.8,-1,-1,-1,7.0,7.0,9.25,-1,7.75
37000048,3.6,6.5,4.6,-1,-1,-1,4.75,6.5,7.75,-1,6.33
37000049,4.0,7.25,6.2,-1,-1,-1,3.0,6.25,7.5,-1,5.58
37000050,5.0,7.5,5.2,3.5,3.0,4.75,-1,-1,-1,3.75,-1
37000051,4.4,8.0,5.8,-1,-1,-1,4.0,7.25,9.0,-1,6.75
37000052,9.0,6.25,8.2,7.75,9.25,8.5,-1,-1,-1,8.5,-1
37000053,7.6,5.0,5.6,4.75,2.5,4.25,-1,-1,-1,3.83,-1
37000054,8.4,5.75,3.2,3.25,6.25,6.75,-1,-1,-1,5.42,-1
37000055,7.4,5.5,7.4,4.75,7.75,3.5,-1,-1,-1,5.33,-1
37000056,7.6,6.0,5.8,6.75,6.0,4.5,-1,-1,-1,5.75,-1
37000057,7.2,6.25,8.0,7.25,7.0,5.5,-1,-1,-1,6.58,-1
37000058,9.2,3.75,5.0,7.5,7.5,2.75,-1,-1,-1,5.92,-1
37000059,4.6,5.5,6.4,3.0,3.75,4.25,-1,-1,-1,3.67,-1
37000060,8.0,5.75,4.4,5.5,7.0,7.25,-1,-1,-1,6.58,-1
37000061,8.0,6.25,6.0,6.25,6.75,4.25,-1,-1,-1,5.75,-1
37000062,9.2,4.5,7.2,8.25,8.75,4.0,-1,-1,-1,7.0,-1
37000063,7.2,5.5,8.4,6.25,6.75,3.5,-1,-1,-1,5.5,-1
37000064,4.0,7.5,4.0,-1,-1,-1,5.75,6.75,8.25,-1,6.92
37000065,8.6,6.0,7.2,8.0,9.25,6.25,-1,-1,-1,7.83,-1
37000066,5.2,7.0,6.0,5.25,4.5,3.25,-1,-1,-1,4.33,-1
37000067,3.6,5.0,3.4,-1,-1,-1,5.0,4.0,7.5,-1,5.5
37000068,8.8,8.5,9.0,8.25,4.75,5.0,7.25,8.5,7.75,6.0,7.83
37000069,7.0,7.5,6.8,6.5,4.0,4.5,-1,-1,-1,5.0,-1
37000070,6.4,7.0,5.8,6.75,7.5,8.5,-1,-1,-1,7.58,-1
37000071,3.4,6.0,3.4,-1,-1,-1,4.25,6.5,7.5,-1,6.08
37000072,5.4,7.25,8.6,4.5,3.5,3.25,-1,-1,-1,3.75,-1
37000073,5.4,7.75,6.6,-1,-1,-1,8.0,8.25,8.25,-1,8.17
37000074,4.0,5.0,3.0,-1,-1,-1,6.75,5.5,8.75,-1,7.0
37000075,7.4,5.5,5.8,6.0,6.25,3.25,-1,-1,-1,5.17,-1
37000076,6.8,8.75,7.6,-1,-1,-1,4.25,7.5,9.25,-1,7.0
37000077,8.8,6.0,8.8,5.5,9.0,6.5,-1,-1,-1,7.0,-1
37000078,7.4,6.5,5.2,6.0,7.0,7.0,-1,-1,-1,6.67,-1
37000079,5.6,4.0,7.0,4.75,4.0,3.25,-1,-1,-1,4.0,-1
37000080,5.4,6.0,4.6,-1,-1,-1,5.75,6.25,6.75,-1,6.25
37000081,7.8,6.5,5.6,3.25,2.5,3.75,-1,-1,-1,3.17,-1
37000082,7.8,5.75,9.0,6.5,5.5,5.75,-1,-1,-1,5.92,-1
37000083,2.4,6.25,4.6,-1,-1,-1,4.75,7.0,8.0,-1,6.58
37000084,7.0,6.25,6.0,7.5,7.25,3.25,-1,-1,-1,6.0,-1
37000085,6.4,6.75,4.0,6.75,6.5,4.75,-1,-1,-1,6.0,-1
37000086,8.6,7.0,3.6,4.5,7.5,9.25,-1,-1,-1,7.08,-1
37000087,5.0,5.5,6.8,5.0,5.25,4.0,-1,-1,-1,4.75,-1
