SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
41000001,3.2,5.25,3.0,-1,-1,-1,7.0,5.75,8.5,-1,7.08
41000002,4.4,3.0,-1,-1,-1,-1,6.25,5.75,-1,-1,-1
41000003,2.0,3.25,3.4,-1,-1,-1,3.0,3.5,4.25,-1,3.58
41000004,2.6,5.75,4.2,-1,-1,-1,3.25,3.5,7.75,-1,4.83
41000005,1.8,2.5,2.8,3.25,3.0,4.0,-1,-1,-1,3.42,-1
41000006,2.2,4.5,1.4,-1,-1,-1,2.25,4.25,6.5,-1,4.33
41000007,3.8,6.0,3.4,-1,-1,-1,7.0,8.25,9.5,-1,8.25
41000008,2.6,4.5,2.2,-1,-1,-1,3.75,4.5,6.75,-1,5.0
41000009,1.8,2.0,2.4,-1,-1,-1,3.5,4.25,6.25,-1,4.67
41000010,-1,3.5,-1,-1,-1,-1,5.5,6.25,-1,-1,-1
41000011,2.0,3.75,2.8,-1,-1,-1,3.0,3.75,6.75,-1,4.5
41000012,2.4,5.25,3.2,-1,-1,-1,5.5,7.25,6.25,-1,6.33
41000013,3.4,4.25,3.6,-1,-1,-1,2.75,3.75,4.5,-1,3.67
41000014,2.4,3.75,3.2,-1,-1,-1,3.5,5.25,5.75,-1,4.83
41000015,2.4,2.0,2.8,-1,-1,-1,3.0,4.25,4.75,-1,4.0
41000016,2.2,1.25,-1,-1,-1,-1,4.25,3.25,-1,-1,-1
41000017,2.4,3.25,3.2,-1,-1,-1,3.75,5.75,8.25,-1,5.92
41000018,2.8,3.5,-1,-1,-1,-1,3.75,5.5,-1,-1,-1
41000019,1.6,1.75,3.4,-1,-1,-1,3.5,3.5,5.25,-1,4.08
41000020,2.2,2.5,3.2,-1,-1,-1,2.25,3.5,6.75,-1,4.17
41000021,2.6,4.25,-1,-1,-1,-1,4.75,4.5,-1,-1,-1
41000022,8.6,6.5,3.0,7.75,6.75,4.75,-1,-1,-1,6.42,-1
41000023,6.2,-1,-1,6.75,5.75,-1,-1,-1,-1,-1,-1
41000024,1.8,2.25,1.6,-1,-1,-1,5.0,5.5,6.5,-1,5.67
41000025,5.2,6.25,3.8,4.5,5.0,5.0,-1,-1,-1,4.83,-1
41000026,5.2,6.0,3.2,-1,-1,-1,4.25,6.75,8.5,-1,6.5
41000027,2.2,2.75,-1,-1,-1,-1,3.0,4.5,-1,-1,-1
41000028,3.2,2.25,1.2,-1,-1,-1,2.5,5.0,4.0,-1,3.83
41000029,2.6,1.75,-1,-1,-1,-1,2.0,5.5,-1,-1,-1
41000030,4.4,4.5,3.6,-1,-1,-1,4.75,6.0,8.0,-1,6.25
41000031,3.2,1.5,-1,-1,-1,-1,2.75,4.25,-1,-1,-1
41000032,2.8,3.5,4.2,-1,-1,-1,3.5,4.5,5.0,-1,4.33
41000033,3.4,3.0,3.6,-1,-1,-1,3.0,4.75,8.5,-1,5.42
41000034,5.2,5.0,3.8,4.25,5.0,4.25,-1,-1,-1,4.5,-1
41000035,1.8,3.25,-1,-1,-1,-1,2.5,5.75,-1,-1,-1
41000036,3.2,5.0,3.0,-1,-1,-1,3.0,4.75,6.75,-1,4.83
41000037,3.0,2.75,2.8,-1,-1,-1,4.0,4.25,7.25,-1,5.17
41000038,2.2,4.5,4.4,-1,-1,-1,5.75,7.0,7.25,-1,6.67
41000039,2.8,2.5,-1,-1,-1,-1,2.5,4.25,-1,-1,-1
41000040,3.4,2.75,-1,-1,-1,-1,7.25,3.25,-1,-1,-1
41000041,6.8,3.75,3.6,5.0,5.0,4.0,-1,-1,-1,4.67,-1
41000042,1.8,2.5,3.8,-1,-1,-1,2.0,3.0,4.5,-1,3.17
41000043,5.2,4.5,3.6,4.25,4.0,6.5,-1,-1,-1,4.92,-1
41000044,2.4,2.75,2.8,-1,-1,-1,2.5,4.5,6.25,-1,4.42
41000045,2.8,-1,-1,4.25,1.5,-1,-1,-1,-1,-1,-1
41000046,6.6,4.75,3.6,6.0,6.5,3.5,-1,-1,-1,5.33,-1
41000047,3.8,-1,-1,3.25,5.0,-1,-1,-1,-1,-1,-1
41000048,4.4,3.0,-1,-1,-1,-1,7.5,4.25,-1,-1,-1
41000049,9.0,6.5,5.4,7.0,6.0,6.0,-1,-1,-1,6.33,-1
41000050,2.6,2.5,2.2,-1,-1,-1,2.25,3.25,4.5,-1,3.33
41000051,2.8,2.25,2.6,-1,-1,-1,1.75,4.0,4.75,-1,3.5
41000052,2.4,2.75,2.8,-1,-1,-1,3.75,3.75,4.75,-1,4.08
