SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
44000001,7.0,6.5,6.6,5.75,6.25,5.25,-1,-1,-1,5.75,-1
44000002,4.6,7.0,5.0,3.5,3.5,3.5,-1,-1,-1,3.5,-1
44000003,6.8,6.25,5.2,6.25,6.75,5.75,-1,-1,-1,6.25,-1
44000004,8.2,7.5,7.6,7.25,5.25,4.0,-1,-1,-1,5.5,-1
44000005,4.2,5.5,2.8,4.75,4.5,4.5,-1,-1,-1,4.58,-1
44000006,5.6,6.25,4.4,4.75,5.5,7.0,-1,-1,-1,5.75,-1
44000007,9.4,5.25,5.6,7.5,8.25,5.5,-1,-1,-1,7.08,-1
44000008,5.2,7.0,3.4,6.0,5.25,4.25,-1,-1,-1,5.17,-1
44000009,7.2,6.25,7.6,4.75,5.25,6.25,-1,-1,-1,5.42,-1
44000010,4.2,3.75,3.4,2.75,3.0,5.25,-1,-1,-1,3.67,-1
44000011,8.8,7.0,9.0,7.25,9.75,9.25,-1,-1,-1,8.75,-1
44000012,7.6,6.75,9.0,4.75,7.25,7.25,-1,-1,-1,6.42,-1
44000013,5.4,8.0,6.0,5.5,5.25,5.5,-1,-1,-1,5.42,-1
44000014,8.4,7.75,9.4,7.0,4.0,4.75,-1,-1,-1,5.25,-1
44000015,5.4,5.0,5.8,3.0,4.0,4.0,-1,-1,-1,3.67,-1
44000016,5.4,6.25,4.4,5.75,5.75,5.75,-1,-1,-1,5.75,-1
44000017,5.4,7.25,4.2,5.25,6.5,5.5,-1,-1,-1,5.75,-1
44000018,5.6,7.0,5.4,4.5,5.25,3.75,-1,-1,-1,4.5,-1
44000019,8.2,7.0,4.0,7.25,7.25,4.25,-1,-1,-1,6.25,-1
44000020,4.6,5.25,4.2,4.25,4.5,5.0,-1,-1,-1,4.58,-1
44000021,5.8,7.0,5.2,5.5,5.0,4.0,-1,-1,-1,4.83,-1
44000022,9.0,6.75,6.4,8.25,9.0,5.5,-1,-1,-1,7.58,-1
44000023,7.0,5.75,3.2,5.5,6.0,5.25,-1,-1,-1,5.58,-1
44000024,5.8,6.25,5.6,3.75,4.25,5.0,-1,-1,-1,4.33,-1
44000025,7.2,6.25,8.6,4.5,5.0,7.25,-1,-1,-1,5.58,-1
44000026,6.6,6.75,4.4,5.75,5.75,5.0,-1,-1,-1,5.5,-1
