SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
49000001,5.6,7.25,3.6,4.25,3.0,4.5,-1,-1,-1,3.92,-1
49000002,4.6,5.5,-1,-1,-1,-1,5.5,6.75,-1,-1,-1
49000003,4.6,4.5,3.8,-1,-1,-1,5.0,5.0,7.5,-1,5.83
49000004,4.8,3.75,4.0,-1,-1,-1,3.5,5.25,7.5,-1,5.42
49000005,5.8,6.75,4.2,6.25,5.75,6.25,-1,-1,-1,6.08,-1
49000006,4.8,6.0,3.8,-1,-1,-1,6.0,6.0,9.75,-1,7.25
49000007,6.0,6.25,5.0,6.25,6.0,5.0,-1,-1,-1,5.75,-1
49000008,5.8,6.5,5.8,-1,-1,-1,6.0,6.5,9.0,-1,7.17
49000009,4.2,5.0,-1,2.25,3.5,3.25,7.0,7.5,-1,3.0,-1
49000010,3.0,5.0,2.2,2.5,1.75,3.25,-1,-1,-1,2.5,-1
49000011,2.8,6.0,2.2,-1,-1,-1,4.5,4.5,9.0,-1,6.0
49000012,3.4,6.25,3.6,-1,-1,-1,7.25,7.75,8.75,-1,7.92
49000013,5.2,6.25,4.6,4.5,4.75,5.5,-1,-1,-1,4.92,-1
49000014,5.6,7.0,3.4,5.5,5.75,4.0,-1,-1,-1,5.08,-1
49000015,6.8,6.25,5.0,5.0,5.25,4.25,-1,-1,-1,4.83,-1
49000016,4.0,6.5,3.4,-1,-1,-1,4.0,3.0,7.5,-1,4.83
49000017,3.2,6.0,3.8,-1,-1,-1,4.25,6.0,8.5,-1,6.25
49000018,4.6,4.75,3.0,-1,-1,-1,5.0,8.25,8.75,-1,7.33
49000019,5.6,5.0,3.2,-1,-1,-1,5.75,7.0,7.5,-1,6.75
49000020,4.6,6.75,3.4,-1,-1,-1,5.25,7.75,8.5,-1,7.17
49000021,4.2,4.75,2.8,-1,-1,-1,5.0,5.75,8.5,-1,6.42
49000022,3.6,6.75,-1,-1,-1,-1,3.75,5.75,-1,-1,-1
49000023,3.4,5.5,3.6,-1,-1,-1,3.25,4.75,8.0,-1,5.33
49000024,4.8,5.25,3.2,5.0,5.0,4.0,-1,-1,-1,4.67,-1
49000025,5.2,6.5,5.0,-1,-1,-1,5.75,6.75,9.0,-1,7.17
49000026,3.6,5.75,3.8,5.25,3.75,4.5,-1,-1,-1,4.5,-1
49000027,4.4,5.75,3.2,-1,2.5,2.75,-1,-1,-1,-1,-1
49000028,3.0,6.25,2.8,-1,-1,-1,3.5,5.0,7.0,-1,5.17
49000029,5.6,5.5,2.4,3.75,4.25,4.5,-1,-1,-1,4.17,-1
49000030,3.0,5.75,-1,-1,-1,-1,4.0,5.25,-1,-1,-1
49000031,4.4,6.25,3.8,-1,-1,-1,4.5,7.5,8.25,-1,6.75
49000032,6.4,5.25,3.8,5.75,5.0,6.25,-1,-1,-1,5.67,-1
49000033,4.6,5.0,-1,-1,-1,-1,5.5,5.75,-1,-1,-1
49000034,4.4,5.5,-1,-1,-1,-1,3.5,5.25,-1,-1,-1
49000035,7.2,7.5,5.6,6.25,5.0,6.75,-1,-1,-1,6.0,-1
49000036,3.0,5.5,-1,-1,-1,-1,3.25,5.75,-1,-1,-1
49000037,3.8,6.25,2.0,-1,-1,-1,3.25,5.5,7.5,-1,5.42
49000038,5.6,5.25,2.4,-1,-1,-1,5.25,7.0,8.5,-1,6.92
49000039,5.2,5.0,3.6,3.5,4.0,5.5,-1,-1,-1,4.33,-1
49000040,6.2,5.5,4.8,5.75,4.5,5.75,-1,-1,-1,5.33,-1
49000041,4.8,3.25,3.4,3.75,3.75,3.25,-1,-1,-1,3.58,-1
49000042,5.4,5.0,3.4,4.25,4.0,4.0,-1,-1,-1,4.08,-1
49000043,4.2,4.75,2.0,-1,-1,-1,2.75,3.75,6.5,-1,4.33
49000044,4.0,3.75,3.0,4.25,3.5,5.0,-1,-1,-1,4.25,-1
49000045,5.8,6.0,6.2,-1,-1,-1,7.0,8.0,9.5,-1,8.17
49000046,7.0,6.0,4.4,6.75,5.25,6.5,-1,-1,-1,6.17,-1
49000047,5.4,5.25,3.4,5.25,3.0,4.25,-1,-1,-1,4.17,-1
49000048,5.4,4.25,3.2,3.0,3.5,5.0,-1,-1,-1,3.83,-1
49000049,5.8,7.5,5.2,6.5,5.5,5.25,-1,-1,-1,5.75,-1
49000050,4.8,6.25,3.0,-1,-1,-1,4.25,6.5,8.25,-1,6.33
49000051,3.8,6.25,3.4,-1,-1,-1,4.5,7.25,8.75,-1,6.83
