SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
50000001,7.2,7.0,7.8,5.5,7.25,7.75,-1,-1,-1,6.83,-1
50000002,3.0,3.25,-1,-1,-1,-1,5.75,6.25,-1,-1,-1
50000003,3.6,6.0,2.2,3.75,3.25,3.75,-1,-1,-1,3.58,-1
50000004,6.8,7.5,7.4,4.5,6.25,5.75,-1,-1,-1,5.5,-1
50000005,5.4,6.5,-1,6.0,4.25,6.25,3.25,4.25,-1,5.5,-1
50000006,6.8,6.25,3.8,6.25,5.75,3.5,-1,-1,-1,5.17,-1
50000007,4.2,5.75,3.2,-1,-1,-1,3.75,7.0,7.5,-1,6.08
50000008,4.2,7.0,4.4,-1,-1,-1,4.0,5.25,8.5,-1,5.92
50000009,6.0,7.75,6.2,3.5,6.5,3.75,-1,-1,-1,4.58,-1
50000010,3.8,6.0,2.6,-1,-1,-1,5.25,6.0,7.25,-1,6.17
50000011,7.8,7.75,7.6,6.5,5.5,4.0,-1,-1,-1,5.33,-1
50000012,5.4,5.58,4.2,5.5,5.5,4.75,-1,-1,-1,5.25,-1
50000013,7.0,6.58,9.0,7.75,4.75,4.5,-1,-1,-1,5.67,-1
50000014,5.0,5.25,3.4,5.75,3.5,4.5,-1,-1,-1,4.58,-1
50000015,5.8,7.0,4.0,5.5,6.5,4.25,-1,-1,-1,5.42,-1
50000016,8.0,8.25,7.2,6.0,6.25,6.0,-1,-1,-1,6.08,-1
50000017,7.0,7.75,6.8,7.5,5.25,3.5,-1,-1,-1,5.42,-1
50000018,3.0,4.25,-1,-1,-1,-1,6.25,6.0,-1,-1,-1
50000019,7.4,9.25,6.4,-1,-1,-1,6.25,6.75,9.25,-1,7.42
50000020,6.4,7.75,5.0,-1,-1,-1,6.0,7.5,9.0,-1,7.5
50000021,3.6,6.0,3.8,-1,-1,-1,4.5,6.25,9.25,-1,6.67
50000022,5.8,5.5,3.2,-1,-1,-1,3.5,5.25,7.25,-1,5.33
50000023,6.0,6.25,5.8,7.25,5.25,4.5,-1,-1,-1,5.67,-1
50000024,6.8,5.25,5.4,5.75,5.5,5.5,-1,-1,-1,5.58,-1
50000025,3.0,5.75,3.0,-1,-1,-1,6.75,8.5,9.0,-1,8.08
50000026,4.8,6.25,6.6,5.0,4.5,4.75,-1,-1,-1,4.75,-1
50000027,5.4,6.75,5.2,6.5,5.0,6.75,-1,-1,-1,6.08,-1
50000028,5.4,7.25,6.2,5.25,4.75,4.25,-1,-1,-1,4.75,-1
50000029,7.2,5.75,5.6,4.0,8.25,8.5,-1,-1,-1,6.92,-1
50000030,5.6,5.0,3.8,-1,-1,-1,4.0,6.25,8.25,-1,6.17
50000031,7.0,7.5,5.8,6.0,5.0,4.5,-1,-1,-1,5.17,-1
50000032,4.6,4.5,3.6,4.25,2.75,5.0,-1,-1,-1,4.0,-1
50000033,4.4,6.75,3.8,-1,-1,-1,4.5,7.0,8.25,-1,6.58
50000034,4.4,4.5,4.6,-1,-1,-1,3.5,7.25,8.75,-1,6.5
50000035,6.8,5.25,5.4,6.75,6.5,5.0,-1,-1,-1,6.08,-1
50000036,3.4,3.5,-1,5.0,3.25,5.0,4.0,4.25,-1,4.42,-1
50000037,4.2,4.75,3.0,-1,-1,-1,3.0,5.0,5.25,-1,4.42
50000038,3.8,5.5,3.6,-1,-1,-1,4.25,8.0,8.25,-1,6.83
50000039,4.4,4.75,3.2,4.0,2.5,3.5,-1,-1,-1,3.33,-1
50000040,6.4,7.5,8.6,5.25,6.0,6.25,-1,-1,-1,5.83,-1
50000041,5.6,6.75,6.6,8.0,7.25,6.25,-1,-1,-1,7.17,-1
50000042,3.4,4.0,4.0,-1,-1,-1,5.0,6.5,8.5,-1,6.67
50000043,3.4,3.75,-1,2.5,2.5,4.25,3.25,6.0,-1,3.08,-1
50000044,8.4,7.0,6.6,-1,-1,-1,8.0,8.75,8.75,-1,8.5
50000045,5.2,5.75,4.4,-1,-1,-1,6.25,8.25,8.5,-1,7.67
50000046,3.6,8.0,7.4,-1,-1,-1,7.0,6.75,9.75,-1,7.83
50000047,8.4,7.25,5.6,7.25,8.75,4.5,-1,-1,-1,6.83,-1
50000048,6.6,5.5,5.0,7.25,4.5,6.25,-1,-1,-1,6.0,-1
50000049,4.2,5.5,3.0,-1,-1,-1,3.5,6.75,8.75,-1,6.33
50000050,3.6,5.0,3.2,-1,-1,-1,3.75,6.0,7.25,-1,5.67
50000051,5.4,5.75,4.6,-1,-1,-1,6.0,7.0,9.0,-1,7.33
50000052,6.4,6.0,3.0,5.0,5.0,4.25,-1,-1,-1,4.75,-1
50000053,6.4,6.75,5.4,6.5,4.25,5.25,-1,-1,-1,5.33,-1
50000054,5.4,6.25,4.0,-1,-1,-1,6.0,8.0,8.5,-1,7.5
50000055,4.4,6.5,3.4,-1,-1,-1,4.75,6.0,8.0,-1,6.25
50000056,9.0,9.0,8.6,8.5,9.25,7.25,-1,-1,-1,8.33,-1
50000057,6.2,6.5,4.6,7.5,6.5,4.25,-1,-1,-1,6.08,-1
50000058,9.0,6.5,6.8,6.0,7.25,8.0,-1,-1,-1,7.08,-1
50000059,1.8,6.0,3.6,-1,-1,-1,4.75,6.0,7.75,-1,6.17
50000060,6.2,5.75,3.8,6.0,5.75,7.0,-1,-1,-1,6.25,-1
50000061,7.8,7.0,5.8,7.0,8.0,6.25,-1,-1,-1,7.08,-1
50000062,4.0,4.25,3.4,4.25,3.75,4.0,-1,-1,-1,4.0,-1
50000063,4.2,6.75,4.4,-1,-1,-1,5.75,6.75,8.25,-1,6.92
