SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
52000001,4.6,-1,-1,6.25,6.0,-1,-1,-1,-1,-1,-1
52000002,8.0,-1,-1,-1,9.0,8.75,-1,-1,-1,-1,-1
52000003,6.4,5.75,5.2,-1,-1,-1,-1,-1,-1,-1,-1
52000004,4.4,-1,-1,2.75,3.75,-1,-1,-1,-1,-1,-1
52000005,8.0,-1,5.4,8.0,4.75,-1,-1,-1,-1,-1,-1
52000006,5.6,3.0,-1,-1,-1,-1,7.0,-1,-1,-1,-1
52000007,5.4,-1,-1,4.75,7.25,-1,-1,-1,-1,-1,-1
52000008,6.2,5.25,-1,-1,-1,-1,7.5,-1,-1,-1,-1
52000009,3.0,-1,-1,4.25,2.25,-1,-1,-1,-1,-1,-1
52000010,7.2,-1,-1,6.25,6.25,-1,-1,-1,-1,-1,-1
52000011,9.2,-1,-1,9.5,-1,-1,-1,-1,-1,-1,-1
52000012,6.6,6.0,-1,-1,-1,-1,9.25,-1,-1,-1,-1
52000013,6.4,6.0,6.0,4.75,-1,-1,-1,-1,-1,-1,-1
52000014,6.0,7.0,-1,-1,-1,-1,8.5,7.5,-1,-1,-1
52000015,7.2,5.25,9.6,-1,-1,-1,-1,-1,-1,-1,-1
52000016,5.6,4.75,-1,-1,-1,-1,6.0,-1,-1,-1,-1
52000017,5.4,4.5,-1,-1,-1,-1,6.0,-1,-1,-1,-1
52000018,6.8,-1,-1,6.0,7.5,-1,-1,-1,-1,-1,-1
52000019,7.2,5.75,-1,-1,-1,-1,8.0,-1,-1,-1,-1
52000020,5.6,-1,-1,5.75,5.0,4.0,-1,-1,-1,4.92,-1
52000021,3.0,6.5,-1,-1,-1,-1,5.0,7.0,7.75,-1,6.58
52000022,6.0,7.0,8.0,-1,-1,-1,-1,-1,-1,-1,-1
52000024,7.2,-1,-1,7.0,6.5,-1,-1,-1,-1,-1,-1
52000025,4.0,5.5,-1,-1,-1,-1,6.5,-1,-1,-1,-1
52000026,4.6,-1,5.2,5.0,-1,-1,-1,-1,-1,-1,-1
52000027,7.0,-1,-1,4.0,6.5,7.0,-1,-1,-1,5.83,-1
52000028,7.8,-1,7.0,-1,7.25,6.5,-1,-1,-1,-1,-1
52000029,4.4,4.5,-1,-1,-1,-1,6.75,-1,-1,-1,-1
52000030,4.0,-1,-1,2.5,3.25,-1,-1,-1,-1,-1,-1
52000031,5.2,-1,-1,5.0,2.5,-1,-1,-1,-1,-1,-1
52000032,6.6,-1,-1,6.75,6.75,-1,-1,-1,-1,-1,-1
52000033,4.6,4.0,6.0,-1,-1,-1,-1,-1,8.75,-1,-1
52000034,5.8,-1,-1,-1,6.75,3.25,-1,-1,-1,-1,-1
52000035,4.2,-1,-1,4.25,4.0,-1,-1,-1,-1,-1,-1
52000036,7.0,8.0,6.0,6.5,-1,-1,-1,-1,-1,-1,-1
52000038,7.8,6.0,-1,-1,-1,-1,9.5,-1,-1,-1,-1
52000039,2.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52000040,4.2,-1,4.4,4.0,4.25,3.75,-1,-1,-1,4.0,-1
52000041,5.4,-1,3.6,3.25,-1,-1,-1,-1,-1,-1,-1
52000042,2.2,4.75,-1,-1,-1,-1,4.25,-1,-1,-1,-1
52000043,6.6,-1,-1,7.5,4.75,-1,-1,-1,-1,-1,-1
52000044,5.4,4.0,-1,-1,-1,-1,7.0,-1,-1,-1,-1
52000045,7.4,-1,-1,7.25,6.5,-1,-1,-1,-1,-1,-1
52000046,2.4,2.5,-1,-1,-1,-1,3.25,-1,-1,-1,-1
52000047,8.0,-1,-1,6.5,4.25,-1,-1,-1,-1,-1,-1
52000048,2.2,3.5,-1,-1,-1,-1,3.25,-1,-1,-1,-1
52000049,7.6,7.5,-1,-1,-1,-1,8.0,-1,-1,-1,-1
52000050,6.2,5.0,-1,-1,-1,-1,9.0,-1,-1,-1,-1
52000051,5.2,-1,-1,4.0,4.25,-1,-1,-1,-1,-1,-1
52000052,4.0,2.75,-1,-1,-1,-1,5.0,-1,-1,-1,-1
52000053,3.0,3.75,-1,-1,-1,-1,5.5,-1,-1,-1,-1
52000054,3.0,5.5,-1,-1,-1,-1,6.25,-1,-1,-1,-1
52000055,4.6,-1,-1,3.5,3.25,-1,-1,-1,-1,-1,-1
52000056,3.2,6.0,-1,-1,-1,-1,8.75,-1,-1,-1,-1
52000057,2.2,-1,-1,2.25,1.75,-1,-1,-1,-1,-1,-1
52000058,5.6,7.0,-1,-1,-1,-1,7.5,-1,-1,-1,-1
52000059,1.8,4.5,-1,-1,-1,-1,6.25,-1,-1,-1,-1
52000060,6.4,-1,-1,6.5,6.5,-1,-1,-1,-1,-1,-1
52000062,8.2,-1,-1,7.0,5.75,-1,-1,-1,-1,-1,-1
52000063,4.6,5.75,2.0,-1,-1,-1,-1,-1,-1,-1,-1
52000064,6.4,-1,4.8,-1,7.25,8.75,-1,-1,-1,-1,-1
52000065,5.4,5.0,-1,-1,-1,-1,6.25,-1,-1,-1,-1
52000066,9.2,-1,-1,7.75,9.0,-1,-1,-1,-1,-1,-1
52000067,7.0,-1,-1,7.25,7.0,-1,-1,-1,-1,-1,-1
52000068,3.0,4.0,-1,-1,-1,-1,5.25,-1,-1,-1,-1
52000069,0.8,4.25,-1,-1,-1,-1,3.25,-1,-1,-1,-1
52000070,5.4,-1,-1,5.75,3.75,-1,-1,-1,-1,-1,-1
52000071,6.4,-1,-1,5.25,3.5,-1,-1,-1,-1,-1,-1
52000072,8.4,-1,-1,9.0,9.5,-1,-1,-1,-1,-1,-1
52000073,6.8,-1,-1,-1,7.75,7.75,-1,-1,-1,-1,-1
52000074,3.4,5.75,4.0,-1,-1,-1,-1,-1,-1,-1,-1
52000075,7.8,7.0,8.0,-1,-1,-1,-1,-1,-1,-1,-1
52000076,8.0,-1,-1,-1,6.5,7.0,-1,-1,-1,-1,-1
52000077,7.4,5.75,7.4,-1,-1,-1,-1,-1,-1,-1,-1
52000078,6.8,7.75,7.0,-1,-1,-1,-1,-1,8.0,-1,-1
52000079,4.6,5.0,-1,-1,-1,-1,5.75,-1,-1,-1,-1
52000080,6.0,-1,-1,1.25,8.25,6.75,-1,-1,-1,5.42,-1
52000081,-1,-1,-1,2.5,4.75,-1,-1,-1,-1,-1,-1
52000082,8.0,7.0,9.6,-1,-1,-1,-1,-1,-1,-1,-1
52000083,2.2,2.75,-1,-1,-1,-1,4.25,-1,-1,-1,-1
52000084,6.4,7.0,-1,-1,-1,-1,8.0,-1,-1,-1,-1
52000085,2.2,-1,-1,3.25,2.25,-1,-1,-1,-1,-1,-1
52000086,5.2,5.75,-1,-1,-1,-1,7.75,-1,-1,-1,-1
52000087,-1,6.75,-1,-1,-1,-1,8.75,8.75,-1,-1,-1
52000088,6.0,6.0,-1,-1,-1,-1,8.25,-1,-1,-1,-1
52000089,3.4,4.25,-1,-1,-1,-1,4.0,-1,-1,-1,-1
52000090,6.2,-1,-1,-1,3.75,7.5,-1,-1,-1,-1,-1
52000091,4.4,-1,-1,3.25,4.25,-1,-1,-1,-1,-1,-1
52000092,4.8,3.75,-1,-1,-1,-1,5.75,-1,-1,-1,-1
52000093,5.2,4.75,5.6,3.5,-1,-1,-1,-1,-1,-1,-1
52000094,7.6,-1,3.4,5.5,-1,-1,-1,-1,-1,-1,-1
52000095,7.6,-1,9.2,9.0,-1,-1,-1,-1,-1,-1,-1
52000096,8.2,-1,-1,6.25,6.0,-1,-1,-1,-1,-1,-1
52000098,5.0,3.75,-1,-1,-1,-1,6.5,-1,-1,-1,-1
52000099,-1,4.5,-1,-1,-1,-1,5.75,8.0,-1,-1,-1
52000100,6.6,5.0,-1,-1,-1,-1,6.5,-1,-1,-1,-1
52000101,2.0,4.0,-1,-1,-1,-1,5.75,-1,-1,-1,-1
52000102,7.4,7.5,-1,-1,-1,-1,8.25,-1,-1,-1,-1
52000103,8.0,-1,-1,6.75,3.5,-1,-1,-1,-1,-1,-1
52000104,6.6,-1,-1,7.0,7.75,-1,-1,-1,-1,-1,-1
52000106,8.6,7.75,9.4,-1,-1,-1,-1,-1,-1,-1,-1
52000107,9.0,-1,7.6,-1,8.75,9.25,-1,-1,-1,-1,-1
52000108,4.0,6.5,-1,-1,-1,-1,5.25,-1,-1,-1,-1
52000109,5.4,5.75,-1,-1,-1,-1,8.0,-1,-1,-1,-1
52000110,5.8,3.25,-1,-1,-1,-1,5.5,-1,-1,-1,-1
52000111,7.0,-1,-1,5.25,5.0,-1,-1,-1,-1,-1,-1
52000112,5.8,-1,-1,6.0,5.0,-1,-1,-1,-1,-1,-1
52000113,4.8,4.75,-1,-1,-1,-1,7.25,-1,-1,-1,-1
52000114,-1,4.5,-1,-1,-1,-1,6.75,6.75,-1,-1,-1
52000115,2.2,2.5,-1,-1,-1,-1,4.25,-1,-1,-1,-1
52000116,3.6,-1,-1,2.25,4.0,-1,-1,-1,-1,-1,-1
52000117,5.8,-1,-1,6.75,5.5,-1,-1,-1,-1,-1,-1
52000118,6.8,6.5,-1,-1,-1,-1,7.75,-1,-1,-1,-1
52000119,5.0,4.5,-1,-1,-1,-1,5.25,-1,-1,-1,-1
52000120,8.2,-1,-1,8.5,7.75,-1,-1,-1,-1,-1,-1
52000121,7.8,4.0,4.8,-1,-1,-1,-1,-1,-1,-1,-1
52000122,9.4,-1,-1,-1,-1,9.25,-1,-1,-1,-1,-1
52000123,2.0,2.0,-1,-1,-1,-1,5.25,-1,-1,-1,-1
52000124,8.8,-1,-1,-1,8.75,9.25,-1,-1,-1,-1,-1
52000125,2.8,3.75,-1,-1,-1,-1,2.0,-1,-1,-1,-1
52000126,6.6,-1,4.0,5.0,-1,-1,-1,-1,-1,-1,-1
52000127,3.2,-1,2.2,3.0,2.75,-1,-1,-1,-1,-1,-1
52000128,6.8,-1,-1,-1,7.0,7.75,-1,-1,-1,-1,-1
52000129,5.2,6.25,-1,-1,-1,-1,8.0,-1,-1,-1,-1
52000130,7.8,-1,-1,-1,8.75,8.25,-1,-1,-1,-1,-1
52000131,6.6,-1,-1,-1,5.5,5.25,-1,-1,-1,-1,-1
52000132,5.4,-1,-1,5.75,5.75,-1,-1,-1,-1,-1,-1
52000133,2.0,4.5,-1,-1,-1,-1,3.0,-1,-1,-1,-1
52000134,-1,7.5,-1,-1,-1,-1,7.75,8.0,-1,-1,-1
52000135,8.4,4.75,-1,-1,-1,-1,8.5,-1,-1,-1,-1
52000136,6.0,-1,-1,5.75,5.75,-1,-1,-1,-1,-1,-1
52000137,5.4,-1,-1,5.5,5.0,-1,-1,-1,-1,-1,-1
52000138,5.2,-1,-1,3.5,5.5,-1,-1,-1,-1,-1,-1
52000139,6.0,-1,-1,6.0,6.5,-1,-1,-1,-1,-1,-1
52000140,2.8,4.5,4.2,-1,-1,-1,-1,-1,-1,-1,-1
52000142,6.6,-1,4.4,5.25,-1,-1,-1,-1,-1,-1,-1
52000143,4.8,6.0,-1,-1,-1,-1,6.5,-1,-1,-1,-1
52000144,8.8,-1,4.8,8.25,-1,-1,-1,-1,-1,-1,-1
52000145,5.2,-1,-1,6.75,6.0,-1,-1,-1,-1,-1,-1
52000146,6.6,-1,-1,6.25,4.75,-1,-1,-1,-1,-1,-1
52000147,1.8,-1,-1,3.0,3.75,-1,-1,-1,-1,-1,-1
52000148,5.4,-1,-1,-1,4.25,6.25,-1,-1,-1,-1,-1
52000149,3.4,3.75,-1,-1,-1,-1,7.0,9.25,-1,-1,-1
52000150,6.2,6.5,5.8,-1,-1,-1,-1,-1,-1,-1,-1
52000151,4.6,5.5,-1,-1,-1,-1,7.25,-1,-1,-1,-1
52000152,2.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52000153,7.4,-1,-1,7.0,8.5,-1,-1,-1,-1,-1,-1
52000154,6.8,-1,-1,5.5,5.75,-1,-1,-1,-1,-1,-1
52000155,2.2,2.75,-1,-1,-1,-1,2.75,-1,-1,-1,-1
52000156,7.2,-1,2.0,4.25,6.5,-1,-1,-1,-1,-1,-1
52000157,1.6,-1,-1,3.25,-1,-1,-1,-1,-1,-1,-1
52000158,6.0,5.75,-1,-1,-1,-1,7.25,-1,-1,-1,-1
52000160,5.4,6.5,-1,-1,-1,-1,6.75,-1,-1,-1,-1
52000161,6.8,6.5,-1,-1,-1,-1,9.25,-1,-1,-1,-1
52000162,3.8,-1,-1,4.5,4.0,-1,-1,-1,-1,-1,-1
52000163,3.2,-1,-1,3.0,3.25,-1,-1,-1,-1,-1,-1
52000164,6.0,5.25,-1,-1,-1,-1,6.0,8.75,-1,-1,-1
52000165,3.8,5.25,-1,-1,-1,-1,6.25,6.0,-1,-1,-1
52000166,5.2,7.5,-1,-1,-1,-1,8.5,-1,-1,-1,-1
52000167,4.4,-1,-1,3.5,4.25,-1,-1,-1,-1,-1,-1
52000168,5.6,5.5,-1,-1,-1,-1,8.0,-1,-1,-1,-1
52000169,3.8,-1,-1,4.0,4.0,-1,-1,-1,-1,-1,-1
52000170,5.6,-1,-1,5.25,4.0,-1,-1,-1,-1,-1,-1
52000171,5.4,-1,-1,3.25,5.5,-1,-1,-1,-1,-1,-1
52000172,6.8,-1,-1,6.25,5.0,-1,-1,-1,-1,-1,-1
52000173,3.8,-1,-1,4.5,2.5,-1,-1,-1,-1,-1,-1
52000174,6.0,-1,-1,-1,7.5,6.25,-1,-1,-1,-1,-1
52000175,3.6,4.75,5.2,-1,-1,-1,-1,-1,-1,-1,-1
52000176,6.0,4.0,-1,-1,-1,-1,8.75,-1,-1,-1,-1
52000177,3.6,-1,-1,4.75,3.75,-1,-1,-1,-1,-1,-1
52000178,6.2,3.75,-1,5.0,4.5,4.25,-1,-1,-1,4.58,-1
52000179,-1,6.5,-1,-1,-1,-1,7.75,8.5,-1,-1,-1
52000180,3.0,-1,-1,4.0,3.5,-1,-1,-1,-1,-1,-1
52000181,8.6,-1,5.2,5.0,8.75,8.75,-1,-1,-1,7.5,-1
52000182,8.4,-1,-1,5.0,5.75,5.25,-1,-1,-1,5.33,-1
52000183,8.0,-1,-1,-1,-1,9.25,-1,-1,-1,-1,-1
52000184,-1,4.5,-1,-1,-1,-1,6.0,7.75,-1,-1,-1
52000185,5.8,-1,-1,4.25,2.5,-1,-1,-1,-1,-1,-1
52000186,3.0,4.5,-1,-1,-1,-1,3.75,-1,-1,-1,-1
52000187,5.6,-1,-1,6.75,6.5,-1,-1,-1,-1,-1,-1
52000188,5.4,5.25,-1,-1,-1,-1,8.5,-1,-1,-1,-1
52000189,2.8,4.5,-1,-1,-1,-1,4.75,-1,-1,-1,-1
52000190,4.0,6.25,-1,-1,-1,-1,6.75,-1,-1,-1,-1
52000191,3.0,-1,4.2,4.25,-1,-1,-1,-1,-1,-1,-1
52000192,4.2,4.75,-1,-1,-1,-1,8.25,-1,-1,-1,-1
52000193,4.2,-1,7.8,8.75,-1,-1,-1,-1,-1,-1,-1
52000194,9.4,-1,-1,8.75,9.75,-1,-1,-1,-1,-1,-1
52000195,8.4,-1,9.2,8.25,-1,-1,-1,-1,-1,-1,-1
52000196,6.2,-1,-1,-1,5.0,5.75,-1,-1,-1,-1,-1
52000198,8.6,6.75,8.4,-1,-1,-1,-1,-1,-1,-1,-1
52000199,6.2,-1,-1,7.25,7.75,-1,-1,-1,-1,-1,-1
52000201,5.2,5.5,-1,-1,-1,-1,5.5,-1,-1,-1,-1
52000202,6.4,-1,-1,6.75,6.25,-1,-1,-1,-1,-1,-1
52000203,4.8,-1,-1,5.25,5.75,-1,-1,-1,-1,-1,-1
52000204,2.2,-1,2.6,2.25,-1,-1,-1,-1,-1,-1,-1
52000205,2.2,-1,-1,5.5,2.75,-1,-1,-1,-1,-1,-1
52000206,5.6,-1,-1,4.0,4.25,5.25,-1,-1,-1,4.5,-1
52000207,3.2,-1,-1,4.0,4.5,-1,-1,-1,-1,-1,-1
52000208,5.6,-1,-1,5.75,5.75,-1,-1,-1,-1,-1,-1
52000209,5.2,4.5,-1,-1,-1,-1,4.75,-1,-1,-1,-1
52000210,3.6,-1,-1,4.0,3.25,-1,-1,-1,-1,-1,-1
52000212,4.0,-1,-1,3.25,3.25,-1,-1,-1,-1,-1,-1
52000213,5.4,6.5,5.4,-1,-1,-1,-1,-1,-1,-1,-1
52000214,8.0,-1,-1,7.25,6.0,-1,-1,-1,-1,-1,-1
52000215,5.0,-1,-1,5.75,3.5,-1,-1,-1,-1,-1,-1
52000216,3.0,3.75,-1,-1,-1,-1,3.5,-1,-1,-1,-1
52000217,8.0,-1,-1,-1,8.5,8.5,-1,-1,-1,-1,-1
52000218,6.8,6.0,-1,-1,-1,-1,5.25,-1,-1,-1,-1
52000219,5.0,6.5,-1,-1,-1,-1,8.0,-1,-1,-1,-1
52000220,6.0,5.0,-1,-1,-1,-1,6.75,-1,-1,-1,-1
52000221,6.0,-1,-1,-1,7.5,7.75,-1,-1,-1,-1,-1
52000222,8.4,-1,-1,8.25,8.5,-1,-1,-1,-1,-1,-1
52000223,7.4,-1,-1,7.5,6.25,-1,-1,-1,-1,-1,-1
52000224,6.0,-1,2.2,5.25,-1,-1,-1,-1,-1,-1,-1
52000225,6.2,-1,-1,7.0,3.5,-1,-1,-1,-1,-1,-1
52000226,-1,5.5,-1,-1,-1,-1,7.5,7.0,-1,-1,-1
52000227,8.2,-1,-1,6.5,7.5,-1,-1,-1,-1,-1,-1
52000228,5.4,3.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
52000230,8.2,-1,-1,7.25,7.25,2.25,-1,-1,-1,5.58,-1
52000231,2.4,-1,2.6,2.75,-1,-1,-1,-1,-1,-1,-1
52000232,4.8,-1,-1,3.75,3.75,-1,-1,-1,-1,-1,-1
52000233,8.0,-1,-1,6.25,6.75,-1,-1,-1,-1,-1,-1
52000234,2.4,3.0,-1,-1,-1,-1,3.25,-1,-1,-1,-1
52000235,6.6,6.25,6.8,-1,-1,-1,-1,-1,-1,-1,-1
52000236,5.8,6.25,-1,-1,-1,-1,8.75,-1,-1,-1,-1
52000237,5.2,3.5,-1,4.5,5.5,6.25,-1,-1,-1,5.42,-1
52000238,4.2,-1,3.2,4.0,-1,-1,-1,-1,-1,-1,-1
52000239,-1,5.0,-1,-1,-1,-1,4.0,6.0,-1,-1,-1
52000240,8.2,-1,-1,8.0,7.25,-1,-1,-1,-1,-1,-1
52000241,5.6,6.0,-1,-1,-1,-1,5.75,-1,-1,-1,-1
52000242,4.2,5.0,-1,-1,-1,-1,6.5,-1,-1,-1,-1
52000244,3.0,3.75,2.6,-1,-1,-1,-1,-1,-1,-1,-1
52000245,6.6,-1,4.0,6.0,-1,-1,-1,-1,-1,-1,-1
52000246,9.0,-1,9.0,8.0,-1,-1,-1,-1,-1,-1,-1
52000247,8.0,7.75,-1,-1,-1,-1,9.25,-1,-1,-1,-1
52000248,6.2,-1,5.8,6.25,-1,-1,-1,-1,-1,-1,-1
52000249,7.6,-1,-1,-1,6.0,7.5,-1,-1,-1,-1,-1
52000250,2.2,-1,-1,3.75,2.75,-1,-1,-1,-1,-1,-1
52000251,6.4,-1,-1,6.75,6.0,-1,-1,-1,-1,-1,-1
