SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
53000001,4.0,7.0,3.75,4.5,3.75,3.5,-1,-1,-1,3.92,-1
53000002,5.5,6.75,3.25,6.5,5.75,4.0,-1,-1,-1,5.42,-1
53000003,5.5,8.0,8.25,5.75,4.0,3.75,-1,-1,-1,4.5,-1
53000004,7.5,8.0,6.0,6.5,6.5,5.75,-1,-1,-1,6.25,-1
53000005,5.75,5.25,9.25,-1,-1,-1,5.0,7.5,8.5,-1,7.0
53000006,6.75,6.0,4.0,6.0,5.5,4.25,-1,-1,-1,5.25,-1
53000007,7.75,6.0,5.25,5.75,4.25,3.25,-1,-1,-1,4.42,-1
53000008,7.25,4.25,6.75,4.25,7.25,5.5,-1,-1,-1,5.67,-1
53000009,5.75,6.25,6.25,6.25,4.75,5.25,-1,-1,-1,5.42,-1
53000010,8.75,5.75,8.0,7.5,8.25,5.25,-1,-1,-1,7.0,-1
53000011,6.5,4.75,4.5,4.5,5.5,4.5,-1,-1,-1,4.83,-1
53000012,6.25,6.0,5.0,4.5,5.25,5.75,-1,-1,-1,5.17,-1
53000013,7.75,5.0,6.0,7.25,8.25,5.75,-1,-1,-1,7.08,-1
53000014,5.5,7.0,4.75,-1,-1,-1,5.0,7.0,7.75,-1,6.58
53000015,8.5,6.25,7.25,5.5,6.75,7.5,-1,-1,-1,6.58,-1
53000016,4.25,3.75,3.0,3.0,3.75,4.0,3.5,5.75,8.5,3.58,5.92
53000017,6.25,6.75,7.75,-1,-1,-1,8.0,7.5,9.25,-1,8.25
53000018,7.0,8.75,6.25,5.75,4.5,4.5,6.5,7.0,8.75,4.92,7.42
53000019,6.0,4.0,4.25,5.75,4.0,5.75,5.75,6.5,8.5,5.17,6.92
53000020,5.5,6.25,5.0,5.25,5.25,5.5,-1,-1,-1,5.33,-1
53000021,7.5,6.0,7.5,6.25,6.25,3.5,-1,-1,-1,5.33,-1
53000022,5.75,6.25,3.25,4.5,4.0,3.5,-1,-1,-1,4.0,-1
53000023,6.5,7.0,5.75,5.0,6.25,2.75,-1,-1,-1,4.67,-1
53000024,3.5,5.25,3.5,4.25,3.0,4.0,-1,-1,-1,3.75,-1
53000025,6.0,7.25,5.0,4.75,7.5,7.75,-1,-1,-1,6.67,-1
53000026,8.0,5.25,7.0,8.0,9.5,4.75,-1,-1,-1,7.42,-1
53000027,4.0,5.0,5.0,5.25,4.0,5.75,5.75,7.0,8.75,5.0,7.17
53000028,7.25,4.75,8.0,6.25,5.25,4.25,-1,-1,-1,5.25,-1
53000029,4.0,4.0,5.0,2.75,3.5,2.0,-1,-1,-1,2.75,-1
53000030,3.5,4.25,3.5,3.75,4.5,4.75,-1,-1,-1,4.33,-1
