SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
56000001,8.2,7.25,9.2,8.0,7.25,4.5,-1,-1,-1,6.58,-1
56000002,3.0,3.75,-1,3.25,2.5,3.75,3.5,5.25,-1,3.17,-1
56000003,6.8,3.75,7.8,4.25,7.25,5.5,-1,-1,-1,5.67,-1
56000004,6.2,6.25,6.6,-1,-1,-1,-1,-1,-1,-1,-1
56000005,6.6,5.25,8.2,5.75,5.5,5.75,-1,-1,-1,5.67,-1
56000006,6.6,5.5,6.2,-1,-1,-1,5.0,5.75,8.75,-1,6.5
56000007,8.0,6.5,9.0,8.5,4.5,6.5,-1,-1,-1,6.5,-1
56000008,5.2,6.0,3.2,-1,-1,-1,3.5,7.25,7.5,-1,6.08
56000009,6.2,7.5,8.0,-1,-1,-1,7.75,8.25,9.25,-1,8.42
56000010,6.8,6.0,4.6,7.75,6.5,5.25,-1,-1,-1,6.5,-1
56000011,5.6,5.75,4.2,3.5,3.75,4.0,-1,-1,-1,3.75,-1
56000012,7.4,4.75,4.8,6.75,6.0,6.25,-1,-1,-1,6.33,-1
56000013,4.8,5.0,3.6,5.0,2.75,4.5,-1,-1,-1,4.08,-1
56000014,4.0,5.0,2.8,-1,-1,-1,4.5,5.0,7.75,-1,5.75
56000015,5.4,5.5,5.8,-1,-1,-1,7.0,7.5,7.75,-1,7.42
56000016,7.6,7.0,8.0,-1,-1,-1,6.25,7.5,8.75,-1,7.5
56000017,7.6,4.5,5.2,6.0,6.5,5.25,-1,-1,-1,5.92,-1
56000018,-1,5.83,-1,-1,-1,-1,8.0,8.5,-1,-1,-1
56000019,2.6,3.5,-1,1.75,2.0,3.5,4.5,5.25,-1,2.42,-1
56000020,4.4,4.5,-1,4.5,2.75,5.0,4.5,6.0,-1,4.08,-1
56000021,2.8,3.0,5.6,-1,-1,-1,3.5,6.0,7.75,-1,5.75
56000022,6.4,4.25,3.4,-1,-1,-1,6.0,7.75,8.75,-1,7.5
56000023,2.6,2.25,-1,2.75,2.5,3.5,4.0,6.5,-1,2.92,-1
56000024,3.8,3.25,-1,-1,-1,-1,5.75,6.75,-1,-1,-1
56000025,3.0,4.5,-1,3.0,3.0,4.5,3.25,5.75,-1,3.5,-1
56000026,2.8,4.0,-1,-1,-1,-1,3.5,6.25,-1,-1,-1
56000027,4.2,5.0,3.2,-1,-1,-1,5.0,7.75,9.5,-1,7.42
56000028,4.0,4.25,2.6,-1,-1,-1,4.75,7.0,7.5,-1,6.42
56000029,6.6,7.0,5.8,7.25,6.0,5.5,-1,-1,-1,6.25,-1
56000030,7.2,5.5,5.4,5.0,6.25,6.5,-1,-1,-1,5.92,-1
56000031,6.6,4.5,4.2,4.25,4.5,4.0,-1,-1,-1,4.25,-1
56000032,7.0,6.75,7.0,5.0,7.0,8.25,-1,-1,-1,6.75,-1
56000033,3.6,3.25,-1,3.25,3.25,2.5,4.75,7.25,-1,3.0,-1
56000034,3.6,2.75,-1,3.75,2.25,3.5,3.0,3.75,-1,3.17,-1
56000035,4.8,5.5,3.6,-1,-1,-1,5.25,7.0,9.0,-1,7.08
56000036,3.4,3.75,-1,1.75,2.25,3.25,5.25,5.5,-1,2.42,-1
56000037,5.2,4.25,-1,-1,-1,-1,5.25,4.75,-1,-1,-1
56000038,4.4,5.0,5.8,5.25,4.0,4.0,-1,-1,-1,4.42,-1
56000039,7.2,6.75,8.4,6.5,5.75,6.75,-1,-1,-1,6.33,-1
56000040,4.0,7.0,4.2,-1,-1,-1,5.0,8.25,8.75,-1,7.33
56000041,3.8,3.0,-1,3.0,3.5,2.75,3.25,5.0,-1,3.08,-1
56000042,4.2,5.0,3.2,-1,-1,-1,5.5,7.75,8.75,-1,7.33
56000043,7.4,6.25,5.6,5.25,6.75,8.5,-1,-1,-1,6.83,-1
56000044,4.2,6.0,2.8,-1,-1,-1,4.75,6.5,7.75,-1,6.33
56000045,6.2,5.0,4.6,4.5,3.25,3.5,-1,-1,-1,3.75,-1
56000046,6.2,4.5,3.8,-1,-1,-1,5.0,4.5,7.25,-1,5.58
56000047,7.4,5.0,3.8,5.0,6.25,4.5,-1,-1,-1,5.25,-1
56000048,4.6,3.0,3.0,-1,-1,-1,5.5,6.5,8.75,-1,6.92
56000049,2.2,1.5,-1,3.0,1.75,1.5,2.5,3.25,-1,2.08,-1
56000050,4.4,6.5,3.8,-1,-1,-1,5.0,7.0,9.25,-1,7.08
56000051,6.2,4.5,-1,3.0,2.75,4.0,5.25,6.5,-1,3.25,-1
56000052,7.0,6.0,6.4,5.5,4.25,6.25,-1,-1,-1,5.33,-1
56000053,5.2,5.0,2.4,5.0,3.5,2.75,-1,-1,-1,3.75,-1
56000054,7.2,6.0,6.4,6.25,5.75,5.0,-1,-1,-1,5.67,-1
56000055,5.6,6.5,4.6,-1,-1,-1,7.25,8.5,6.75,-1,7.5
56000056,6.6,5.25,4.2,6.5,5.5,6.25,-1,-1,-1,6.08,-1
56000057,7.6,4.75,7.2,5.5,5.5,3.75,-1,-1,-1,4.92,-1
56000058,4.8,4.5,-1,3.5,3.75,4.0,3.25,6.0,-1,3.75,-1
56000059,4.0,4.5,3.2,-1,-1,-1,5.5,6.0,8.0,-1,6.5
56000060,6.2,5.75,2.8,6.0,4.25,3.75,-1,-1,-1,4.67,-1
56000061,4.6,4.0,4.2,-1,-1,-1,6.5,7.0,7.75,-1,7.08
56000062,5.6,4.5,4.6,3.5,4.25,3.0,-1,-1,-1,3.58,-1
56000063,6.8,6.5,6.2,7.5,6.75,4.75,-1,-1,-1,6.33,-1
56000064,6.0,8.0,5.4,5.5,5.25,2.75,-1,-1,-1,4.5,-1
56000065,6.6,4.0,5.6,7.0,6.0,7.0,-1,-1,-1,6.67,-1
56000066,6.2,4.75,7.6,-1,-1,-1,7.0,8.75,9.75,-1,8.5
56000067,5.4,5.5,4.8,-1,-1,-1,6.75,7.5,8.75,-1,7.67
56000068,6.6,5.0,3.8,4.5,5.75,6.25,-1,-1,-1,5.5,-1
56000069,7.6,6.0,3.8,5.75,5.5,3.75,-1,-1,-1,5.0,-1
56000070,6.0,5.0,3.8,-1,-1,-1,7.0,8.25,9.0,-1,8.08
56000071,6.6,5.25,4.6,-1,-1,-1,6.5,7.5,9.25,-1,7.75
56000072,6.6,4.25,3.4,5.0,5.75,4.25,-1,-1,-1,5.0,-1
56000073,6.0,3.91,-1,3.25,3.75,3.5,3.75,6.5,-1,3.5,-1
56000074,5.4,6.25,4.8,-1,-1,-1,6.5,8.5,8.75,-1,7.92
56000075,5.6,6.0,6.8,5.5,5.0,5.25,-1,-1,-1,5.25,-1
56000076,3.6,3.25,-1,4.25,1.25,3.5,3.0,6.0,-1,3.0,-1
56000077,4.2,4.5,4.2,-1,-1,-1,4.5,5.0,8.25,-1,5.92
56000078,4.0,2.75,-1,3.0,3.5,3.75,3.5,6.25,-1,3.42,-1
56000079,6.6,4.75,2.8,5.75,4.5,4.5,-1,-1,-1,4.92,-1
56000080,2.2,2.75,-1,3.0,2.25,3.5,2.0,5.0,-1,2.92,-1
56000081,4.4,4.0,3.4,-1,-1,-1,7.75,8.5,8.75,-1,8.33
56000082,7.4,5.5,5.6,7.0,7.25,5.5,-1,-1,-1,6.58,-1
56000083,5.2,6.75,4.8,-1,-1,-1,6.5,7.75,8.5,-1,7.58
56000084,6.0,5.25,3.4,-1,-1,-1,4.75,8.0,8.25,-1,7.0
56000085,4.8,4.25,4.0,-1,-1,-1,5.25,6.0,8.0,-1,6.42
56000086,7.2,6.0,6.8,4.5,4.75,5.75,-1,-1,-1,5.0,-1
56000087,4.6,5.0,4.8,-1,-1,-1,7.0,7.75,9.25,-1,8.0
56000088,4.8,5.0,7.2,3.75,4.5,4.5,-1,-1,-1,4.25,-1
56000089,5.4,4.75,4.0,-1,-1,-1,6.25,6.75,9.5,-1,7.5
56000090,4.4,5.75,3.0,3.75,4.25,2.75,-1,-1,-1,3.58,-1
56000091,5.2,5.5,6.6,3.75,2.75,4.25,-1,-1,-1,3.58,-1
56000092,6.2,5.75,6.2,-1,-1,-1,6.25,7.75,8.25,-1,7.42
56000093,3.0,3.5,-1,3.25,3.0,4.75,3.25,4.75,-1,3.67,-1
56000094,-1,6.33,-1,-1,-1,-1,6.0,8.0,-1,-1,-1
56000095,3.8,3.25,-1,4.25,3.75,4.75,4.25,6.5,-1,4.25,-1
56000096,6.6,5.25,5.8,5.25,5.25,5.0,-1,-1,-1,5.17,-1
56000097,4.0,5.25,6.0,-1,-1,-1,6.75,8.0,8.75,-1,7.83
56000098,5.4,6.0,5.4,-1,-1,-1,7.0,7.75,9.75,-1,8.17
56000099,6.4,4.42,4.0,5.0,5.5,5.0,-1,-1,-1,5.17,-1
56000100,6.6,7.0,7.0,5.0,7.25,6.75,-1,-1,-1,6.33,-1
56000101,5.4,6.0,5.0,-1,-1,-1,6.0,8.0,9.25,-1,7.75
56000102,7.2,5.75,4.6,-1,-1,-1,5.0,8.5,9.0,-1,7.5
56000103,6.6,6.5,3.8,5.5,5.25,5.25,-1,-1,-1,5.33,-1
56000104,8.0,6.5,4.2,5.0,6.75,7.75,-1,-1,-1,6.5,-1
56000105,6.6,-1,-1,7.0,6.25,-1,-1,-1,-1,-1,-1
56000106,6.0,5.0,4.8,5.25,4.75,6.25,-1,-1,-1,5.42,-1
56000107,6.0,5.25,5.8,4.5,3.75,3.75,-1,-1,-1,4.0,-1
56000108,5.8,5.75,5.6,5.0,5.75,4.25,-1,-1,-1,5.0,-1
56000109,3.2,3.0,-1,3.0,3.0,3.75,2.25,4.75,-1,3.25,-1
56000110,4.6,4.5,1.8,-1,-1,-1,3.0,6.0,7.75,-1,5.58
56000111,6.6,4.75,5.0,7.0,6.25,6.75,-1,-1,-1,6.67,-1
56000112,4.8,6.25,5.4,-1,-1,-1,5.5,8.0,8.5,-1,7.33
56000113,5.0,4.5,3.0,-1,-1,-1,4.0,6.5,7.25,-1,5.92
56000114,5.4,5.75,3.4,-1,-1,-1,6.25,8.5,8.5,-1,7.75
56000115,2.0,1.75,-1,4.0,2.5,2.5,4.25,3.0,-1,3.0,-1
56000116,3.8,6.0,-1,4.0,3.75,5.25,5.75,8.0,-1,4.33,-1
56000117,5.0,7.0,4.6,-1,-1,-1,7.0,7.25,8.25,-1,7.5
56000118,5.0,4.0,3.6,-1,-1,-1,4.5,7.5,8.75,-1,6.92
56000119,7.8,7.25,5.4,6.0,6.5,4.5,-1,-1,-1,5.67,-1
56000120,6.2,5.25,5.2,6.25,5.25,5.0,-1,-1,-1,5.5,-1
56000121,7.0,6.0,6.4,-1,-1,-1,8.0,9.0,8.5,-1,8.5
56000122,5.2,6.25,3.2,-1,-1,-1,6.75,7.5,9.0,-1,7.75
56000123,5.6,5.75,3.8,-1,-1,-1,6.5,6.75,8.25,-1,7.17
