SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
59000001,6.6,5.25,6.0,6.0,3.75,4.25,-1,-1,-1,4.67,-1
59000002,7.2,8.0,6.6,4.75,3.75,5.0,-1,-1,-1,4.5,-1
59000003,6.8,5.0,3.8,5.0,5.0,4.75,-1,-1,-1,4.92,-1
59000004,3.0,5.25,3.0,-1,-1,-1,3.5,6.75,7.25,-1,5.83
59000005,5.8,4.0,3.4,4.0,1.75,2.25,-1,-1,-1,2.67,-1
59000006,8.4,5.5,6.2,6.5,8.5,4.5,-1,-1,-1,6.5,-1
59000007,6.4,6.25,8.2,6.75,3.75,4.0,-1,-1,-1,4.83,-1
59000008,5.6,7.0,4.8,-1,-1,-1,7.25,9.0,8.0,-1,8.08
59000009,6.6,6.25,4.6,5.5,2.5,4.0,-1,-1,-1,4.0,-1
59000010,7.4,6.0,4.6,7.5,5.5,3.5,-1,-1,-1,5.5,-1
59000011,8.0,6.5,5.4,5.5,7.25,8.5,-1,-1,-1,7.08,-1
59000012,3.0,7.0,3.4,-1,-1,-1,4.5,4.5,9.25,-1,6.08
59000013,8.8,6.5,6.0,4.25,9.25,9.5,-1,-1,-1,7.67,-1
59000014,7.2,6.0,5.8,7.75,4.5,4.0,-1,-1,-1,5.42,-1
59000015,8.0,5.75,4.8,5.0,8.25,7.25,-1,-1,-1,6.83,-1
59000016,1.8,4.5,3.2,-1,-1,-1,2.75,5.25,6.5,-1,4.83
59000017,4.8,5.5,4.8,-1,-1,-1,4.0,6.5,6.5,-1,5.67
59000018,5.8,7.25,1.6,4.5,3.75,5.75,-1,-1,-1,4.67,-1
59000019,3.6,6.5,5.0,4.25,4.75,4.25,-1,-1,-1,4.42,-1
59000020,8.4,6.0,4.2,4.0,9.0,6.75,-1,-1,-1,6.58,-1
59000021,4.8,6.5,6.2,5.75,3.0,4.75,-1,-1,-1,4.5,-1
59000022,2.6,4.5,1.4,3.0,3.0,2.25,-1,-1,-1,2.75,-1
59000023,6.6,5.0,3.8,4.5,5.0,5.25,-1,-1,-1,4.92,-1
59000024,8.0,3.25,3.6,6.0,6.0,6.5,-1,-1,-1,6.17,-1
59000025,4.6,4.0,2.2,3.75,3.0,4.75,-1,-1,-1,3.83,-1
59000026,5.8,6.25,4.8,5.25,5.75,4.75,-1,-1,-1,5.25,-1
59000027,7.6,7.5,5.2,6.25,4.25,3.75,-1,-1,-1,4.75,-1
59000028,8.2,5.75,4.6,5.0,9.0,8.75,-1,-1,-1,7.58,-1
59000029,5.4,6.0,5.4,5.0,3.75,6.0,-1,-1,-1,4.92,-1
59000030,7.8,5.75,3.8,6.25,6.75,7.75,-1,-1,-1,6.92,-1
59000031,7.0,6.0,9.0,-1,-1,-1,4.25,5.25,8.25,-1,5.92
59000032,4.8,6.5,5.0,-1,-1,-1,5.5,7.0,8.25,-1,6.92
59000033,5.2,5.5,2.8,3.25,4.0,3.75,-1,-1,-1,3.67,-1
59000034,7.4,6.25,5.4,6.75,7.25,5.75,-1,-1,-1,6.58,-1
59000035,6.2,5.0,4.4,6.0,3.25,5.0,-1,-1,-1,4.75,-1
59000036,7.2,6.0,9.2,6.25,5.25,6.75,-1,-1,-1,6.08,-1
59000037,8.2,5.5,5.8,9.25,7.0,6.25,-1,-1,-1,7.5,-1
59000038,6.6,5.75,5.2,4.0,5.25,6.5,-1,-1,-1,5.25,-1
59000039,6.4,7.5,5.2,-1,-1,-1,8.75,8.75,9.75,-1,9.08
59000040,5.4,5.5,5.0,6.25,4.5,5.0,-1,-1,-1,5.25,-1
59000041,7.6,5.75,6.6,6.75,5.0,4.0,-1,-1,-1,5.25,-1
59000042,9.0,5.75,9.0,6.75,5.5,6.75,-1,-1,-1,6.33,-1
59000043,4.8,5.0,3.0,5.0,3.25,3.75,-1,-1,-1,4.0,-1
59000044,8.2,6.75,4.4,7.0,6.5,4.0,-1,-1,-1,5.83,-1
59000045,3.8,5.75,4.0,-1,-1,-1,5.5,6.25,8.25,-1,6.67
59000046,5.0,7.5,4.4,5.5,3.75,6.0,-1,-1,-1,5.08,-1
59000047,4.6,5.75,3.2,4.75,2.75,4.5,6.0,6.25,8.5,4.0,6.92
59000048,6.8,8.0,8.0,5.25,5.25,4.5,-1,-1,-1,5.0,-1
59000049,6.2,7.0,5.2,7.25,5.5,6.0,-1,-1,-1,6.25,-1
59000050,8.4,6.25,6.2,7.0,8.0,4.75,-1,-1,-1,6.58,-1
59000051,7.4,6.0,4.0,5.0,6.25,8.25,-1,-1,-1,6.5,-1
59000052,7.2,5.0,6.6,6.25,5.0,7.5,-1,-1,-1,6.25,-1
59000053,4.4,6.0,2.4,-1,-1,-1,5.0,7.0,7.25,-1,6.42
59000054,5.2,6.0,4.6,-1,-1,-1,3.5,5.5,7.75,-1,5.58
59000055,5.2,4.0,1.6,-1,-1,-1,2.5,3.75,7.0,-1,4.42
59000056,4.0,5.5,2.4,-1,-1,-1,6.25,7.5,8.0,-1,7.25
59000057,8.0,7.0,4.8,5.75,6.75,5.25,-1,-1,-1,5.92,-1
59000058,5.4,6.0,6.0,5.25,6.75,7.0,-1,-1,-1,6.33,-1
59000059,6.4,7.0,5.0,4.25,6.75,4.5,-1,-1,-1,5.17,-1
59000060,6.6,3.25,5.8,2.75,6.5,5.0,-1,-1,-1,4.75,-1
59000061,5.6,5.0,5.0,-1,-1,-1,7.5,7.5,8.25,-1,7.75
59000062,6.0,7.0,3.4,5.5,3.75,4.5,-1,-1,-1,4.58,-1
59000063,6.2,6.5,3.8,-1,-1,-1,4.0,6.0,8.0,-1,6.0
