SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
60000001,6.0,5.5,4.6,4.5,6.5,6.25,-1,-1,-1,5.75,-1
60000002,5.4,5.25,3.8,4.5,4.5,3.75,-1,-1,-1,4.25,-1
60000003,8.2,6.0,9.4,7.5,3.75,6.75,-1,-1,-1,6.0,-1
60000004,8.2,4.5,4.6,7.0,6.75,3.0,-1,-1,-1,5.58,-1
60000005,5.8,5.5,4.8,3.5,4.5,7.5,-1,-1,-1,5.17,-1
60000006,7.6,5.0,4.8,7.0,6.0,5.75,-1,-1,-1,6.25,-1
60000007,5.6,5.0,5.0,5.5,3.5,6.5,-1,-1,-1,5.17,-1
60000008,6.2,7.0,9.0,7.5,4.75,5.25,-1,-1,-1,5.83,-1
60000009,6.0,2.75,7.8,3.25,2.75,3.5,-1,-1,-1,3.17,-1
60000010,9.0,5.5,4.0,6.0,6.75,7.0,-1,-1,-1,6.58,-1
60000011,7.0,4.25,4.8,4.0,7.25,6.5,-1,-1,-1,5.92,-1
60000012,6.2,7.0,6.8,4.0,3.5,3.25,-1,-1,-1,3.58,-1
60000013,6.0,5.5,3.4,3.75,5.75,4.0,-1,-1,-1,4.5,-1
60000014,6.4,7.0,5.0,5.5,6.5,4.5,-1,-1,-1,5.5,-1
60000015,7.4,8.5,9.8,7.25,4.5,6.75,-1,-1,-1,6.17,-1
60000016,8.2,4.5,8.6,6.0,8.25,7.0,-1,-1,-1,7.08,-1
60000017,7.0,5.75,8.4,5.5,4.75,3.0,-1,-1,-1,4.42,-1
60000018,7.4,6.5,8.8,8.75,4.0,5.25,-1,-1,-1,6.0,-1
60000019,8.4,5.5,5.8,7.5,6.5,7.0,-1,-1,-1,7.0,-1
60000020,6.2,4.5,4.8,5.5,3.25,4.25,-1,-1,-1,4.33,-1
60000021,5.0,8.0,5.0,5.0,5.75,5.5,-1,-1,-1,5.42,-1
60000022,6.4,6.75,5.6,4.75,3.5,5.0,-1,-1,-1,4.42,-1
60000023,6.0,6.5,5.0,5.25,4.75,4.75,-1,-1,-1,4.92,-1
60000024,5.8,6.25,5.2,5.5,7.0,5.5,-1,-1,-1,6.0,-1
60000025,6.0,7.0,5.2,5.0,5.0,7.5,-1,-1,-1,5.83,-1
60000026,5.0,5.0,3.6,2.75,4.75,3.5,-1,-1,-1,3.67,-1
60000027,5.0,5.5,2.0,5.0,4.5,7.25,-1,-1,-1,5.58,-1
60000028,6.2,4.75,4.4,5.5,6.0,4.5,-1,-1,-1,5.33,-1
60000029,5.4,5.25,3.8,3.5,4.25,4.5,-1,-1,-1,4.08,-1
60000030,6.6,7.25,7.4,6.5,5.25,6.5,-1,-1,-1,6.08,-1
60000031,5.6,5.25,6.0,6.25,4.75,7.25,-1,-1,-1,6.08,-1
60000032,3.2,5.0,3.0,3.0,4.75,4.25,-1,-1,-1,4.0,-1
60000033,6.4,4.75,5.8,6.25,4.0,3.25,-1,-1,-1,4.5,-1
60000034,6.2,5.5,6.6,2.25,3.5,4.5,-1,-1,-1,3.42,-1
60000035,7.6,4.25,6.8,7.75,3.75,5.25,-1,-1,-1,5.58,-1
60000036,6.8,7.5,6.4,6.25,6.0,5.0,-1,-1,-1,5.75,-1
60000037,8.6,6.25,6.2,9.0,7.0,5.0,-1,-1,-1,7.0,-1
60000038,5.0,4.25,5.0,4.5,4.75,5.5,-1,-1,-1,4.92,-1
60000039,6.0,6.25,4.0,5.25,4.75,5.25,-1,-1,-1,5.08,-1
60000040,8.4,6.75,9.8,8.5,6.5,6.0,-1,-1,-1,7.0,-1
60000041,6.0,4.0,4.2,6.5,3.0,4.75,-1,-1,-1,4.75,-1
60000042,5.6,4.5,4.2,6.0,7.0,5.25,-1,-1,-1,6.08,-1
60000043,7.8,5.25,8.0,6.5,4.75,5.0,-1,-1,-1,5.42,-1
60000044,7.2,5.5,5.2,7.5,6.0,4.25,-1,-1,-1,5.92,-1
60000045,7.0,5.25,4.4,5.25,7.25,6.0,-1,-1,-1,6.17,-1
60000046,6.0,4.75,3.2,5.0,5.5,3.25,-1,-1,-1,4.58,-1
