SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
61000001,5.0,5.5,2.2,3.5,4.25,4.75,-1,-1,-1,4.17,-1
61000002,4.2,7.5,3.0,4.5,4.25,4.25,-1,-1,-1,4.33,-1
61000003,3.6,5.5,3.4,2.25,4.5,3.0,-1,-1,-1,3.25,-1
61000004,6.6,5.5,5.0,6.0,6.5,5.25,-1,-1,-1,5.92,-1
61000005,8.0,6.75,5.0,7.75,7.25,5.5,-1,-1,-1,6.83,-1
61000006,6.2,3.75,3.2,5.25,5.0,5.5,-1,-1,-1,5.25,-1
61000007,6.4,6.5,4.8,7.0,7.25,4.5,-1,-1,-1,6.25,-1
61000008,6.4,5.0,7.4,6.75,5.0,4.5,-1,-1,-1,5.42,-1
61000009,6.2,6.25,4.8,6.25,5.5,7.5,-1,-1,-1,6.42,-1
61000010,8.0,7.0,3.8,5.5,9.0,9.0,-1,-1,-1,7.83,-1
61000011,4.6,4.0,2.6,3.75,3.5,4.75,-1,-1,-1,4.0,-1
61000012,5.2,5.25,3.4,3.25,3.75,3.25,-1,-1,-1,3.42,-1
61000013,5.0,5.25,4.4,4.75,5.0,6.75,-1,-1,-1,5.5,-1
61000014,8.8,6.5,7.4,5.0,5.25,4.75,-1,-1,-1,5.0,-1
61000015,5.0,4.75,3.8,5.5,4.75,4.5,-1,-1,-1,4.92,-1
61000016,3.8,4.75,4.2,2.75,5.0,4.75,-1,-1,-1,4.17,-1
61000017,7.6,5.75,4.8,6.5,7.25,4.75,-1,-1,-1,6.17,-1
61000018,7.4,5.25,5.4,5.25,5.0,5.0,-1,-1,-1,5.08,-1
61000019,2.4,3.25,2.4,2.5,2.75,3.25,-1,-1,-1,2.83,-1
61000020,5.2,5.0,3.0,3.75,3.75,6.25,-1,-1,-1,4.58,-1
61000021,3.6,5.25,3.0,5.0,2.75,4.75,-1,-1,-1,4.17,-1
61000022,4.6,4.75,3.8,5.0,4.5,5.0,-1,-1,-1,4.83,-1
61000023,4.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61000024,5.4,7.25,5.6,2.0,3.0,4.5,-1,-1,-1,3.17,-1
61000025,6.2,5.25,4.6,3.75,4.5,3.5,-1,-1,-1,3.92,-1
61000026,4.0,5.5,3.6,5.75,4.0,3.0,-1,-1,-1,4.25,-1
61000027,5.0,6.0,3.6,4.5,5.25,6.0,-1,-1,-1,5.25,-1
61000028,4.8,6.5,3.4,4.0,3.5,4.5,-1,-1,-1,4.0,-1
61000029,7.8,7.25,8.2,5.25,5.5,6.5,-1,-1,-1,5.75,-1
61000030,3.8,6.0,4.2,4.75,3.0,5.0,-1,-1,-1,4.25,-1
61000031,5.4,4.25,5.4,3.25,6.0,7.5,-1,-1,-1,5.58,-1
61000032,3.6,3.75,4.0,2.5,1.25,3.5,-1,-1,-1,2.42,-1
61000033,3.0,5.75,2.4,3.0,3.5,5.0,-1,-1,-1,3.83,-1
61000034,5.8,3.75,6.8,5.25,5.25,5.5,-1,-1,-1,5.33,-1
61000035,6.0,4.75,4.6,6.0,6.5,4.5,-1,-1,-1,5.67,-1
61000036,3.4,2.5,3.2,2.75,2.5,5.25,-1,-1,-1,3.5,-1
61000037,5.6,3.75,4.6,5.75,5.5,5.5,-1,-1,-1,5.58,-1
61000038,4.6,7.25,5.8,4.75,5.75,6.25,-1,-1,-1,5.58,-1
61000039,4.2,4.75,3.0,5.5,3.5,4.5,-1,-1,-1,4.5,-1
61000040,5.2,5.5,4.6,2.75,5.0,4.0,-1,-1,-1,3.92,-1
61000041,3.4,4.5,3.8,4.25,2.5,3.5,-1,-1,-1,3.42,-1
61000042,6.8,6.5,5.6,5.25,7.25,5.0,-1,-1,-1,5.83,-1
61000043,5.0,4.5,2.6,4.25,3.75,2.75,-1,-1,-1,3.58,-1
61000044,4.4,5.75,5.8,4.5,4.0,5.25,-1,-1,-1,4.58,-1
61000045,8.4,5.5,6.6,8.0,8.5,8.0,-1,-1,-1,8.17,-1
61000046,4.6,5.0,3.0,4.75,3.5,4.0,-1,-1,-1,4.08,-1
61000047,4.6,6.5,4.0,3.25,3.75,3.5,-1,-1,-1,3.5,-1
61000048,3.8,6.25,4.4,3.25,5.5,5.25,-1,-1,-1,4.67,-1
61000049,6.6,6.75,6.2,5.0,6.0,6.5,-1,-1,-1,5.83,-1
61000050,7.8,6.0,5.4,7.25,5.5,3.75,-1,-1,-1,5.5,-1
61000051,9.2,7.25,8.0,6.0,9.25,9.0,-1,-1,-1,8.08,-1
61000052,6.4,6.0,5.4,6.5,7.0,5.75,-1,-1,-1,6.42,-1
61000053,5.8,4.5,3.6,6.75,4.5,5.0,-1,-1,-1,5.42,-1
61000054,4.8,3.25,3.2,3.75,3.75,4.5,-1,-1,-1,4.0,-1
61000055,7.0,5.75,4.6,5.5,3.5,5.25,-1,-1,-1,4.75,-1
61000056,8.4,6.75,4.8,8.25,8.25,4.75,-1,-1,-1,7.08,-1
61000057,8.8,7.0,5.4,4.0,7.25,8.75,-1,-1,-1,6.67,-1
61000058,6.8,4.75,6.0,6.75,4.0,5.25,-1,-1,-1,5.33,-1
61000059,4.2,4.75,2.8,3.5,3.75,3.75,-1,-1,-1,3.67,-1
61000060,7.2,7.5,8.2,6.25,7.5,6.5,-1,-1,-1,6.75,-1
61000061,4.4,5.0,2.6,5.0,3.5,5.25,-1,-1,-1,4.58,-1
61000062,3.6,4.0,2.8,4.25,4.75,4.75,-1,-1,-1,4.58,-1
61000063,4.8,4.25,3.8,5.25,3.5,6.75,-1,-1,-1,5.17,-1
61000064,8.8,5.5,3.6,8.0,7.5,5.0,-1,-1,-1,6.83,-1
61000065,4.6,6.0,4.8,6.25,5.0,5.0,-1,-1,-1,5.42,-1
61000066,2.2,3.0,4.4,2.5,2.25,3.25,-1,-1,-1,2.67,-1
61000067,3.2,5.25,3.6,3.25,3.5,4.0,-1,-1,-1,3.58,-1
61000068,6.0,6.5,5.2,4.25,4.5,4.75,-1,-1,-1,4.5,-1
61000069,7.0,4.25,5.0,5.0,5.0,4.5,-1,-1,-1,4.83,-1
61000070,8.4,6.0,5.8,8.0,8.0,8.0,-1,-1,-1,8.0,-1
61000071,3.0,4.75,3.8,2.75,4.25,4.25,-1,-1,-1,3.75,-1
61000072,5.4,5.25,4.2,5.0,5.5,3.75,-1,-1,-1,4.75,-1
61000073,8.0,7.0,9.0,5.0,9.0,9.5,-1,-1,-1,7.83,-1
61000074,2.8,4.5,2.4,3.5,4.0,4.75,-1,-1,-1,4.08,-1
61000075,3.0,6.0,2.6,3.75,4.75,4.75,-1,-1,-1,4.42,-1
61000076,7.2,4.75,7.2,7.75,3.5,5.75,-1,-1,-1,5.67,-1
61000077,5.6,3.5,6.4,6.75,3.75,7.0,-1,-1,-1,5.83,-1
61000078,7.6,4.25,7.8,6.5,5.0,6.5,-1,-1,-1,6.0,-1
61000079,5.0,6.0,1.8,5.5,3.75,5.75,-1,-1,-1,5.0,-1
61000080,4.8,4.5,4.6,3.25,4.5,6.25,-1,-1,-1,4.67,-1
61000081,6.4,6.0,4.2,6.0,7.0,7.0,-1,-1,-1,6.67,-1
61000082,7.0,4.75,6.4,7.25,5.0,5.75,-1,-1,-1,6.0,-1
61000083,7.0,5.0,3.2,6.25,7.75,5.25,-1,-1,-1,6.42,-1
61000084,6.2,5.0,6.8,6.0,4.5,5.0,-1,-1,-1,5.17,-1
61000085,6.6,5.0,4.6,5.75,6.0,5.5,-1,-1,-1,5.75,-1
61000086,3.4,5.0,3.6,3.0,2.75,3.75,-1,-1,-1,3.17,-1
61000087,6.0,3.0,4.6,5.25,4.0,3.25,-1,-1,-1,4.17,-1
61000088,6.2,6.0,6.4,5.5,6.5,4.75,-1,-1,-1,5.58,-1
61000089,4.6,4.5,4.6,3.0,4.75,6.5,-1,-1,-1,4.75,-1
61000090,2.4,3.25,3.2,4.25,2.0,3.0,-1,-1,-1,3.08,-1
61000091,4.4,4.5,5.8,4.75,6.25,5.75,-1,-1,-1,5.58,-1
