SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
62000001,6.2,8.0,3.2,-1,-1,-1,8.25,6.75,8.5,-1,7.83
62000002,2.2,7.0,3.4,-1,-1,-1,5.25,7.5,7.0,-1,6.58
62000003,3.4,7.75,3.4,-1,-1,-1,4.0,7.25,8.5,-1,6.58
62000004,5.2,6.0,3.4,5.0,3.0,4.75,-1,-1,-1,4.25,-1
62000005,4.2,8.5,3.4,3.75,3.5,5.5,-1,-1,-1,4.25,-1
62000006,4.6,6.0,3.8,-1,-1,-1,4.75,7.75,8.0,-1,6.83
62000007,3.2,7.25,3.2,-1,-1,-1,4.75,7.25,7.5,-1,6.5
62000008,3.0,5.75,2.8,-1,-1,-1,4.75,5.5,8.0,-1,6.08
62000009,5.2,6.5,2.4,2.25,4.5,4.25,-1,-1,-1,3.67,-1
62000010,5.0,6.25,4.0,3.5,5.0,6.0,-1,-1,-1,4.83,-1
62000011,2.8,5.75,2.8,-1,-1,-1,6.75,7.75,9.0,-1,7.83
62000012,4.8,6.5,3.8,-1,-1,-1,6.75,6.5,8.5,-1,7.25
62000013,6.2,6.0,3.0,3.5,4.5,7.25,-1,-1,-1,5.08,-1
62000014,4.0,5.5,2.4,-1,-1,-1,3.25,5.75,7.25,-1,5.42
62000015,2.6,5.5,3.0,-1,-1,-1,4.75,6.25,7.0,-1,6.0
62000016,3.8,6.25,3.6,-1,-1,-1,3.75,6.75,7.75,-1,6.08
62000017,4.6,6.5,3.6,-1,-1,-1,4.5,6.0,8.0,-1,6.17
62000018,4.8,6.25,2.6,-1,-1,-1,6.5,6.25,7.0,-1,6.58
62000019,3.4,6.75,1.8,-1,-1,-1,4.25,5.75,7.0,-1,5.67
62000020,2.2,5.5,2.4,-1,-1,-1,4.0,5.5,7.0,-1,5.5
62000021,4.8,6.0,2.6,-1,-1,-1,3.75,6.75,8.5,-1,6.33
62000022,5.4,5.5,3.2,-1,-1,-1,4.0,5.75,7.0,-1,5.58
62000023,3.0,7.5,3.2,-1,-1,-1,2.75,5.0,4.5,-1,4.08
62000024,3.0,5.0,2.0,-1,-1,-1,4.25,6.75,8.0,-1,6.33
