SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
63000001,2.4,4.25,2.8,-1,-1,-1,4.25,3.75,7.25,-1,5.08
63000002,4.0,5.25,3.6,3.0,3.75,4.25,-1,-1,-1,3.67,-1
63000003,8.0,5.25,4.4,6.0,7.5,3.75,-1,-1,-1,5.75,-1
63000004,4.6,7.5,4.6,5.25,3.75,4.25,-1,-1,-1,4.42,-1
63000005,8.8,5.25,3.0,8.5,8.25,5.25,-1,-1,-1,7.33,-1
63000006,8.4,7.75,5.0,4.75,8.75,9.25,-1,-1,-1,7.58,-1
63000007,3.6,6.0,4.8,-1,-1,-1,7.0,8.25,7.75,-1,7.67
63000008,3.8,5.75,2.2,-1,-1,-1,6.0,8.0,8.0,-1,7.33
63000009,4.8,5.0,2.6,3.25,3.5,5.25,-1,-1,-1,4.0,-1
63000010,7.8,6.0,3.2,4.25,5.75,7.25,-1,-1,-1,5.75,-1
63000011,6.2,7.75,7.0,6.75,5.25,6.0,-1,-1,-1,6.0,-1
63000012,4.0,5.75,4.0,-1,-1,-1,4.5,7.25,8.5,-1,6.75
63000013,8.4,9.0,9.2,-1,-1,-1,6.75,8.0,9.75,-1,8.17
63000014,7.4,7.0,4.8,3.5,9.0,8.25,-1,-1,-1,6.92,-1
63000015,8.2,6.75,4.0,5.25,7.5,9.25,-1,-1,-1,7.33,-1
63000016,7.4,6.75,4.2,5.0,7.0,8.5,-1,-1,-1,6.83,-1
63000017,8.2,7.0,5.4,5.25,7.5,7.5,-1,-1,-1,6.75,-1
63000018,6.2,5.5,5.2,4.5,7.5,5.75,-1,-1,-1,5.92,-1
63000019,6.4,8.5,6.0,-1,-1,-1,7.0,7.75,7.25,-1,7.33
63000020,5.4,7.75,5.4,-1,-1,-1,4.25,6.5,8.0,-1,6.25
63000021,7.4,8.0,6.8,6.0,4.75,5.0,-1,-1,-1,5.25,-1
63000022,8.4,8.0,7.0,8.75,6.0,4.25,-1,-1,-1,6.33,-1
63000023,7.6,7.75,4.4,3.75,6.0,6.0,-1,-1,-1,5.25,-1
63000024,3.8,5.75,2.6,-1,-1,-1,4.5,7.0,8.25,-1,6.58
63000025,8.4,8.5,4.8,6.25,8.5,5.25,-1,-1,-1,6.67,-1
63000026,4.6,7.25,5.4,-1,-1,-1,4.75,6.5,9.0,-1,6.75
63000027,5.0,8.75,5.0,-1,-1,-1,8.0,8.5,7.75,-1,8.08
63000028,7.2,7.75,9.6,-1,-1,-1,6.0,8.5,7.75,-1,7.42
63000029,5.6,8.0,8.4,4.5,3.5,3.5,-1,-1,-1,3.83,-1
63000030,6.8,6.25,3.0,6.25,5.5,4.5,-1,-1,-1,5.42,-1
63000031,4.4,6.75,5.6,-1,-1,-1,8.0,8.75,8.5,-1,8.42
63000033,7.8,7.25,6.8,2.0,4.25,5.5,-1,-1,-1,3.92,-1
63000034,5.2,4.5,5.6,5.75,5.0,4.75,-1,-1,-1,5.17,-1
63000035,4.8,2.0,3.6,2.75,4.5,4.5,-1,-1,-1,3.92,-1
63000036,6.8,5.75,2.8,5.25,8.5,5.0,-1,-1,-1,6.25,-1
63000037,6.8,5.5,2.6,5.75,7.0,3.25,-1,-1,-1,5.33,-1
63000038,5.8,4.75,3.8,7.5,6.25,4.5,-1,-1,-1,6.08,-1
63000039,6.8,5.75,5.2,5.5,6.25,6.5,-1,-1,-1,6.08,-1
63000040,8.0,6.0,6.4,7.25,7.0,6.0,-1,-1,-1,6.75,-1
63000041,6.2,6.0,3.8,5.25,6.25,4.5,-1,-1,-1,5.33,-1
63000042,5.6,6.25,4.0,6.25,5.75,6.25,-1,-1,-1,6.08,-1
63000043,4.2,6.5,3.0,3.75,5.0,4.75,-1,-1,-1,4.5,-1
63000044,7.0,5.5,5.0,5.75,7.5,6.0,-1,-1,-1,6.42,-1
63000045,8.6,5.5,2.4,7.5,6.0,5.25,-1,-1,-1,6.25,-1
63000046,8.0,6.25,2.6,7.75,7.5,3.5,-1,-1,-1,6.25,-1
63000047,5.0,4.5,3.4,5.25,3.75,5.5,-1,-1,-1,4.83,-1
63000048,4.8,4.0,2.8,3.5,4.0,3.25,-1,-1,-1,3.58,-1
63000049,5.0,5.25,2.8,5.0,4.75,3.0,-1,-1,-1,4.25,-1
63000050,5.8,4.75,4.4,5.25,4.75,4.5,-1,-1,-1,4.83,-1
63000051,5.2,5.75,3.6,4.0,3.5,3.5,-1,-1,-1,3.67,-1
63000052,8.2,5.75,8.0,7.5,6.5,4.5,-1,-1,-1,6.17,-1
63000053,6.6,7.25,5.2,5.5,8.0,8.75,-1,-1,-1,7.42,-1
63000054,6.6,4.5,5.2,6.0,7.5,3.25,-1,-1,-1,5.58,-1
63000055,7.2,5.75,5.6,5.75,5.5,3.25,-1,-1,-1,4.83,-1
63000056,8.4,7.0,4.6,6.75,7.25,3.0,-1,-1,-1,5.67,-1
63000057,7.6,7.0,5.4,6.5,7.75,7.25,-1,-1,-1,7.17,-1
63000058,6.8,5.75,5.4,7.0,7.75,7.0,-1,-1,-1,7.25,-1
63000059,3.8,4.75,2.0,1.5,2.0,3.25,-1,-1,-1,2.25,-1
63000060,7.2,5.5,4.6,7.0,7.75,4.25,-1,-1,-1,6.33,-1
63000061,6.8,2.75,3.6,5.75,2.75,4.25,-1,-1,-1,4.25,-1
63000062,4.2,5.0,2.4,4.5,5.5,5.5,-1,-1,-1,5.17,-1
63000063,8.8,4.25,4.2,6.75,8.5,4.75,-1,-1,-1,6.67,-1
63000064,7.6,4.5,3.4,6.0,5.5,3.25,-1,-1,-1,4.92,-1
63000065,6.0,5.25,3.8,2.75,7.0,3.0,-1,-1,-1,4.25,-1
63000066,8.0,6.75,4.8,4.0,6.5,5.5,-1,-1,-1,5.33,-1
63000067,4.6,5.75,4.8,5.75,3.75,2.75,-1,-1,-1,4.08,-1
63000068,6.6,5.75,3.6,5.0,6.0,3.5,-1,-1,-1,4.83,-1
63000069,6.0,5.5,3.8,4.25,5.0,6.25,-1,-1,-1,5.17,-1
63000070,8.4,7.25,9.0,8.0,5.25,5.75,-1,-1,-1,6.33,-1
63000071,6.6,7.75,8.2,4.5,4.5,4.5,-1,-1,-1,4.5,-1
63000072,6.0,4.5,2.6,4.0,5.5,3.5,-1,-1,-1,4.33,-1
63000073,4.6,6.0,2.8,2.5,4.75,5.25,-1,-1,-1,4.17,-1
63000074,6.2,5.5,5.0,5.25,4.5,3.75,-1,-1,-1,4.5,-1
63000075,5.2,5.75,3.6,5.0,3.5,2.75,-1,-1,-1,3.75,-1
63000076,4.6,6.0,3.2,4.75,6.5,4.75,-1,-1,-1,5.33,-1
63000077,5.8,4.5,3.8,6.25,6.25,5.75,-1,-1,-1,6.08,-1
63000078,8.0,5.0,5.4,6.5,4.25,4.5,-1,-1,-1,5.08,-1
63000079,7.2,6.5,3.2,3.25,5.0,6.0,-1,-1,-1,4.75,-1
63000080,4.4,5.25,2.4,5.0,4.25,4.5,-1,-1,-1,4.58,-1
63000081,5.8,5.25,3.6,5.0,6.5,4.75,-1,-1,-1,5.42,-1
63000082,5.0,3.25,5.4,5.25,3.0,4.75,-1,-1,-1,4.33,-1
63000083,5.0,5.75,3.6,6.5,5.0,3.5,-1,-1,-1,5.0,-1
63000084,8.0,6.25,5.6,5.25,7.0,7.0,-1,-1,-1,6.42,-1
63000085,9.0,6.5,6.2,5.75,8.75,9.0,-1,-1,-1,7.83,-1
63000086,7.2,6.25,4.8,2.5,7.0,7.0,-1,-1,-1,5.5,-1
63000087,4.4,6.75,3.8,3.75,2.25,3.5,-1,-1,-1,3.17,-1
63000088,5.4,6.0,3.8,6.75,6.0,4.5,-1,-1,-1,5.75,-1
63000089,7.8,4.0,2.8,7.25,6.5,5.5,-1,-1,-1,6.42,-1
63000090,7.4,5.75,3.4,5.25,6.0,4.75,-1,-1,-1,5.33,-1
63000091,5.2,3.75,6.2,5.0,3.25,3.0,-1,-1,-1,3.75,-1
63000092,8.4,5.5,6.0,4.25,7.25,8.0,-1,-1,-1,6.5,-1
63000093,6.2,6.75,5.2,4.25,7.25,3.75,-1,-1,-1,5.08,-1
63000094,5.0,6.75,3.6,5.75,6.75,5.25,-1,-1,-1,5.92,-1
63000095,8.6,6.75,8.2,6.5,8.75,9.75,-1,-1,-1,8.33,-1
63000096,8.4,5.25,5.4,7.5,7.5,7.75,-1,-1,-1,7.58,-1
63000097,6.8,6.0,3.0,5.75,4.25,5.75,-1,-1,-1,5.25,-1
63000098,4.2,7.0,3.8,3.5,5.5,4.0,-1,-1,-1,4.33,-1
63000099,7.8,6.25,6.2,6.25,8.25,6.5,-1,-1,-1,7.0,-1
63000100,8.8,5.75,4.2,8.5,8.0,3.75,-1,-1,-1,6.75,-1
63000101,7.0,7.75,6.2,5.0,6.25,3.75,-1,-1,-1,5.0,-1
63000102,7.6,6.0,7.8,2.5,8.5,6.5,-1,-1,-1,5.83,-1
63000103,7.4,6.0,4.0,4.75,5.75,6.75,-1,-1,-1,5.75,-1
63000104,4.4,5.75,3.2,5.0,4.5,4.75,-1,-1,-1,4.75,-1
63000105,8.6,5.5,3.8,7.5,7.75,5.5,-1,-1,-1,6.92,-1
63000106,6.4,6.75,5.2,4.25,4.25,5.5,-1,-1,-1,4.67,-1
63000107,4.8,6.25,3.2,4.25,4.0,4.5,-1,-1,-1,4.25,-1
63000108,7.4,7.25,6.0,4.5,6.25,7.0,-1,-1,-1,5.92,-1
63000109,6.6,7.75,7.6,4.75,5.0,5.0,-1,-1,-1,4.92,-1
63000110,4.4,6.5,2.6,3.75,3.75,4.75,-1,-1,-1,4.08,-1
63000111,8.4,7.75,4.2,4.5,6.5,7.0,-1,-1,-1,6.0,-1
63000112,4.8,6.5,3.2,5.0,4.75,4.5,-1,-1,-1,4.75,-1
63000113,6.4,5.75,5.6,7.25,6.25,4.25,-1,-1,-1,5.92,-1
63000114,4.8,5.0,3.8,4.5,4.5,5.0,-1,-1,-1,4.67,-1
63000115,8.2,4.5,9.2,8.25,5.0,5.25,-1,-1,-1,6.17,-1
63000116,4.8,5.0,3.2,3.5,3.25,5.75,-1,-1,-1,4.17,-1
63000117,4.8,5.5,3.8,1.75,3.0,3.75,-1,-1,-1,2.83,-1
63000118,6.4,6.5,7.2,4.25,5.0,4.5,-1,-1,-1,4.58,-1
63000119,4.2,5.5,3.4,3.5,4.5,3.25,-1,-1,-1,3.75,-1
63000120,8.8,6.75,4.4,3.75,8.25,7.5,-1,-1,-1,6.5,-1
63000121,8.0,8.0,8.2,5.25,6.75,6.5,-1,-1,-1,6.17,-1
63000122,5.6,7.5,3.4,5.25,6.5,6.0,-1,-1,-1,5.92,-1
63000123,6.6,7.5,6.0,3.25,4.25,5.5,-1,-1,-1,4.33,-1
63000124,6.8,5.0,7.0,7.0,3.0,5.25,-1,-1,-1,5.08,-1
63000125,6.4,5.0,3.2,4.75,5.5,4.25,-1,-1,-1,4.83,-1
63000126,6.2,5.0,3.8,5.5,6.25,3.25,-1,-1,-1,5.0,-1
63000127,6.8,5.75,6.6,5.75,8.25,5.0,-1,-1,-1,6.33,-1
63000128,4.2,5.0,2.4,4.5,4.25,5.0,-1,-1,-1,4.58,-1
63000129,6.0,4.75,5.2,7.25,4.5,4.75,-1,-1,-1,5.5,-1
63000130,7.6,6.5,6.6,8.0,9.25,5.25,-1,-1,-1,7.5,-1
63000131,9.6,7.0,7.4,9.0,9.75,4.25,-1,-1,-1,7.67,-1
63000132,5.6,5.25,4.2,6.25,7.0,5.5,-1,-1,-1,6.25,-1
63000133,7.0,8.5,6.0,6.0,6.75,6.5,-1,-1,-1,6.42,-1
63000134,5.4,5.5,3.2,4.25,5.25,5.75,-1,-1,-1,5.08,-1
63000135,8.6,8.0,5.8,7.5,7.5,6.0,-1,-1,-1,7.0,-1
63000136,6.2,6.75,3.6,3.5,3.75,5.0,-1,-1,-1,4.08,-1
63000137,5.8,5.5,3.4,6.0,5.5,4.0,-1,-1,-1,5.17,-1
63000138,6.0,6.5,7.0,3.75,4.5,6.0,-1,-1,-1,4.75,-1
63000139,4.6,4.75,2.6,3.5,3.5,4.5,-1,-1,-1,3.83,-1
63000140,3.6,5.25,4.0,4.5,3.25,3.0,-1,-1,-1,3.58,-1
63000141,7.4,6.25,2.8,6.75,7.5,4.0,-1,-1,-1,6.08,-1
63000142,5.2,5.5,2.2,3.0,4.25,2.5,-1,-1,-1,3.25,-1
63000143,8.4,5.0,4.4,6.5,6.75,5.5,-1,-1,-1,6.25,-1
63000144,5.4,4.0,3.4,3.5,5.25,4.5,-1,-1,-1,4.42,-1
63000145,7.8,6.0,4.8,7.75,8.25,7.25,-1,-1,-1,7.75,-1
63000146,8.0,6.25,6.8,6.75,4.5,4.5,-1,-1,-1,5.25,-1
63000147,8.0,6.0,7.4,8.0,9.0,5.25,-1,-1,-1,7.42,-1
63000148,7.8,7.0,3.6,5.75,6.75,5.0,-1,-1,-1,5.83,-1
63000149,6.4,5.5,2.6,3.25,6.0,5.75,-1,-1,-1,5.0,-1
63000150,4.2,5.0,3.0,3.5,5.0,3.75,-1,-1,-1,4.08,-1
63000151,7.6,4.5,6.6,6.25,4.0,4.75,-1,-1,-1,5.0,-1
63000152,4.4,6.0,3.2,4.25,4.25,2.75,-1,-1,-1,3.75,-1
63000153,5.6,6.0,4.2,5.75,3.75,3.5,-1,-1,-1,4.33,-1
63000154,8.4,6.5,6.6,7.5,8.0,6.5,-1,-1,-1,7.33,-1
63000155,4.2,6.0,3.8,4.25,6.25,5.25,-1,-1,-1,5.25,-1
63000156,3.8,6.0,4.4,4.75,4.25,3.0,-1,-1,-1,4.0,-1
63000157,8.8,6.5,3.6,5.25,6.5,9.0,-1,-1,-1,6.92,-1
