SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
64000001,5.4,5.5,3.6,3.25,4.25,2.5,-1,-1,-1,3.33,-1
64000002,6.0,7.75,4.8,6.0,5.0,6.25,-1,-1,-1,5.75,-1
64000003,4.8,6.5,3.6,-1,-1,-1,4.0,7.25,8.75,-1,6.67
64000004,6.0,7.5,2.4,-1,-1,-1,6.5,8.5,9.5,-1,8.17
64000005,2.0,3.0,2.4,2.25,2.5,3.25,-1,-1,-1,2.67,-1
64000006,6.6,6.0,2.6,7.5,7.0,4.5,-1,-1,-1,6.33,-1
64000007,7.8,-1,-1,7.25,6.5,-1,-1,-1,-1,-1,-1
64000008,7.4,7.0,4.4,6.0,7.25,6.5,-1,-1,-1,6.58,-1
64000009,5.2,6.25,4.2,-1,-1,-1,3.0,6.25,8.0,-1,5.75
64000010,4.0,5.5,3.2,-1,-1,-1,4.0,5.75,9.0,-1,6.25
64000011,3.8,5.5,2.8,-1,-1,-1,5.25,5.75,8.25,-1,6.42
64000012,4.4,6.25,4.0,-1,-1,-1,7.25,6.5,9.5,-1,7.75
64000013,4.6,6.5,3.8,-1,-1,-1,4.25,5.0,8.75,-1,6.0
64000014,2.6,2.75,2.6,3.75,2.0,3.0,-1,-1,-1,2.92,-1
64000015,5.2,5.0,3.4,-1,-1,-1,4.75,6.25,8.75,-1,6.58
64000016,7.0,5.25,4.0,4.75,5.75,4.75,-1,-1,-1,5.08,-1
64000017,6.4,6.5,4.8,-1,-1,-1,7.5,8.25,9.25,-1,8.33
64000018,1.8,-1,3.8,-1,-1,-1,-1,-1,7.75,-1,-1
64000019,6.8,4.25,5.8,8.75,8.25,6.25,-1,-1,-1,7.75,-1
64000020,2.2,4.25,-1,-1,-1,-1,5.25,3.75,-1,-1,-1
64000021,6.2,4.0,2.6,5.25,6.5,5.0,-1,-1,-1,5.58,-1
64000022,6.6,5.5,5.6,6.75,4.5,4.25,-1,-1,-1,5.17,-1
64000023,6.0,5.5,4.8,5.25,4.0,4.0,-1,-1,-1,4.42,-1
64000024,4.6,5.75,4.2,-1,-1,-1,5.75,7.0,8.5,-1,7.08
