SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
04000001,3.20,5.00,2.00,-1,-1,-1,2.50,6.75,6.00
04000002,4.00,4.50,3.60,-1,-1,-1,2.50,2.25,5.75
04000003,5.00,3.25,2.80,-1,-1,-1,2.25,5.75,8.00
04000004,2.40,4.25,3.80,-1,-1,-1,3.25,3.75,6.25
04000005,5.20,6.00,8.00,-1,-1,-1,4.50,8.25,8.25
04000006,2.40,5.00,4.20,-1,-1,-1,2.50,4.00,6.75
04000007,3.80,3.25,2.60,-1,-1,-1,2.75,4.25,7.00
04000008,3.20,3.25,2.80,-1,-1,-1,3.50,4.25,6.25
04000009,4.60,3.75,3.60,-1,-1,-1,3.75,5.25,6.25
04000010,3.60,4.00,2.80,-1,-1,-1,4.75,5.00,4.50
04000011,4.00,6.00,4.20,-1,-1,-1,1.50,4.75,7.75
04000012,3.80,4.50,3.20,-1,-1,-1,3.25,4.00,6.25
04000013,2.80,3.25,3.00,-1,-1,-1,4.25,5.00,7.75
04000014,3.20,1.50,1.60,-1,-1,-1,3.00,4.50,3.75
04000015,3.40,2.75,7.80,-1,-1,-1,3.25,5.50,6.75
04000016,2.00,3.25,1.80,-1,-1,-1,2.75,5.25,6.00
04000017,3.60,5.00,3.20,-1,-1,-1,4.25,6.00,7.25
04000018,3.80,3.25,3.40,-1,-1,-1,2.75,4.75,7.25
04000019,3.20,2.75,2.20,-1,-1,-1,2.75,3.00,5.50
04000020,3.80,4.25,1.60,-1,-1,-1,4.00,5.25,7.00
04000021,5.40,5.00,3.40,-1,-1,-1,3.00,5.50,7.00
04000022,3.40,2.25,2.80,-1,-1,-1,3.25,4.50,5.00
04000023,5.40,6.25,4.80,-1,-1,-1,4.25,7.25,8.25
04000024,5.00,4.00,3.00,-1,-1,-1,3.75,5.75,8.00
04000025,3.60,4.50,3.20,-1,-1,-1,2.25,4.75,7.00
04000026,2.60,2.50,2.00,-1,-1,-1,1.75,4.50,7.00
04000027,3.40,4.00,2.80,-1,-1,-1,3.50,4.00,7.50
04000028,4.40,2.50,3.00,-1,-1,-1,3.25,4.25,6.25
04000029,4.20,4.50,4.40,-1,-1,-1,2.25,5.00,5.75
04000030,4.00,5.25,2.20,-1,-1,-1,2.75,3.25,6.00
04000031,2.80,4.00,3.00,-1,-1,-1,3.75,5.75,5.75
04000032,3.40,4.50,3.40,-1,-1,-1,2.00,3.50,6.25
04000033,3.80,4.50,2.60,-1,-1,-1,4.00,7.00,8.00
04000034,5.20,5.25,1.60,-1,-1,-1,3.50,4.75,8.00
04000035,1.80,5.00,3.20,-1,-1,-1,2.25,4.25,5.00
04000036,2.20,2.00,2.60,-1,-1,-1,3.50,4.75,6.00
04000037,3.20,3.75,1.80,-1,-1,-1,2.75,4.25,6.00
04000038,2.20,4.25,3.00,-1,-1,-1,3.00,4.50,7.00
04000039,4.40,5.00,5.40,-1,-1,-1,3.25,4.25,6.25
04000040,3.80,5.75,3.80,-1,-1,-1,5.00,6.00,7.75
04000041,2.20,1.75,2.20,-1,-1,-1,1.25,4.25,5.00
04000042,5.00,3.00,3.00,-1,-1,-1,4.25,4.75,5.75
04000043,5.80,4.00,2.80,-1,-1,-1,4.75,6.25,8.00
04000044,4.20,4.50,2.60,-1,-1,-1,4.00,4.75,8.25
04000045,4.80,4.00,2.40,-1,-1,-1,2.25,4.00,7.25
04000046,2.40,3.50,3.20,-1,-1,-1,3.50,4.00,6.25
04000047,4.00,4.75,2.40,-1,-1,-1,3.25,5.00,6.00
04000048,2.00,4.25,2.60,-1,-1,-1,2.25,6.00,7.50
04000049,3.20,7.50,5.00,-1,-1,-1,3.00,6.00,8.50
04000050,4.20,7.00,5.20,-1,-1,-1,5.75,5.75,7.00
04000051,4.00,4.50,2.80,-1,-1,-1,3.50,4.25,7.00
04000052,4.00,5.75,2.20,-1,-1,-1,4.50,5.25,8.00
04000053,5.60,6.50,5.40,-1,-1,-1,4.50,6.50,8.50
04000054,4.80,4.75,2.80,-1,-1,-1,3.25,6.00,7.75
04000055,3.20,4.75,2.40,-1,-1,-1,4.00,5.75,7.25
04000056,5.80,6.00,3.00,-1,-1,-1,4.25,4.25,8.25
04000057,4.80,7.50,6.60,-1,-1,-1,2.50,4.75,7.75
04000058,4.00,4.00,3.20,-1,-1,-1,3.75,5.50,7.75
04000059,3.80,3.00,2.20,-1,-1,-1,3.00,4.75,6.50
04000060,4.20,4.00,3.20,-1,-1,-1,3.00,5.25,8.75
04000061,3.60,4.00,3.80,-1,-1,-1,3.00,4.50,8.00
04000062,3.60,5.75,3.60,-1,-1,-1,2.00,3.25,5.00
04000063,4.40,5.50,3.80,-1,-1,-1,1.75,3.00,6.25
04000064,4.80,6.50,3.00,-1,-1,-1,6.25,7.25,8.00
04000065,5.80,6.00,3.40,-1,-1,-1,3.25,4.75,6.25
04000066,4.20,3.75,4.40,-1,-1,-1,2.50,4.25,4.25
04000067,4.80,5.75,2.60,-1,-1,-1,3.75,4.00,7.50
04000068,2.00,3.50,2.20,-1,-1,-1,3.75,2.75,5.75
04000069,5.20,5.25,2.20,-1,-1,-1,4.50,5.50,7.75
04000070,2.40,2.25,3.60,-1,-1,-1,3.00,2.75,5.75
04000071,3.00,5.00,2.20,-1,-1,-1,3.00,2.75,6.75
04000072,5.00,6.75,5.80,-1,-1,-1,4.75,7.00,8.25
04000073,3.40,4.50,3.80,-1,-1,-1,5.25,7.00,7.25
04000074,4.00,4.00,3.20,-1,-1,-1,3.25,4.25,6.00
04000075,2.80,2.75,1.80,-1,-1,-1,3.50,5.00,5.25
04000076,4.40,5.25,1.60,-1,-1,-1,3.50,6.50,7.00
04000077,3.60,4.25,3.00,-1,-1,-1,1.75,5.50,5.50
04000078,1.60,5.50,2.20,-1,-1,-1,3.25,6.25,7.00
04000079,6.00,7.75,1.80,-1,-1,-1,3.75,3.75,7.50
04000080,2.40,3.75,2.40,-1,-1,-1,3.50,4.75,7.50
04000081,5.40,2.75,3.00,-1,-1,-1,5.00,3.50,6.25
04000082,4.20,5.25,3.40,-1,-1,-1,4.00,6.25,7.50
04000083,3.60,4.00,4.20,-1,-1,-1,3.50,6.00,7.75
04000084,5.00,7.50,2.60,-1,-1,-1,5.50,5.50,8.50
04000085,4.40,4.75,3.40,-1,-1,-1,3.25,4.50,7.75
04000086,4.40,3.75,3.40,-1,-1,-1,2.00,3.75,6.50
04000087,5.40,4.50,2.00,-1,-1,-1,4.50,4.75,7.75
04000088,6.20,5.00,3.80,-1,-1,-1,4.25,6.00,7.75
04000089,3.00,2.50,2.20,-1,-1,-1,2.75,4.00,6.75
04000091,1.20,2.50,2.20,-1,-1,-1,3.00,3.50,3.50
04000092,2.40,2.50,2.00,-1,-1,-1,3.00,4.00,6.75
04000093,3.80,7.25,2.20,-1,-1,-1,3.00,4.25,8.00
04000094,3.60,4.75,2.80,-1,-1,-1,2.00,5.00,5.75
04000095,3.60,6.75,3.60,-1,-1,-1,3.50,6.75,7.50
04000096,5.60,4.50,3.20,-1,-1,-1,3.25,4.75,7.25
04000097,4.00,4.50,2.60,-1,-1,-1,3.75,4.50,7.00
04000098,5.60,6.00,6.00,-1,-1,-1,3.75,6.75,8.50
04000099,1.80,3.50,2.20,-1,-1,-1,2.25,6.25,6.75
04000100,3.20,5.50,2.80,-1,-1,-1,3.00,4.50,6.25
04000101,4.40,5.00,2.00,-1,-1,-1,4.00,5.00,7.00
04000102,3.80,5.00,3.00,-1,-1,-1,4.75,4.25,8.50
04000103,4.00,3.75,3.60,-1,-1,-1,3.75,5.25,7.75
04000104,3.80,4.00,2.60,-1,-1,-1,2.25,4.25,7.75
04000105,4.20,5.50,4.40,-1,-1,-1,4.00,5.50,7.75
04000106,3.20,4.50,1.80,-1,-1,-1,3.50,4.00,5.50
04000107,4.60,2.75,3.80,-1,-1,-1,3.75,5.50,7.25
04000108,3.40,3.75,2.20,-1,-1,-1,3.00,5.75,6.50
04000109,4.00,4.50,1.80,-1,-1,-1,2.00,4.00,7.25
04000110,3.60,3.25,2.00,-1,-1,-1,3.00,4.75,7.00
04000111,3.60,3.75,2.20,-1,-1,-1,2.25,4.75,6.25
04000112,2.00,3.75,3.60,-1,-1,-1,3.25,3.75,5.00
04000113,3.00,3.50,1.80,-1,-1,-1,3.75,3.50,5.75
04000114,3.80,3.25,3.40,-1,-1,-1,2.00,5.00,6.50
04000115,3.80,4.25,2.00,-1,-1,-1,3.50,4.50,5.25
04000116,2.60,3.50,3.00,-1,-1,-1,3.75,5.25,6.50
04000117,2.60,5.00,3.40,-1,-1,-1,4.50,4.75,8.00
04000118,4.20,4.25,3.00,-1,-1,-1,3.75,5.25,7.50
04000119,4.00,3.75,3.20,-1,-1,-1,2.25,5.25,7.50
04000120,3.00,2.25,2.60,-1,-1,-1,2.75,3.75,3.25
04000121,4.40,4.00,3.00,-1,-1,-1,2.25,3.75,6.75
04000122,3.20,3.25,1.80,-1,-1,-1,4.00,5.25,6.50
04000123,4.20,5.50,2.60,-1,-1,-1,2.25,5.25,5.50
04000124,5.80,4.00,2.40,-1,-1,-1,3.25,5.25,7.00
04000125,3.00,1.75,3.40,-1,-1,-1,3.75,5.25,5.00
04000126,6.60,8.75,7.00,-1,-1,-1,4.50,6.00,8.00
04000127,2.20,2.50,1.00,-1,-1,-1,3.25,2.75,7.25
04000128,5.80,6.25,6.80,-1,-1,-1,4.00,4.75,7.50
04000129,4.60,5.00,2.60,-1,-1,-1,3.25,6.75,7.50
04000130,4.20,2.00,4.00,-1,-1,-1,4.75,5.50,7.75
04000131,2.40,1.25,3.40,-1,-1,-1,3.25,3.00,5.50
04000132,3.20,5.00,3.00,-1,-1,-1,2.00,4.25,7.00
04000133,4.20,4.75,3.60,-1,-1,-1,3.50,5.75,7.00
04000134,2.00,2.25,3.20,-1,-1,-1,2.75,4.75,6.25
04000135,4.80,5.50,4.40,-1,-1,-1,4.00,6.25,6.75
04000136,2.80,4.50,3.20,-1,-1,-1,2.50,5.75,6.25
04000137,4.40,6.00,3.60,-1,-1,-1,5.50,7.25,7.50
04000138,3.00,2.75,3.00,-1,-1,-1,2.25,5.50,6.75
04000139,3.80,1.75,3.20,-1,-1,-1,2.50,5.75,6.25
04000140,3.00,4.50,3.60,-1,-1,-1,4.25,6.50,8.50
04000141,4.00,3.00,2.00,-1,-1,-1,3.00,4.25,6.00
04000142,4.80,3.50,3.00,-1,-1,-1,4.50,4.25,7.25
04000143,3.00,2.00,3.20,-1,-1,-1,2.50,4.50,6.00
04000144,4.60,4.50,2.00,-1,-1,-1,4.00,7.75,7.25
04000145,5.20,4.50,2.20,-1,-1,-1,3.50,5.75,8.00
04000146,5.40,5.00,6.60,-1,-1,-1,4.00,6.75,6.75
04000147,4.20,4.25,1.40,-1,-1,-1,4.50,4.25,7.25
04000148,5.40,7.00,3.80,-1,-1,-1,4.25,5.25,7.00
04000149,2.40,3.00,2.40,-1,-1,-1,2.50,3.25,6.25
04000150,4.80,7.25,3.00,-1,-1,-1,4.00,7.25,8.00
04000151,4.00,6.00,3.20,-1,-1,-1,5.50,5.00,7.00
04000152,5.40,7.25,6.40,-1,-1,-1,5.25,6.50,8.50
