SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
06000002,2.40,6.00,2.00,-1,-1,-1,4.75,4.50,6.25
06000003,3.00,6.50,2.60,-1,-1,-1,2.75,4.25,6.50
06000004,2.80,2.25,-1,-1,-1,-1,2.75,5.75,-1
06000005,2.60,4.50,2.80,-1,-1,-1,4.00,5.75,6.75
06000006,2.00,4.50,2.60,-1,-1,-1,3.00,4.00,3.75
06000007,2.60,2.25,-1,-1,-1,-1,1.75,4.75,-1
06000008,1.80,5.75,2.40,-1,-1,-1,4.25,4.50,5.00
06000009,2.00,3.50,-1,-1,-1,-1,2.00,3.00,-1
06000010,5.20,8.50,2.20,-1,-1,-1,5.75,6.25,8.75
06000012,2.80,2.00,-1,-1,-1,-1,2.75,3.50,-1
06000013,1.80,4.00,2.60,-1,-1,-1,4.25,5.75,6.75
06000014,2.80,2.50,2.40,-1,-1,-1,1.75,2.50,3.50
06000015,2.80,6.25,3.20,-1,-1,-1,5.50,6.75,8.25
06000016,2.80,3.25,1.60,-1,-1,-1,2.50,4.00,5.00
06000017,3.00,4.50,2.60,-1,-1,-1,5.00,6.25,6.25
06000018,3.40,5.00,2.20,-1,-1,-1,3.00,3.75,6.50
06000019,3.40,0.00,-1,-1,-1,-1,1.75,2.25,-1
06000020,2.40,7.50,-1,-1,-1,-1,3.25,-1,-1
06000021,2.80,3.75,-1,-1,-1,-1,2.25,3.00,-1
06000022,1.60,2.25,1.80,-1,-1,-1,2.25,4.25,6.50
06000023,3.00,2.25,-1,-1,-1,-1,3.75,3.75,-1
06000024,3.00,5.25,2.00,-1,-1,-1,2.75,4.25,6.75
06000025,3.00,4.75,1.80,-1,-1,-1,3.25,4.00,7.75
06000026,1.80,5.75,2.00,-1,-1,-1,4.00,3.50,7.00
06000028,2.60,3.50,2.80,-1,-1,-1,2.25,5.75,7.00
06000029,3.00,3.00,-1,-1,-1,-1,2.25,-1,-1
06000030,4.40,5.00,3.40,-1,-1,-1,5.25,5.25,8.00
06000031,7.40,-1,-1,6.75,7.75,-1,-1,-1,-1
06000032,1.60,5.50,1.80,-1,-1,-1,3.50,3.00,4.25
06000033,3.60,5.00,3.00,-1,-1,-1,2.25,5.25,6.25
06000034,3.60,2.50,2.20,-1,-1,-1,1.75,3.75,4.75
06000035,2.80,3.50,3.00,-1,-1,-1,2.50,5.00,4.25
06000036,3.00,4.50,2.60,-1,-1,-1,4.25,5.50,5.75
06000037,2.80,3.00,3.20,-1,-1,-1,4.00,5.50,6.25
06000038,4.60,7.25,2.20,-1,-1,-1,3.75,4.00,9.25
