SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
08000001,6.20,5.50,3.40,3.75,7.25,7.25,-1,-1,-1
08000002,2.80,5.75,2.00,-1,-1,-1,2.50,4.75,5.75
08000003,3.80,5.25,3.80,-1,-1,-1,3.00,5.25,7.50
08000004,4.40,4.00,2.40,-1,-1,-1,2.75,7.50,8.00
08000005,5.20,6.50,2.80,4.25,3.25,2.75,-1,-1,-1
08000006,4.20,5.50,3.80,4.50,3.50,6.00,-1,-1,-1
08000007,4.60,5.50,3.20,-1,-1,-1,1.25,2.00,3.00
08000008,4.60,4.75,2.00,-1,-1,-1,4.25,6.75,8.25
08000009,5.20,7.25,3.00,-1,-1,-1,4.75,7.50,9.00
08000010,7.60,6.25,3.20,8.50,7.25,6.25,-1,-1,-1
08000011,4.80,5.50,3.60,4.25,3.75,3.50,-1,-1,-1
08000012,1.40,5.25,3.80,-1,-1,-1,3.00,4.00,5.25
08000013,6.80,6.00,2.60,7.75,6.50,4.25,-1,-1,-1
08000014,4.00,6.50,4.00,4.25,2.50,5.50,-1,-1,-1
08000015,4.60,6.50,3.20,-1,-1,-1,4.00,7.00,7.50
08000016,4.00,5.75,3.80,-1,-1,-1,4.00,6.25,8.25
08000017,4.40,7.00,3.80,-1,-1,-1,3.25,6.50,8.25
08000018,5.40,7.25,3.80,-1,-1,-1,3.75,7.50,9.25
08000019,4.80,7.50,2.80,-1,-1,-1,5.50,7.25,8.50
08000020,4.60,4.50,-1,-1,-1,-1,4.50,6.50,-1
08000021,4.00,6.25,2.20,-1,-1,-1,4.50,6.25,8.75
08000022,5.40,5.75,2.80,-1,-1,-1,5.00,6.50,8.00
08000023,4.40,5.75,2.00,-1,-1,-1,3.75,4.25,8.25
08000024,5.60,7.75,3.80,4.75,3.25,4.75,-1,-1,-1
08000025,5.00,8.75,3.40,-1,-1,-1,7.50,9.25,9.25
08000026,3.80,6.50,3.20,-1,-1,-1,5.00,6.75,8.75
08000027,6.20,6.50,6.00,5.50,5.00,4.25,-1,-1,-1
08000028,5.80,8.75,5.00,4.25,5.25,6.50,-1,-1,-1
08000029,5.60,6.75,4.00,3.75,4.50,4.25,-1,-1,-1
08000030,4.80,5.25,2.60,-1,-1,-1,2.75,4.25,7.75
08000031,4.60,6.50,4.40,-1,-1,-1,3.50,6.00,8.75
08000032,3.80,6.00,3.60,-1,-1,-1,4.50,7.25,9.00
08000033,4.40,5.25,3.40,4.25,3.50,3.50,-1,-1,-1
08000034,6.80,6.00,4.00,4.25,5.25,5.75,-1,-1,-1
08000035,4.20,5.25,4.00,-1,-1,-1,3.25,6.75,8.00
08000036,4.20,6.50,3.20,-1,-1,-1,3.75,6.50,6.75
08000037,6.00,8.00,3.60,-1,-1,-1,5.50,7.00,9.25
08000038,5.20,6.50,3.80,-1,-1,-1,3.75,6.25,8.25
08000039,7.00,7.00,4.40,5.25,4.75,6.00,-1,-1,-1
08000040,6.80,6.25,5.20,5.75,4.50,3.75,-1,-1,-1
08000041,3.80,5.50,3.00,-1,-1,-1,3.50,4.50,7.00
08000042,5.60,7.25,4.40,-1,-1,-1,2.25,6.00,7.25
08000043,5.40,7.00,4.20,-1,-1,-1,5.50,6.50,8.50
08000044,6.80,6.75,4.80,4.75,7.50,6.75,-1,-1,-1
08000045,4.20,7.00,3.40,2.75,4.50,5.75,-1,-1,-1
08000046,3.40,2.00,-1,-1,-1,-1,2.50,6.25,-1
08000047,4.00,6.00,2.00,-1,-1,-1,4.50,4.75,6.50
08000048,5.60,7.00,2.60,-1,-1,-1,5.00,6.75,9.00
08000049,5.40,6.75,3.60,-1,-1,-1,6.50,6.00,8.75
08000050,4.00,5.50,3.40,-1,-1,-1,4.00,5.25,5.50
08000051,3.20,5.25,2.80,-1,-1,-1,2.50,4.75,6.25
08000052,4.40,7.00,3.40,-1,-1,-1,4.75,8.00,7.50
08000053,3.60,6.75,2.20,-1,-1,-1,3.75,6.00,7.25
08000054,3.60,5.00,1.80,-1,-1,-1,3.75,4.25,5.00
08000055,6.40,6.75,2.60,5.75,5.75,4.75,-1,-1,-1
08000056,4.80,6.75,3.80,2.25,2.50,5.25,-1,-1,-1
08000057,5.80,6.00,3.80,3.75,4.00,4.50,-1,-1,-1
08000058,4.20,5.00,2.20,-1,-1,-1,5.25,5.25,9.00
08000059,3.40,5.75,3.40,-1,-1,-1,2.75,5.00,8.50
08000060,2.80,2.00,-1,-1,-1,-1,2.75,4.75,-1
08000061,4.40,5.50,4.40,-1,-1,-1,4.50,5.25,8.50
08000062,4.40,7.50,2.60,-1,-1,-1,4.00,5.00,8.25
08000063,4.40,4.25,3.20,-1,-1,-1,2.75,5.50,7.00
08000064,7.00,6.75,4.20,-1,-1,-1,5.25,8.00,9.50
08000065,5.40,5.75,2.40,-1,-1,-1,4.75,7.50,8.75
