SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
11000002,1.80,5.00,2.40,-1,-1,-1,2.75,5.25,7.25
11000003,4.60,7.00,2.00,4.25,4.75,4.75,-1,-1,-1
11000004,4.00,7.25,2.60,-1,-1,-1,6.00,6.00,9.25
11000005,5.00,7.25,3.80,-1,-1,-1,2.75,5.50,8.00
11000006,6.40,8.50,3.40,-1,-1,-1,3.75,6.50,9.25
11000007,2.60,7.50,2.80,-1,-1,-1,2.75,4.75,8.50
11000008,3.40,6.25,2.00,-1,-1,-1,3.50,6.00,6.75
11000009,3.40,6.50,4.00,-1,-1,-1,3.00,5.00,7.50
11000010,2.20,5.75,2.00,-1,-1,-1,4.00,6.25,6.75
11000011,4.20,6.50,3.20,-1,-1,-1,3.75,7.50,7.00
11000012,4.20,7.25,2.60,-1,-1,-1,3.75,4.75,7.75
11000013,4.40,6.25,1.80,-1,-1,-1,4.50,5.75,9.00
11000014,1.80,3.00,1.80,-1,-1,-1,3.75,2.50,6.00
11000015,2.80,5.25,2.60,-1,-1,-1,3.00,6.00,6.75
11000016,3.00,6.00,1.80,-1,-1,-1,2.75,4.75,7.25
11000017,3.20,6.00,2.80,-1,-1,-1,3.50,5.50,8.00
11000018,5.00,6.25,3.00,-1,-1,-1,4.00,5.25,7.75
11000019,3.40,5.00,3.00,-1,-1,-1,2.25,5.50,6.75
11000020,3.40,8.25,2.80,-1,-1,-1,5.25,6.00,8.50
11000021,3.40,6.75,3.00,-1,-1,-1,3.25,4.75,6.25
11000022,6.20,6.50,3.60,-1,-1,-1,2.75,5.75,8.75
11000023,4.60,6.50,2.00,-1,-1,-1,2.75,5.00,7.75
11000024,4.00,7.50,2.00,-1,-1,-1,3.75,4.50,7.50
11000025,6.00,6.50,3.60,4.50,5.00,5.75,-1,-1,-1
11000026,3.80,6.00,2.60,-1,-1,-1,2.75,5.75,9.25
11000027,4.00,4.00,1.00,-1,-1,-1,4.00,6.25,7.75
11000028,3.60,4.75,-1,-1,-1,-1,4.75,4.25,-1
11000029,2.20,2.25,-1,-1,-1,-1,0.00,-1,-1
11000030,3.00,5.00,4.20,-1,-1,-1,3.50,5.50,8.00
11000031,2.40,4.50,3.40,-1,-1,-1,3.75,6.00,7.50
11000032,4.40,7.00,3.20,-1,-1,-1,4.25,6.50,8.00
11000033,3.00,6.75,3.00,-1,-1,-1,3.75,5.00,6.75
11000034,5.40,7.75,5.20,4.50,3.50,4.00,-1,-1,-1
11000035,5.80,7.50,3.80,-1,-1,-1,4.75,6.00,8.75
11000036,2.40,4.00,2.60,-1,-1,-1,2.75,1.75,3.50
11000037,2.20,5.50,2.40,-1,-1,-1,5.25,6.25,8.25
11000038,2.00,5.50,2.60,-1,-1,-1,3.50,3.75,6.50
11000039,4.00,5.00,3.20,-1,-1,-1,4.00,4.25,6.00
11000040,4.80,5.00,2.60,-1,-1,-1,3.25,6.25,6.00
11000041,5.60,-1,-1,5.75,6.50,-1,-1,-1,-1
11000042,4.40,6.50,3.20,-1,-1,-1,4.50,5.75,8.75
11000043,2.60,4.25,2.20,-1,-1,-1,4.00,4.25,6.75
11000044,3.20,3.75,2.60,-1,-1,-1,2.75,5.00,6.25
11000045,3.60,7.25,3.60,-1,-1,-1,2.75,6.75,7.75
11000046,4.60,7.75,3.80,-1,-1,-1,4.50,5.50,8.25
11000047,4.00,3.50,3.00,-1,-1,-1,3.75,6.50,6.25
11000048,2.40,6.00,2.20,-1,-1,-1,2.75,4.75,6.50
11000049,4.00,6.25,2.20,-1,-1,-1,3.75,3.50,7.50
11000050,3.60,5.00,3.00,-1,-1,-1,2.75,3.50,7.25
11000051,2.20,5.75,3.40,-1,-1,-1,3.25,4.25,7.00
11000052,4.80,5.50,4.00,3.75,3.75,4.75,-1,-1,-1
11000053,3.20,1.25,-1,-1,-1,-1,2.25,2.25,-1
11000054,4.80,7.00,3.00,-1,-1,-1,3.75,7.00,9.00
11000055,2.60,2.75,3.00,-1,-1,-1,2.75,4.25,5.75
11000056,2.80,7.50,3.20,-1,-1,-1,3.75,5.50,6.50
11000057,1.60,4.25,-1,-1,-1,-1,4.00,3.25,-1
11000058,4.00,6.75,3.20,-1,-1,-1,3.25,7.25,8.00
11000059,2.60,4.00,3.40,-1,-1,-1,2.50,5.25,7.75
11000060,5.00,8.50,2.20,-1,-1,-1,4.25,5.75,8.75
11000061,4.40,6.00,4.20,-1,-1,-1,6.25,7.00,8.75
11000062,5.60,7.75,3.80,4.25,6.50,5.00,-1,-1,-1
11000063,1.60,-1,2.80,2.50,-1,-1,-1,-1,-1
11000064,2.00,4.25,2.20,-1,-1,-1,3.00,4.50,7.25
11000065,3.60,2.75,1.80,-1,-1,-1,2.75,5.25,7.00
11000066,3.20,5.25,2.20,-1,-1,-1,3.50,4.00,6.75
11000067,4.00,5.25,3.20,-1,-1,-1,3.75,6.25,7.75
11000068,3.00,6.50,2.60,-1,-1,-1,5.00,5.00,8.00
11000069,2.60,5.00,3.00,-1,-1,-1,1.75,5.50,5.00
11000070,4.40,6.75,3.80,-1,-1,-1,3.50,7.25,9.25
11000071,1.80,5.50,2.60,-1,-1,-1,5.00,6.00,7.25
11000072,3.00,6.50,1.80,-1,-1,-1,3.25,7.00,8.50
11000073,2.20,2.75,-1,-1,-1,-1,4.00,3.50,-1
11000074,2.80,5.25,2.80,-1,-1,-1,4.00,7.00,7.50
11000075,1.60,-1,2.00,-1,-1,-1,-1,-1,-1
11000076,3.20,6.75,2.40,-1,-1,-1,4.50,4.00,6.00
11000077,4.20,8.00,4.40,-1,-1,-1,6.25,7.00,9.00
11000078,4.20,7.50,3.60,-1,-1,-1,4.00,5.50,7.75
11000079,3.20,7.25,3.60,-1,-1,-1,3.25,3.75,6.50
11000080,5.20,4.00,-1,-1,-1,-1,6.75,6.25,-1
11000081,3.60,4.50,3.00,-1,-1,-1,3.75,5.75,7.50
11000082,3.80,8.00,-1,2.75,3.25,2.75,-1,-1,-1
11000084,2.80,2.75,3.60,-1,-1,-1,4.25,6.75,6.25
11000085,4.20,4.75,2.80,-1,-1,-1,4.25,5.00,8.75
11000087,4.20,5.25,2.80,-1,-1,-1,4.50,6.25,8.00
11000088,2.00,4.75,2.80,-1,-1,-1,3.25,5.00,8.00
11000089,2.20,4.25,2.60,-1,-1,-1,2.50,4.50,5.25
11000090,3.40,2.75,2.40,-1,-1,-1,3.25,4.75,6.00
11000091,3.40,5.00,1.80,-1,-1,-1,3.50,7.00,9.50
11000092,4.00,4.25,2.80,-1,-1,-1,3.75,6.25,8.00
11000093,2.60,3.25,2.80,-1,-1,-1,3.75,6.75,7.25
11000094,4.20,5.75,1.40,-1,-1,-1,5.50,6.50,8.00
11000095,2.00,3.75,3.40,-1,-1,-1,4.25,4.50,6.25
11000096,3.00,6.50,2.60,-1,-1,-1,5.25,9.00,8.50
11000097,6.00,5.00,3.40,-1,-1,-1,4.50,8.00,9.50
11000099,3.00,4.25,2.00,-1,-1,-1,3.00,6.75,-1
11000100,3.00,5.00,2.40,-1,-1,-1,3.00,4.50,6.75
11000101,2.20,6.25,2.60,-1,-1,-1,3.50,5.00,7.50
11000102,3.80,7.00,2.20,-1,-1,-1,3.25,6.00,6.50
11000103,4.00,5.50,3.40,-1,-1,-1,4.50,3.50,6.50
11000104,3.20,3.50,3.00,-1,-1,-1,2.25,3.50,6.75
11000105,4.20,5.50,3.80,-1,-1,-1,3.75,5.75,8.00
11000106,2.40,3.00,3.20,-1,-1,-1,3.50,2.50,6.00
11000107,2.00,3.75,2.00,-1,-1,-1,3.25,4.25,6.00
11000108,4.60,5.00,2.80,-1,-1,-1,3.75,7.50,7.75
11000109,1.80,6.00,3.20,-1,-1,-1,2.00,6.00,6.75
11000110,5.20,6.50,2.80,-1,-1,-1,-1,-1,-1
11000111,3.40,6.50,3.20,-1,-1,-1,5.00,7.25,6.25
11000112,2.80,2.75,2.00,-1,-1,-1,5.00,6.00,8.00
11000113,3.20,4.50,-1,-1,-1,-1,3.75,7.25,-1
11000114,3.20,4.00,-1,-1,-1,-1,2.00,5.25,-1
11000115,3.00,5.00,3.00,-1,-1,-1,3.75,5.25,7.00
11000116,3.40,7.00,3.60,-1,-1,-1,3.25,5.25,5.50
11000117,1.80,6.00,3.40,-1,-1,-1,3.00,4.25,7.25
11000118,1.80,4.75,1.80,-1,-1,-1,5.00,7.00,7.00
11000119,2.00,2.75,2.80,-1,-1,-1,4.25,3.25,5.50
11000120,2.80,4.25,2.40,-1,-1,-1,3.75,6.25,8.00
11000121,3.20,3.00,1.40,-1,-1,-1,3.50,5.00,8.00
11000122,5.00,7.00,2.80,3.75,5.50,4.25,-1,-1,-1
11000123,3.60,5.50,3.60,-1,-1,-1,3.25,4.50,4.75
11000124,4.20,4.00,3.00,-1,-1,-1,4.25,5.75,8.00
11000125,3.00,5.00,3.20,-1,-1,-1,2.25,5.00,7.25
