SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
14000001,2.20,6.50,-1,-1,-1,-1,4.75,6.75,-1
14000002,2.40,4.75,-1,-1,-1,-1,2.75,3.50,-1
14000003,2.00,5.00,-1,-1,-1,-1,3.50,1.25,-1
14000004,3.00,4.50,-1,-1,-1,-1,1.75,3.00,-1
14000005,3.00,4.00,-1,-1,-1,-1,5.00,2.25,-1
14000006,3.20,4.75,-1,-1,-1,-1,4.25,2.75,-1
14000007,4.00,4.75,-1,-1,-1,-1,5.25,4.00,-1
14000008,2.20,4.00,-1,-1,-1,-1,2.25,3.25,-1
14000009,2.60,5.00,-1,-1,-1,-1,2.25,4.25,-1
14000010,3.80,4.50,-1,-1,-1,-1,3.50,4.00,-1
14000011,4.40,5.75,-1,-1,-1,-1,4.25,5.75,-1
14000012,3.00,3.75,-1,-1,-1,-1,1.25,1.75,-1
14000013,3.40,4.25,-1,-1,-1,-1,3.75,3.25,-1
14000014,2.40,4.00,-1,-1,-1,-1,2.00,3.25,-1
14000015,4.60,4.25,-1,-1,-1,-1,5.50,4.00,-1
14000016,3.20,5.00,-1,-1,-1,-1,3.25,4.75,-1
14000017,3.20,6.25,-1,-1,-1,-1,4.25,6.00,-1
14000018,2.40,5.00,-1,-1,-1,-1,2.50,2.25,-1
14000019,3.00,6.00,-1,-1,-1,-1,2.00,3.00,-1
14000020,3.00,6.25,-1,-1,-1,-1,2.50,4.50,-1
14000021,2.80,5.25,-1,-1,-1,-1,4.25,4.25,-1
14000022,3.80,5.50,-1,-1,-1,-1,5.00,5.00,-1
14000023,3.00,6.25,-1,-1,-1,-1,6.00,7.00,-1
14000024,3.80,5.25,-1,-1,-1,-1,3.00,4.50,-1
14000025,4.00,4.75,-1,-1,-1,-1,2.50,2.75,-1
14000026,2.20,4.25,-1,-1,-1,-1,2.00,4.75,-1
14000027,2.00,5.00,-1,-1,-1,-1,3.25,4.25,-1
14000028,3.20,4.75,-1,-1,-1,-1,4.75,3.50,-1
14000029,3.80,5.00,-1,-1,-1,-1,4.25,5.75,-1
14000030,2.60,5.00,-1,-1,-1,-1,3.00,4.50,-1
14000031,4.80,5.50,-1,-1,-1,-1,4.25,5.00,-1
14000032,4.20,3.75,-1,-1,-1,-1,2.50,5.25,-1
14000033,4.00,5.50,-1,-1,-1,-1,4.00,3.00,-1
14000034,4.80,5.25,-1,-1,-1,-1,4.50,6.25,-1
14000035,2.80,4.00,-1,-1,-1,-1,4.75,4.75,-1
14000036,1.80,4.50,-1,-1,-1,-1,2.25,2.75,-1
14000037,3.60,5.25,-1,-1,-1,-1,5.00,5.50,-1
14000038,2.00,3.75,-1,-1,-1,-1,2.50,4.25,-1
14000039,5.60,5.75,-1,-1,-1,-1,4.50,5.00,-1
14000040,2.40,4.50,-1,-1,-1,-1,3.25,5.00,-1
14000041,3.60,4.75,-1,-1,-1,-1,4.00,5.00,-1
14000042,4.40,5.00,-1,-1,-1,-1,3.25,4.25,-1
14000043,1.60,4.50,-1,-1,-1,-1,2.00,4.25,-1
14000044,4.00,5.00,-1,-1,-1,-1,5.75,4.25,-1
14000045,3.60,5.25,-1,-1,-1,-1,4.25,4.50,-1
14000046,2.80,6.00,-1,-1,-1,-1,2.00,6.00,-1
14000047,3.60,4.75,-1,-1,-1,-1,1.75,4.00,-1
14000048,3.00,4.50,-1,-1,-1,-1,3.75,3.25,-1
14000049,4.60,5.50,-1,-1,-1,-1,3.25,2.75,-1
14000050,3.20,4.75,-1,-1,-1,-1,5.50,5.50,-1
14000051,2.00,4.75,-1,-1,-1,-1,2.75,4.50,-1
14000052,4.40,5.75,-1,-1,-1,-1,2.50,6.00,-1
14000053,2.60,4.25,-1,-1,-1,-1,3.75,4.00,-1
14000054,4.00,4.50,-1,-1,-1,-1,5.00,6.50,-1
14000055,4.20,5.25,-1,-1,-1,-1,3.25,5.75,-1
14000056,3.80,4.25,-1,-1,-1,-1,2.50,3.75,-1
14000057,5.20,5.00,-1,-1,-1,-1,4.00,6.25,-1
14000058,3.60,6.00,-1,-1,-1,-1,5.50,5.50,-1
14000059,5.00,5.25,-1,-1,-1,-1,5.00,6.25,-1
14000060,2.20,4.50,-1,-1,-1,-1,3.50,2.50,-1
14000061,3.80,6.25,-1,-1,-1,-1,2.50,5.00,-1
14000063,4.20,5.50,-1,-1,-1,-1,3.00,5.00,-1
14000064,2.20,4.50,-1,-1,-1,-1,5.25,6.25,-1
14000065,2.80,4.00,-1,-1,-1,-1,2.75,2.75,-1
14000066,3.40,4.75,-1,-1,-1,-1,3.00,4.75,-1
14000067,5.80,5.25,-1,-1,-1,-1,2.00,5.00,-1
14000068,4.40,4.50,-1,-1,-1,-1,2.00,4.50,-1
14000069,2.80,5.75,-1,-1,-1,-1,2.75,2.50,-1
14000070,4.60,4.50,-1,-1,-1,-1,5.25,4.25,-1
14000071,3.80,5.00,-1,-1,-1,-1,1.75,1.75,-1
14000072,2.40,4.25,-1,-1,-1,-1,3.25,3.75,-1
14000073,5.00,8.50,-1,-1,-1,-1,6.25,7.00,-1
14000074,2.80,3.75,-1,-1,-1,-1,3.25,2.25,-1
14000075,3.00,5.25,-1,-1,-1,-1,4.75,6.25,-1
14000076,2.60,3.75,-1,-1,-1,-1,3.00,3.75,-1
14000077,4.00,4.00,-1,-1,-1,-1,3.25,4.00,-1
14000078,3.60,4.00,-1,-1,-1,-1,2.50,3.50,-1
14000079,4.00,4.00,-1,-1,-1,-1,3.75,3.25,-1
14000080,2.40,5.50,-1,-1,-1,-1,3.50,6.00,-1
14000081,3.80,5.00,-1,-1,-1,-1,4.25,3.00,-1
14000082,2.00,4.25,-1,-1,-1,-1,2.00,4.50,-1
14000083,2.80,4.50,-1,-1,-1,-1,3.25,5.25,-1
14000084,1.20,4.50,-1,-1,-1,-1,2.75,3.25,-1
14000085,4.80,6.00,-1,-1,-1,-1,5.00,5.75,-1
14000086,4.00,4.25,-1,-1,-1,-1,4.00,1.75,-1
14000087,2.80,4.50,-1,-1,-1,-1,2.00,5.50,-1
14000088,4.40,4.75,-1,-1,-1,-1,4.00,5.75,-1
14000089,3.20,5.25,-1,-1,-1,-1,4.75,6.75,-1
14000090,5.00,5.25,-1,-1,-1,-1,4.50,4.25,-1
14000091,2.00,5.50,-1,-1,-1,-1,3.75,3.25,-1
14000092,5.20,4.00,-1,-1,-1,-1,6.50,3.00,-1
14000093,4.40,4.50,-1,-1,-1,-1,4.25,6.25,-1
14000094,3.00,5.25,-1,-1,-1,-1,3.50,4.75,-1
14000095,3.00,6.00,-1,-1,-1,-1,3.25,5.75,-1
14000096,3.80,6.25,-1,-1,-1,-1,4.50,5.50,-1
14000097,4.00,5.00,-1,-1,-1,-1,6.00,4.25,-1
14000098,4.60,5.50,-1,-1,-1,-1,4.00,5.50,-1
14000099,4.20,6.50,-1,-1,-1,-1,4.75,4.75,-1
14000100,6.00,6.00,-1,-1,-1,-1,6.00,5.25,-1
14000101,4.40,5.00,-1,-1,-1,-1,5.00,6.25,-1
14000102,2.80,5.00,-1,-1,-1,-1,2.00,4.25,-1
14000103,3.40,4.00,-1,-1,-1,-1,1.75,4.50,-1
14000104,4.60,6.50,-1,-1,-1,-1,2.75,5.00,-1
14000105,4.40,6.25,-1,-1,-1,-1,3.75,3.75,-1
14000106,1.40,3.75,-1,-1,-1,-1,2.50,2.50,-1
14000107,3.00,4.50,-1,-1,-1,-1,2.75,4.75,-1
14000108,5.20,5.50,-1,-1,-1,-1,3.50,5.00,-1
14000109,2.20,4.50,-1,-1,-1,-1,2.75,2.75,-1
14000110,1.80,4.75,-1,-1,-1,-1,2.75,3.25,-1
14000111,2.20,5.00,-1,-1,-1,-1,3.75,4.75,-1
14000112,3.40,4.00,-1,-1,-1,-1,2.50,3.25,-1
14000113,4.80,3.75,-1,-1,-1,-1,4.25,5.25,-1
14000114,2.40,4.75,-1,-1,-1,-1,1.50,2.25,-1
14000115,3.00,6.25,-1,-1,-1,-1,3.25,5.00,-1
14000116,2.80,4.00,-1,-1,-1,-1,4.50,4.00,-1
14000117,2.40,5.50,-1,-1,-1,-1,2.00,3.00,-1
14000118,3.80,4.50,-1,-1,-1,-1,3.00,4.25,-1
14000119,1.40,5.25,-1,-1,-1,-1,3.25,4.50,-1
14000120,2.60,6.75,-1,-1,-1,-1,3.75,2.50,-1
14000121,1.40,4.50,-1,-1,-1,-1,2.50,3.25,-1
14000122,3.40,4.50,-1,-1,-1,-1,5.75,5.00,-1
14000123,2.00,4.25,-1,-1,-1,-1,3.00,4.00,-1
14000124,3.60,5.25,-1,-1,-1,-1,4.50,3.75,-1
14000125,2.60,4.25,-1,-1,-1,-1,4.00,4.25,-1
14000126,3.80,7.25,-1,-1,-1,-1,6.00,6.50,-1
14000127,2.00,4.50,-1,-1,-1,-1,3.25,-1,-1
14000128,4.40,7.25,2.80,-1,-1,-1,3.75,7.75,6.50
14000129,4.60,5.50,2.60,-1,-1,-1,3.25,5.25,6.50
14000130,2.60,4.00,3.80,-1,-1,-1,3.00,5.50,7.50
14000131,4.00,7.50,3.60,-1,-1,-1,7.50,6.50,7.50
14000132,3.00,3.75,-1,-1,-1,-1,6.00,-1,-1
14000133,3.20,7.00,2.20,-1,-1,-1,4.75,5.50,6.75
14000134,1.80,4.50,-1,-1,-1,-1,2.25,-1,-1
14000135,3.00,-1,3.20,2.25,-1,-1,-1,-1,-1
14000136,4.40,-1,1.40,3.75,-1,-1,-1,-1,-1
14000137,4.40,6.50,2.60,3.25,2.75,3.75,-1,-1,-1
14000138,2.40,3.25,2.40,-1,-1,-1,4.50,4.00,7.25
14000139,3.60,3.50,3.20,-1,-1,-1,4.75,3.00,6.50
14000140,3.20,5.50,2.40,-1,-1,-1,3.00,5.50,7.25
14000141,3.00,6.00,2.40,-1,-1,-1,7.50,8.00,7.75
14000142,2.60,3.00,1.40,-1,-1,-1,3.25,6.50,8.25
14000143,2.00,1.50,-1,-1,-1,-1,2.25,-1,-1
14000144,2.60,8.00,-1,-1,-1,-1,8.00,-1,-1
14000145,5.80,6.25,2.80,3.75,2.25,3.75,-1,-1,-1
14000146,2.20,3.75,2.60,-1,-1,-1,3.00,4.75,5.25
14000147,3.40,6.50,3.20,-1,-1,-1,3.25,5.50,7.00
14000148,2.80,4.00,-1,-1,-1,-1,3.00,-1,-1
14000149,3.20,6.75,3.60,-1,-1,-1,4.75,6.00,7.75
14000150,6.00,6.00,3.40,5.00,5.50,6.00,-1,-1,-1
14000151,4.40,4.00,2.80,3.50,3.75,2.00,-1,-1,-1
14000152,3.60,5.75,3.60,-1,-1,-1,2.00,5.25,5.25
14000153,5.40,5.00,3.40,-1,-1,-1,3.00,7.50,8.25
14000154,4.40,6.75,1.40,-1,-1,-1,6.00,6.50,6.50
14000155,3.40,4.25,2.20,-1,-1,-1,1.25,4.75,3.50
14000156,3.80,3.50,2.60,-1,-1,-1,3.75,6.75,6.00
14000157,3.00,3.25,3.20,3.75,2.25,3.00,-1,-1,-1
14000158,2.80,2.50,2.00,2.25,3.75,4.00,-1,-1,-1
14000159,1.60,3.75,2.80,3.00,2.00,2.50,3.00,4.00,7.50
14000160,2.40,3.25,2.80,-1,-1,-1,3.25,6.75,6.75
14000161,4.00,5.75,3.00,-1,-1,-1,2.50,4.50,4.50
14000162,2.00,5.00,2.60,-1,-1,-1,3.75,5.00,5.75
14000163,3.60,5.25,3.40,-1,-1,-1,3.50,4.25,6.75
14000164,6.40,-1,7.20,7.25,-1,-1,-1,-1,-1
14000165,5.80,7.00,5.80,-1,-1,-1,3.25,5.00,7.75
14000166,3.00,3.50,2.80,-1,-1,-1,4.25,4.00,5.00
14000167,2.40,2.75,2.60,-1,-1,-1,3.00,3.25,6.25
14000168,3.20,3.00,1.80,-1,-1,-1,-1,-1,-1
14000169,2.20,3.75,-1,-1,-1,-1,4.25,-1,-1
14000170,3.80,6.00,-1,-1,-1,-1,6.00,-1,-1
14000171,1.40,5.75,-1,-1,-1,-1,3.25,-1,-1
14000172,4.80,5.50,6.40,-1,-1,-1,5.25,4.25,5.50
14000173,3.00,3.50,-1,-1,-1,-1,6.25,-1,-1
14000174,2.40,4.00,-1,-1,-1,-1,3.00,-1,-1
14000175,2.40,5.00,2.00,-1,-1,-1,3.75,4.50,5.75
14000176,3.00,5.00,4.60,-1,-1,-1,3.00,4.25,6.25
14000177,1.80,2.00,-1,-1,-1,-1,3.75,-1,-1
14000178,2.40,5.25,-1,-1,-1,-1,3.00,-1,-1
14000179,3.00,4.00,1.60,-1,-1,-1,3.25,5.50,6.00
14000180,3.80,3.50,2.00,-1,-1,-1,3.25,4.25,6.00
14000181,5.60,6.75,2.60,-1,-1,-1,3.50,5.50,8.00
14000182,4.40,4.75,-1,-1,-1,-1,3.25,-1,-1
14000183,3.60,4.00,2.80,-1,-1,-1,3.75,5.75,7.00
14000184,3.60,4.00,-1,-1,-1,-1,3.25,-1,-1
14000185,1.60,2.50,-1,-1,-1,-1,3.00,-1,-1
14000186,9.00,6.00,-1,-1,-1,-1,9.50,-1,-1
14000187,3.60,3.00,2.20,-1,-1,-1,3.75,5.25,7.25
14000188,3.20,-1,2.60,2.75,-1,-1,-1,-1,-1
14000189,4.40,6.25,-1,-1,-1,-1,5.75,-1,-1
14000190,2.00,3.75,-1,-1,-1,-1,2.75,-1,-1
14000191,3.20,6.25,-1,-1,-1,-1,6.75,-1,-1
14000192,2.80,7.00,-1,-1,-1,-1,2.50,-1,-1
14000193,4.20,6.00,-1,-1,-1,-1,4.25,-1,-1
14000194,3.20,4.00,3.20,-1,-1,-1,2.75,4.50,4.75
14000195,2.60,3.50,2.60,-1,-1,-1,2.75,4.75,7.25
14000196,2.00,2.50,-1,-1,-1,-1,3.00,-1,-1
14000197,2.40,6.00,-1,-1,-1,-1,3.50,-1,-1
14000198,2.80,6.25,-1,-1,-1,-1,3.00,-1,-1
14000199,3.20,4.00,3.60,-1,-1,-1,3.50,5.25,5.75
14000200,4.80,4.25,2.60,3.75,3.25,2.25,-1,-1,-1
14000201,2.80,2.25,-1,-1,-1,-1,3.75,-1,-1
14000202,3.20,2.25,1.20,-1,-1,-1,3.00,5.50,5.75
14000203,4.60,5.00,-1,-1,-1,-1,6.25,-1,-1
14000204,2.00,2.75,2.80,2.25,2.25,4.25,2.50,3.00,3.75
14000205,5.00,7.25,4.20,-1,-1,-1,6.50,9.25,8.50
14000206,2.60,3.75,1.40,-1,-1,-1,3.50,4.75,6.25
14000207,4.00,3.25,3.40,-1,-1,-1,3.50,2.75,5.75
14000208,2.80,3.75,-1,-1,-1,-1,2.00,-1,-1
14000209,4.20,5.75,6.20,-1,-1,-1,3.25,6.00,6.50
14000210,2.80,2.75,1.80,-1,-1,-1,3.25,3.50,5.75
14000211,5.80,7.00,-1,-1,-1,-1,6.75,-1,-1
14000212,4.20,3.50,3.40,4.50,3.50,5.50,-1,-1,-1
14000213,2.60,3.75,2.00,-1,-1,-1,4.25,3.50,6.00
14000214,2.20,3.25,-1,-1,-1,-1,3.25,-1,-1
14000215,2.80,4.00,-1,-1,-1,-1,5.75,-1,-1
14000216,7.40,8.00,-1,-1,-1,-1,9.25,-1,-1
14000217,1.60,4.25,-1,-1,-1,-1,5.00,-1,-1
14000218,3.40,-1,3.60,2.75,-1,-1,-1,-1,-1
14000219,4.40,5.50,2.20,3.25,3.25,2.50,-1,-1,-1
14000220,4.20,2.75,4.60,-1,-1,-1,3.75,5.75,5.75
14000221,2.80,3.50,-1,-1,-1,-1,2.50,-1,-1
14000222,3.60,7.00,-1,-1,-1,-1,5.50,-1,-1
14000223,5.80,5.75,-1,-1,-1,-1,5.50,-1,-1
14000224,2.00,4.00,-1,-1,-1,-1,3.00,-1,-1
14000225,3.80,5.00,4.80,-1,-1,-1,5.00,4.75,6.00
14000226,1.80,2.25,2.20,-1,-1,-1,3.50,4.75,5.75
14000227,6.20,5.50,2.60,6.50,5.25,5.75,-1,-1,-1
14000228,2.40,2.50,2.40,-1,-1,-1,3.00,4.50,6.75
14000229,3.20,3.50,3.20,-1,-1,-1,2.75,4.25,3.00
14000230,5.80,7.75,4.00,-1,-1,-1,2.75,4.25,6.50
14000231,4.20,6.50,3.60,-1,-1,-1,3.00,4.00,5.00
14000232,3.20,3.00,2.80,3.50,2.50,2.75,-1,-1,-1
14000233,2.60,6.50,1.60,-1,-1,-1,3.75,6.25,3.75
14000234,6.00,6.00,-1,-1,-1,-1,5.75,-1,-1
14000235,2.20,4.50,-1,-1,-1,-1,3.50,-1,-1
14000236,1.80,-1,1.40,1.75,-1,-1,-1,-1,-1
14000237,5.40,6.50,-1,-1,-1,-1,7.25,-1,-1
14000238,5.80,6.75,4.60,-1,-1,-1,4.25,6.00,8.25
14000239,4.20,5.25,5.00,3.25,3.50,4.00,3.00,6.00,7.75
14000240,2.80,4.25,-1,-1,-1,-1,2.50,-1,-1
14000241,3.40,2.00,-1,-1,-1,-1,4.25,-1,-1
14000242,6.40,3.25,3.40,4.50,4.50,4.75,-1,-1,-1
14000243,4.00,5.00,-1,-1,-1,-1,2.25,-1,-1
14000244,5.00,3.50,3.20,2.75,4.00,2.75,-1,-1,-1
14000245,3.80,2.00,2.80,-1,-1,-1,1.75,5.00,6.25
14000246,2.80,4.25,2.60,-1,-1,-1,4.00,6.00,8.25
14000247,3.20,3.50,-1,-1,-1,-1,2.50,-1,-1
14000248,2.60,3.75,2.60,-1,-1,-1,3.00,5.75,6.50
14000249,2.20,3.25,-1,-1,-1,-1,3.75,-1,-1
14000250,3.00,6.00,-1,-1,-1,-1,4.25,-1,-1
14000251,3.40,6.25,-1,-1,-1,-1,3.50,-1,-1
14000252,3.00,3.75,1.40,-1,-1,-1,2.75,6.00,6.75
14000253,3.00,3.00,1.80,-1,-1,-1,2.50,3.75,5.25
14000254,2.20,2.75,2.20,-1,-1,-1,2.25,3.00,3.25
14000255,1.80,4.75,2.00,-1,-1,-1,4.75,4.25,7.75
14000256,3.80,6.00,1.60,-1,-1,-1,7.25,6.50,6.25
14000257,3.40,4.75,2.60,-1,-1,-1,5.00,5.50,6.50
14000258,3.40,2.50,2.60,-1,-1,-1,1.75,4.25,6.25
14000259,3.00,4.50,3.40,-1,-1,-1,1.75,5.00,6.50
14000260,1.20,4.25,-1,-1,-1,-1,3.75,-1,-1
14000261,3.40,5.00,-1,-1,-1,-1,6.00,-1,-1
14000262,2.40,4.50,2.80,-1,-1,-1,2.75,4.50,5.75
14000263,3.60,5.50,4.80,4.25,3.75,4.00,-1,-1,-1
14000264,1.80,3.00,2.60,-1,-1,-1,2.50,6.75,5.75
14000265,1.60,2.00,2.20,-1,-1,-1,3.00,5.00,4.75
14000266,2.60,4.75,-1,-1,-1,-1,3.25,-1,-1
14000267,0.00,2.00,-1,-1,-1,-1,-1,-1,-1
14000268,3.60,7.00,-1,-1,-1,-1,5.75,-1,-1
14000269,2.60,5.75,3.60,-1,-1,-1,4.75,5.25,7.25
14000270,6.20,5.25,3.00,5.25,5.00,4.00,-1,-1,-1
14000271,3.40,2.50,2.60,-1,-1,-1,3.50,4.75,4.00
14000272,3.80,2.50,-1,-1,-1,-1,3.00,-1,-1
14000273,5.00,6.25,-1,-1,-1,-1,7.50,-1,-1
14000274,3.80,2.25,2.80,-1,-1,-1,4.00,5.00,5.25
14000275,4.60,6.25,4.40,4.25,3.00,5.00,5.00,6.25,9.00
14000276,3.80,7.25,-1,-1,-1,-1,6.25,-1,-1
14000277,2.40,4.00,-1,-1,-1,-1,5.00,-1,-1
14000278,2.20,3.75,1.60,-1,-1,-1,3.00,4.50,4.25
14000279,6.40,6.25,-1,-1,-1,-1,4.50,-1,-1
14000280,4.40,7.00,-1,-1,-1,-1,5.50,-1,-1
14000281,3.20,1.75,-1,-1,-1,-1,2.25,-1,-1
14000282,5.00,7.00,-1,-1,-1,-1,5.50,-1,-1
14000283,2.40,5.25,-1,-1,-1,-1,5.25,-1,-1
14000284,2.40,-1,2.00,3.25,-1,-1,-1,-1,-1
14000285,2.20,3.50,3.00,-1,-1,-1,2.50,3.75,5.25
14000287,2.40,6.00,-1,-1,-1,-1,6.25,-1,-1
14000288,4.80,-1,-1,3.25,3.75,-1,-1,-1,-1
14000289,3.60,4.75,2.20,-1,-1,-1,4.00,5.25,7.00
14000290,2.20,3.25,2.40,-1,-1,-1,3.00,5.25,6.50
14000291,5.60,4.50,7.00,4.25,4.75,3.25,-1,-1,-1
14000292,3.80,2.00,4.20,4.00,3.50,3.00,-1,-1,-1
14000293,2.00,-1,2.20,2.00,-1,-1,-1,-1,-1
14000294,4.80,4.50,2.80,-1,-1,-1,4.50,5.50,6.00
14000295,6.20,5.00,3.60,-1,-1,-1,5.25,5.25,6.75
14000296,3.80,2.50,1.60,2.75,4.75,4.00,-1,-1,-1
14000297,5.80,5.25,1.80,-1,-1,-1,4.75,6.50,7.75
14000298,1.80,2.50,-1,-1,-1,-1,3.00,-1,-1
14000299,3.40,4.75,-1,-1,-1,-1,6.00,-1,-1
14000300,2.60,3.00,2.80,-1,-1,-1,3.50,3.75,5.75
14000301,2.20,4.50,2.20,-1,-1,-1,4.50,3.75,5.50
14000302,3.60,7.75,3.40,-1,-1,-1,6.50,8.25,6.00
14000303,2.20,4.00,3.00,-1,-1,-1,2.75,5.25,6.25
14000304,3.00,3.75,2.00,-1,-1,-1,3.00,5.00,7.00
14000305,3.00,4.25,-1,-1,-1,-1,2.75,-1,-1
14000306,3.40,5.00,3.00,-1,-1,-1,5.25,7.50,6.00
14000307,4.20,4.50,3.40,-1,-1,-1,4.00,4.25,5.00
