SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
19000001,6.40,4.50,5.80,6.75,7.25,5.25,-1,-1,-1
19000002,8.20,8.25,8.40,-1,-1,-1,4.50,7.00,8.00
19000003,7.20,7.00,7.80,-1,-1,-1,5.25,7.00,7.75
19000004,6.40,7.50,6.60,3.00,4.25,6.50,-1,-1,-1
19000005,8.60,8.75,8.20,-1,-1,-1,4.75,7.50,8.00
19000006,5.60,7.75,6.80,-1,-1,-1,5.25,7.50,9.50
19000007,7.20,8.75,9.00,-1,-1,-1,3.75,5.75,8.75
19000008,7.60,8.00,9.60,-1,-1,-1,5.75,7.50,9.25
19000009,5.40,8.50,4.20,-1,-1,-1,8.00,7.75,7.75
19000010,6.20,8.00,8.00,-1,-1,-1,2.25,4.25,6.75
19000011,6.00,8.00,8.20,-1,-1,-1,4.50,6.75,6.75
19000012,4.20,7.25,-1,-1,-1,-1,4.00,7.75,7.25
19000013,8.80,5.75,4.60,3.25,8.25,7.75,-1,-1,-1
19000014,7.20,6.75,4.80,4.25,8.00,7.50,-1,-1,-1
19000015,6.00,6.50,7.60,-1,-1,-1,2.50,6.00,7.75
19000016,5.80,5.25,4.60,3.75,7.00,5.50,-1,-1,-1
19000017,9.20,7.75,9.60,8.75,4.50,3.75,-1,-1,-1
19000018,6.80,5.50,4.00,8.00,7.50,4.75,-1,-1,-1
19000019,7.80,4.00,3.80,7.75,7.25,3.50,-1,-1,-1
19000020,8.20,5.25,3.80,5.25,8.50,8.50,-1,-1,-1
19000021,7.20,3.00,9.00,8.75,4.25,3.25,-1,-1,-1
19000022,6.80,5.00,6.80,7.00,7.25,3.75,-1,-1,-1
19000023,6.20,8.50,7.20,-1,-1,-1,6.00,7.00,7.25
19000024,8.60,5.50,8.00,3.50,9.25,8.25,-1,-1,-1
19000025,7.60,8.50,8.20,-1,-1,-1,4.75,7.75,9.75
19000026,6.40,6.00,5.80,3.50,7.00,6.00,-1,-1,-1
19000027,6.80,5.00,6.40,7.00,8.00,5.00,-1,-1,-1
19000028,5.80,8.75,6.40,-1,-1,-1,7.00,7.25,7.50
19000029,5.60,6.75,4.60,3.75,7.75,8.00,-1,-1,-1
19000030,6.80,5.50,5.00,6.25,7.50,5.50,-1,-1,-1
19000031,6.20,3.50,2.40,7.00,6.50,3.75,-1,-1,-1
19000032,6.40,6.00,4.00,4.25,7.75,8.00,-1,-1,-1
19000034,6.60,7.75,7.60,2.00,4.75,5.25,-1,-1,-1
19000035,6.20,8.00,8.00,-1,-1,-1,4.50,5.25,8.50
19000036,7.20,9.00,8.20,5.25,3.00,4.25,-1,-1,-1
19000037,4.00,7.00,4.40,-1,-1,-1,8.50,10.00,8.00
19000038,7.00,8.00,8.60,-1,-1,-1,3.50,4.50,8.00
19000039,6.00,8.00,5.40,-1,-1,-1,5.50,6.75,8.75
19000040,7.20,7.75,4.80,3.00,7.25,7.50,-1,-1,-1
19000042,6.40,7.75,7.40,-1,-1,-1,4.25,6.50,9.50
