SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
21000001,7.00,-1,-1,7.75,6.75,-1,-1,-1,-1
21000002,6.60,8.00,7.20,4.50,6.25,4.00,-1,-1,-1
21000003,5.80,6.25,5.20,4.50,6.25,5.00,-1,-1,-1
21000004,8.00,5.25,7.40,8.00,4.00,4.50,-1,-1,-1
21000005,4.80,7.50,5.00,-1,-1,-1,4.00,7.00,8.75
21000006,6.60,3.50,3.60,6.25,6.50,4.25,-1,-1,-1
21000007,8.40,7.00,3.20,4.00,7.00,6.25,-1,-1,-1
21000008,7.00,7.75,8.20,6.75,2.25,4.50,-1,-1,-1
21000009,7.40,-1,-1,6.75,5.25,-1,-1,-1,-1
21000010,4.60,4.75,3.80,-1,-1,-1,3.75,2.75,5.00
21000011,5.20,6.00,2.60,-1,-1,-1,3.50,6.50,7.75
21000012,3.60,6.00,3.00,-1,-1,-1,3.25,6.75,7.25
21000013,6.00,8.00,5.20,7.25,6.75,4.75,-1,-1,-1
21000014,5.80,6.75,2.80,2.50,5.25,4.75,-1,-1,-1
21000015,4.20,7.00,6.00,-1,-1,-1,3.25,5.25,9.00
21000016,3.40,4.75,2.20,-1,-1,-1,4.00,5.75,8.00
21000017,6.20,6.25,4.20,-1,-1,-1,6.00,7.50,9.25
21000018,6.00,7.25,7.00,-1,-1,-1,5.75,6.25,8.00
21000019,5.60,5.00,4.00,5.25,6.00,4.25,-1,-1,-1
21000020,6.00,3.75,2.40,-1,-1,-1,2.50,4.75,6.50
21000021,5.00,5.00,4.40,-1,-1,-1,4.50,5.50,7.50
21000022,6.80,5.50,2.40,6.25,6.50,3.25,-1,-1,-1
21000023,5.80,5.50,3.40,5.25,4.00,2.75,-1,-1,-1
21000024,3.60,5.00,3.20,-1,-1,-1,2.75,4.25,6.50
21000025,5.60,7.50,4.00,-1,-1,-1,6.25,8.25,9.00
21000026,6.40,4.00,4.80,5.00,6.00,5.25,-1,-1,-1
21000027,6.40,2.75,2.80,6.50,7.50,3.50,-1,-1,-1
21000028,4.80,8.25,3.80,-1,-1,-1,2.75,5.25,7.75
21000029,7.60,6.50,3.80,8.00,7.00,3.25,-1,-1,-1
21000030,6.20,-1,6.80,7.50,-1,3.00,-1,-1,-1
21000031,4.40,3.00,4.00,-1,-1,-1,2.25,7.75,6.75
21000032,4.60,6.75,3.60,-1,-1,-1,3.00,6.50,8.50
21000033,6.60,7.75,8.60,-1,-1,-1,5.25,7.50,8.50
21000034,5.20,7.75,4.00,4.75,4.25,4.25,3.25,5.00,6.25
21000035,4.60,6.75,5.80,-1,-1,-1,2.50,6.75,8.25
21000036,6.40,7.50,4.20,8.25,7.00,3.50,-1,-1,-1
21000037,5.60,7.50,3.40,-1,-1,-1,4.50,6.75,9.00
21000038,6.60,7.75,4.80,-1,-1,-1,4.75,6.50,8.50
21000039,4.00,4.25,2.60,-1,-1,-1,3.75,4.25,7.75
21000040,7.40,7.00,3.40,5.75,7.25,4.00,-1,-1,-1
21000041,4.60,2.75,2.40,3.75,4.50,3.50,-1,-1,-1
21000042,5.40,6.00,3.60,5.50,4.75,5.00,-1,-1,-1
21000043,6.80,7.75,3.40,4.25,6.25,7.00,-1,-1,-1
21000044,4.60,8.00,2.60,-1,-1,-1,3.50,4.50,8.50
21000045,7.60,7.00,4.20,8.00,6.25,4.50,-1,-1,-1
21000046,6.60,7.25,6.60,7.50,6.25,6.00,-1,-1,-1
21000047,5.40,7.00,4.00,3.75,3.00,3.00,-1,-1,-1
21000048,5.80,-1,-1,4.00,4.25,4.75,-1,-1,-1
21000049,5.00,4.50,2.80,4.50,3.25,4.50,-1,-1,-1
21000050,3.40,5.00,3.00,-1,-1,-1,3.50,4.75,7.75
21000051,4.80,7.75,8.60,-1,-1,-1,3.50,5.75,8.50
21000052,5.20,8.50,4.00,-1,-1,-1,3.50,6.50,8.00
21000053,6.40,7.50,2.60,6.25,5.00,3.50,-1,-1,-1
21000054,4.60,8.00,2.20,-1,-1,-1,3.75,5.00,7.00
21000055,5.80,8.00,6.80,-1,-1,-1,4.00,6.25,7.75
21000056,7.00,7.50,7.60,6.75,5.50,7.50,-1,-1,-1
21000057,7.20,-1,-1,7.75,8.25,2.00,-1,-1,-1
21000058,6.00,5.00,4.20,-1,-1,-1,4.50,7.25,9.50
21000059,5.60,7.25,6.60,6.75,3.75,3.75,-1,-1,-1
21000060,3.20,4.00,3.00,-1,-1,-1,2.75,4.00,7.75
21000061,4.60,6.75,3.20,-1,-1,-1,3.25,5.00,7.50
21000062,6.60,7.25,5.80,6.50,6.50,4.25,-1,-1,-1
21000063,4.20,8.00,4.00,4.75,3.75,6.25,-1,-1,-1
21000064,8.60,5.50,3.00,8.75,8.25,3.25,-1,-1,-1
21000065,6.60,6.50,3.20,5.75,5.75,4.00,-1,-1,-1
21000066,3.80,-1,-1,3.00,3.00,-1,-1,-1,-1
21000067,5.80,7.00,3.80,-1,-1,-1,3.50,4.00,7.75
21000068,5.20,6.75,4.40,4.75,7.00,3.75,-1,-1,-1
21000069,5.80,6.50,3.60,6.00,4.75,3.50,-1,-1,-1
21000070,8.20,7.25,5.80,6.00,8.25,7.75,-1,-1,-1
21000071,4.00,5.00,3.40,-1,-1,-1,2.50,5.00,6.75
21000072,5.40,5.50,2.20,-1,-1,-1,1.50,6.00,6.75
21000073,3.60,6.00,3.20,-1,-1,-1,4.00,4.50,7.75
21000074,6.80,8.75,7.00,4.25,5.50,4.25,3.25,5.75,7.50
21000075,5.00,7.50,4.40,4.75,4.25,5.00,-1,-1,-1
21000076,5.40,6.50,2.80,4.25,5.50,7.50,-1,-1,-1
21000077,5.60,5.25,2.40,-1,-1,-1,2.75,5.50,5.75
21000078,6.60,7.00,4.00,7.00,6.75,7.50,-1,-1,-1
21000079,6.60,7.25,2.60,7.00,6.50,4.75,-1,-1,-1
21000080,4.20,7.50,3.40,-1,-1,-1,4.00,5.75,8.00
21000081,7.00,8.00,8.60,5.75,5.25,6.00,-1,-1,-1
21000082,5.80,8.00,6.60,-1,-1,-1,2.00,7.25,7.75
21000083,4.60,4.50,2.20,-1,-1,-1,2.25,4.75,7.25
21000084,5.80,6.25,2.40,3.25,7.00,5.25,-1,-1,-1
21000085,4.80,6.75,2.20,-1,-1,-1,4.00,4.50,7.75
21000086,4.20,7.00,2.40,-1,-1,-1,4.25,7.25,8.25
21000087,7.80,7.00,4.20,8.25,8.25,4.50,-1,-1,-1
21000088,6.40,6.50,3.60,4.50,6.00,3.00,-1,-1,-1
21000089,5.20,6.00,4.40,-1,-1,-1,5.00,5.50,8.00
21000090,4.20,5.00,3.20,5.25,4.75,6.25,-1,-1,-1
21000091,5.60,5.00,2.20,6.50,6.75,4.75,-1,-1,-1
21000092,6.40,6.50,3.80,5.25,5.00,4.25,-1,-1,-1
21000093,7.20,8.00,7.80,-1,-1,-1,4.50,5.00,8.00
21000094,5.60,7.00,5.40,-1,-1,-1,2.50,5.50,6.75
21000095,3.00,4.50,2.20,2.00,3.25,3.75,-1,-1,-1
21000096,7.80,-1,-1,-1,7.75,7.00,-1,-1,-1
21000097,7.20,8.25,6.60,-1,-1,-1,5.50,7.00,7.50
21000098,6.40,7.00,6.00,6.50,5.00,4.25,-1,-1,-1
21000099,4.00,6.00,2.60,5.00,5.25,4.00,-1,-1,-1
21000100,6.80,7.50,4.40,7.25,6.50,5.25,-1,-1,-1
21000101,4.60,6.00,3.00,4.50,4.50,6.00,-1,-1,-1
21000102,6.60,7.25,2.20,7.50,6.75,5.75,-1,-1,-1
21000103,4.60,7.50,4.40,-1,-1,-1,6.25,7.50,8.50
21000104,3.20,4.75,2.60,-1,-1,-1,3.25,6.00,5.75
21000105,3.40,4.00,3.20,-1,-1,-1,4.50,4.75,6.00
21000106,3.00,4.25,3.00,-1,-1,-1,2.25,6.75,6.25
21000107,4.60,6.50,3.00,4.00,3.50,5.75,-1,-1,-1
21000108,6.00,6.50,6.40,6.25,3.00,4.25,-1,-1,-1
21000109,7.20,6.00,4.40,7.75,5.75,3.50,-1,-1,-1
21000110,4.20,4.50,1.40,-1,-1,-1,3.50,6.25,7.25
21000111,5.80,4.75,2.20,-1,-1,-1,5.00,4.75,7.50
21000112,4.00,6.00,2.80,-1,-1,-1,2.75,5.75,7.50
21000113,7.60,4.25,4.80,8.00,7.25,4.50,-1,-1,-1
21000114,6.20,5.25,2.00,7.75,7.75,5.50,-1,-1,-1
21000115,5.40,3.75,3.40,3.75,5.50,4.25,-1,-1,-1
21000116,3.80,6.75,2.60,3.75,4.75,3.75,-1,-1,-1
21000117,7.00,6.00,5.40,6.50,7.25,5.75,-1,-1,-1
21000118,6.00,4.50,3.60,3.75,7.00,7.25,-1,-1,-1
21000119,5.60,7.75,2.00,-1,-1,-1,4.00,5.25,7.75
21000120,6.40,7.50,3.20,6.25,7.00,3.75,-1,-1,-1
21000121,6.00,6.00,5.40,5.50,4.50,5.50,-1,-1,-1
21000122,6.00,6.50,4.20,-1,-1,-1,4.50,8.25,8.50
21000123,7.80,6.50,4.20,7.50,6.00,4.00,-1,-1,-1
21000124,5.00,5.00,3.00,5.50,6.00,3.75,-1,-1,-1
21000125,8.00,3.50,1.40,7.00,7.00,4.00,-1,-1,-1
21000126,5.80,8.25,7.40,-1,-1,-1,4.25,5.50,7.50
21000127,5.60,7.25,3.60,-1,-1,-1,5.25,5.75,7.50
21000128,6.00,6.25,2.60,6.25,5.00,3.75,-1,-1,-1
21000129,2.60,5.50,2.40,2.75,3.25,3.75,2.25,4.50,5.75
21000130,4.80,6.50,3.00,4.50,6.50,5.50,-1,-1,-1
21000131,5.60,7.00,1.80,5.50,4.50,3.25,-1,-1,-1
21000132,6.20,6.50,3.40,4.75,5.50,4.75,-1,-1,-1
21000133,5.20,6.75,2.20,3.25,4.50,4.00,-1,-1,-1
21000134,6.00,4.75,3.80,4.50,5.00,3.50,-1,-1,-1
21000135,7.20,8.00,7.80,6.75,3.75,4.00,-1,-1,-1
21000136,5.20,7.25,4.20,4.00,3.00,4.50,-1,-1,-1
21000137,5.20,7.00,1.00,-1,-1,-1,4.50,6.00,7.50
21000138,5.60,7.25,4.20,3.50,3.75,3.50,-1,-1,-1
21000139,6.20,4.75,2.40,4.25,3.25,4.75,-1,-1,-1
21000140,4.20,6.00,2.20,-1,-1,-1,2.25,5.25,8.00
21000141,5.80,5.75,3.60,4.75,4.75,3.75,-1,-1,-1
21000142,5.80,5.25,3.60,6.75,8.75,3.50,-1,-1,-1
21000143,5.20,5.25,2.00,4.50,4.00,3.50,-1,-1,-1
21000144,4.20,5.50,2.80,-1,-1,-1,2.50,7.25,6.25
21000145,6.20,8.25,6.40,4.50,6.50,3.25,-1,-1,-1
21000146,4.40,6.75,3.20,-1,-1,-1,2.50,4.25,6.50
21000147,6.40,6.25,5.20,6.25,3.00,3.25,-1,-1,-1
21000148,6.00,5.50,6.20,6.25,4.25,5.75,-1,-1,-1
21000149,5.80,6.25,2.60,3.25,5.75,3.25,-1,-1,-1
21000150,6.80,7.00,5.20,5.25,2.00,4.00,-1,-1,-1
21000151,6.40,6.75,2.60,6.25,7.00,3.75,-1,-1,-1
21000152,5.20,5.00,2.40,-1,-1,-1,3.25,5.25,7.00
21000153,6.00,6.50,6.20,5.00,6.00,4.50,-1,-1,-1
21000154,6.00,7.50,7.00,-1,-1,-1,4.50,6.75,7.75
21000155,5.00,8.00,4.00,-1,-1,-1,5.75,5.25,8.25
21000156,6.00,6.25,4.00,3.75,3.00,4.25,-1,-1,-1
21000157,5.80,7.00,4.60,4.00,5.75,5.50,-1,-1,-1
21000158,4.00,5.75,2.80,-1,-1,-1,3.00,5.75,7.00
21000159,6.80,5.25,2.80,6.75,6.75,3.50,-1,-1,-1
21000160,5.40,5.25,2.60,-1,-1,-1,2.75,5.00,7.25
21000161,5.80,6.75,2.80,7.00,5.50,6.25,-1,-1,-1
21000162,6.00,6.50,4.20,5.25,3.50,4.50,-1,-1,-1
21000163,7.40,7.50,5.80,7.00,6.75,3.75,-1,-1,-1
21000164,6.20,4.50,3.00,-1,-1,-1,4.50,6.00,7.75
