SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
26000001,6.80,-1,7.00,6.00,-1,-1,-1,-1,-1
26000002,2.60,6.25,5.40,-1,-1,-1,3.00,6.50,8.00
26000003,6.20,-1,-1,6.50,5.75,2.50,-1,-1,-1
26000004,5.20,-1,-1,-1,4.75,5.75,-1,-1,-1
26000005,5.80,6.25,7.40,-1,-1,-1,-1,-1,-1
26000006,5.20,6.75,-1,-1,-1,-1,7.75,-1,-1
26000007,3.80,5.50,7.40,-1,-1,-1,2.75,5.00,7.25
26000008,2.20,4.00,-1,-1,-1,-1,4.25,-1,-1
26000009,4.00,-1,-1,2.00,3.75,-1,-1,-1,-1
26000011,6.00,7.00,-1,-1,-1,-1,6.50,-1,-1
26000012,7.00,-1,-1,-1,7.25,6.75,-1,-1,-1
26000013,6.20,6.75,-1,-1,-1,-1,5.75,4.25,-1
26000015,6.20,-1,-1,3.50,7.00,6.00,-1,-1,-1
26000016,7.00,-1,8.00,7.50,3.25,-1,-1,-1,-1
26000017,6.40,-1,-1,6.75,6.00,2.25,-1,-1,-1
26000018,7.60,-1,-1,8.25,8.00,-1,-1,-1,-1
26000019,6.60,-1,7.00,7.50,5.00,-1,-1,-1,-1
26000020,4.80,7.00,4.80,-1,-1,-1,-1,-1,-1
26000021,5.60,7.25,5.00,-1,-1,-1,-1,-1,-1
26000022,6.20,-1,-1,-1,6.75,5.75,-1,-1,-1
26000023,6.20,5.75,-1,-1,-1,-1,5.00,-1,-1
26000024,3.20,2.75,-1,-1,-1,-1,3.00,-1,-1
26000025,5.20,7.50,5.00,-1,-1,-1,-1,-1,-1
26000026,6.80,-1,-1,7.00,6.75,-1,-1,-1,-1
26000027,8.00,-1,-1,-1,6.75,6.75,-1,-1,-1
26000028,5.80,7.00,4.60,-1,-1,-1,-1,-1,-1
26000029,6.60,-1,6.00,7.25,-1,-1,-1,-1,-1
26000030,7.40,-1,-1,-1,8.00,8.00,-1,-1,-1
26000031,6.80,-1,-1,3.50,5.50,6.25,-1,-1,-1
26000032,7.00,-1,-1,-1,6.50,6.75,-1,-1,-1
26000033,8.20,7.50,7.40,-1,-1,-1,-1,-1,-1
26000034,7.40,-1,-1,6.50,6.50,-1,-1,-1,-1
26000035,5.80,-1,4.80,4.50,-1,-1,-1,-1,-1
26000036,6.20,-1,-1,4.25,7.25,-1,-1,-1,-1
26000037,7.00,6.00,7.60,-1,-1,-1,-1,-1,-1
26000038,7.40,-1,-1,6.50,3.50,-1,-1,-1,-1
26000039,6.20,6.25,-1,-1,-1,-1,7.25,-1,-1
26000040,3.00,-1,-1,-1,3.25,4.50,-1,-1,-1
26000041,4.60,-1,-1,-1,3.25,5.00,-1,-1,-1
26000042,6.40,-1,-1,-1,5.25,4.75,-1,-1,-1
26000043,6.00,-1,-1,5.75,6.75,-1,-1,-1,-1
26000045,5.00,-1,-1,-1,6.25,6.50,-1,-1,-1
26000046,5.00,-1,-1,-1,4.25,5.00,-1,-1,-1
26000047,7.60,-1,4.80,5.00,7.00,7.00,-1,-1,-1
26000048,7.20,-1,-1,7.75,6.00,-1,-1,-1,-1
26000049,6.60,-1,8.20,-1,7.25,6.50,-1,-1,-1
