SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
29000001,3.60,5.50,2.40,-1,-1,-1,3.25,4.25,7.50
29000002,2.60,3.00,3.60,3.25,3.00,2.50,2.50,3.50,6.00
29000003,7.20,7.25,6.60,2.50,3.50,3.50,3.25,5.50,8.25
29000004,7.60,5.00,3.00,4.75,5.50,3.25,3.25,6.25,6.75
29000005,5.40,5.75,4.00,4.25,1.50,3.50,3.75,4.50,7.50
29000006,6.00,7.50,3.80,3.75,1.75,3.00,3.25,7.00,8.00
29000007,2.80,4.25,2.60,-1,-1,-1,3.75,5.50,6.50
29000008,3.40,5.50,1.60,2.00,3.00,4.00,4.25,5.75,6.75
29000009,3.80,6.50,3.20,2.00,2.25,4.50,2.50,6.75,7.25
29000010,3.80,3.75,3.40,-1,-1,-1,3.75,5.75,6.75
29000011,6.20,7.50,5.80,4.50,2.25,2.50,4.00,5.25,6.00
29000012,5.20,6.25,5.00,-1,-1,-1,2.25,6.75,7.00
29000013,1.80,5.00,2.80,-1,-1,-1,2.50,5.00,6.00
29000014,7.00,4.75,4.40,5.75,4.25,4.75,3.75,5.75,7.75
29000015,4.00,6.25,2.20,2.50,2.75,3.00,3.00,4.25,7.00
29000016,6.00,5.50,4.80,8.00,6.00,3.50,4.25,6.75,7.25
29000017,3.80,5.75,2.40,2.75,4.00,3.50,4.25,4.00,4.50
29000018,2.60,6.75,4.20,2.50,2.25,3.75,2.75,6.25,6.50
29000019,3.80,7.00,3.80,-1,-1,-1,4.50,5.75,6.00
29000020,4.00,3.50,2.80,4.25,4.50,2.00,2.50,4.75,7.75
29000021,6.60,7.00,4.80,-1,-1,-1,3.75,6.00,8.25
29000022,3.80,2.00,2.60,-1,-1,-1,1.75,3.50,5.50
29000023,3.60,5.00,1.80,-1,-1,-1,3.75,6.25,7.25
29000024,3.60,4.75,2.40,-1,-1,-1,2.75,4.25,4.50
29000025,6.00,7.00,3.60,2.00,4.00,3.25,4.50,5.50,7.75
29000026,5.60,8.00,5.00,4.25,3.75,4.50,3.25,6.50,8.50
29000027,3.80,5.25,3.20,2.75,2.00,3.75,3.00,6.25,8.00
29000028,5.00,7.25,5.40,3.50,2.25,2.75,3.50,4.25,6.25
29000029,3.80,7.25,2.00,-1,-1,-1,3.50,5.75,7.25
29000030,8.20,7.75,3.00,9.00,9.50,4.75,4.25,7.00,8.00
29000031,7.60,8.50,8.40,7.00,2.25,2.25,3.75,4.50,6.00
29000032,6.00,7.75,5.40,5.25,5.00,4.00,4.25,6.00,7.50
29000033,4.00,6.00,2.60,-1,-1,-1,5.00,6.75,7.00
29000034,3.40,6.00,3.60,3.25,1.25,4.75,4.50,5.75,6.50
29000035,5.00,8.00,3.00,2.50,3.50,2.25,3.50,4.75,7.25
29000036,5.00,7.75,5.60,-1,-1,-1,6.00,8.00,7.75
29000037,3.40,5.50,2.00,-1,-1,-1,3.00,4.50,5.75
29000038,3.60,7.50,2.60,3.00,2.50,4.00,2.75,5.50,6.00
29000039,3.80,8.00,3.20,-1,-1,-1,3.00,5.75,7.25
29000040,3.60,7.50,3.60,-1,-1,-1,1.75,5.50,5.25
29000041,3.20,4.50,1.80,-1,-1,-1,2.25,4.50,3.75
29000042,5.60,7.00,4.40,2.75,3.00,2.25,5.00,5.75,7.00
