SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
30000001,4.80,7.75,6.40,-1,-1,-1,3.25,6.75,7.50
30000002,6.40,6.75,4.00,5.00,8.75,8.00,-1,-1,-1
30000003,1.60,2.25,-1,2.50,3.00,2.25,3.75,3.25,-1
30000004,4.60,6.25,2.40,-1,-1,-1,3.00,4.75,7.25
30000005,3.00,7.00,-1,2.00,2.75,4.50,3.75,5.50,-1
30000006,1.60,6.75,2.60,-1,-1,-1,4.00,6.00,6.00
30000007,3.40,5.75,1.80,-1,-1,-1,2.75,3.50,7.50
30000008,5.80,7.00,2.60,4.50,4.25,2.75,-1,-1,-1
30000009,2.20,3.00,-1,-1,-1,-1,4.00,5.50,-1
30000010,6.80,7.25,3.60,-1,-1,-1,6.75,7.00,7.00
30000011,3.40,3.25,-1,2.25,2.50,3.25,3.00,4.25,-1
30000012,5.00,7.75,4.40,-1,-1,-1,5.50,7.00,7.75
30000013,6.40,8.00,6.40,-1,-1,-1,2.00,5.75,7.00
30000014,4.60,6.50,3.80,2.75,3.50,5.00,-1,-1,-1
30000015,2.00,2.75,-1,-1,-1,-1,2.50,3.25,-1
30000016,3.80,5.50,3.40,-1,-1,-1,2.25,5.00,7.00
30000017,6.20,8.50,7.80,-1,-1,-1,4.00,6.50,8.50
30000018,5.80,8.50,3.80,-1,-1,-1,5.00,7.75,7.75
30000019,4.00,8.00,3.20,-1,-1,-1,4.75,6.50,8.50
30000020,7.40,8.00,8.40,-1,-1,-1,5.75,7.75,8.50
30000021,5.60,8.00,4.20,-1,-1,-1,5.25,6.00,7.25
30000022,5.00,5.50,3.40,4.00,4.50,2.25,-1,-1,-1
30000023,2.20,6.50,-1,-1,-1,-1,2.25,5.50,-1
30000024,2.40,7.50,4.00,-1,-1,-1,3.75,6.75,7.25
30000025,2.00,8.00,5.40,-1,-1,-1,3.25,6.00,8.25
30000026,3.80,5.25,2.80,-1,-1,-1,3.00,4.00,5.00
30000027,1.60,5.00,3.40,-1,-1,-1,3.50,4.25,4.50
30000028,1.40,3.25,-1,2.00,1.75,4.50,3.25,4.25,-1
30000029,3.60,7.00,-1,2.25,4.25,3.25,2.75,4.00,-1
30000030,3.40,4.00,-1,1.75,1.00,2.75,3.50,5.50,-1
30000031,2.40,7.00,-1,2.50,4.00,2.50,3.25,4.75,-1
30000032,4.60,5.75,3.60,-1,-1,-1,4.00,5.00,7.25
30000033,6.80,5.50,2.20,3.75,3.75,4.75,-1,-1,-1
30000034,3.00,8.75,3.80,-1,-1,-1,3.50,6.00,8.00
30000035,7.40,6.50,7.20,7.25,8.25,4.75,-1,-1,-1
30000036,4.20,6.00,2.80,4.00,4.25,2.75,-1,-1,-1
30000037,2.80,6.00,2.60,-1,-1,-1,3.00,4.75,6.50
30000038,6.40,8.00,3.60,5.50,5.25,4.25,-1,-1,-1
30000039,3.20,5.50,2.80,-1,-1,-1,4.00,5.75,7.75
30000040,5.20,5.75,3.60,-1,-1,-1,3.50,5.25,6.75
30000041,7.40,7.00,4.00,4.00,7.50,8.50,-1,-1,-1
30000042,5.20,8.00,3.80,-1,-1,-1,4.50,7.50,8.50
30000043,3.40,5.25,2.80,-1,-1,-1,3.75,4.50,7.00
30000044,3.60,6.75,2.40,-1,-1,-1,3.75,5.00,6.25
30000045,6.40,5.25,2.40,4.50,4.25,4.25,-1,-1,-1
30000046,4.60,5.25,1.60,-1,-1,-1,2.50,5.50,6.50
30000047,4.00,5.50,3.60,3.25,5.00,3.50,-1,-1,-1
30000048,6.40,6.75,1.80,3.75,4.25,4.50,-1,-1,-1
30000049,2.60,2.00,-1,2.00,2.00,3.25,2.75,4.00,-1
30000050,5.60,8.50,2.60,4.25,7.00,5.50,-1,-1,-1
30000051,7.60,7.00,3.60,8.25,8.00,5.25,-1,-1,-1
30000052,2.80,2.00,-1,-1,-1,-1,1.50,3.00,-1
30000053,3.40,2.50,-1,3.25,3.50,3.50,3.50,4.75,-1
30000054,6.40,9.00,6.60,-1,-1,-1,6.50,5.75,8.25
30000055,5.00,7.00,5.40,-1,-1,-1,3.75,5.50,7.00
30000056,7.40,8.00,7.60,3.50,5.25,5.75,-1,-1,-1
30000057,3.00,6.75,2.40,-1,-1,-1,2.00,4.00,5.00
30000058,4.00,4.75,2.20,-1,-1,-1,3.50,6.75,7.25
30000059,5.20,7.25,2.80,4.75,4.00,6.00,-1,-1,-1
30000060,4.40,5.50,3.20,3.25,3.75,3.75,-1,-1,-1
30000061,5.60,7.00,3.60,-1,-1,-1,5.75,8.00,8.50
