SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
31000001,3.80,2.50,4.20,-1,-1,-1,3.25,3.00,5.50
31000002,3.00,5.00,4.00,-1,-1,-1,3.00,5.75,7.25
31000003,4.00,3.50,2.60,-1,-1,-1,2.00,4.75,6.75
31000004,3.40,3.50,2.80,-1,-1,-1,3.00,2.75,5.25
31000005,4.80,3.00,3.00,-1,-1,-1,2.75,5.50,5.00
31000006,5.60,4.75,3.00,-1,-1,-1,4.50,7.50,8.00
31000007,5.00,4.00,5.20,-1,-1,-1,3.50,4.75,7.00
31000008,4.00,4.50,2.40,-1,-1,-1,3.00,5.25,8.25
31000009,4.60,4.50,3.80,-1,-1,-1,5.25,7.50,8.25
31000010,4.00,3.25,2.80,-1,-1,-1,2.50,5.50,7.00
31000011,2.60,3.00,2.80,-1,-1,-1,2.50,5.50,4.25
31000012,4.00,3.25,2.60,-1,-1,-1,3.50,5.25,6.00
31000013,3.40,5.00,3.00,-1,-1,-1,4.25,7.75,8.75
31000014,3.00,6.00,3.20,-1,-1,-1,4.75,7.25,6.50
31000015,3.20,2.50,3.80,-1,-1,-1,3.75,4.50,7.50
31000016,4.00,2.25,2.20,-1,-1,-1,2.25,5.00,4.75
31000017,4.20,5.75,2.80,-1,-1,-1,5.75,7.00,7.75
31000018,4.20,3.25,2.60,-1,-1,-1,5.50,4.25,6.75
31000019,3.00,3.50,2.80,-1,-1,-1,4.25,5.75,7.25
31000020,4.00,3.00,3.00,-1,-1,-1,4.75,5.00,6.50
31000021,4.00,3.75,1.80,-1,-1,-1,2.50,6.00,7.25
31000022,3.80,7.50,4.20,-1,-1,-1,6.00,6.50,8.75
31000023,5.20,5.25,4.80,-1,-1,-1,7.00,4.75,7.50
31000024,4.00,2.75,3.20,-1,-1,-1,2.75,5.50,6.75
31000025,4.60,4.75,5.20,-1,-1,-1,3.50,3.75,8.25
31000026,3.20,3.50,3.40,-1,-1,-1,4.50,4.50,7.25
31000027,3.00,3.75,2.60,-1,-1,-1,2.75,4.25,5.25
31000028,2.80,3.00,2.80,-1,-1,-1,3.00,5.00,6.00
31000029,4.80,6.25,3.00,-1,-1,-1,6.00,7.50,6.75
31000030,3.20,6.00,3.20,-1,-1,-1,3.25,5.25,7.25
31000031,2.80,2.75,4.00,-1,-1,-1,3.25,5.00,6.25
31000032,3.00,2.25,2.40,-1,-1,-1,2.75,4.75,6.75
31000033,3.40,2.50,2.60,-1,-1,-1,3.75,4.00,6.50
31000034,4.20,4.75,2.80,-1,-1,-1,5.50,7.75,7.25
31000035,3.20,7.00,3.00,-1,-1,-1,5.75,8.25,7.75
31000036,3.00,5.50,2.40,-1,-1,-1,3.25,4.50,6.50
31000037,2.80,6.00,3.00,-1,-1,-1,6.75,7.50,6.25
31000038,2.00,3.75,2.20,-1,-1,-1,2.75,5.00,6.50
31000039,2.40,4.00,3.60,-1,-1,-1,2.00,4.00,5.00
31000040,3.00,4.00,1.80,-1,-1,-1,3.50,6.50,8.00
31000041,2.60,4.00,2.60,-1,-1,-1,4.75,5.50,6.25
31000042,3.00,7.25,3.20,-1,-1,-1,6.25,8.00,8.25
31000043,3.20,3.50,2.00,-1,-1,-1,2.75,5.25,7.25
31000044,4.80,4.50,3.60,-1,-1,-1,4.25,4.75,5.25
31000045,3.80,6.00,4.20,-1,-1,-1,4.75,8.25,7.75
31000046,3.40,5.25,3.40,-1,-1,-1,3.50,4.25,7.00
31000047,6.80,6.25,5.00,7.50,5.75,6.50,-1,-1,-1
31000048,2.80,2.75,3.40,-1,-1,-1,5.25,6.00,7.75
31000049,4.00,5.50,2.60,-1,-1,-1,5.00,7.25,8.25
31000050,5.00,6.50,2.80,-1,-1,-1,4.25,7.00,8.75
31000051,5.60,4.25,4.00,-1,-1,-1,3.50,5.75,7.75
31000052,4.60,5.00,6.00,-1,-1,-1,4.50,8.25,9.00
31000053,1.80,2.75,1.60,-1,-1,-1,2.75,3.50,5.50
31000054,3.00,4.00,2.80,-1,-1,-1,3.25,4.50,5.25
31000055,6.00,6.00,6.00,6.50,6.25,5.50,-1,-1,-1
31000056,3.00,2.00,2.00,-1,-1,-1,2.75,2.75,3.75
31000057,5.20,2.00,2.60,-1,-1,-1,1.50,3.50,3.00
31000058,2.60,3.00,3.00,-1,-1,-1,4.00,5.25,6.50
31000059,5.40,3.75,4.20,-1,-1,-1,6.75,5.75,8.00
31000060,3.40,3.00,3.60,-1,-1,-1,3.75,5.00,8.00
31000061,4.00,5.75,3.00,-1,-1,-1,3.00,5.75,7.00
31000062,3.60,6.50,2.60,-1,-1,-1,4.25,4.75,7.75
31000063,3.00,3.25,3.80,-1,-1,-1,3.50,7.75,7.25
31000064,4.00,3.25,2.00,-1,-1,-1,1.75,4.75,6.50
31000065,3.40,1.50,2.20,-1,-1,-1,2.50,2.75,3.25
31000066,2.80,3.25,4.20,-1,-1,-1,3.00,3.50,4.75
31000067,3.20,6.50,3.40,-1,-1,-1,4.25,5.00,7.00
31000068,2.40,3.25,3.00,-1,-1,-1,5.50,5.00,6.50
31000069,5.80,6.75,3.60,-1,-1,-1,7.50,7.75,7.50
31000070,3.00,3.00,2.40,-1,-1,-1,4.50,3.75,3.25
31000071,4.20,3.00,4.00,-1,-1,-1,3.00,5.00,5.75
31000072,3.80,5.75,4.40,-1,-1,-1,4.25,6.50,7.00
31000073,4.40,5.25,3.60,-1,-1,-1,4.25,4.50,7.25
31000074,4.00,3.75,2.80,-1,-1,-1,4.50,6.00,7.50
31000075,4.40,3.00,4.40,-1,-1,-1,4.50,4.75,7.25
31000076,3.60,3.75,2.60,-1,-1,-1,3.50,7.50,8.75
31000077,3.80,3.50,1.60,-1,-1,-1,2.75,5.00,8.25
31000078,2.40,4.00,2.00,-1,-1,-1,3.00,5.50,6.50
31000079,4.00,2.50,3.80,-1,-1,-1,4.50,3.50,6.25
31000080,4.40,4.00,2.60,-1,-1,-1,3.25,5.25,7.00
31000081,4.40,2.75,2.80,-1,-1,-1,1.50,2.25,5.25
31000082,3.80,2.50,2.20,5.25,4.75,3.25,2.25,5.25,5.50
31000083,4.80,4.25,3.80,-1,-1,-1,6.00,5.50,7.00
31000084,1.60,4.00,2.20,-1,-1,-1,4.00,4.50,6.75
31000085,2.00,2.75,2.40,-1,-1,-1,3.00,3.75,4.75
31000086,2.40,3.75,3.60,-1,-1,-1,3.50,4.00,7.25
31000087,4.40,4.50,3.40,-1,-1,-1,3.00,5.75,7.00
31000088,3.20,4.00,2.00,-1,-1,-1,3.50,4.75,3.50
31000089,3.20,4.50,4.40,-1,-1,-1,4.50,5.00,7.00
31000090,3.80,3.00,2.60,-1,-1,-1,3.25,4.00,6.50
31000091,3.40,3.75,4.80,-1,-1,-1,3.00,4.25,6.25
31000092,2.20,4.50,3.00,-1,-1,-1,4.50,6.00,6.75
31000093,5.00,5.00,5.80,6.50,5.00,5.50,-1,-1,-1
31000094,3.40,4.25,4.40,-1,-1,-1,5.00,6.00,7.50
31000095,2.80,3.50,3.20,-1,-1,-1,3.00,4.25,6.75
31000096,1.80,4.00,4.20,-1,-1,-1,3.25,5.75,6.75
31000097,3.40,4.50,3.80,-1,-1,-1,2.75,4.75,7.75
31000098,2.40,5.50,3.20,-1,-1,-1,2.50,5.75,7.75
31000099,4.80,5.00,3.80,-1,-1,-1,3.25,5.00,7.00
31000100,3.00,5.25,3.20,-1,-1,-1,1.00,3.75,6.00
31000101,2.80,3.25,2.00,-1,-1,-1,4.75,3.75,6.75
31000102,7.60,7.00,4.60,6.50,4.00,4.50,4.75,6.75,8.00
31000103,3.20,4.75,4.00,-1,-1,-1,4.25,5.50,6.75
31000104,3.00,6.50,4.00,-1,-1,-1,4.50,5.75,6.50
31000105,2.80,3.75,2.00,-1,-1,-1,2.75,4.75,4.25
31000106,6.80,6.50,7.40,-1,-1,-1,4.75,6.25,8.00
31000107,4.20,5.50,4.60,1.75,2.50,3.00,1.75,5.25,4.50
31000108,3.40,6.00,2.60,-1,-1,-1,2.75,4.00,7.25
31000109,5.80,6.00,4.00,-1,-1,-1,6.00,7.50,6.75
31000110,6.00,6.50,5.80,-1,-1,-1,3.75,6.00,8.00
31000111,5.60,7.50,4.60,6.00,4.50,4.25,-1,-1,-1
31000112,5.40,6.50,6.80,-1,-1,-1,6.50,8.25,7.25
31000113,4.80,6.25,6.00,-1,-1,-1,4.00,5.00,8.25
31000114,7.20,6.50,3.60,6.75,6.25,5.75,-1,-1,-1
31000115,4.60,5.75,4.20,-1,-1,-1,3.25,5.75,7.25
