SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
34000001,4.00,6.00,5.20,-1,-1,-1,3.25,5.00,8.75
34000002,5.40,6.50,4.20,-1,-1,-1,6.75,7.25,7.50
34000003,4.40,5.50,2.20,3.25,4.75,5.25,4.75,8.00,7.50
34000004,8.20,5.00,2.80,3.25,7.25,7.00,-1,-1,-1
34000005,6.80,7.00,4.20,-1,-1,-1,3.00,6.50,8.00
34000006,6.60,6.50,4.20,6.00,5.00,4.50,2.25,5.00,6.50
34000007,5.60,5.75,5.40,5.00,4.50,3.75,-1,-1,-1
34000008,3.60,4.00,3.20,4.50,3.50,3.75,2.50,4.25,8.00
34000009,4.40,4.50,5.60,3.75,2.25,3.00,3.75,3.75,6.75
34000010,6.40,6.50,3.80,2.75,5.75,2.75,4.50,6.50,6.50
34000011,6.00,5.00,5.40,5.75,5.50,3.50,-1,-1,-1
34000012,4.40,5.25,2.20,-1,-1,-1,3.00,-1,-1
34000013,4.20,5.00,3.40,3.50,5.25,3.75,4.75,3.50,6.50
34000014,3.00,6.25,1.80,4.00,3.25,3.50,2.25,5.00,7.00
34000015,6.80,7.00,4.60,6.25,4.75,4.50,-1,-1,-1
34000016,8.20,7.00,4.00,5.50,8.75,7.25,-1,-1,-1
34000017,6.80,3.50,3.40,4.00,5.25,4.00,4.00,6.00,6.00
34000018,5.60,5.75,3.00,2.75,5.50,6.50,2.25,5.50,6.50
34000019,5.00,4.50,2.20,4.25,3.75,5.00,4.50,5.50,7.75
34000020,6.00,6.00,3.20,4.50,4.00,2.00,-1,-1,-1
34000021,4.40,5.00,3.80,3.25,2.75,4.25,3.75,3.25,5.50
34000022,6.20,5.25,4.20,6.75,7.00,8.25,-1,-1,-1
34000023,3.20,3.75,1.00,-1,-1,-1,2.50,4.75,6.75
34000024,3.20,3.33,3.40,-1,-1,-1,2.25,3.50,4.00
34000025,4.60,4.00,3.40,5.25,4.00,4.75,5.50,5.25,7.75
34000026,3.40,2.00,2.20,-1,-1,-1,3.25,-1,-1
34000027,5.40,5.30,3.40,4.75,6.50,4.25,2.75,6.00,6.25
34000028,4.80,5.75,2.20,3.25,1.50,3.25,4.00,6.50,7.25
34000029,5.20,8.50,4.40,4.50,4.75,3.50,2.50,7.00,8.00
34000030,6.40,6.75,5.80,-1,-1,-1,2.75,4.50,4.75
34000031,3.80,5.25,3.00,-1,-1,-1,3.25,5.75,8.00
34000032,3.20,5.75,2.20,-1,-1,-1,3.00,3.25,6.25
34000033,3.60,3.50,2.60,3.25,3.75,3.25,2.75,4.50,4.75
34000034,4.40,5.25,2.00,4.50,5.25,4.75,2.75,6.25,7.00
34000035,5.40,3.50,2.20,4.00,5.25,3.50,3.75,4.25,5.75
34000036,2.60,4.75,2.80,2.25,4.50,4.25,3.25,1.25,7.25
34000037,6.20,6.00,4.40,4.50,6.00,3.00,-1,-1,-1
34000038,4.20,5.00,3.00,2.00,2.00,3.25,2.75,4.00,7.00
