SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
43000001,4.20,5.50,2.00,-1,-1,-1,2.75,5.50,7.25
43000002,2.40,5.00,2.20,-1,-1,-1,4.50,4.50,6.25
43000003,4.60,5.50,4.20,5.25,4.50,4.50,-1,-1,-1
43000004,4.20,5.00,1.40,4.50,4.50,3.00,-1,-1,-1
43000005,6.20,8.25,7.40,-1,-1,-1,6.00,6.75,9.00
43000006,6.20,8.00,3.60,-1,-1,-1,3.00,7.00,6.75
43000007,5.80,7.25,2.80,4.50,2.50,3.50,-1,-1,-1
43000008,3.60,5.00,2.60,-1,-1,-1,4.75,4.25,6.25
43000009,4.60,7.00,3.40,-1,-1,-1,4.75,6.75,8.25
43000010,2.80,5.00,3.80,-1,-1,-1,1.50,6.25,6.25
43000011,4.00,5.50,4.80,-1,-1,-1,6.00,5.75,6.75
43000012,4.00,5.50,2.60,-1,-1,-1,3.75,6.25,8.25
43000013,3.60,5.25,2.80,-1,-1,-1,2.75,5.75,6.75
43000014,4.80,3.75,3.00,-1,-1,-1,4.25,4.25,6.50
43000015,3.00,6.25,3.20,-1,-1,-1,5.75,8.25,8.25
43000016,6.80,5.50,3.80,7.25,6.25,4.25,-1,-1,-1
43000017,4.80,5.50,4.40,3.25,3.25,4.25,3.25,6.25,7.25
43000018,5.00,5.25,5.00,-1,-1,-1,4.00,6.25,7.75
43000019,3.60,5.50,3.20,-1,-1,-1,6.00,7.25,7.75
43000020,6.20,5.75,3.20,6.25,5.50,7.00,-1,-1,-1
43000021,5.00,7.00,5.00,3.75,4.75,6.00,-1,-1,-1
43000022,6.40,5.50,6.00,6.25,5.00,4.50,-1,-1,-1
43000023,4.20,5.75,2.80,-1,-1,-1,6.25,6.50,8.75
43000024,4.40,5.25,2.80,-1,-1,-1,3.00,4.00,6.00
43000025,3.80,6.00,4.20,-1,-1,-1,3.50,4.25,6.50
43000026,4.80,7.50,4.00,-1,-1,-1,3.00,5.75,8.25
43000027,6.00,5.75,4.00,5.75,5.75,5.00,-1,-1,-1
43000028,6.60,5.00,5.80,5.50,4.75,4.00,-1,-1,-1
43000029,4.60,5.50,3.40,3.50,3.50,4.00,-1,-1,-1
43000030,5.00,6.00,2.40,-1,-1,-1,4.75,6.00,7.75
43000031,6.20,5.00,3.00,7.00,5.25,6.00,-1,-1,-1
43000032,4.60,7.00,5.00,-1,-1,-1,4.50,5.00,7.75
43000033,5.00,6.25,3.40,4.00,4.75,4.25,-1,-1,-1
43000034,5.60,5.25,4.40,-1,-1,-1,3.50,7.50,8.00
43000035,6.00,7.00,5.00,4.25,3.25,4.75,-1,-1,-1
43000036,4.80,5.00,3.60,-1,-1,-1,3.00,7.00,6.25
43000037,6.00,6.25,2.40,5.50,2.75,3.25,-1,-1,-1
43000038,5.80,7.00,3.20,4.50,4.00,3.00,-1,-1,-1
43000039,5.60,5.00,4.00,4.50,5.75,5.00,-1,-1,-1
43000040,4.80,5.75,3.00,-1,-1,-1,4.00,5.00,7.00
43000041,5.00,7.50,3.80,-1,-1,-1,7.00,5.75,9.25
43000042,5.00,6.00,3.60,4.25,4.00,3.50,-1,-1,-1
43000043,4.20,5.50,4.00,-1,-1,-1,5.75,5.50,8.25
43000044,5.80,6.75,4.60,-1,-1,-1,5.25,7.25,9.25
43000045,5.80,5.25,3.00,4.75,4.75,5.75,-1,-1,-1
43000046,4.60,6.00,3.60,-1,-1,-1,5.50,5.50,7.25
43000047,5.00,6.50,3.20,-1,-1,-1,3.50,5.00,8.50
43000048,3.20,3.25,3.00,-1,-1,-1,3.50,4.00,4.00
43000049,5.60,5.25,2.80,-1,-1,-1,4.00,7.50,8.25
43000050,4.60,5.00,3.00,4.50,3.75,5.00,-1,-1,-1
43000051,3.00,5.25,3.00,-1,-1,-1,4.00,4.75,7.50
43000052,6.00,6.50,2.20,-1,-1,-1,4.75,6.25,8.50
43000053,7.00,4.50,7.20,5.25,3.00,5.00,-1,-1,-1
43000054,6.00,4.25,4.80,5.25,4.75,5.50,-1,-1,-1
43000055,5.40,5.25,2.60,4.00,5.25,5.25,-1,-1,-1
43000056,6.20,6.25,3.20,-1,-1,-1,6.25,8.75,9.00
43000057,3.40,6.50,2.40,-1,-1,-1,3.50,5.75,6.25
43000058,3.20,4.50,3.40,-1,-1,-1,3.00,6.25,6.25
43000059,5.60,6.25,3.60,-1,-1,-1,3.25,6.25,7.00
43000060,6.80,4.25,3.80,5.25,4.00,3.00,-1,-1,-1
43000061,2.80,7.00,2.00,-1,-1,-1,5.75,7.25,7.50
43000062,4.20,4.50,4.80,-1,-1,-1,4.00,6.00,9.00
43000063,3.00,4.50,2.20,2.25,3.25,3.00,-1,-1,-1
43000064,5.40,6.25,4.20,3.75,4.25,3.25,-1,-1,-1
43000065,4.20,6.75,3.40,-1,-1,-1,3.50,3.75,8.25
43000066,4.40,5.50,3.20,-1,-1,-1,2.50,5.25,5.50
43000067,5.40,5.50,3.00,4.00,4.75,3.75,-1,-1,-1
43000068,2.00,5.25,3.20,2.50,2.25,3.25,-1,-1,-1
43000069,3.80,5.75,2.20,-1,-1,-1,3.50,6.25,7.25
43000070,4.00,7.00,4.80,-1,-1,-1,4.50,6.75,7.50
43000071,4.40,6.50,2.00,4.00,3.50,5.00,-1,-1,-1
43000072,4.80,6.75,4.80,-1,-1,-1,3.50,5.75,7.50
43000073,5.40,5.00,4.60,3.00,2.00,3.50,-1,-1,-1
43000074,5.40,6.75,3.40,-1,-1,-1,6.25,6.00,7.50
43000075,6.00,5.00,3.80,6.75,7.00,6.50,-1,-1,-1
43000076,4.60,7.00,3.00,-1,-1,-1,3.25,6.00,6.25
43000077,5.40,5.75,3.00,4.25,1.75,2.50,3.00,4.25,7.00
43000078,4.00,5.75,2.60,-1,-1,-1,3.75,4.50,8.25
43000079,7.60,4.00,2.40,5.25,7.50,5.25,-1,-1,-1
43000080,6.60,6.25,3.00,4.25,6.50,4.50,-1,-1,-1
43000081,4.60,6.25,3.60,4.75,3.00,4.75,-1,-1,-1
43000082,5.40,6.00,3.40,3.75,7.00,6.50,-1,-1,-1
43000083,6.00,6.75,4.20,5.25,4.50,5.75,-1,-1,-1
43000084,4.40,6.50,3.00,3.25,6.50,3.25,-1,-1,-1
43000085,7.00,7.00,7.40,6.25,5.00,6.50,-1,-1,-1
43000086,4.00,6.50,2.60,-1,-1,-1,3.00,3.25,6.25
43000087,5.60,5.00,4.20,6.50,3.50,4.25,-1,-1,-1
43000088,4.40,4.50,4.20,-1,-1,-1,4.00,6.00,8.25
43000089,4.20,6.75,2.80,-1,-1,-1,6.00,6.00,8.25
43000090,5.00,4.50,3.40,-1,-1,-1,3.50,5.50,4.50
43000091,3.20,6.25,3.60,-1,-1,-1,2.00,7.00,7.00
43000092,5.80,5.00,5.00,6.00,4.75,6.00,-1,-1,-1
43000093,3.00,4.25,3.00,-1,-1,-1,4.75,7.25,6.00
43000094,4.20,4.00,3.20,3.00,3.75,3.25,-1,-1,-1
43000095,7.20,4.25,4.20,6.00,3.75,5.25,-1,-1,-1
43000096,6.40,5.25,2.60,7.00,5.00,4.50,-1,-1,-1
43000097,5.00,7.25,7.00,5.25,4.50,6.00,-1,-1,-1
43000098,4.40,4.50,2.40,4.25,5.75,3.75,-1,-1,-1
43000099,4.20,5.00,3.20,-1,-1,-1,4.25,6.50,7.50
43000100,6.00,5.75,4.60,6.00,4.00,3.50,-1,-1,-1
43000101,5.00,5.75,5.20,-1,-1,-1,3.50,6.25,6.75
43000102,3.40,5.75,4.40,-1,-1,-1,5.25,7.00,7.50
43000103,6.40,5.75,2.40,5.00,5.50,4.50,-1,-1,-1
43000104,5.80,5.00,3.20,-1,-1,-1,4.00,4.50,6.50
43000105,4.40,4.50,3.20,-1,-1,-1,2.75,5.50,6.75
43000106,6.00,5.25,4.80,5.75,2.75,3.75,4.00,6.00,8.50
43000107,4.80,5.25,4.40,-1,-1,-1,4.25,5.75,8.25
43000108,5.80,5.25,2.80,6.50,4.75,4.50,-1,-1,-1
43000109,4.80,5.00,2.20,-1,-1,-1,3.00,6.00,7.50
43000110,5.60,5.50,2.80,2.50,3.50,5.00,-1,-1,-1
43000111,5.60,5.75,3.60,-1,-1,-1,6.00,7.25,8.25
43000112,4.00,5.50,3.00,3.25,4.75,4.25,-1,-1,-1
43000113,4.80,4.00,3.60,4.50,4.00,4.50,-1,-1,-1
43000114,5.40,5.00,3.20,-1,-1,-1,4.25,5.25,7.75
43000115,6.00,5.00,2.40,6.00,4.00,5.25,-1,-1,-1
43000116,4.60,6.50,3.60,-1,-1,-1,2.50,4.00,7.75
43000117,5.00,4.50,4.60,2.75,4.50,4.25,-1,-1,-1
43000118,4.00,5.00,2.80,-1,-1,-1,4.50,5.50,6.25
43000119,5.40,6.50,4.80,-1,-1,-1,7.25,7.25,8.75
43000120,5.00,7.50,3.60,-1,-1,-1,4.00,6.00,7.25
43000121,7.00,5.00,3.40,5.00,6.50,7.00,-1,-1,-1
43000122,6.80,6.50,8.20,4.50,4.50,6.25,-1,-1,-1
43000123,5.80,6.50,3.60,5.25,2.75,4.50,-1,-1,-1
43000124,4.20,6.25,2.80,-1,-1,-1,4.00,6.25,7.75
43000125,7.20,5.75,3.60,5.75,5.75,4.50,-1,-1,-1
43000126,4.00,6.00,3.40,-1,-1,-1,3.25,6.00,6.25
43000127,3.80,5.00,3.60,3.75,3.25,4.25,-1,-1,-1
43000128,4.40,5.75,4.40,-1,-1,-1,3.25,6.75,7.75
43000129,5.60,5.00,3.80,5.00,3.25,5.25,-1,-1,-1
43000130,6.00,5.75,3.00,6.25,4.75,5.75,-1,-1,-1
43000131,3.60,4.75,4.60,-1,-1,-1,4.25,4.50,7.00
43000132,3.80,6.50,4.00,-1,-1,-1,3.00,6.25,7.25
43000133,2.80,6.00,3.20,-1,-1,-1,5.25,5.25,7.25
43000134,5.40,4.75,3.00,-1,-1,-1,3.00,5.25,6.50
43000135,3.20,4.00,2.20,-1,-1,-1,3.75,6.75,8.25
43000136,4.60,7.00,3.60,-1,-1,-1,3.50,5.25,8.00
43000137,3.80,6.00,3.00,-1,-1,-1,3.00,6.75,7.00
43000138,5.40,7.75,7.00,6.75,4.00,5.50,-1,-1,-1
43000139,3.60,7.00,4.40,-1,-1,-1,4.00,6.50,7.75
43000140,4.60,5.75,4.40,-1,-1,-1,2.75,5.00,5.75
43000141,4.00,7.75,3.40,-1,-1,-1,5.50,7.75,8.50
43000142,4.20,8.00,3.00,-1,-1,-1,6.00,6.50,6.25
43000143,3.60,4.25,4.00,-1,-1,-1,1.75,5.00,6.00
43000144,4.60,6.50,4.20,4.00,5.50,3.75,-1,-1,-1
43000145,4.20,6.25,2.20,3.50,3.25,3.50,-1,-1,-1
43000146,5.80,5.50,3.00,-1,-1,-1,3.75,4.50,6.50
43000147,5.80,6.25,5.40,4.75,4.50,5.00,-1,-1,-1
43000148,5.00,5.00,6.60,3.25,2.75,5.00,-1,-1,-1
43000149,3.20,6.00,2.80,-1,-1,-1,2.75,4.75,7.50
43000150,4.60,7.00,4.00,-1,-1,-1,2.50,5.50,7.75
43000151,4.20,7.50,4.00,3.25,4.00,5.50,5.25,5.25,8.75
43000152,6.20,5.25,3.60,4.75,3.75,3.75,4.25,7.00,7.50
43000153,6.40,5.00,3.60,5.75,6.75,3.25,-1,-1,-1
43000154,6.20,6.50,2.60,6.00,3.25,7.25,-1,-1,-1
43000155,4.80,6.75,5.00,-1,-1,-1,4.50,6.25,8.00
43000156,5.80,6.25,5.40,4.25,3.75,5.50,-1,-1,-1
43000157,5.20,7.00,6.40,5.25,5.25,4.50,-1,-1,-1
43000158,4.60,7.00,2.60,-1,-1,-1,5.50,4.75,6.75
43000159,3.60,5.75,3.20,4.50,4.00,4.00,-1,-1,-1
43000160,3.60,5.75,4.00,-1,-1,-1,5.50,5.75,8.25
43000161,6.00,6.00,6.00,7.00,6.75,5.50,-1,-1,-1
