SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
45000001,6.60,6.00,4.00,4.75,5.25,5.50,-1,-1,-1
45000002,6.80,4.00,8.20,5.50,3.00,5.25,-1,-1,-1
45000003,4.60,4.00,3.20,4.00,3.50,5.50,-1,-1,-1
45000004,7.60,5.75,6.60,6.75,7.25,5.00,-1,-1,-1
45000005,6.40,5.25,3.80,6.75,8.25,3.50,-1,-1,-1
45000006,3.80,5.00,3.60,4.00,2.50,4.00,-1,-1,-1
45000007,6.60,6.00,6.60,6.00,5.00,4.25,-1,-1,-1
45000008,6.00,3.50,5.60,5.75,4.75,4.75,-1,-1,-1
45000009,7.00,5.75,4.60,7.00,3.25,5.50,-1,-1,-1
45000010,6.40,5.75,5.40,6.25,3.50,4.25,-1,-1,-1
45000011,5.20,4.50,5.40,6.50,6.00,3.75,-1,-1,-1
45000012,5.00,5.00,3.40,3.50,2.75,3.25,-1,-1,-1
45000013,5.00,5.50,7.00,3.25,5.75,4.25,-1,-1,-1
45000014,3.40,4.00,3.00,2.75,3.25,3.75,-1,-1,-1
45000015,4.40,5.75,3.20,3.50,3.50,3.50,-1,-1,-1
45000016,5.60,6.00,4.20,2.50,5.00,4.75,-1,-1,-1
45000017,6.80,5.00,5.00,5.75,6.25,5.00,-1,-1,-1
45000018,6.40,4.00,5.80,6.25,6.00,3.75,-1,-1,-1
45000019,6.60,5.00,4.00,6.75,5.50,3.75,-1,-1,-1
45000020,5.60,4.25,5.00,5.25,2.75,4.25,-1,-1,-1
45000021,6.00,6.75,7.20,4.50,6.50,6.50,-1,-1,-1
45000022,6.60,5.50,5.80,4.00,7.00,8.00,-1,-1,-1
45000023,6.20,5.75,3.80,6.25,6.00,4.00,-1,-1,-1
45000024,4.60,6.25,4.40,4.25,2.50,4.75,-1,-1,-1
45000025,7.20,6.00,4.40,3.25,7.25,7.50,-1,-1,-1
45000026,5.80,5.75,5.60,5.75,2.00,5.00,-1,-1,-1
45000027,4.60,2.00,3.60,3.75,3.75,4.25,-1,-1,-1
45000028,7.00,4.75,8.00,6.50,4.00,2.25,-1,-1,-1
45000029,6.20,3.25,3.00,7.75,7.00,4.25,-1,-1,-1
45000030,6.60,6.00,6.60,6.00,5.25,4.75,-1,-1,-1
45000031,6.20,3.50,6.00,4.25,5.50,5.50,-1,-1,-1
45000032,1.80,3.00,2.40,1.50,2.00,4.50,-1,-1,-1
45000033,6.80,5.50,4.80,7.00,6.00,4.50,-1,-1,-1
45000034,4.60,6.00,3.20,5.50,5.50,3.50,-1,-1,-1
45000035,5.80,3.50,3.40,7.00,6.75,3.25,-1,-1,-1
45000036,4.20,6.75,6.40,5.25,5.25,4.75,-1,-1,-1
45000037,7.60,6.50,9.60,8.00,3.75,4.25,-1,-1,-1
45000038,8.00,5.75,3.60,3.50,6.00,7.75,-1,-1,-1
45000039,5.20,6.25,4.40,5.75,6.25,3.75,-1,-1,-1
45000040,6.00,5.75,4.00,6.00,6.50,5.75,-1,-1,-1
45000041,7.20,6.25,4.20,7.00,5.75,4.50,-1,-1,-1
45000042,5.80,5.50,2.20,3.00,5.75,1.50,-1,-1,-1
45000043,3.80,4.75,3.00,3.25,5.75,4.50,-1,-1,-1
45000044,8.00,7.25,4.00,6.50,6.75,4.00,-1,-1,-1
45000045,5.20,4.00,5.00,4.50,4.75,4.50,-1,-1,-1
45000046,4.20,6.00,2.20,4.50,3.75,4.25,-1,-1,-1
45000047,5.20,7.00,2.20,4.50,6.50,5.00,-1,-1,-1
45000048,5.60,6.25,4.40,6.75,6.75,4.50,-1,-1,-1
45000049,6.80,6.00,4.20,4.75,5.75,6.50,-1,-1,-1
45000050,6.00,6.25,4.00,5.00,6.75,6.25,-1,-1,-1
45000051,4.40,6.00,6.40,6.25,4.25,4.00,-1,-1,-1
45000052,4.80,7.00,4.20,4.75,5.50,5.25,-1,-1,-1
45000053,6.60,5.00,2.60,5.75,6.25,4.50,-1,-1,-1
45000054,3.40,4.75,5.00,4.25,2.50,2.75,-1,-1,-1
45000055,5.40,6.00,4.20,5.50,7.50,4.75,-1,-1,-1
45000056,5.20,5.00,4.00,3.00,4.75,3.75,-1,-1,-1
45000057,6.80,6.00,4.00,7.25,4.75,3.75,-1,-1,-1
45000058,5.00,6.00,4.00,5.75,5.75,5.00,-1,-1,-1
45000059,3.40,5.00,3.80,2.75,3.50,5.25,-1,-1,-1
45000060,7.40,6.00,4.40,6.75,6.75,4.50,-1,-1,-1
45000061,5.40,5.25,8.20,6.25,6.50,5.75,-1,-1,-1
45000062,5.20,5.00,3.40,3.50,4.00,4.50,-1,-1,-1
45000063,7.40,6.75,7.80,7.25,4.25,3.00,-1,-1,-1
45000064,6.80,7.50,5.60,6.25,6.00,3.75,-1,-1,-1
45000065,6.40,4.25,4.20,5.50,6.00,4.25,-1,-1,-1
45000066,6.00,6.00,4.20,4.00,6.50,4.25,-1,-1,-1
45000067,6.20,6.50,3.40,7.00,5.75,4.25,-1,-1,-1
45000068,5.40,7.50,5.00,4.25,5.25,3.25,-1,-1,-1
45000069,5.80,6.50,4.80,6.25,4.75,4.50,-1,-1,-1
45000070,6.40,4.25,4.00,3.75,5.75,7.00,-1,-1,-1
45000071,5.60,5.25,2.60,5.75,4.25,3.25,-1,-1,-1
45000072,5.40,6.00,2.60,2.75,7.00,7.00,-1,-1,-1
45000073,7.20,7.50,2.20,4.75,5.75,6.25,-1,-1,-1
45000074,6.20,4.00,3.60,7.00,6.00,3.75,-1,-1,-1
45000075,5.60,4.50,3.20,5.00,4.50,4.25,-1,-1,-1
45000076,6.20,6.00,6.40,4.75,4.50,2.50,-1,-1,-1
45000077,6.00,5.75,6.00,3.25,5.75,4.25,-1,-1,-1
45000078,6.20,5.75,2.60,3.75,4.75,5.50,-1,-1,-1
45000079,5.40,4.25,2.80,7.00,5.25,3.25,-1,-1,-1
45000080,4.60,4.00,4.80,3.25,4.50,5.75,-1,-1,-1
45000081,5.00,3.50,3.20,4.00,2.25,3.50,-1,-1,-1
45000082,5.00,5.75,2.60,5.25,3.75,4.50,-1,-1,-1
45000083,7.00,5.75,4.60,5.75,5.00,3.75,-1,-1,-1
45000084,6.80,2.75,3.60,6.75,7.25,3.25,-1,-1,-1
45000085,5.40,6.25,3.80,5.25,5.25,1.75,-1,-1,-1
45000086,6.40,6.75,6.80,3.00,3.50,4.50,-1,-1,-1
45000087,7.40,5.75,4.80,5.50,7.50,3.25,-1,-1,-1
45000088,5.60,5.25,4.80,6.50,3.50,4.00,-1,-1,-1
45000089,7.40,5.75,2.80,6.00,6.75,5.50,-1,-1,-1
45000090,6.20,5.50,6.80,6.25,4.75,4.25,-1,-1,-1
45000091,6.00,6.50,3.80,4.25,5.50,5.00,-1,-1,-1
45000092,5.40,4.50,3.20,5.50,3.25,3.50,-1,-1,-1
45000093,6.20,4.25,3.40,4.50,5.50,2.25,-1,-1,-1
45000094,6.20,6.25,4.40,5.50,7.00,5.25,-1,-1,-1
45000095,5.80,7.25,5.40,3.25,7.25,6.25,-1,-1,-1
45000096,7.20,6.75,3.20,7.00,7.00,6.00,-1,-1,-1
45000097,4.40,6.00,2.20,4.25,4.50,5.50,-1,-1,-1
45000098,4.60,7.00,3.00,3.75,3.50,4.00,-1,-1,-1
45000099,5.60,4.75,2.20,3.75,5.25,6.00,-1,-1,-1
45000100,5.20,3.75,4.20,4.25,3.00,2.75,-1,-1,-1
45000101,6.20,6.25,6.40,5.00,4.00,4.50,-1,-1,-1
45000102,8.00,6.00,6.20,7.50,5.25,4.50,-1,-1,-1
45000103,5.80,5.75,3.40,5.75,5.00,4.50,-1,-1,-1
45000104,4.40,5.25,3.80,3.25,2.50,3.50,-1,-1,-1
45000105,4.00,4.75,2.00,4.00,2.50,4.75,-1,-1,-1
45000106,6.40,5.00,4.00,6.25,6.75,6.50,-1,-1,-1
45000107,6.60,3.25,4.40,6.25,4.75,3.50,-1,-1,-1
45000108,5.00,5.75,2.80,3.00,3.25,4.50,-1,-1,-1
45000109,6.20,6.50,3.80,6.00,6.75,5.00,-1,-1,-1
45000110,6.00,5.00,5.60,6.50,5.00,7.00,-1,-1,-1
45000111,6.60,3.25,2.60,7.75,6.75,3.75,-1,-1,-1
45000112,6.80,3.75,4.00,6.50,5.25,3.75,-1,-1,-1
45000113,5.40,4.50,4.60,6.25,6.25,6.25,-1,-1,-1
45000114,6.40,4.25,3.20,5.50,7.00,4.75,-1,-1,-1
45000115,5.60,5.75,3.40,5.25,5.75,3.00,-1,-1,-1
45000116,6.00,7.00,4.20,5.50,7.00,2.25,-1,-1,-1
