SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
48000001,5.60,8.00,6.20,5.25,5.00,2.75,-1,-1,-1
48000002,6.20,5.50,6.40,4.25,4.00,3.50,-1,-1,-1
48000003,7.20,4.75,7.60,7.00,3.75,5.75,-1,-1,-1
48000004,6.00,2.75,6.40,6.00,5.75,4.25,-1,-1,-1
48000005,4.20,5.50,4.80,-1,-1,-1,3.25,5.25,6.50
48000006,6.40,5.00,3.80,6.25,6.00,5.00,-1,-1,-1
48000007,6.40,7.50,6.00,-1,-1,-1,3.00,5.25,8.50
48000008,5.60,5.50,2.80,7.50,4.50,3.75,-1,-1,-1
48000009,4.20,4.00,4.20,-1,-1,-1,3.25,4.75,7.00
48000010,7.60,5.00,7.00,7.50,5.00,5.50,-1,-1,-1
48000011,6.60,5.50,7.40,5.00,4.25,5.25,-1,-1,-1
48000012,6.00,6.25,7.60,5.25,2.25,3.00,-1,-1,-1
48000013,5.60,7.00,9.00,-1,-1,-1,4.00,6.00,8.00
48000014,7.40,6.00,7.00,6.75,8.25,5.25,-1,-1,-1
48000015,5.60,6.50,5.40,-1,-1,-1,3.00,5.75,8.25
48000016,7.60,6.25,9.00,7.50,3.75,4.50,-1,-1,-1
48000017,5.00,4.50,2.60,-1,-1,-1,2.75,5.75,6.75
48000018,6.80,4.25,7.20,7.25,3.50,5.00,-1,-1,-1
48000019,5.80,5.50,4.40,4.00,6.50,2.75,-1,-1,-1
48000020,5.80,5.75,5.00,6.50,5.00,5.50,-1,-1,-1
48000021,6.60,7.00,5.40,3.50,5.50,7.00,-1,-1,-1
48000022,7.40,3.75,4.40,7.25,7.00,4.25,-1,-1,-1
48000023,6.80,7.00,7.60,-1,-1,-1,6.00,5.75,8.00
48000024,7.40,3.00,5.60,7.50,3.75,3.75,-1,-1,-1
48000025,7.00,8.00,6.60,6.00,4.25,4.75,-1,-1,-1
48000026,5.80,5.75,6.00,-1,-1,-1,4.25,7.25,8.50
48000027,5.60,7.50,5.60,-1,-1,-1,4.25,6.25,7.50
48000028,5.80,7.50,6.80,-1,-1,-1,3.50,5.25,7.50
48000029,6.40,7.25,8.20,-1,-1,-1,4.50,5.75,7.50
48000030,4.80,5.75,2.20,-1,-1,-1,2.50,4.75,7.50
48000031,5.20,7.50,6.20,-1,-1,-1,7.00,6.50,7.25
48000032,6.20,4.00,6.80,7.25,5.50,5.00,-1,-1,-1
48000033,5.80,5.25,4.40,-1,-1,-1,5.50,7.00,8.25
48000034,7.60,4.75,3.60,7.25,7.00,5.00,-1,-1,-1
48000035,5.20,5.50,3.60,-1,-1,-1,4.25,4.75,7.75
48000036,6.40,4.75,7.00,4.50,5.50,5.25,-1,-1,-1
48000037,6.20,3.50,4.80,6.75,6.75,4.00,-1,-1,-1
48000038,6.80,4.25,7.00,7.00,4.50,4.25,-1,-1,-1
48000039,6.00,5.50,6.60,4.50,4.50,2.75,-1,-1,-1
48000040,4.20,4.25,3.00,-1,-1,-1,3.50,5.25,6.75
48000041,5.80,5.00,8.40,2.50,3.25,7.25,-1,-1,-1
48000042,4.00,3.25,-1,-1,-1,-1,5.00,7.50,-1
48000043,5.80,3.75,5.80,3.50,6.50,6.25,-1,-1,-1
48000044,6.60,6.00,3.80,5.00,4.75,2.50,-1,-1,-1
48000045,5.40,5.50,5.40,3.75,3.25,4.50,-1,-1,-1
48000046,6.00,6.50,7.80,-1,-1,-1,4.00,6.75,9.25
48000047,5.20,5.25,6.20,-1,-1,-1,3.50,4.50,6.75
48000048,6.00,5.00,5.40,5.75,4.50,4.25,-1,-1,-1
48000049,4.40,5.50,4.40,4.50,5.50,3.75,-1,-1,-1
