SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
59000001,4.80,5.75,4.80,5.00,3.00,4.00,-1,-1,-1
59000002,5.80,6.50,4.00,-1,-1,-1,2.00,6.00,7.00
59000003,4.80,3.50,-1,-1,-1,-1,2.75,5.25,-1
59000004,7.00,7.00,5.40,6.75,5.25,6.25,-1,-1,-1
59000005,2.60,3.00,-1,-1,-1,-1,1.50,5.75,-1
59000006,5.40,7.00,4.40,3.75,5.50,5.75,-1,-1,-1
59000007,6.20,5.00,3.60,-1,-1,-1,3.50,6.50,5.75
59000008,6.00,4.25,3.60,3.75,4.50,5.50,-1,-1,-1
59000009,3.80,4.75,2.80,4.50,5.25,5.00,-1,-1,-1
59000010,6.40,2.50,-1,4.00,3.00,3.25,-1,-1,-1
59000011,5.00,6.50,4.40,5.00,3.75,4.00,-1,-1,-1
59000012,5.60,6.00,7.00,-1,-1,-1,3.25,6.75,6.50
59000013,5.80,6.00,6.00,2.00,3.00,5.00,-1,-1,-1
59000014,4.80,4.00,3.60,1.50,3.50,5.50,-1,-1,-1
59000015,4.00,6.50,3.60,-1,-1,-1,4.25,5.00,7.75
59000016,5.40,4.75,5.60,-1,-1,-1,3.25,5.75,7.00
59000017,5.60,4.50,3.80,4.75,4.50,4.00,-1,-1,-1
59000018,6.00,6.50,5.60,5.00,4.75,4.00,-1,-1,-1
59000019,6.20,6.50,3.60,5.25,4.75,7.00,-1,-1,-1
59000020,6.20,6.00,4.00,5.50,4.00,4.00,-1,-1,-1
59000021,7.40,6.50,4.60,7.75,7.00,6.25,-1,-1,-1
59000022,4.20,4.50,5.20,4.25,3.75,4.50,-1,-1,-1
59000023,6.00,6.75,4.60,5.50,5.00,5.00,-1,-1,-1
59000024,5.20,6.25,3.00,3.50,2.75,2.50,-1,-1,-1
59000025,5.80,6.00,4.00,3.50,3.50,4.75,-1,-1,-1
59000026,6.20,7.50,7.00,-1,-1,-1,3.75,6.75,7.00
59000027,6.00,7.75,5.20,-1,-1,-1,5.50,8.00,7.75
59000028,7.20,5.25,6.80,5.75,5.50,5.75,-1,-1,-1
59000029,5.60,6.50,4.20,6.50,4.25,4.25,-1,-1,-1
59000030,6.40,5.00,4.40,6.25,5.75,6.25,-1,-1,-1
59000031,4.20,5.50,-1,-1,-1,-1,3.75,3.00,-1
59000032,5.60,5.00,4.60,5.00,5.75,6.00,-1,-1,-1
59000033,7.20,5.50,3.40,5.50,5.75,5.25,-1,-1,-1
59000034,5.20,5.50,2.60,6.25,4.50,3.75,-1,-1,-1
59000035,5.40,7.00,8.80,4.00,4.75,6.50,-1,-1,-1
59000036,2.20,4.25,-1,-1,-1,-1,3.25,5.75,-1
59000037,3.40,5.75,-1,-1,-1,-1,4.25,5.75,-1
59000038,6.20,7.00,4.80,-1,-1,-1,5.75,6.75,8.50
59000039,5.20,7.00,3.20,4.25,2.50,5.00,-1,-1,-1
59000040,5.20,6.00,4.20,5.50,4.25,3.75,-1,-1,-1
59000041,5.60,4.75,-1,3.75,4.50,3.50,-1,-1,-1
59000042,3.60,6.00,1.80,5.25,4.00,5.00,-1,-1,-1
59000043,6.60,6.00,6.40,6.50,3.00,3.25,-1,-1,-1
59000044,5.80,6.25,4.60,4.50,5.25,5.50,-1,-1,-1
59000045,6.80,5.75,7.60,6.25,4.00,5.50,-1,-1,-1
59000046,5.60,6.50,4.00,5.00,3.00,4.00,-1,-1,-1
59000047,6.00,6.50,5.40,-1,-1,-1,5.25,7.50,9.00
59000048,3.20,3.00,-1,-1,-1,-1,3.50,2.75,-1
59000049,5.40,5.50,5.40,5.00,4.75,4.50,-1,-1,-1
59000050,5.60,6.00,5.40,-1,-1,-1,5.50,5.75,8.50
59000051,5.60,4.25,5.40,5.50,4.25,3.75,-1,-1,-1
