SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
61000001,4.80,6.75,3.40,5.25,3.75,4.75,-1,-1,-1
61000003,3.80,4.75,4.20,-1,-1,-1,6.25,6.75,8.00
61000004,6.60,6.50,4.80,-1,-1,-1,5.75,7.25,9.25
61000005,4.00,4.25,3.40,-1,-1,-1,2.00,5.50,6.75
61000006,4.60,5.00,2.40,-1,-1,-1,4.00,5.50,7.75
61000007,2.40,3.00,-1,-1,-1,-1,4.25,-1,-1
61000008,5.60,5.50,3.60,-1,-1,-1,5.00,6.25,9.00
61000009,2.60,4.25,-1,-1,-1,-1,3.25,-1,-1
61000010,4.40,5.50,3.20,3.00,4.75,6.25,-1,-1,-1
61000011,8.20,4.00,3.60,7.50,7.00,5.75,-1,-1,-1
61000012,5.20,7.50,5.40,-1,-1,-1,5.75,6.50,9.00
61000013,5.20,9.50,6.40,4.25,4.75,5.50,-1,-1,-1
61000014,5.00,6.00,5.00,3.75,4.25,5.25,-1,-1,-1
61000015,4.80,6.50,3.80,4.00,4.75,3.25,-1,-1,-1
61000016,2.00,6.25,2.40,-1,-1,-1,3.50,3.75,7.50
61000017,4.60,6.50,4.00,4.75,3.75,5.00,-1,-1,-1
61000018,5.60,6.75,4.00,5.25,4.50,5.00,-1,-1,-1
61000019,5.20,4.00,4.00,-1,-1,-1,4.50,3.50,5.25
61000020,2.60,5.25,3.40,-1,-1,-1,3.00,3.00,6.50
61000021,4.80,6.75,2.80,-1,-1,-1,2.50,5.00,6.25
61000022,3.60,6.25,3.60,-1,-1,-1,4.50,5.75,8.00
61000023,6.40,6.50,4.00,4.50,4.75,6.00,-1,-1,-1
61000024,4.00,6.00,2.60,-1,-1,-1,2.50,5.25,8.00
61000025,6.60,6.00,7.20,6.00,5.50,3.25,-1,-1,-1
61000026,3.80,5.25,2.40,-1,-1,-1,4.00,4.75,6.75
61000027,3.60,5.00,3.60,-1,-1,-1,3.75,5.25,7.25
