SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
01000029,7.20,5,6.80,6,4.50,4,-1,-1,-1
01000030,6.20,6.25,8,5,4.50,3.75,-1,-1,-1
01000031,6.80,5.75,7.20,-1,-1,-1,4.25,5.50,7
01000032,5.80,4.50,9,-1,-1,-1,7,6.50,7
01000033,7,5.50,3.60,-1,-1,-1,5.25,7.50,8.50
01000034,7,6,7.20,-1,-1,-1,3.75,6.50,7.75
01000035,7.20,4.25,7.40,4.75,6.25,6.25,-1,-1,-1
01000036,6.60,6,8.20,6.50,3.25,5.25,-1,-1,-1
01000037,4.60,3,-1,-1,-1,-1,4,-1,-1
01000038,8,7.50,9.60,-1,-1,-1,5.25,6.25,7
01000039,7.60,7,8,-1,-1,-1,4.25,6.75,7.75
01000040,6.20,6,6,-1,-1,-1,5,7.75,7.75
01000041,6.20,8.50,8.60,-1,-1,-1,3.75,7.25,8.25
01000042,3.40,3.25,2.80,-1,-1,-1,4,6,7
01000043,7.80,-1,-1,6,4.50,-1,-1,-1,-1
01000044,7.60,6.75,9.40,-1,-1,-1,3,5.75,8
01000045,7.80,5,8.20,7,3.75,3.50,-1,-1,-1
01000046,4.60,5.50,4.60,-1,-1,-1,3.50,5.75,7.50
01000047,-1,7.25,6.60,-1,-1,-1,6.25,9,6.25
01000048,6.80,6.50,8,-1,-1,-1,4.75,6.75,8.25
01000049,4.20,6.25,8.40,-1,-1,-1,7.75,8.25,8
01000050,6.20,4.75,9.40,6.75,7,5.75,-1,-1,-1
01000051,8.20,3,3.40,5.75,6.75,4.25,-1,-1,-1
01000052,7.20,5,8.60,4.25,6.50,3.50,-1,-1,-1
01000053,9,7.25,9.20,8,7,2.75,-1,-1,-1
01000054,7.40,6,9.60,-1,-1,-1,5.25,7.50,8
01000055,7.80,6.25,8,-1,-1,-1,4.75,7,7.75
01000056,8,4,9.40,7,8,5.25,-1,-1,-1
01000057,7,7,6.20,-1,-1,-1,4.75,6,9
01000058,4.20,6.25,4,-1,-1,-1,5.75,6.75,8.50
01000059,7.20,6,8.80,7.25,4.25,4,-1,-1,-1
01000060,7.40,4.25,7.60,4.25,3.50,3.50,-1,-1,-1
01000061,6.80,5,-1,6.25,2.25,4.50,3,3.75,-1
01000062,7,7,7.20,-1,-1,-1,3.25,5.75,7.25
01000063,5.80,5.25,4.60,-1,-1,-1,3.75,5.50,7
01000064,7.40,6.75,7.60,-1,-1,-1,4,6.75,7.25
01000065,4.60,5.50,2.60,-1,-1,-1,6.25,6.25,8.75
01000066,6.40,4.75,8,6.25,6,2.50,-1,-1,-1
01000067,5.40,6.25,2.40,-1,-1,-1,3.25,6.50,8.25
01000068,6.40,5.50,7.40,-1,-1,-1,6,5.50,7.75
01000069,8.80,6.50,8.60,7.50,5,5.25,-1,-1,-1
01000070,8.60,6.25,9.60,6.50,5.50,6,-1,-1,-1
01000071,7.80,7,7,-1,-1,-1,2,4.75,7
01000072,3,4.75,3.80,-1,-1,-1,3,5,7.50
01000073,6.60,5.25,5.60,7.25,2.75,2.25,-1,-1,-1
01000074,3.60,4.50,2.80,-1,-1,-1,1.75,4.75,5.75
01000075,6.40,7.25,9.20,-1,-1,-1,4.75,8.75,8.50
01000076,3.80,6.25,3.20,-1,-1,-1,3.50,5.50,6.75
01000077,5.20,3,7.80,-1,-1,-1,6.25,8.25,7.25
01000078,8.40,5,5.20,8,7.75,5.25,-1,-1,-1
01000079,7,8,8.60,-1,-1,-1,4.75,6.75,7
01000080,2.60,4,-1,2.50,2,4.25,5,6,-1
01000081,7,7.25,8.20,-1,-1,-1,5.75,8,8.25
01000082,3.60,5.25,3.20,2.75,3,3.50,-1,-1,-1
01000083,7.20,6.25,7.60,-1,-1,-1,4,5.50,7
01000084,3.80,1.75,2.60,2.25,2,2.25,2.50,5.75,-1
01000085,4,3.25,-1,3.25,2.50,2.50,4.25,4,-1
01000086,8,7,8.80,-1,-1,-1,5.25,7.75,8.25
01000087,8.80,4,-1,8.25,7.50,4.75,-1,-1,-1
01000088,6,5.50,4.60,-1,-1,-1,4.25,5.75,8.50
01000089,1.80,3.50,-1,3.25,3.25,3,3.25,6.50,-1
01000090,6.40,5.50,3.20,-1,-1,-1,5,7.50,7
01000091,8,6.75,8.80,-1,-1,-1,6.25,7.50,6.75
01000092,7.80,7.25,7.60,-1,-1,-1,8,7,8.50
01000093,3.80,6.25,4.20,-1,-1,-1,7,7.75,9
01000094,7.60,7.50,9.20,-1,-1,-1,6.50,8.25,8.25
01000095,7.80,5.50,8.20,-1,-1,-1,4.50,6.25,7
01000096,7,5,9.40,-1,-1,-1,8.50,6.75,8
01000097,7.40,6.25,-1,4.75,5.50,5.50,-1,-1,-1
01000098,8.20,6.50,9.20,-1,-1,-1,4.25,6,6.25
01000099,2,3.50,-1,3,1.50,2.75,2.50,6.25,-1
01000100,6.60,5.50,9.20,-1,-1,-1,4.75,6.25,8.50
01000101,8.40,7.50,9.80,7,5,5.75,-1,-1,-1
01000102,8.60,5,7.60,7.75,7.75,4.50,-1,-1,-1
01000103,7.60,5.50,7.60,7.50,4.50,6.25,-1,-1,-1
01000104,5.80,6.50,7,-1,-1,-1,3,6,8
01000105,9,7,8.60,-1,-1,-1,3.50,6.50,6.50
01000106,8,7.25,8.80,-1,-1,-1,6,6.75,8.25
01000107,6,5,3.80,-1,-1,-1,5.75,7.75,7.25
01000108,8.40,7.25,8.60,-1,-1,-1,5.75,7.50,6.50
01000109,8.20,6.75,6.60,-1,-1,-1,2,5.50,6.50
01000110,5.60,6.50,8.40,-1,-1,-1,4,6.50,7.25
01000111,4.60,4.50,6.20,-1,-1,-1,4.25,4.75,7.75
01000112,6.80,7.75,7.40,-1,-1,-1,3.50,7.50,7.50
01000113,8.40,7,5.80,-1,-1,-1,4.25,6.75,8.25
01000114,8.40,6.25,9.40,3.25,6.25,5.75,-1,-1,-1
01000115,7,6.50,7.40,6,7.25,4,-1,-1,-1
01000116,7.40,7,6.40,5.25,5.75,4.50,-1,-1,-1
01000117,4,4,2.40,-1,-1,-1,3,5.25,7
01000118,2.60,4.25,-1,-1,-1,-1,5,-1,-1
01000119,4.60,-1,-1,4.50,3.75,-1,-1,-1,-1
01000120,4.20,5,6.60,-1,-1,-1,3.75,5.50,8.75
01000121,7.40,4.75,6.20,-1,-1,-1,4.75,6.25,8.50
01000122,7.80,5.50,7.20,7,7.25,5,-1,-1,-1
01000123,7.60,7,8.20,6,7.75,3.75,-1,-1,-1
01000124,7,6.75,7.20,-1,-1,-1,3.50,6,7.75
01000125,7,6,8.80,-1,-1,-1,4.50,5.50,7
01000126,7.60,7,8.20,-1,-1,-1,5,6.25,6.50
01000127,5.40,3.50,8,4.50,5,4.50,-1,-1,-1
01000128,8,5,5.80,7.50,3.50,4.50,-1,-1,-1
01000129,7.20,8,9.80,-1,-1,-1,4.75,5.75,8.25
01000130,6.60,6.25,6.80,-1,-1,-1,3.25,6,7.25
01000131,8.80,5.75,7,8,7.50,5.25,-1,-1,-1
01000132,7.80,7.75,9,-1,-1,-1,4.50,8.25,7.50
01000133,6.60,4,4.60,5.75,7.75,4.25,-1,-1,-1
01000134,4,5,8.20,-1,-1,-1,3.25,7.25,7.25
01000135,7.40,7.25,7.20,-1,-1,-1,4.25,5,8.50
01000136,7,4.50,2.80,-1,-1,-1,2.25,5.75,6.75
01000137,6.80,6.50,4.80,-1,-1,-1,2.50,6.75,7.75
01000138,6.20,6.50,4.80,-1,-1,-1,4.50,6.25,7.25
01000139,7.40,5.08,7.60,-1,-1,-1,5,5.50,7.75
01000140,7.60,7,8.80,-1,-1,-1,5.50,6.75,7.50
01000141,7.20,5.50,6,6.25,6.50,4,-1,-1,-1
01000142,6.80,6.50,7,3.75,6.25,3.50,-1,-1,-1
01000143,6.40,7.75,6.40,-1,-1,-1,2.50,5.50,6.75
01000144,5.80,5,3.80,-1,-1,-1,4.50,7.25,7.25
01000145,7,7.75,6.60,-1,-1,-1,2.75,5.75,6.75
01000146,7.80,7,7,6.25,6.25,4.25,-1,-1,-1
01000147,7.40,7,7.80,-1,-1,-1,6.50,8,8.25
01000148,4.80,3.75,6,3,2.25,1.75,3,5.50,-1
01000149,7,6,9.20,7.50,4.25,4.25,-1,-1,-1
01000150,3,2.75,3.80,-1,-1,-1,4.25,5.75,5.75
01000151,7.20,5,7.20,4.75,6.25,4.25,-1,-1,-1
01000152,4.80,8.25,6.40,-1,-1,-1,8.50,8.50,7.25
01000153,7.20,7,6.60,-1,-1,-1,5.50,6.75,8
01000154,7.20,8,9.40,-1,-1,-1,4.50,6.25,7.25
01000155,6.60,8.25,7,-1,-1,-1,7.25,8.25,8.50
01000156,6,5,6.20,5.25,5.75,4.50,-1,-1,-1
01000157,7.60,4.25,4.20,7,7.25,3.50,-1,-1,-1
01000158,5.80,5.25,7.20,-1,-1,-1,3.75,4.25,7
01000159,3.60,5.25,5.40,-1,-1,-1,3.50,6.50,8.75
01000160,7.20,6.25,5,5.50,3.50,4.75,-1,-1,-1
01000161,2.80,5,-1,3.75,2.25,3.25,4.75,6.50,-1
01000162,6.40,7,6.40,-1,-1,-1,-1,-1,-1
01000163,2.40,7.50,-1,3,4.50,2.75,2.50,6.75,-1
01000164,6.20,7,8.20,-1,-1,-1,5.50,6.75,9.25
01000165,8.60,6.25,7.60,-1,-1,-1,5.75,6.75,7.75
01000166,7.20,5.25,5,-1,-1,-1,4.25,6.25,5.75
01000167,6.60,6.50,5.80,-1,-1,-1,4.25,5.25,8
01000168,7.60,5.75,-1,-1,-1,-1,5.25,6.25,7.25
01000169,3.40,6.25,6.20,-1,-1,-1,4.75,6.50,9
01000170,8.40,5.75,8.20,7,8,4.75,-1,-1,-1
01000171,6.60,7,4.80,-1,-1,-1,6.25,6.75,7.75
01000172,6.80,7.75,8,-1,-1,-1,4.50,6.50,7.25
01000173,7,8.25,7.40,-1,-1,-1,7,8.25,10
01000174,6.60,5.75,8.80,-1,-1,-1,3,6.50,6.75
01000175,6.60,6.25,4.80,-1,-1,-1,5.50,7.50,9
01000176,5.20,6.50,6.80,-1,-1,-1,3.75,6,6.25
01000177,7.40,6,3.60,5.50,6.50,4.75,-1,-1,-1
01000178,7,7.75,-1,-1,-1,-1,5.50,6.75,7.50
01000179,2,3,7.40,-1,-1,-1,3.75,7,7.75
01000180,8.20,7.75,8.20,7.50,3.75,5,-1,-1,-1
01000181,5.40,6.75,4.80,-1,-1,-1,2.50,6,6.25
01000182,5.60,6.75,7.20,4.50,2,3.50,-1,-1,-1
01000183,7.60,7.25,7.80,-1,-1,-1,3.75,5,6.75
01000184,6,6.50,7.40,-1,-1,-1,4.50,6.75,7
01000185,8.80,8.50,8.60,-1,-1,-1,6.25,8.25,9
01000186,4,4.50,7.40,-1,-1,-1,3.75,6.25,6
01000187,2.60,5,-1,-1,-1,-1,3.75,-1,-1
01000188,7.20,5,6.80,4.50,5.50,4.50,-1,-1,-1
01000189,8.40,7,7.40,-1,-1,-1,3.50,7.25,6.75
01000190,8,6.25,9.40,-1,-1,-1,6.25,5.75,7.25
01000191,6,7.50,8.20,-1,-1,-1,4.75,6.25,8.75
01000192,7.80,7.75,7.40,-1,-1,-1,4.50,7.50,8
01000193,6.40,5,6.20,-1,-1,-1,3.50,4.75,9
01000194,8,6.75,9,-1,-1,-1,5.75,7.50,9
01000195,8.60,8,9,-1,-1,-1,6,7.25,7
01000196,5.40,7,6.60,5.25,6.50,4,-1,-1,-1
01000197,7.80,8,6.20,-1,-1,-1,8,7,9.25
01000198,6.60,3.75,7,-1,-1,-1,4.75,6.25,8
01000199,7.20,8.50,8.60,-1,-1,-1,7,6.75,8.50
01000200,7.40,5.50,9,-1,-1,-1,2.25,7.50,7.25
01000201,7.40,4.50,3.40,6,5.75,3,-1,-1,-1
01000202,6.40,5.50,8.40,-1,-1,-1,3.50,4.75,7
01000203,8.40,5,-1,3.50,5,7.50,-1,-1,-1
01000204,5.20,6.75,6.20,-1,-1,-1,3.25,7.25,8.50
01000205,2.60,1.25,-1,1.25,3,2.50,2.25,4.25,-1
01000206,3.80,6.75,3.60,-1,-1,-1,5.50,7.50,9
01000207,-1,6.50,-1,-1,-1,-1,7.50,6.25,-1
01000208,6.60,8.25,7.60,-1,-1,-1,4.25,5.75,8.50
01000209,7.20,8,7.40,-1,-1,-1,4.50,8.25,9
01000210,8.60,7.25,9.40,-1,-1,-1,7.75,8,9.50
01000211,6.80,7.75,8,-1,-1,-1,4.75,7.50,8.75
01000212,7.20,7.25,6.40,-1,-1,-1,4.50,7.25,7.50
01000213,6.40,-1,-1,5,4.75,-1,-1,-1,-1
01000214,7.20,5.75,8.40,7.50,6.50,5.25,-1,-1,-1
01000215,7.60,7.50,8.60,-1,-1,-1,8,7.75,8.50
01000216,7.60,7.25,7,-1,-1,-1,4.75,7.25,8.25
01000217,5.40,6.75,3.80,-1,-1,-1,2,6.50,7.25
01000218,8,6.25,9.80,-1,-1,-1,6.25,7,8
01000219,8.60,4.75,5.20,8.75,7.50,5.25,-1,-1,-1
01000220,3.60,3.50,4.60,-1,-1,-1,3.75,6.75,8.50
01000221,7,7.75,8.60,-1,-1,-1,4.75,8.25,9
01000222,7.60,7.25,9.20,-1,-1,-1,4.75,6,6.25
01000223,8.60,7,7.80,6.75,4.75,5.50,-1,-1,-1
01000224,7.40,7.25,7.60,-1,-1,-1,3.75,7,7.75
01000225,7.20,6.50,6.60,-1,-1,-1,4.50,5.50,6.50
01000226,8.20,4,8.80,7.50,4.25,6.50,-1,-1,-1
01000227,7.20,5.50,7.80,-1,-1,-1,4,7.75,8.75
01000228,6.20,5.75,5.20,-1,-1,-1,2.25,5.50,8.50
01000229,6.20,6,8.20,-1,-1,-1,5,8,8.25
01000230,6.80,6.50,9.40,-1,-1,-1,5.25,7.50,7.50
01000231,6.40,6.25,5.60,5.25,6,4.25,-1,-1,-1
01000232,7.80,5.25,7.80,6.50,7.75,2.50,-1,-1,-1
01000233,2.80,4.75,-1,-1,-1,-1,4.25,-1,-1
01000234,8.40,5.50,7.80,7.50,3.25,3.50,-1,-1,-1
01000235,8.40,6,8.80,-1,-1,-1,7,7.50,7.50
01000236,4,7.50,5.60,-1,-1,-1,6.25,5.50,8.25
01000237,2.20,4.25,-1,-1,-1,-1,4.25,-1,-1
01000238,6,5.50,5.40,-1,-1,-1,4.50,7,7.50
01000239,3.80,5.75,3.60,-1,-1,-1,2.25,6.50,5.75
01000240,1.60,3.75,-1,-1,-1,-1,2.25,-1,-1
01000241,7.20,6.25,6.80,8.75,6.50,3.75,-1,-1,-1
01000242,2.80,6.50,3.40,-1,-1,-1,4.25,6.25,6.25
01000243,3.80,4.50,3.40,-1,-1,-1,2.25,4.75,7
01000244,7,6.75,5.80,-1,-1,-1,5.25,7,7.75
01000245,7.20,6.50,7.20,-1,-1,-1,4.25,6,8
01000246,4.40,4.75,-1,-1,-1,-1,7.25,-1,-1
01000247,7.20,6.25,9.60,5,6.50,4,-1,-1,-1
01000248,7.40,6.75,5.60,-1,-1,-1,4.75,6.50,6.50
01000249,7.40,7.25,9,-1,-1,-1,6.50,8,8.25
01000250,9,8,9.60,-1,-1,-1,6.25,7.75,8.25
01000251,6.60,6.25,7.20,-1,-1,-1,3.75,7.50,8.25
01000252,6.20,6,-1,-1,-1,-1,4.25,6,7.50
01000253,8.40,6.25,9.60,7.25,7.25,6,-1,-1,-1
01000254,8,6.50,9,-1,-1,-1,5,6.50,7
01000255,5.80,5.50,6.60,4.75,6.50,3.75,-1,-1,-1
01000256,6,4,7,4.75,4.75,4.25,-1,-1,-1
01000257,6.20,5.25,-1,-1,-1,-1,3,6.75,9.25
01000258,8.20,5,4.60,5.75,5,4,-1,-1,-1
01000259,7.40,3.50,9,7.50,4.25,4.75,4.25,4.50,7.25
01000260,8.20,3.75,3.80,6.25,7.25,3.75,-1,-1,-1
01000261,7.80,3.25,3.20,7,6.25,4,-1,-1,-1
