SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
02000001,7,6,4.80,4.50,5,3.25,-1,-1,-1
02000002,5.80,5,6.40,6.25,5,5.25,-1,-1,-1
02000003,7.40,6.25,8.80,-1,-1,-1,7.25,8.25,8.75
02000004,7.60,7.75,9.20,6.50,6,5,-1,-1,-1
02000005,7.40,6.25,7,-1,-1,-1,5.50,7.25,7.75
02000006,8.80,6.50,9.40,7.75,6.25,5,-1,-1,-1
02000007,7,5.50,6,3.75,7.50,6,-1,-1,-1
02000008,5.80,6,5.80,3.75,3,4.50,-1,-1,-1
02000009,5.60,5.50,7.20,-1,-1,-1,3,6.25,8
02000010,7,6.25,7.80,4.25,5.50,3.75,-1,-1,-1
02000011,6.80,6.50,9.60,-1,-1,-1,5.50,6.50,8.25
02000012,7,6.25,8.20,5.75,6,3,-1,-1,-1
02000013,4.60,5.75,8.20,4.25,3.75,3,-1,-1,-1
02000014,6.40,7.25,7.40,-1,-1,-1,4,6.25,7.50
02000015,3.60,5.75,3.80,-1,-1,-1,2.75,6.25,7.25
02000016,7,5.25,7.60,4.75,7.50,6.50,-1,-1,-1
02000017,7.20,6.25,8.60,6.50,5.50,5.75,-1,-1,-1
02000018,7.20,6.50,6.40,6.50,4.75,3.50,-1,-1,-1
02000019,7,7.25,7.40,-1,-1,-1,6,6.50,7.25
02000020,6.20,7,8.40,6.50,5.25,3.50,-1,-1,-1
02000021,5.80,7,7.20,-1,-1,-1,5.75,7,9
02000022,6.20,6.75,8.60,5,4.25,5.50,-1,-1,-1
02000023,8,6.25,5.80,7.25,5.75,3,-1,-1,-1
02000024,4.80,4.50,4.40,4.75,3.25,3,-1,-1,-1
02000025,6.60,6.25,8.60,5.25,6,4.50,-1,-1,-1
02000026,6.40,6.75,7.40,4,5,5.50,-1,-1,-1
02000027,8,7.25,8.20,3.50,6.75,4.25,-1,-1,-1
02000028,6.60,6,5.20,4.75,6.25,6.25,-1,-1,-1
02000029,5.80,4,9,4.50,4.50,4.25,-1,-1,-1
02000030,7.40,5,8.40,7.25,4,6,-1,-1,-1
02000031,8.40,6,5.60,8.25,6.75,5.25,-1,-1,-1
02000032,6.40,6.50,8,4,3.75,3.25,-1,-1,-1
02000033,6.60,5.75,7,6.25,5,3.75,-1,-1,-1
02000034,7.60,6.50,4.40,7.25,7,4.50,-1,-1,-1
02000035,7.20,6,6.40,-1,-1,-1,5,6.75,8.75
02000036,7.20,7.25,7.40,-1,-1,-1,6.75,8,8.50
02000037,7.60,6.25,9,7.75,6.50,5,-1,-1,-1
