SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
03000001,4.80,6.50,3.80,-1,-1,-1,4.25,6.50,8.75
03000002,3,2.25,-1,-1,-1,-1,2.75,3,-1
03000003,3.20,2.50,-1,-1,-1,-1,2.25,3.75,-1
03000004,5.80,3.25,-1,-1,-1,-1,2.50,5.50,-1
03000005,6.80,6,8.60,6,3.50,4.25,-1,-1,-1
03000006,7.60,5.75,7.20,6.50,5.50,4.25,-1,-1,-1
03000007,8,8,7.60,-1,-1,-1,6.25,7.75,9.50
03000008,9.40,6.50,7.60,7.25,8.25,8,-1,-1,-1
03000009,8.20,7,6.40,-1,-1,-1,6.50,8.25,9.75
03000010,7.60,7.25,7.40,-1,-1,-1,3.25,4.75,7.50
03000011,7,7,5,-1,-1,-1,5.75,6.75,8.50
03000012,8.40,4.50,6.80,7.75,7.25,4,-1,-1,-1
03000013,8.40,6.50,5.80,7.25,7,5.75,-1,-1,-1
03000014,8.20,6.50,8,6.75,6.75,6,-1,-1,-1
03000015,6.40,6,4.60,-1,-1,-1,3.75,5.75,7.50
03000016,8,7,4.20,5.25,6.25,7.25,-1,-1,-1
03000017,7.80,5.75,7.40,-1,-1,-1,2.75,6.75,7.50
03000018,7.80,5.50,3.80,7.25,7,4.75,-1,-1,-1
03000019,6.20,5.75,-1,-1,-1,-1,3.50,6.25,-1
03000020,7,8.25,8.80,-1,-1,-1,7.25,7,9.50
03000021,7.40,6.50,3.40,-1,-1,-1,5.75,7.50,8.25
03000022,8.20,5.25,2.40,7.75,8,3.75,-1,-1,-1
03000023,8.80,5.75,5.80,7.50,7.50,3.75,-1,-1,-1
03000024,2.80,0.50,-1,-1,-1,-1,3,3.50,-1
03000025,5.80,6.75,5,-1,-1,-1,5,7,7.50
03000026,5.40,6.50,5,-1,-1,-1,4.25,7,8.50
03000027,5.20,5.25,-1,-1,-1,-1,2,5.25,-1
03000028,7.80,6,8.80,7.25,5,4.75,-1,-1,-1
03000029,8,5,3.40,7.25,6.25,3.75,-1,-1,-1
03000030,6.20,5.25,-1,-1,-1,-1,4.25,-1,-1
03000031,4.80,6.50,5.20,-1,-1,-1,4.25,5.75,7.75
03000032,6.20,6.25,3,-1,-1,-1,2.25,5.50,8.75
03000033,8,6.50,6.40,-1,-1,-1,4.25,6.75,9.25
03000034,6.20,5.50,6.40,-1,-1,-1,6.50,7,9
03000035,7,5.50,4,-1,-1,-1,3,5.50,7
03000036,7.80,5.50,4.60,7.25,5.50,4,-1,-1,-1
03000037,7,6.75,3,-1,-1,-1,4,7.25,8.50
