SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
05000001,7.60,6.50,3,5,6,6.75,-1,-1,-1
05000002,3.60,4.75,3,2.75,2,3.25,3.50,6,6
05000003,2.20,-1,3,2.75,-1,-1,-1,-1,-1
05000004,6.60,6,2.80,4.50,3.75,4.25,-1,-1,-1
05000005,7.40,8,8,-1,-1,-1,3.50,5.75,5.50
05000006,7.80,6,-1,7.50,6,4.50,-1,-1,-1
05000007,5.80,6.50,3.80,-1,-1,-1,2.50,6.25,7.25
05000008,4,-1,1.80,-1,-1,-1,4,5.50,-1
05000009,6.80,6,6.20,-1,-1,-1,4.25,5,6.50
05000010,6,7.75,7.60,-1,-1,-1,4.50,7.25,7.25
05000011,4,3.75,2.20,-1,-1,-1,4,6,5.75
05000012,7.40,4.75,6.20,6.25,5,6,-1,-1,-1
05000013,6.60,3.25,3.80,4.25,6.50,6.25,-1,-1,-1
05000014,3.20,4,3.40,3.25,1.75,3.50,4.75,4.50,6.25
05000015,5.20,3,2.60,-1,-1,-1,3.50,3,6
05000016,4,5.75,3,-1,-1,-1,4.50,5,6.75
05000017,6.20,3.50,6,5.50,5,4.25,-1,-1,-1
05000018,8.40,5,7.80,7,5.50,6,-1,-1,-1
05000019,9.20,6.75,5.80,7.75,8.50,4,-1,-1,-1
05000020,2.60,5,3.20,-1,-1,-1,2.75,5.75,7
05000021,7,3.25,6.40,6.50,3.25,3.75,-1,-1,-1
05000022,2.20,2,-1,-1,-1,-1,2.50,5.25,-1
05000023,2.40,5,1.80,3.50,2.75,2.50,3.75,5.50,7
05000024,9,6.25,7.80,5.50,8.25,6.75,-1,-1,-1
05000025,3.80,4,2.80,1.75,3,3.25,4.25,6,7.50
05000026,6.40,4.75,5.60,-1,-1,-1,2.75,6,6.50
05000027,7.60,4,1.80,6.50,7,2.25,-1,-1,-1
05000028,2,3.75,2.80,2,2.75,2.50,3.50,4.50,6
05000029,4.40,5,2.20,-1,-1,-1,3.25,5.25,5.75
05000030,3.60,5,3.40,4,4.75,4.75,5.50,7,9
05000031,7.60,3.75,6.60,5.75,4.50,5,-1,-1,-1
05000032,3.60,5.25,2.40,-1,-1,-1,4.25,5.50,7.25
05000033,2.20,2,2.80,3.50,1.75,3.75,4.25,7.50,7.50
05000034,6.60,5.50,4.80,-1,-1,-1,3.75,4.75,6
05000035,8.40,8,9.20,-1,-1,-1,5.75,8.50,8
05000036,9,7,9.20,9.25,5.25,6.50,-1,-1,-1
05000037,7,4.25,3.40,6.75,5.25,3.25,-1,-1,-1
05000038,6.20,6,4.40,-1,-1,-1,3.75,5.25,4.75
05000039,2.80,3.25,-1,-1,-1,-1,4.25,-1,-1
05000040,7,3.75,4.20,3.50,6.25,6,-1,-1,-1
05000041,6.40,5,5,-1,-1,-1,4.25,6.50,8.75
05000042,7,3.50,4.60,3.25,5.75,4.50,-1,-1,-1
05000043,2.20,2.50,2.80,3.75,3,3,3.25,3,7.25
05000044,4.40,-1,-1,3.25,3.75,-1,-1,-1,-1
05000045,3.60,2,2.20,2.75,2.25,2,3.50,4,3.50
05000046,2.60,1.50,-1,-1,-1,-1,3,-1,-1
05000047,2.60,2.75,-1,-1,-1,-1,4.50,-1,-1
05000048,3.40,3.25,-1,-1,-1,-1,4,-1,-1
