SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
09000001,7.80,8.50,7.20,-1,-1,-1,8,8,8.75
09000002,7,7.50,6.60,-1,-1,-1,7,7,9
09000003,5.80,6.25,6.60,-1,-1,-1,4.25,5.50,7.25
09000004,5.80,7,2.20,-1,-1,-1,8,8,8.50
09000005,6.60,6.75,8.80,-1,-1,-1,6.25,6.50,8
09000006,3.80,7.25,4.20,-1,-1,-1,6.50,7.25,8.50
09000007,6.40,7.50,4.20,-1,-1,-1,4,6.75,8
09000008,6.60,6.50,3.40,4,4,3.25,-1,-1,-1
09000009,5.60,6.25,4.60,-1,-1,-1,4.75,7,8.25
09000010,9.20,7.25,5,8,5.75,8,-1,-1,-1
09000011,7.80,7.75,6,-1,-1,-1,6.25,8,8.75
09000012,3.20,7.50,3.20,-1,-1,-1,5.25,5.75,7.75
09000013,2.80,5.25,3.20,-1,-1,-1,7,7.25,7
09000014,6.40,7.50,4,5.25,4.75,4.50,-1,-1,-1
09000015,4.20,7.50,4,-1,-1,-1,3.50,5.50,6.50
09000016,7.80,8.75,4.80,-1,-1,-1,9.25,8.75,9.25
09000017,5.60,7.50,2.80,-1,-1,-1,7.50,7.50,7.75
09000018,2.60,5.75,2.60,-1,-1,-1,2.75,5.25,4.75
09000019,3.40,6.50,2.80,-1,-1,-1,3.25,4,5.25
09000020,6.60,7.50,3.80,5,5,5,-1,-1,-1
09000021,4.20,7,3.80,-1,-1,-1,6,6,7.75
09000022,6.60,6.75,3.60,4.25,5.75,5.75,-1,-1,-1
09000023,7.60,7.75,3.60,5.75,5,7,-1,-1,-1
09000024,4,7,2.60,-1,-1,-1,5.25,5.50,7.75
09000025,6.40,5.75,5.20,4,5,5.25,-1,-1,-1
09000026,7.40,8,4.60,-1,-1,-1,7,7,8.50
09000027,5.60,8.50,6,-1,-1,-1,8,8.50,7.50
09000028,4.20,5.75,3,-1,-1,-1,4,5,7
09000029,5.60,6.25,3.40,4.50,3.75,4.50,-1,-1,-1
09000030,4.60,7.75,4.20,-1,-1,-1,4.50,4.75,7.25
09000031,7.40,7.50,3.80,5.25,5.25,5,-1,-1,-1
09000032,4.20,6.50,3.20,-1,-1,-1,3,6,5.75
