SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
17000001,2.60,1.75,2.40,2.50,2.50,3,4.50,5.75,6.75
17000002,2.60,3.50,2.40,2.75,3.75,2.75,4,5.50,5.50
17000003,1.40,3.25,2,2.50,2.75,3,1.50,5.50,5.75
17000004,2.80,2.75,3.20,-1,-1,-1,3.75,5.50,6.75
17000005,3.40,3,2.80,2.50,4,4,3.75,5,7.25
17000006,4.80,3.25,2.40,2.25,2.50,3.50,1.75,5.25,5.25
17000007,4.80,5.75,3,-1,-1,-1,3,5.75,6.25
17000008,2,3.75,2.80,3.25,2.75,2.75,3.75,4.50,5
17000009,3.60,5.25,2.60,-1,-1,-1,3.50,6.50,6.75
17000010,2.60,4.25,3.20,-1,-1,-1,4.75,4.25,4.75
17000011,3.60,4.25,3.20,2.25,3,3,4,4.50,6.75
17000012,4.80,4.75,2.60,2.75,1.50,3,3,5.25,5.75
17000013,2.60,6,3,-1,-1,-1,4.50,7.75,6.75
17000014,3,3.50,2.40,-1,-1,-1,2.75,5.25,6.25
17000015,4.20,4.25,4.40,-1,-1,-1,4,5.25,7.25
17000016,4.20,4,3.40,-1,-1,-1,3.25,5.25,7.25
17000017,2.80,5.25,3.40,1.25,2.75,3.25,3,5.25,6.50
17000018,4.20,5,3.40,2.50,3.50,4.25,2,5,6.25
17000019,3.60,5.75,2.80,-1,-1,-1,3,7,7
17000020,4.20,4.25,3,2.25,3,4.50,4.75,5,6.75
17000021,2.60,4.50,4.40,2.75,2.25,3.75,4.25,6.50,7.50
17000022,3.80,5.75,2.80,2,2.75,3.25,4,6.25,7.50
17000023,2.20,2.75,2,-1,-1,-1,3,6.50,6.25
17000024,5.60,3.50,2,5.50,3.75,5.50,3.75,3.75,5.75
17000025,3,2.25,3.40,-1,-1,-1,2,4.75,5.25
17000026,2.20,4,2.60,-1,-1,-1,2.75,5.50,7
17000027,3.20,3.50,1.80,3,4.25,1,3.75,6.25,6
17000028,3.40,6,1.40,-1,-1,-1,3.25,5.75,8
17000029,2.60,1.75,1.60,-1,-1,-1,3,5.50,5
17000030,2.20,2,2.60,-1,-1,-1,1.50,4.75,4.50
17000031,2.40,4.75,2.80,-1,-1,-1,5.75,6,8.25
17000032,1.60,2.25,2.40,-1,-1,-1,2,5.25,4
17000033,2.80,2.25,2.80,-1,-1,-1,3.75,6,7
17000034,2.60,4.25,2.60,-1,-1,-1,5.50,6,6.25
17000035,2.20,2.50,2.80,-1,-1,-1,3.25,4.75,4.75
17000036,3.60,4,3.20,3.25,1.75,4,3,5,7.25
17000037,3.40,2.75,2,3,3.25,2.75,6.50,6,7.50
17000038,4.20,6,3.20,3.50,3.75,4.25,7.25,7.75,7.75
17000039,4.60,4.75,3.60,-1,-1,-1,6.25,6.75,7.50
17000040,3.80,4.25,3.80,-1,-1,-1,5.50,7.50,7.50
17000041,5.20,5.50,2.40,-1,-1,-1,6.50,6.75,7
17000042,1.60,2.25,2.80,2.50,1.25,4.75,5.75,4.50,6
17000043,5.40,3.75,2.20,3.25,4.50,5.25,4,5.75,7.50
