SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
18000001,4.40,5.25,3.80,-1,-1,-1,3.75,6.50,7.25
18000002,4,4.75,3.80,-1,-1,-1,2.50,6.50,7.25
18000003,5.40,4.50,3.20,-1,-1,-1,4.25,7.50,7.25
18000004,2.80,4.50,2.60,-1,-1,-1,3.25,5.75,7
18000005,4,7,3.40,-1,-1,-1,4.25,7.75,8
18000006,6.80,4.25,3.20,-1,-1,-1,4.75,7.25,8
18000007,6.80,7.50,5.40,-1,-1,-1,5.75,6.75,9.50
18000008,4,2.50,-1,-1,-1,-1,2.75,4.75,-1
18000009,5.20,6.25,4.60,-1,-1,-1,5,7,8.25
18000010,4.20,5,3.60,-1,-1,-1,4,7,7.75
18000011,7.60,7.25,5.60,-1,-1,-1,4,6.50,7.75
18000012,7.40,7.50,8.40,-1,-1,-1,6.25,7,9
18000013,6.40,5.50,4.40,-1,-1,-1,4.25,6.75,7.75
18000014,7.20,5.50,4,5.50,5.50,3.25,-1,-1,-1
18000015,4.20,3,-1,-1,-1,-1,4.50,6,-1
18000016,2.60,4.75,3.20,-1,-1,-1,1.75,5.50,6.50
18000017,7.40,6.25,5.20,-1,-1,-1,3.25,7.25,9.25
18000018,7.40,7,3.20,4.50,6.25,6.50,-1,-1,-1
18000019,7.20,6,4.40,-1,-1,-1,4.25,6.50,8.50
18000020,7.80,6,4.60,6.25,5,3.75,-1,-1,-1
18000021,7.60,7,4.80,-1,-1,-1,5,6.50,8.75
18000022,6.20,6.75,4.20,-1,-1,-1,4,8.50,8
18000023,6.40,6.75,3.40,5.25,5.50,3.50,-1,-1,-1
18000024,3.20,4.50,-1,-1,-1,-1,4.25,6,-1
18000025,5.80,5.75,3.80,3.75,3.25,5.25,-1,-1,-1
18000026,6.60,5.25,4,-1,-1,-1,5,6,8.75
18000027,4.40,6.50,4.60,-1,-1,-1,5,7,8.25
18000028,3.40,3.25,-1,-1,-1,-1,4.50,6.25,-1
18000029,5.20,6.75,3.40,-1,-1,-1,6.25,8,9
18000030,5.60,4,-1,-1,-1,-1,3.75,5.25,-1
18000031,3.40,4.75,2.80,-1,-1,-1,4.50,6,8.50
18000032,6.80,6,4,-1,-1,-1,4.25,5.25,8.25
18000033,3.80,2.50,-1,-1,-1,-1,4.50,5,-1
