SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
22000001,7,6,2.80,-1,-1,-1,4.75,6.25,7
22000002,8.40,6,4.20,5.50,7.75,3.75,-1,-1,-1
22000003,8.20,5.75,4.60,6.25,6.50,3.50,-1,-1,-1
22000004,5.40,4.75,5.40,-1,-1,-1,7.75,7,7.50
22000005,6,7,6.80,-1,-1,-1,4.50,5,6.75
22000006,4,7.50,5.40,-1,-1,-1,5.25,7,8.25
22000007,5,8,3.80,-1,-1,-1,9.25,7.75,6.50
22000008,5.60,7,4.60,-1,-1,-1,8,7.75,7
22000009,4.60,5,-1,-1,-1,-1,6,5.25,-1
22000010,5,4,2.40,-1,-1,-1,4,5.75,7
22000011,6.60,5.50,6.40,-1,-1,-1,4,5.75,7.50
22000012,3,6,-1,-1,-1,-1,2.75,4.25,-1
22000013,5.20,5.50,2.80,4.75,4,3.75,-1,-1,-1
22000014,6,4.75,4.40,5.25,5,4.25,-1,-1,-1
22000015,6.80,6.25,3.20,-1,-1,-1,6,6.25,7.75
22000016,6,3.50,2.60,2,6.50,3.75,-1,-1,-1
22000017,7,5,4,5.75,5,5.25,-1,-1,-1
22000018,5.80,5.75,3.60,-1,-1,-1,4.75,7.25,6.25
22000019,7.80,8,6.40,-1,-1,-1,5.25,7.25,8.50
22000020,4,4.75,2.80,-1,-1,-1,4.50,7,7.25
22000021,3.60,-1,2.80,2.50,-1,-1,-1,-1,-1
22000022,7.40,6.50,4.60,7,5.50,4.25,-1,-1,-1
22000023,5.20,7.50,4,-1,-1,-1,3.25,8,7.75
22000024,7.20,6,3.20,-1,-1,-1,5,5.50,7.25
22000025,5.80,3.50,2.40,7,5.50,3.50,-1,-1,-1
22000026,7,5.50,4.40,5.50,7.25,4.25,-1,-1,-1
22000027,7.40,7,6.80,-1,-1,-1,5.50,7.50,7.50
22000028,7,5.75,4,6.75,6.25,5.25,-1,-1,-1
22000029,7,5.50,4,3.25,3.25,3.25,-1,-1,-1
22000030,7.60,4.75,7,7.50,6.75,4.25,-1,-1,-1
22000031,8.20,6,8.20,-1,-1,-1,4.75,5.50,8
22000032,7.60,6,7,-1,-1,-1,4,5.25,6
22000033,7.20,5.75,5.20,6.50,6,4.75,-1,-1,-1
22000034,2.40,4.50,-1,-1,-1,-1,2.50,3.25,-1
22000035,7.20,7.50,4,-1,-1,-1,7,6.75,8
22000036,5.40,5,4,-1,-1,-1,4.50,6.25,8.25
22000037,3.40,3.75,2.80,-1,-1,-1,5.50,5.75,8
22000038,7.20,5.75,5.60,-1,-1,-1,5,6.75,8.25
22000039,7.20,6,4.40,6.50,5.75,4,-1,-1,-1
22000040,2,3.50,-1,-1,-1,-1,3.50,3.25,-1
22000041,5.60,7.25,3.20,-1,-1,-1,5.25,6.50,7.75
22000042,4.40,4.75,3.20,4,4,3.75,-1,-1,-1
22000043,5,6.50,3.40,-1,-1,-1,4.50,6.50,8.75
22000044,8,4.50,7.20,6,3.25,4,5.25,7.25,8
22000045,6.20,6,7,-1,-1,-1,3.75,6.50,8.75
22000046,4.80,6,4,-1,-1,-1,4.75,6.25,5.75
22000047,8,5.50,7.40,7,3.75,3.75,-1,-1,-1
22000048,3.80,1.75,-1,-1,-1,-1,3.25,-1,-1
22000049,7,6.50,5.60,-1,-1,-1,4.50,6,7
22000050,7.40,5,3,6.75,5.25,5.50,-1,-1,-1
22000051,6.80,5.50,4.20,-1,-1,-1,3.75,5.75,6.25
22000052,7.20,6,4.20,7,7.25,4.50,-1,-1,-1
22000053,5.60,5.75,5.20,-1,-1,-1,5.50,7,8
22000054,1.80,5.50,-1,-1,-1,-1,2.50,6,-1
22000055,7.60,7.75,8.40,-1,-1,-1,3.75,6.25,7.75
22000056,6.40,4.75,3.20,-1,-1,-1,2.75,6,7
22000057,6.80,5.75,4.80,-1,-1,-1,4.50,7.25,7
22000058,2.60,2.75,-1,-1,-1,-1,3,3.25,-1
22000059,6.40,5.75,2.40,4.25,3,4.75,-1,-1,-1
22000060,5.60,6.75,3.80,5,6,4.75,-1,-1,-1
22000061,6.20,5.50,4.20,2.75,5,3.75,-1,-1,-1
22000062,2.80,5.50,-1,-1,-1,-1,6.75,6.75,-1
22000063,8.40,4.50,4,7.50,7.25,3,-1,-1,-1
22000064,5.20,5.75,6,-1,-1,-1,5,5,6
22000065,3,2.50,3.40,-1,-1,-1,3,3.75,5.50
22000066,7.40,4.50,2.80,5.50,6,3.75,-1,-1,-1
22000067,2.80,3.50,-1,-1,-1,-1,2.75,3.50,-1
