SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
25000001,8,6,3.80,4.75,6.50,7.25,-1,-1,-1
25000002,8.60,8.25,9,-1,-1,-1,7.75,9,9.50
25000004,5.80,7.25,6.60,-1,-1,-1,9.75,9,9.50
25000005,8.40,7.25,9.40,-1,-1,-1,5.50,7.75,9.25
25000006,7.20,7,8,6,6.50,4.25,-1,-1,-1
25000007,7.40,8,9.80,-1,-1,-1,3.75,7.50,8
25000008,9,6.50,5,5.25,8,7.50,-1,-1,-1
25000009,7.80,7.75,9.40,-1,-1,-1,5.75,7,9.50
25000010,8,8,9,-1,-1,-1,7.75,8.50,8
25000011,8.40,8.50,8.60,-1,-1,-1,5.25,7.75,7.75
25000012,7.40,8.25,9,-1,-1,-1,8.50,9.25,9.50
25000013,9,8.50,9,-1,-1,-1,8,8,8.75
25000014,7.40,7.50,8.40,-1,-1,-1,2.75,6,8.25
25000015,7.40,7.25,8.60,-1,-1,-1,8.25,7.75,9
25000016,7.80,6.75,7.20,6,4.75,4.75,-1,-1,-1
25000017,8,7,-1,-1,-1,-1,4.25,6.75,9.50
25000018,8.20,6.50,9,-1,-1,-1,6.50,7.50,8.50
25000019,8.20,8.25,8.80,6,6,6,-1,-1,-1
25000020,8.40,6,8.80,5.50,4.75,5,-1,-1,-1
25000021,8.80,6,9.20,8,4.75,6.25,-1,-1,-1
25000022,8.40,7,5.80,4.25,8,8.50,-1,-1,-1
25000023,7.60,7.50,9.20,-1,-1,-1,5.25,7.50,8.50
25000024,7.60,5.25,7.60,7,4.75,4.25,-1,-1,-1
25000025,5.60,6,5.60,-1,-1,-1,6.25,9,8.50
25000026,7.60,8.50,8.60,5.75,5.75,4.75,-1,-1,-1
25000027,8,7.50,8,-1,-1,-1,5.50,7.50,9.25
25000028,7.40,6.75,9.20,-1,-1,-1,2.75,6.50,8.50
25000029,8.40,8.25,8.80,-1,-1,-1,5.50,7,8.75
25000030,8.20,6,9.60,8.75,4.25,4.50,-1,-1,-1
