SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
28000001,6.80,6.25,3.60,6.75,5.75,4.50,-1,-1,-1
28000002,6.60,7.50,7,-1,-1,-1,5,5,5
28000003,1.60,3,-1,2,2.50,3.25,2.25,4,-1
28000004,6.80,4.25,6.40,4,1.50,3.50,-1,-1,-1
28000005,3.40,4,-1,3.50,2,3.25,2,3.25,-1
28000006,7.80,7.75,7.60,-1,-1,-1,4.25,5,5.50
28000007,2.60,3,-1,2.25,2.50,2.75,2.75,3.25,-1
28000008,4.80,4.75,3.80,-1,-1,-1,1.50,5.50,8.25
28000009,7.80,7,9,-1,-1,-1,5.50,7.75,8
28000010,7.80,4,6.60,7,6.50,2.50,-1,-1,-1
28000011,9.20,5.25,4.80,8.25,8.25,2.75,-1,-1,-1
28000012,2.40,3,-1,1.75,2,2.75,3.75,2.50,-1
28000013,6,6.50,4.60,-1,-1,-1,3,5.25,7.25
28000014,7,5.75,4.80,6.75,7,7.25,-1,-1,-1
28000015,8.60,5.25,6.60,8,7.75,5,-1,-1,-1
28000016,3.60,3.25,-1,2,3.25,3.25,3.50,6.25,-1
28000017,7.40,5.50,6,6,4.50,5.75,-1,-1,-1
28000018,4.60,3,3.40,-1,-1,-1,3.50,4.25,7.25
28000019,8.20,8.50,8.60,-1,-1,-1,6,6,8
28000020,5.40,5.75,3.40,3.25,3.50,3.25,5.25,4.50,7.50
28000021,3.20,7,-1,4.25,1.75,3.75,8.50,8.75,-1
28000022,4.40,4.25,-1,1.75,3,2.75,5.25,4.25,-1
28000023,5.60,4.25,2.60,6,4.25,4.25,-1,-1,-1
28000024,3,4.75,-1,2.50,3,2.50,3.25,5,-1
28000025,6,7,5.20,-1,-1,-1,2.25,5.50,6.50
28000026,8.80,5.50,6.20,7.75,7.50,2,-1,-1,-1
28000027,7.40,6.75,6.20,-1,-1,-1,4,5.50,4.50
28000029,6.20,7.75,5.80,-1,-1,-1,2,4.50,6
28000030,2.20,3.25,-1,1.75,3,3,2,4,-1
28000031,7.40,7,4,4.50,3.50,2.50,-1,-1,-1
28000032,8.40,6,4.80,2.50,7.75,6.75,-1,-1,-1
28000033,2.80,3.75,-1,2.75,2.25,2.25,3.25,6,-1
28000034,4.20,2.50,-1,2.75,2.50,4,4.75,8.25,-1
28000035,2.20,4.25,-1,3,2.75,2.75,3.75,5.50,-1
28000036,7.40,6.75,6,6.25,2.75,4.25,-1,-1,-1
28000037,3.20,4.25,-1,3,1.50,2.75,3.75,7,-1
28000038,4.20,5.25,3.80,4.75,4.75,2.25,-1,-1,-1
28000039,6.80,7.25,4.60,6.25,7.25,4,-1,-1,-1
28000040,8.80,8.25,9,-1,-1,-1,3.50,6,5
28000041,9.20,7,5.80,3.50,8.50,8.75,-1,-1,-1
