SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
32000001,6,4.50,2.60,4.75,3.50,2.25,-1,-1,-1
32000002,4.40,5.25,2.40,-1,-1,-1,4,6.25,8.75
32000003,6,4.50,1.80,6.75,5,5.50,-1,-1,-1
32000004,2.80,3.75,2.60,-1,-1,-1,3.75,3.50,4.75
32000005,4.60,5.75,3.20,-1,-1,-1,5.25,7.75,7.75
32000006,8,8.25,7.60,-1,-1,-1,6.25,7,8
32000007,5.20,6.50,2.40,-1,-1,-1,4.25,5.75,7
32000008,8.20,7,6,7.75,6.75,6.25,-1,-1,-1
32000009,5.60,5.75,2.80,5.25,4,4.75,-1,-1,-1
32000010,5,6.75,4.60,-1,-1,-1,2.50,6.25,8.25
32000011,6.40,5.25,3.60,-1,-1,-1,2.75,7.25,7.75
32000012,3.40,4,3.60,-1,-1,-1,4.25,5.75,6.50
32000013,2.80,3.50,-1,-1,-1,-1,3.25,5.25,-1
32000014,3.60,5.75,3.20,-1,-1,-1,4.25,5.50,7.25
32000015,5.80,7.25,5.60,-1,-1,-1,2.25,4.75,6.25
32000016,-1,7.75,-1,-1,-1,-1,9.25,8.75,-1
32000017,5,5.25,2,-1,-1,-1,5,8,8
32000018,5.80,6.25,4.20,-1,-1,-1,5,7,7.75
32000019,5.20,6,5.20,-1,-1,-1,4,6.50,7.50
32000020,4.80,6,2.60,-1,-1,-1,4,5.25,5.50
32000021,3.60,4.50,2.20,-1,-1,-1,2.50,6,6.75
32000022,8,6,6.40,5,7.25,6.75,-1,-1,-1
32000023,4.60,7.25,2.80,-1,-1,-1,3.25,5.75,8
32000024,7.20,5.25,3.40,-1,-1,-1,6.75,7,9.25
32000025,6.20,4.25,3.80,5,5.25,4,-1,-1,-1
32000026,4.80,3.75,-1,-1,-1,-1,3.75,5,-1
32000027,2.20,3.50,2.40,-1,-1,-1,3.75,6,5.75
32000028,7,7.75,2.80,-1,-1,-1,4.75,6.50,8.25
32000029,3,3.25,-1,-1,-1,-1,2.25,5,-1
32000030,4.20,6.25,4,-1,-1,-1,3.50,6,6
32000031,4,5.50,3.40,-1,-1,-1,2.25,4.50,6
32000032,8,7.50,5.40,4.75,7.75,7.50,-1,-1,-1
32000033,7.60,4.75,4.80,6.50,6.25,4.50,-1,-1,-1
32000034,7.80,-1,-1,6.75,6.25,-1,-1,-1,-1
32000035,8,6,5,7.25,8.25,4.50,-1,-1,-1
32000036,3.40,5,3.40,-1,-1,-1,4,5.75,6.75
32000037,7.60,5,3.60,7.75,7.75,5.50,-1,-1,-1
32000038,5.20,7.25,4.40,-1,-1,-1,8,9.50,8.50
32000039,4.60,5.25,3.60,-1,-1,-1,3.25,6,6.75
32000040,4,3.50,2.60,-1,-1,-1,4,7.75,9
32000041,6.40,6.50,5.20,-1,-1,-1,4,7,7.75
32000042,2.60,3,-1,-1,-1,-1,3.75,4.75,-1
32000043,5.20,6,3.20,-1,-1,-1,5.25,7.25,8.50
32000044,5.40,5.75,4.80,-1,-1,-1,3,6.75,7.50
32000045,7.20,5.25,7.80,6.50,4.25,4.75,-1,-1,-1
32000046,4,4.75,1.80,-1,-1,-1,2.75,6.25,5.75
32000047,5,7.75,5.20,-1,-1,-1,8,7.75,7
32000048,8,4.75,3.60,8.50,7.75,5.25,-1,-1,-1
32000049,7,8,7.80,-1,-1,-1,6.25,8.50,8.50
32000050,4,7.50,3,-1,-1,-1,6,8,7.75
32000051,4.20,6.75,4.20,-1,-1,-1,6.25,8.25,7.75
