SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD
33000001,5.60,5.25,2.20,-1,-1,-1,4.50,6.75,7
33000002,6,5.75,2.80,-1,-1,-1,7,7.50,8.50
33000003,7.60,6.50,6.40,-1,-1,-1,6.50,8,9
33000004,3.80,5.25,3,-1,-1,-1,4.25,5.50,6.25
33000005,3,5.50,3.60,-1,-1,-1,4.75,6,7.25
33000006,4.80,7.75,7.60,-1,-1,-1,4.50,7,8.25
33000007,8.40,6.75,8.40,-1,-1,-1,7.75,7.25,9
33000008,4.80,5.50,3.20,-1,-1,-1,5,6,6.50
33000009,4.60,4.50,1.80,-1,-1,-1,3,5.75,8
33000010,3.60,5,3.40,-1,-1,-1,3.25,4,5
33000011,8.20,5.50,3.40,4.25,7.25,7.25,-1,-1,-1
33000012,2.40,6.25,2,-1,-1,-1,3.25,4.25,6.25
33000013,7.80,5.50,4.60,8,7.50,4.75,-1,-1,-1
33000014,6.40,7.25,4.40,-1,-1,-1,4.50,6.25,9.25
33000015,2,6,3,-1,-1,-1,3.50,6,5.75
33000016,7.40,5.50,4.40,7.50,7.25,5.25,-1,-1,-1
33000017,7.60,8,6.20,-1,-1,-1,4.25,7.25,8.25
33000018,4.20,4.50,2.60,-1,-1,-1,2,6,6.75
33000019,6.40,5.50,3,4.75,6.50,5.25,-1,-1,-1
33000020,5.40,6.50,3.60,-1,-1,-1,4.75,5.75,7.25
33000021,3.80,5,1.80,-1,-1,-1,4.50,5.50,7
33000022,6.40,7.50,5.80,-1,-1,-1,4.75,6.25,6.75
33000023,6.40,7.25,4.80,-1,-1,-1,5,5,7
33000024,4.20,8,4.20,-1,-1,-1,5,5.75,9
33000025,4.20,5.75,3.60,-1,-1,-1,3.75,6,6.25
33000026,6.60,4.75,4.80,5,4.25,4.75,-1,-1,-1
33000027,4.60,5.25,2.80,-1,-1,-1,2.75,6,5.50
33000028,3.40,4.50,2.40,-1,-1,-1,6,5.75,7.25
33000029,5.40,5,3.40,-1,-1,-1,4.25,6.50,7.50
33000030,5.20,4.50,2.60,-1,-1,-1,6.25,7,7
33000031,5.40,4.50,3.40,5.50,5.50,4.25,-1,-1,-1
33000032,5.40,3.75,3,5.75,3.50,4.75,-1,-1,-1
33000033,8.40,5.50,3.40,7.50,6.25,5.50,-1,-1,-1
33000034,7.60,5.25,4.80,7.50,7.25,5.25,-1,-1,-1
33000035,6,7.25,4,-1,-1,-1,2,5.50,7.25
33000036,7.20,4.75,5.20,7.25,6.75,5.25,-1,-1,-1
33000037,5.80,5.75,3.40,-1,-1,-1,4.75,6.75,7.25
33000038,6.60,6.25,4,7.75,4.75,6,-1,-1,-1
33000039,2.60,5,2.20,-1,-1,-1,3.50,6.75,4.50
33000040,2.60,6,2.20,-1,-1,-1,2.75,4.75,6.50
33000041,7.20,7.50,4,-1,-1,-1,4.50,6.25,6.50
33000042,3.40,4,2.80,-1,-1,-1,5.50,6.75,7.50
33000043,3.20,3.50,3.20,-1,-1,-1,5,4.75,6.75
33000044,6.80,5.50,4.40,7.25,4.75,4,-1,-1,-1
33000045,3.80,4.50,3.20,-1,-1,-1,3.75,5.25,5.75
33000046,7,7.25,6.40,-1,-1,-1,5.50,8,8.50
33000047,5.60,5,2.80,-1,-1,-1,5.25,6.50,7.75
33000048,4.20,6.75,3.60,-1,-1,-1,3.50,5.50,6
33000049,6.60,7.25,3.80,-1,-1,-1,3.75,5.25,5.75
33000050,5,6.25,3.20,4.50,3.50,4,-1,-1,-1
